customer_id,tenure,subscription_tier,monthly_fee,payment_method,paperless_billing,device_count,content_hours_per_month,has_family_plan,support_tickets_ytd,profile_count,days_since_last_login,email_verified,lifetime_value_estimate,churned
AUR-00056,48,Premium,16.4,Debit Card,Yes,1,31.9,No,1,1,14,Yes,1446.79,No
AUR-00057,43,Plus,13.09,PayPal,Yes,2,37.5,No,2,2,30,No,262.59,No
AUR-00058,35,Plus,13.64,Credit Card,No,3,22.1,Yes,0,3,11,Yes,1045.8,No
AUR-00059,47,Basic,8.63,Credit Card,Yes,5,43.4,No,0,5,3,Yes,686.46,No
AUR-00060,66,Basic,8.94,Credit Card,Yes,2,20.5,No,0,3,19,Yes,831.43,Yes
AUR-00061,28,Plus,12.47,Credit Card,No,2,30.5,No,0,3,9,Yes,352.86,No
AUR-00062,37,Plus,14.25,Debit Card,No,3,36.1,No,2,2,20,Yes,984.54,No
AUR-00063,13,Plus,13.81,PayPal,No,2,24.8,No,3,3,4,Yes,419.95,No
AUR-00064,25,Plus,14.65,Credit Card,Yes,5,85.8,No,0,3,7,Yes,334.92,No
AUR-00065,56,Plus,14.23,PayPal,No,3,30.4,No,1,1,15,Yes,1424.04,No
AUR-00066,46,Plus,14.24,Credit Card,Yes,2,34.7,No,1,3,16,Yes,1179.24,Yes
AUR-00067,15,Plus,12.25,Debit Card,Yes,2,42.5,No,1,1,11,Yes,376.13,Yes
AUR-00068,39,Basic,8.93,Credit Card,No,2,16.8,No,1,3,12,Yes,551.21,No
AUR-00069,59,Basic,9.77,Debit Card,Yes,2,12.5,No,1,3,16,Yes,691.17,No
AUR-00070,9,Plus,14.58,Credit Card,Yes,2,36.2,No,0,1,8,Yes,104.77,Yes
AUR-00071,4,Basic,10.54,Gift Card,Yes,2,14.1,No,0,3,9,Yes,0.0,Yes
AUR-00072,28,Plus,13.59,PayPal,Yes,2,50.8,Yes,0,4,29,Yes,645.95,No
AUR-00073,47,Premium,16.23,PayPal,No,3,52.2,No,0,2,5,Yes,714.15,No
AUR-00074,22,Basic,9.36,PayPal,Yes,3,50.8,Yes,1,4,2,Yes,50.5,Yes
AUR-00075,59,Basic,10.96,Credit Card,No,2,63.8,No,2,4,9,Yes,622.29,No
AUR-00076,61,Basic,9.89,Debit Card,No,3,36.1,No,1,1,9,Yes,320.43,Yes
AUR-00077,38,Basic,8.76,Credit Card,Yes,5,87.2,No,2,1,2,Yes,377.66,Yes
AUR-00078,27,Plus,13.79,PayPal,Yes,3,48.0,No,3,1,8,Yes,623.14,No
AUR-00079,3,Plus,15.25,Credit Card,Yes,2,83.3,No,1,2,2,Yes,0.0,No
AUR-00080,59,Premium,19.17,Credit Card,Yes,2,62.2,Yes,1,3,4,No,666.0,No
AUR-00081,65,Plus,13.13,Debit Card,Yes,4,36.8,No,0,1,11,No,755.77,No
AUR-00082,32,Plus,15.61,Credit Card,Yes,2,47.8,No,1,1,2,No,402.8,No
AUR-00083,37,Premium,15.0,PayPal,No,2,56.4,Yes,1,3,6,Yes,634.96,No
AUR-00084,55,Basic,9.82,Credit Card,Yes,2,12.0,No,1,1,1,Yes,814.53,No
AUR-00085,50,Basic,10.7,Debit Card,Yes,1,17.0,No,2,3,5,Yes,624.74,Yes
AUR-00086,9,Basic,10.99,PayPal,Yes,2,96.5,No,1,2,19,Yes,241.09,Yes
AUR-00087,49,Plus,15.72,Debit Card,No,3,56.1,No,1,3,39,Yes,1580.53,No
AUR-00088,67,Plus,14.89,Credit Card,Yes,5,73.3,Yes,0,2,7,Yes,696.67,No
AUR-00089,54,Basic,10.18,Credit Card,Yes,3,35.8,No,1,3,11,Yes,878.8,Yes
AUR-00090,35,Plus,12.81,Credit Card,No,2,84.2,No,0,2,2,Yes,477.92,No
AUR-00091,38,Basic,9.02,Credit Card,Yes,1,37.1,Yes,3,2,10,No,1115.45,No
AUR-00092,18,Plus,11.37,Debit Card,Yes,4,55.8,Yes,1,4,22,Yes,272.35,Yes
AUR-00093,48,Plus,15.28,Credit Card,Yes,2,90.8,Yes,2,3,8,Yes,486.83,No
AUR-00094,17,Plus,14.12,Credit Card,Yes,4,59.8,No,1,3,18,Yes,270.13,Yes
AUR-00095,24,Basic,8.77,Credit Card,No,2,21.6,No,1,3,4,Yes,224.67,No
AUR-00096,19,Plus,13.1,PayPal,Yes,3,38.6,No,2,3,1,Yes,691.23,No
AUR-00097,24,Basic,9.57,Credit Card,No,3,48.9,No,3,3,6,Yes,226.63,Yes
AUR-00098,26,Basic,10.66,Credit Card,Yes,2,58.0,No,0,1,4,Yes,496.15,Yes
AUR-00099,6,Basic,9.42,Debit Card,No,4,78.8,Yes,0,3,17,No,47.68,No
AUR-00100,52,Premium,17.27,Credit Card,No,1,58.2,Yes,1,2,17,Yes,578.5,No
AUR-00101,32,Premium,20.27,PayPal,No,1,39.7,No,2,3,2,Yes,305.69,No
AUR-00102,69,Plus,15.4,Credit Card,Yes,2,34.9,No,2,2,12,Yes,1602.12,Yes
AUR-00103,13,Basic,9.44,Debit Card,Yes,1,36.0,No,2,3,14,Yes,135.32,Yes
AUR-00104,48,Premium,18.0,Debit Card,No,3,30.8,No,1,6,5,Yes,943.23,No
AUR-00105,13,Plus,12.96,PayPal,Yes,2,29.9,No,2,3,9,Yes,169.89,Yes
AUR-00106,39,Plus,13.48,Debit Card,Yes,4,72.4,No,3,2,13,Yes,204.55,No
AUR-00107,35,Plus,14.62,PayPal,No,3,45.0,No,3,4,18,Yes,485.91,No
AUR-00108,32,Basic,9.04,Credit Card,No,3,31.2,No,1,3,9,No,492.57,Yes
AUR-00109,47,Basic,8.66,Debit Card,Yes,4,41.9,No,1,6,11,Yes,171.14,No
AUR-00110,60,Premium,19.42,PayPal,No,2,32.5,Yes,0,2,14,Yes,1764.08,No
AUR-00111,23,Plus,12.65,Debit Card,Yes,1,13.1,Yes,0,4,2,Yes,350.9,No
AUR-00112,62,Basic,8.83,Debit Card,No,3,58.6,No,2,2,0,Yes,463.02,No
AUR-00113,13,Basic,9.13,Credit Card,No,3,74.9,No,1,2,13,Yes,145.41,No
AUR-00114,21,Plus,13.86,Credit Card,Yes,3,67.7,No,5,1,9,Yes,313.08,Yes
AUR-00115,22,Basic,10.71,Credit Card,Yes,2,65.5,No,2,1,2,Yes,538.61,No
AUR-00116,69,Premium,15.36,Credit Card,No,4,20.7,Yes,0,4,14,No,860.29,No
AUR-00117,8,Plus,15.3,Credit Card,Yes,4,84.0,Yes,1,1,2,Yes,339.98,No
AUR-00118,28,Plus,14.24,Credit Card,Yes,2,29.0,No,1,1,9,Yes,377.79,No
AUR-00119,30,Plus,15.49,Debit Card,Yes,1,18.5,Yes,0,1,13,Yes,643.38,No
AUR-00120,58,Plus,15.35,PayPal,Yes,2,8.4,Yes,0,2,17,Yes,845.33,No
AUR-00121,35,Plus,14.0,Debit Card,Yes,3,48.2,Yes,2,2,6,Yes,467.68,No
AUR-00122,70,Plus,11.19,Debit Card,No,5,85.2,No,0,3,16,Yes,1199.08,No
AUR-00123,54,Basic,8.75,Credit Card,Yes,1,78.6,No,2,2,6,Yes,535.35,No
AUR-00124,51,Plus,12.66,Credit Card,Yes,2,42.7,No,0,3,3,Yes,571.67,No
AUR-00125,54,Basic,9.04,Debit Card,Yes,3,71.2,No,1,1,4,Yes,704.63,Yes
AUR-00126,11,Plus,14.91,PayPal,Yes,2,120.6,No,1,1,5,Yes,350.68,No
AUR-00127,32,Basic,8.12,PayPal,Yes,4,33.7,No,1,1,14,No,178.2,No
AUR-00128,42,Basic,9.71,Debit Card,No,5,54.6,No,0,1,11,Yes,909.74,Yes
AUR-00129,15,Basic,10.36,PayPal,No,4,86.1,Yes,3,1,4,Yes,149.13,Yes
AUR-00130,8,Plus,12.13,PayPal,Yes,2,18.9,Yes,0,1,11,Yes,167.63,No
AUR-00131,9,Basic,10.61,PayPal,No,3,20.1,No,2,1,2,No,152.55,Yes
AUR-00132,57,Premium,15.43,PayPal,Yes,3,93.6,No,0,2,12,Yes,277.31,No
AUR-00133,47,Plus,13.6,Credit Card,Yes,3,72.3,Yes,1,3,14,Yes,467.92,No
AUR-00134,20,Basic,9.19,Credit Card,No,2,27.4,No,4,3,1,Yes,77.75,Yes
AUR-00135,53,Plus,14.4,Credit Card,Yes,2,22.2,No,0,1,15,Yes,928.14,No
AUR-00136,50,Basic,9.56,Debit Card,No,1,20.5,No,3,2,7,Yes,455.57,Yes
AUR-00137,59,Premium,20.29,PayPal,Yes,6,47.4,No,0,4,7,Yes,485.73,No
AUR-00138,66,Plus,15.75,Credit Card,No,3,27.8,No,3,2,1,Yes,884.42,Yes
AUR-00139,64,Premium,18.15,Credit Card,Yes,2,28.1,No,4,2,17,Yes,592.64,No
AUR-00140,13,Basic,8.84,PayPal,Yes,4,20.5,Yes,2,3,17,Yes,179.59,Yes
AUR-00141,56,Plus,13.3,Credit Card,Yes,1,43.5,Yes,0,4,24,Yes,743.05,No
AUR-00142,28,Plus,13.22,PayPal,No,3,18.9,No,0,4,19,Yes,411.72,Yes
AUR-00143,29,Premium,18.16,Credit Card,Yes,5,59.2,No,1,4,9,Yes,434.83,No
AUR-00144,47,Plus,13.93,Credit Card,Yes,4,80.0,Yes,2,3,10,Yes,747.13,Yes
AUR-00145,43,Plus,14.41,Credit Card,Yes,3,48.6,No,0,2,0,Yes,401.46,Yes
AUR-00146,30,Basic,9.52,Credit Card,Yes,5,72.1,No,1,2,7,No,428.51,Yes
AUR-00147,72,Basic,9.3,Credit Card,Yes,2,38.6,No,1,2,7,Yes,339.89,No
AUR-00148,12,Plus,13.8,Credit Card,No,3,25.4,No,2,2,3,Yes,142.9,Yes
AUR-00149,7,Plus,15.25,Credit Card,Yes,4,33.9,No,3,3,7,Yes,58.24,No
AUR-00150,2,Basic,9.05,Credit Card,Yes,4,14.6,Yes,1,3,4,Yes,90.51,Yes
AUR-00151,59,Premium,16.2,PayPal,Yes,3,29.0,No,0,3,17,Yes,1051.07,No
AUR-00152,29,Premium,18.15,Credit Card,Yes,4,37.5,Yes,2,3,8,Yes,454.68,No
AUR-00153,31,Basic,9.13,Credit Card,Yes,4,42.5,No,1,3,4,Yes,319.63,Yes
AUR-00154,47,Plus,13.03,Credit Card,Yes,3,73.3,No,1,3,17,Yes,509.54,Yes
AUR-00155,31,Basic,9.44,PayPal,Yes,5,87.8,Yes,0,3,2,Yes,777.23,Yes
AUR-00156,41,Plus,14.13,PayPal,Yes,2,47.5,No,2,4,32,Yes,683.32,No
AUR-00157,4,Basic,8.7,Gift Card,Yes,2,21.6,No,2,4,9,Yes,98.03,Yes
AUR-00158,11,Plus,14.52,PayPal,Yes,3,21.5,No,1,2,7,Yes,150.79,Yes
AUR-00159,68,Plus,13.51,Credit Card,Yes,3,29.4,No,0,4,1,No,348.79,No
AUR-00160,32,Plus,15.0,Debit Card,No,3,26.4,No,1,3,8,Yes,360.62,No
AUR-00161,12,Basic,8.75,Credit Card,No,3,48.1,No,1,2,6,Yes,136.67,Yes
AUR-00162,26,Premium,16.16,PayPal,Yes,3,22.4,Yes,1,4,13,Yes,537.2,No
AUR-00163,24,Basic,10.7,Credit Card,Yes,3,89.0,Yes,1,2,7,Yes,345.65,No
AUR-00164,20,Basic,11.7,Credit Card,Yes,5,67.0,Yes,2,1,2,Yes,319.78,No
AUR-00165,21,Plus,14.17,PayPal,No,4,74.8,No,0,3,6,Yes,374.22,No
AUR-00166,53,Basic,7.79,PayPal,Yes,2,28.5,Yes,2,2,4,Yes,424.29,No
AUR-00167,7,Premium,19.89,Gift Card,Yes,5,22.4,Yes,0,1,2,Yes,52.48,No
AUR-00168,22,Premium,22.35,Credit Card,Yes,3,27.5,No,1,2,20,Yes,615.87,No
AUR-00169,34,Basic,7.73,Credit Card,Yes,3,44.3,No,0,1,1,Yes,563.59,No
AUR-00170,39,Premium,18.76,Credit Card,Yes,4,41.6,Yes,2,2,18,Yes,829.12,No
AUR-00171,64,Basic,8.03,Credit Card,Yes,5,84.1,Yes,0,1,8,Yes,717.83,No
AUR-00172,67,Plus,14.94,Debit Card,No,4,92.6,Yes,2,3,14,Yes,2428.39,No
AUR-00173,21,Basic,8.89,Credit Card,No,1,45.7,No,0,1,21,Yes,159.42,Yes
AUR-00174,39,Premium,16.97,PayPal,Yes,3,17.0,Yes,1,4,4,Yes,456.74,No
AUR-00175,1,Basic,9.89,Credit Card,Yes,4,35.2,No,0,1,8,No,86.74,Yes
AUR-00176,45,Basic,9.58,Debit Card,No,2,151.1,No,1,1,5,Yes,986.14,No
AUR-00177,11,Plus,14.22,PayPal,No,1,17.7,No,1,2,6,No,241.59,No
AUR-00178,5,Premium,15.0,Debit Card,No,1,49.2,No,1,2,13,Yes,170.1,No
AUR-00179,49,Premium,15.29,Credit Card,No,1,27.4,No,3,2,7,Yes,376.13,No
AUR-00180,13,Plus,14.44,Credit Card,Yes,2,113.7,No,0,1,8,Yes,132.98,No
AUR-00181,34,Premium,20.48,Credit Card,Yes,2,51.7,No,2,4,3,Yes,873.86,No
AUR-00182,7,Premium,16.34,PayPal,Yes,1,27.6,No,1,2,7,Yes,97.51,No
AUR-00183,54,Plus,13.23,Debit Card,Yes,1,32.1,No,3,3,5,Yes,707.49,No
AUR-00184,55,Basic,9.16,Credit Card,Yes,2,11.4,No,1,3,8,No,684.05,No
AUR-00185,41,Plus,13.23,Gift Card,Yes,1,48.7,Yes,0,4,3,Yes,345.62,No
AUR-00186,61,Plus,15.46,Debit Card,Yes,3,49.6,No,1,1,4,Yes,748.35,No
AUR-00187,31,Basic,9.52,PayPal,Yes,2,17.5,No,1,4,10,Yes,448.85,No
AUR-00188,13,Basic,8.3,Credit Card,No,2,58.8,No,0,1,12,Yes,73.96,Yes
AUR-00189,11,Plus,14.75,Gift Card,Yes,6,91.9,No,2,1,9,No,227.62,No
AUR-00190,16,Basic,8.75,Credit Card,Yes,3,20.1,Yes,1,3,6,Yes,262.28,No
AUR-00191,14,Premium,17.4,Credit Card,Yes,1,58.1,No,1,3,4,Yes,345.74,No
AUR-00192,23,Basic,8.97,PayPal,Yes,4,58.9,No,0,3,1,Yes,192.33,Yes
AUR-00193,15,Basic,7.41,PayPal,Yes,2,45.8,No,0,4,20,Yes,61.49,Yes
AUR-00194,43,Premium,19.04,Debit Card,Yes,3,47.6,No,1,3,17,Yes,1158.94,No
AUR-00195,10,Basic,7.83,Credit Card,Yes,2,31.4,No,0,2,22,Yes,63.4,No
AUR-00196,45,Basic,7.87,Credit Card,No,2,11.0,No,1,1,22,Yes,659.11,No
AUR-00197,24,Plus,12.76,PayPal,Yes,3,51.0,No,3,3,10,No,412.03,No
AUR-00198,50,Premium,20.36,PayPal,Yes,1,66.5,Yes,0,1,37,Yes,1799.23,No
AUR-00199,37,Basic,9.75,Credit Card,No,6,23.3,No,0,4,6,Yes,535.97,Yes
AUR-00200,66,Basic,9.24,Credit Card,Yes,1,27.8,No,1,3,8,No,1732.98,Yes
AUR-00201,32,Plus,14.21,Debit Card,No,3,25.8,No,3,2,4,Yes,458.88,No
AUR-00202,21,Premium,17.67,PayPal,Yes,2,53.1,Yes,1,1,2,Yes,966.07,No
AUR-00203,43,Plus,11.14,Credit Card,Yes,2,49.0,No,2,4,5,No,309.07,No
AUR-00204,48,Basic,9.6,Debit Card,Yes,2,24.3,Yes,0,3,5,Yes,711.45,Yes
AUR-00205,32,Basic,7.15,Gift Card,Yes,3,41.0,No,1,2,14,Yes,402.89,No
AUR-00206,40,Basic,7.51,Credit Card,No,4,41.8,No,0,3,9,Yes,211.28,No
AUR-00207,34,Basic,9.65,Debit Card,Yes,3,51.5,No,1,5,11,Yes,195.96,Yes
AUR-00208,22,Plus,13.3,Debit Card,Yes,1,33.5,No,0,1,10,Yes,286.31,Yes
AUR-00209,22,Basic,6.21,Debit Card,Yes,3,76.8,No,1,6,10,Yes,152.7,No
AUR-00210,66,Plus,15.14,PayPal,No,2,51.9,No,1,3,4,Yes,1460.05,No
AUR-00211,49,Plus,13.84,Debit Card,Yes,6,76.0,No,2,3,10,Yes,574.65,No
AUR-00212,6,Plus,14.13,Debit Card,Yes,3,51.2,No,3,2,15,Yes,40.72,No
AUR-00213,70,Basic,10.21,Credit Card,No,2,53.7,No,2,2,19,Yes,513.18,Yes
AUR-00214,51,Premium,17.34,PayPal,Yes,5,15.3,No,0,2,17,Yes,845.18,No
AUR-00215,3,Plus,11.0,Credit Card,Yes,3,48.9,Yes,1,3,13,Yes,122.68,No
AUR-00216,53,Plus,13.52,Credit Card,Yes,1,40.4,No,1,3,9,Yes,1056.68,No
AUR-00217,43,Basic,7.17,Debit Card,Yes,3,80.4,No,2,6,5,Yes,482.5,Yes
AUR-00218,66,Basic,9.83,Debit Card,No,2,74.2,Yes,4,2,10,Yes,516.74,Yes
AUR-00219,35,Premium,18.1,Gift Card,Yes,3,85.0,No,1,3,23,Yes,413.22,No
AUR-00220,37,Plus,14.4,PayPal,No,3,28.2,No,3,1,6,Yes,445.62,Yes
AUR-00221,22,Basic,8.1,PayPal,Yes,2,42.1,Yes,0,2,27,Yes,330.07,No
AUR-00222,23,Plus,14.55,Credit Card,Yes,4,89.4,No,0,1,11,Yes,210.51,Yes
AUR-00223,45,Plus,15.14,Debit Card,Yes,1,27.7,No,2,3,20,No,502.02,Yes
AUR-00224,60,Premium,16.99,Gift Card,Yes,3,80.7,No,1,3,5,Yes,1865.85,No
AUR-00225,65,Basic,10.04,Credit Card,Yes,4,75.9,Yes,2,2,4,Yes,852.89,No
AUR-00226,56,Premium,17.07,PayPal,Yes,1,41.3,Yes,1,3,2,Yes,694.72,No
AUR-00227,44,Basic,12.0,Debit Card,Yes,4,101.8,Yes,4,2,23,No,741.2,Yes
AUR-00228,36,Plus,13.74,Credit Card,No,1,77.7,No,1,6,10,Yes,575.32,No
AUR-00229,24,Plus,13.79,Debit Card,Yes,2,19.1,No,1,2,14,Yes,629.13,No
AUR-00230,56,Basic,6.72,Credit Card,Yes,5,93.3,No,0,2,8,Yes,173.52,No
AUR-00231,23,Basic,9.69,Credit Card,Yes,3,41.4,Yes,3,2,9,Yes,231.21,Yes
AUR-00232,19,Plus,12.39,Credit Card,Yes,4,53.1,No,2,2,2,Yes,311.83,No
AUR-00233,63,Premium,18.65,Credit Card,Yes,4,53.2,Yes,0,1,11,Yes,779.55,No
AUR-00234,43,Plus,13.74,Credit Card,No,2,60.5,No,1,3,16,Yes,735.79,Yes
AUR-00235,25,Premium,18.29,PayPal,Yes,2,90.5,Yes,2,3,1,No,447.71,No
AUR-00236,63,Premium,21.4,Credit Card,Yes,2,52.7,No,0,2,5,Yes,1581.56,No
AUR-00237,70,Plus,12.48,PayPal,Yes,5,39.7,No,3,4,4,Yes,874.88,No
AUR-00238,23,Premium,18.69,Debit Card,Yes,2,23.8,No,1,2,13,Yes,469.89,No
AUR-00239,38,Basic,7.18,Credit Card,Yes,2,32.4,No,0,5,12,Yes,575.49,Yes
AUR-00240,35,Basic,9.42,Credit Card,Yes,3,74.8,Yes,1,2,14,Yes,549.83,Yes
AUR-00241,51,Premium,19.83,PayPal,Yes,1,83.6,Yes,0,4,9,Yes,515.66,No
AUR-00242,69,Premium,16.28,Debit Card,Yes,3,34.6,No,0,1,1,Yes,1260.67,No
AUR-00243,40,Basic,8.78,PayPal,No,2,67.0,No,3,2,10,Yes,631.55,Yes
AUR-00244,58,Plus,11.77,Credit Card,Yes,2,30.7,No,0,5,2,Yes,256.41,No
AUR-00245,43,Plus,12.69,PayPal,Yes,3,12.9,No,0,2,12,Yes,256.84,No
AUR-00246,64,Premium,18.83,PayPal,Yes,2,17.1,Yes,2,2,2,Yes,1656.19,No
AUR-00247,29,Plus,15.8,Gift Card,Yes,5,78.5,No,0,2,3,Yes,676.57,No
AUR-00248,28,Plus,13.67,Credit Card,Yes,2,13.4,No,0,6,18,Yes,460.24,No
AUR-00249,30,Basic,9.12,Gift Card,Yes,3,63.9,No,2,2,7,Yes,336.64,Yes
AUR-00250,72,Plus,14.25,Credit Card,Yes,2,50.4,No,1,2,7,Yes,1860.31,No
AUR-00251,44,Plus,13.37,PayPal,Yes,4,81.2,Yes,2,3,3,Yes,722.81,No
AUR-00252,11,Premium,16.83,Debit Card,Yes,1,47.3,No,3,5,17,Yes,153.53,Yes
AUR-00253,2,Plus,11.84,Debit Card,No,2,57.1,No,1,4,11,Yes,115.98,No
AUR-00254,37,Basic,8.08,Credit Card,No,2,49.7,No,0,4,10,No,346.41,Yes
AUR-00255,58,Basic,9.77,PayPal,No,6,53.4,No,1,2,2,Yes,761.01,No
AUR-00256,34,Plus,15.11,Credit Card,Yes,3,43.0,No,2,2,8,Yes,795.08,No
AUR-00257,40,Premium,18.62,Debit Card,No,3,57.7,No,2,2,42,Yes,1591.14,No
AUR-00258,58,Basic,7.54,Debit Card,Yes,1,37.0,No,1,2,4,Yes,553.89,No
AUR-00259,37,Basic,10.23,PayPal,Yes,1,72.0,No,4,2,18,Yes,326.38,Yes
AUR-00260,66,Plus,11.38,Debit Card,No,2,46.8,Yes,1,2,0,Yes,576.5,No
AUR-00261,46,Basic,8.58,Debit Card,No,3,69.0,No,0,4,14,Yes,456.94,Yes
AUR-00262,53,Premium,19.09,Debit Card,Yes,6,28.1,Yes,2,1,11,No,2132.28,No
AUR-00263,57,Basic,7.59,Debit Card,No,4,35.1,No,2,3,6,Yes,611.82,Yes
AUR-00264,45,Basic,10.58,Debit Card,Yes,3,17.4,No,1,1,11,Yes,395.35,Yes
AUR-00265,3,Premium,18.07,PayPal,Yes,4,54.0,No,0,3,11,Yes,119.8,No
AUR-00266,31,Basic,8.92,PayPal,Yes,3,52.6,Yes,0,5,11,Yes,381.86,No
AUR-00267,10,Basic,10.9,Debit Card,Yes,5,31.9,No,1,2,5,Yes,190.14,Yes
AUR-00268,37,Basic,10.21,Credit Card,No,2,44.2,No,1,3,5,Yes,194.96,No
AUR-00269,10,Basic,8.19,Debit Card,Yes,2,23.5,No,1,3,3,Yes,36.47,No
