member_id,tenure_months,membership_tier,monthly_dues,visit_frequency_per_month,personal_training_addon,group_classes_per_month,has_locker_rental,referred_by_member,payment_method,avg_session_minutes,app_engagement_score,has_nutrition_plan,membership_value_estimate,cancelled
PAL-00018,40,Elite,70.28,6.4,No,3,No,No,Credit Card,59.6,74,No,1665.86,No
PAL-00019,12,Basic,25.29,12.0,No,2,No,No,Credit Card,68.4,21,No,138.0,Yes
PAL-00020,6,Basic,22.64,6.0,No,2,Yes,No,Bank Draft,49.4,56,No,94.32,Yes
PAL-00021,35,Elite,64.87,5.3,Yes,2,Yes,No,Credit Card,47.4,37,No,4830.63,No
PAL-00022,9,Core,42.73,7.4,Yes,3,No,No,Bank Draft,55.5,8,No,282.76,Yes
PAL-00023,56,Elite,74.26,8.1,No,5,No,No,Credit Card,37.3,43,No,3363.14,No
PAL-00024,5,Elite,85.17,6.1,Yes,4,No,No,Bank Draft,40.0,86,No,221.82,No
PAL-00025,58,Core,44.11,11.5,No,4,No,Yes,Credit Card,59.3,84,No,2967.93,No
PAL-00026,60,Basic,22.59,6.8,No,3,Yes,No,Credit Card,44.1,31,Yes,1257.1,No
PAL-00027,59,Basic,27.47,5.0,No,0,No,No,Credit Card,63.1,30,No,1139.03,Yes
PAL-00028,23,Core,38.7,17.5,No,4,No,No,Credit Card,50.6,24,No,399.95,No
PAL-00029,30,Core,42.28,3.5,No,1,No,No,Debit Card,47.1,31,No,1329.45,No
PAL-00030,19,Basic,21.27,7.8,No,0,No,No,Credit Card,68.0,77,No,593.77,No
PAL-00031,58,Core,46.67,5.3,Yes,2,No,No,Credit Card,42.8,32,No,2027.3,No
PAL-00032,21,Basic,24.44,7.6,No,1,Yes,No,Credit Card,52.0,50,No,750.88,No
PAL-00033,35,Basic,22.35,2.9,No,2,Yes,Yes,Credit Card,43.1,99,Yes,767.51,No
PAL-00034,59,Basic,29.11,2.7,No,4,No,No,Bank Draft,51.8,94,No,4214.75,No
PAL-00035,6,Basic,22.91,6.8,No,2,No,No,Credit Card,61.0,52,No,246.47,No
PAL-00036,1,Basic,21.17,7.9,No,2,Yes,No,Debit Card,54.1,24,No,108.78,Yes
PAL-00037,21,Core,44.7,1.3,No,1,No,No,Credit Card,51.4,57,No,964.92,No
PAL-00038,56,Elite,72.38,7.5,No,3,No,No,Bank Draft,50.2,60,No,4268.59,No
PAL-00039,7,Elite,77.87,5.3,No,3,Yes,No,Credit Card,55.7,93,No,506.12,No
PAL-00040,35,Basic,24.5,1.7,No,1,Yes,No,Credit Card,58.3,3,No,903.5,Yes
PAL-00041,41,Elite,85.83,2.6,Yes,2,No,Yes,Debit Card,58.1,16,No,1664.84,No
PAL-00042,32,Basic,24.51,2.4,No,2,No,No,Credit Card,54.4,99,Yes,1797.26,No
PAL-00043,22,Core,44.25,6.1,Yes,3,Yes,No,Debit Card,43.8,51,No,514.28,No
PAL-00044,21,Core,41.2,1.0,Yes,0,No,Yes,Bank Draft,50.1,1,No,1566.89,No
PAL-00045,18,Basic,28.27,7.6,No,2,No,No,Debit Card,45.8,52,No,311.45,Yes
PAL-00046,1,Basic,23.34,4.7,Yes,3,No,No,Debit Card,57.3,27,No,128.87,No
PAL-00047,55,Basic,26.26,17.9,Yes,4,No,No,Credit Card,48.3,71,No,1634.37,Yes
PAL-00048,51,Basic,21.98,0.9,Yes,1,No,Yes,Credit Card,48.7,2,No,1233.92,Yes
PAL-00049,50,Elite,67.52,4.2,No,3,Yes,Yes,Credit Card,72.2,40,No,1653.42,No
PAL-00050,32,Elite,78.99,0.9,Yes,4,Yes,No,Credit Card,50.7,27,No,3715.04,No
PAL-00051,18,Basic,28.25,5.5,No,5,Yes,No,Debit Card,26.7,77,Yes,481.51,No
PAL-00052,0,Core,41.33,4.0,No,0,No,No,Credit Card,75.2,95,Yes,33.24,No
PAL-00053,43,Elite,81.76,11.9,Yes,1,No,No,Debit Card,52.0,51,No,8468.58,No
PAL-00054,42,Basic,27.64,3.6,No,2,No,No,Credit Card,47.6,37,No,1259.45,No
PAL-00055,53,Core,43.89,2.6,No,2,No,Yes,Debit Card,47.6,100,No,2381.68,No
PAL-00056,25,Basic,26.65,3.9,No,2,No,No,Credit Card,47.3,46,Yes,340.19,No
PAL-00057,40,Basic,27.49,6.4,No,4,No,No,Bank Draft,69.2,56,Yes,1046.26,Yes
PAL-00058,24,Core,44.88,4.9,Yes,1,No,No,Credit Card,44.1,90,No,562.82,No
PAL-00059,58,Basic,25.76,8.1,No,2,No,No,Debit Card,44.0,5,No,1407.94,No
PAL-00060,3,Elite,84.98,8.3,Yes,1,No,No,Debit Card,49.6,1,No,287.7,No
PAL-00061,34,Elite,76.51,3.7,Yes,2,No,Yes,Credit Card,30.3,67,No,1503.51,No
PAL-00062,41,Basic,25.33,3.1,No,5,Yes,No,Credit Card,46.2,92,No,692.69,Yes
PAL-00063,3,Basic,21.54,6.7,No,2,No,No,Debit Card,65.6,42,No,87.7,Yes
PAL-00064,39,Basic,22.97,10.2,No,1,No,No,Credit Card,56.3,99,Yes,891.7,No
PAL-00065,58,Core,41.65,1.2,No,1,No,No,Debit Card,59.6,44,No,2186.13,Yes
PAL-00066,59,Basic,27.52,6.5,No,3,No,No,Credit Card,43.7,44,No,2852.77,No
PAL-00067,4,Core,45.73,4.5,No,2,No,No,Credit Card,29.7,13,No,68.11,Yes
PAL-00068,6,Core,45.72,2.6,No,0,No,No,Debit Card,61.0,19,No,98.18,No
PAL-00069,28,Basic,27.41,7.7,No,1,Yes,No,Bank Draft,38.5,57,No,989.16,Yes
PAL-00070,57,Core,40.88,3.7,Yes,4,Yes,No,Credit Card,30.7,69,Yes,6221.07,No
PAL-00071,25,Basic,27.65,11.3,No,2,Yes,No,Bank Draft,41.5,46,Yes,884.92,Yes
PAL-00072,29,Core,49.89,15.6,No,2,No,No,Credit Card,42.9,78,No,1351.78,No
PAL-00073,42,Elite,92.14,2.7,No,3,No,No,Credit Card,36.6,35,Yes,4410.45,No
PAL-00074,3,Basic,23.7,5.8,No,3,Yes,No,Credit Card,52.4,41,No,91.1,Yes
PAL-00075,51,Core,41.7,4.3,No,5,Yes,No,Debit Card,81.8,8,No,3646.54,No
PAL-00076,46,Elite,75.9,4.0,No,2,No,Yes,Credit Card,51.4,82,No,2237.33,No
PAL-00077,60,Basic,30.02,4.6,No,5,No,Yes,Credit Card,43.2,31,No,1522.41,No
PAL-00078,25,Core,41.41,4.6,No,2,No,No,Debit Card,52.8,24,No,2052.17,No
PAL-00079,46,Basic,24.48,14.1,No,1,No,No,Bank Draft,65.0,52,Yes,1145.16,No
PAL-00080,5,Core,42.47,9.5,No,4,No,No,Credit Card,22.0,4,No,197.5,No
PAL-00081,17,Core,39.59,13.8,No,1,No,No,Credit Card,46.2,62,No,490.57,No
PAL-00082,7,Elite,86.29,2.6,No,4,No,Yes,Debit Card,55.5,64,No,448.73,No
PAL-00083,37,Elite,88.81,9.8,Yes,4,No,No,Bank Draft,56.9,68,No,3345.46,No
PAL-00084,58,Elite,60.0,6.8,No,1,No,No,Credit Card,45.4,53,No,3669.46,No
PAL-00085,46,Elite,92.15,9.9,No,4,No,No,Credit Card,33.6,16,No,3625.36,No
PAL-00086,39,Basic,26.37,3.0,No,4,No,No,Credit Card,54.7,4,No,559.93,No
PAL-00087,43,Core,38.02,2.1,No,2,Yes,No,Bank Draft,41.4,20,No,1973.44,No
PAL-00088,58,Core,49.26,3.1,Yes,0,No,No,Debit Card,15.0,21,No,3131.73,No
PAL-00089,42,Basic,33.32,3.5,No,1,No,Yes,Debit Card,53.6,27,No,2168.4,Yes
PAL-00090,47,Basic,23.45,5.3,No,2,No,No,Credit Card,55.3,58,No,666.01,No
PAL-00091,16,Basic,27.15,12.4,No,2,No,No,Debit Card,49.0,15,No,404.34,No
PAL-00092,38,Core,48.65,8.8,No,2,No,No,Debit Card,75.5,65,No,1258.83,No
PAL-00093,41,Core,41.51,3.2,No,2,No,No,Credit Card,58.4,58,No,564.14,No
PAL-00094,7,Elite,71.12,5.1,No,1,No,No,Credit Card,53.8,68,No,614.11,No
PAL-00095,42,Basic,20.45,6.4,No,7,Yes,No,Bank Draft,72.6,64,No,724.84,Yes
PAL-00096,27,Core,47.57,0.6,No,1,No,No,Debit Card,77.7,41,Yes,1072.83,No
PAL-00097,59,Basic,23.88,9.9,No,0,No,No,Credit Card,64.3,97,No,1425.72,Yes
PAL-00098,14,Elite,76.33,8.6,Yes,2,Yes,No,Credit Card,45.7,74,Yes,725.34,Yes
PAL-00099,29,Basic,26.78,8.0,No,2,No,No,Debit Card,57.9,91,No,650.89,No
PAL-00100,9,Basic,23.13,4.5,No,0,No,No,Bank Draft,63.2,69,Yes,327.93,Yes
PAL-00101,3,Basic,25.11,10.6,No,2,No,No,Bank Draft,18.6,4,Yes,64.14,Yes
PAL-00102,30,Basic,25.67,6.3,No,2,No,Yes,Bank Draft,35.5,13,Yes,483.1,Yes
PAL-00103,58,Basic,25.47,6.7,No,1,No,No,Credit Card,59.8,83,Yes,1862.49,No
PAL-00104,19,Basic,18.37,12.3,No,0,No,No,Credit Card,50.5,58,No,838.37,No
PAL-00105,53,Basic,31.72,5.0,No,0,No,No,Debit Card,59.3,26,Yes,2495.1,Yes
PAL-00106,58,Core,42.44,1.5,No,1,No,Yes,Credit Card,61.4,18,No,2531.48,Yes
PAL-00107,49,Basic,21.66,11.1,No,3,No,No,Credit Card,39.5,48,No,2205.36,Yes
PAL-00108,1,Core,40.94,1.8,No,4,No,No,Credit Card,49.2,68,No,0.0,Yes
PAL-00109,44,Basic,22.58,5.2,No,2,No,No,Bank Draft,53.9,56,Yes,1559.25,No
PAL-00110,1,Basic,20.12,1.8,No,2,No,No,Bank Draft,63.8,62,Yes,42.1,Yes
PAL-00111,16,Core,44.0,2.8,No,2,No,No,Credit Card,63.8,55,No,995.66,No
PAL-00112,38,Elite,88.57,7.2,Yes,2,No,Yes,Credit Card,29.3,93,No,8519.02,No
PAL-00113,57,Basic,21.9,9.8,No,4,No,Yes,Credit Card,22.2,98,No,901.32,Yes
PAL-00114,5,Core,43.96,11.3,No,2,No,No,Debit Card,44.1,19,No,236.76,No
PAL-00115,58,Core,48.95,11.7,No,2,Yes,No,Credit Card,67.9,46,No,2736.14,Yes
PAL-00116,33,Basic,24.78,11.0,No,4,Yes,No,Credit Card,44.2,43,No,1323.66,No
PAL-00117,45,Basic,27.94,5.6,No,2,No,No,Bank Draft,82.2,69,No,638.87,No
PAL-00118,49,Core,35.51,12.0,No,2,No,Yes,Bank Draft,33.8,10,No,2836.25,No
PAL-00119,30,Basic,23.06,3.8,No,0,No,No,Credit Card,37.8,58,No,188.61,No
PAL-00120,7,Core,43.85,1.2,No,6,No,No,Credit Card,42.5,31,No,344.38,No
PAL-00121,47,Basic,25.29,7.6,No,3,Yes,No,Credit Card,38.5,75,No,756.25,Yes
PAL-00122,4,Core,54.03,2.1,No,3,No,Yes,Debit Card,39.9,69,No,98.28,No
PAL-00123,8,Elite,76.34,2.7,Yes,1,Yes,No,Bank Draft,55.3,97,No,586.11,No
PAL-00124,58,Basic,25.84,2.8,No,2,Yes,No,Credit Card,52.4,18,Yes,1597.73,Yes
PAL-00125,55,Core,36.04,3.4,No,3,Yes,No,Credit Card,37.9,15,No,2038.15,No
PAL-00126,52,Basic,21.49,8.1,No,1,Yes,No,Bank Draft,53.0,83,No,2010.93,Yes
PAL-00127,57,Basic,19.29,14.1,No,3,Yes,No,Credit Card,42.7,54,No,616.33,No
PAL-00128,15,Basic,21.97,9.5,No,3,No,No,Debit Card,62.1,44,No,367.13,Yes
PAL-00129,59,Basic,28.85,3.0,No,3,No,No,Credit Card,56.0,87,Yes,1838.52,No
PAL-00130,29,Elite,79.15,4.4,Yes,2,No,Yes,Credit Card,59.3,36,No,2023.4,No
PAL-00131,5,Core,42.73,1.0,No,3,No,No,Bank Draft,52.8,62,No,232.97,No
PAL-00132,9,Core,43.74,5.0,Yes,4,No,No,Debit Card,50.1,80,No,484.03,No
PAL-00133,42,Basic,22.43,7.4,No,2,No,Yes,Bank Draft,54.6,11,Yes,1869.79,No
PAL-00134,51,Elite,87.23,10.4,No,2,No,No,Credit Card,89.0,82,No,6250.51,No
PAL-00135,23,Basic,22.62,2.8,No,2,No,No,Credit Card,44.8,68,Yes,823.18,No
PAL-00136,11,Basic,25.83,10.5,No,3,No,No,Credit Card,61.0,9,Yes,838.93,No
PAL-00137,13,Elite,81.18,3.4,No,3,Yes,No,Credit Card,60.9,80,No,927.81,No
PAL-00138,50,Core,45.59,10.5,No,2,No,No,Bank Draft,85.0,99,Yes,3275.43,No
PAL-00139,49,Core,47.93,10.3,Yes,4,No,No,Credit Card,68.7,40,No,1910.82,No
PAL-00140,15,Elite,71.78,14.2,Yes,4,No,No,Bank Draft,27.2,79,Yes,1124.83,No
PAL-00141,2,Basic,26.7,22.6,No,3,No,No,Credit Card,47.2,3,No,59.12,Yes
PAL-00142,6,Basic,21.35,3.8,Yes,2,No,No,Debit Card,21.7,37,No,150.94,Yes
PAL-00143,24,Basic,26.99,9.7,No,1,No,No,Credit Card,57.0,28,No,972.56,No
PAL-00144,13,Basic,26.24,4.6,No,4,No,No,Credit Card,55.6,5,No,368.42,Yes
PAL-00145,27,Elite,89.37,2.4,No,0,No,Yes,Credit Card,47.6,37,No,2702.13,No
PAL-00146,32,Basic,23.03,7.6,No,3,No,No,Credit Card,56.0,21,No,544.68,Yes
PAL-00147,5,Basic,19.14,8.9,No,1,No,No,Credit Card,62.1,88,No,52.34,No
PAL-00148,53,Core,45.56,4.8,Yes,5,No,No,Debit Card,44.3,14,No,2265.87,No
PAL-00149,47,Elite,82.59,3.0,Yes,1,No,Yes,Credit Card,37.5,65,No,2797.47,No
PAL-00150,2,Core,51.32,7.7,No,2,No,No,Bank Draft,44.0,4,No,61.26,No
PAL-00151,26,Basic,27.14,3.0,No,1,No,No,Credit Card,58.8,29,No,928.62,Yes
PAL-00152,8,Basic,25.8,5.2,No,3,No,Yes,Debit Card,51.9,36,No,167.98,Yes
PAL-00153,50,Core,43.49,8.9,Yes,2,No,No,Debit Card,64.0,78,No,2483.0,No
PAL-00154,33,Core,49.21,7.3,No,4,Yes,Yes,Credit Card,33.5,15,No,1579.08,No
PAL-00155,11,Basic,25.29,9.7,No,2,No,No,Bank Draft,64.3,50,Yes,77.41,No
PAL-00156,5,Elite,67.32,3.6,No,2,No,Yes,Credit Card,69.8,54,No,306.95,No
PAL-00157,19,Core,44.39,5.2,No,4,No,No,Credit Card,79.0,45,No,845.22,No
PAL-00158,21,Core,48.12,4.0,Yes,3,No,Yes,Debit Card,56.1,70,No,1453.39,No
PAL-00159,18,Basic,20.58,6.1,No,3,No,Yes,Credit Card,54.1,70,No,254.25,No
PAL-00160,22,Basic,31.55,3.6,No,1,Yes,No,Debit Card,62.8,29,No,541.48,No
PAL-00161,8,Core,42.43,5.2,No,4,No,No,Credit Card,51.5,44,Yes,487.68,No
PAL-00162,29,Core,41.42,5.9,Yes,1,No,No,Credit Card,40.4,19,No,1105.61,No
PAL-00163,17,Basic,21.7,13.3,No,4,No,No,Credit Card,31.7,47,No,632.27,Yes
PAL-00164,43,Basic,23.09,4.4,No,4,Yes,No,Debit Card,41.6,56,No,1336.97,No
PAL-00165,47,Elite,78.89,7.0,No,2,No,No,Bank Draft,72.3,5,No,5218.37,No
PAL-00166,15,Elite,82.53,12.8,Yes,2,Yes,No,Debit Card,56.4,97,No,1124.34,No
PAL-00167,7,Basic,27.65,1.9,No,3,No,No,Credit Card,32.3,37,No,69.62,No
PAL-00168,19,Basic,25.03,8.0,No,3,No,No,Credit Card,52.8,72,No,417.63,Yes
PAL-00169,8,Core,39.73,7.9,No,4,No,No,Credit Card,59.1,88,No,414.0,No
PAL-00170,26,Core,43.97,6.5,Yes,3,No,No,Credit Card,65.2,45,No,2098.25,Yes
PAL-00171,56,Basic,25.33,5.6,No,3,No,No,Credit Card,41.1,13,No,1097.27,Yes
PAL-00172,23,Basic,21.14,12.1,No,3,No,No,Credit Card,50.5,23,Yes,584.69,No
PAL-00173,52,Elite,76.63,0.6,No,4,No,No,Debit Card,29.1,46,No,3424.51,No
PAL-00174,43,Basic,20.91,7.4,No,1,No,No,Debit Card,59.2,40,No,1888.91,Yes
PAL-00175,53,Elite,66.79,6.6,Yes,2,No,No,Bank Draft,20.5,23,No,3323.93,No
PAL-00176,2,Basic,25.91,6.4,No,1,No,No,Bank Draft,48.0,10,No,0.0,Yes
PAL-00177,43,Basic,23.54,4.5,No,2,No,No,Credit Card,43.8,99,No,1169.0,No
PAL-00178,9,Core,42.16,4.0,No,0,No,No,Bank Draft,75.9,59,Yes,145.49,No
PAL-00179,37,Elite,68.76,4.2,No,2,No,No,Bank Draft,70.6,43,No,3007.66,No
PAL-00180,8,Elite,74.47,5.1,Yes,4,No,No,Credit Card,38.7,25,No,610.88,No
PAL-00181,53,Core,46.34,5.2,No,1,No,Yes,Credit Card,47.9,71,No,1612.81,Yes
PAL-00182,32,Core,47.7,1.0,No,2,No,No,Debit Card,24.3,15,No,4081.72,No
PAL-00183,35,Basic,30.48,8.3,No,3,No,No,Debit Card,38.3,98,No,1933.58,No
PAL-00184,5,Basic,21.27,2.2,No,2,No,No,Debit Card,37.1,77,No,141.88,Yes
PAL-00185,18,Elite,82.71,6.7,No,3,Yes,No,Credit Card,56.6,76,No,1591.75,No
PAL-00186,4,Core,49.11,3.2,No,0,Yes,No,Debit Card,60.4,40,No,308.85,No
PAL-00187,52,Core,48.28,6.7,No,3,No,Yes,Credit Card,36.9,67,No,4295.77,No
PAL-00188,47,Core,49.37,14.5,Yes,1,No,No,Debit Card,70.3,77,No,2126.35,No
PAL-00189,38,Basic,23.58,2.3,No,2,No,No,Bank Draft,79.0,78,No,1078.52,Yes
PAL-00190,59,Elite,89.13,6.3,No,1,No,No,Bank Draft,42.7,25,Yes,7069.04,No
PAL-00191,52,Basic,25.38,6.1,No,3,Yes,No,Debit Card,41.5,17,No,995.08,Yes
PAL-00192,2,Basic,23.48,2.5,No,3,Yes,Yes,Debit Card,64.9,53,No,173.03,Yes
PAL-00193,53,Basic,22.44,12.7,No,2,No,No,Credit Card,49.6,4,No,1746.24,Yes
PAL-00194,10,Elite,68.59,2.6,No,2,Yes,No,Credit Card,51.7,5,No,627.52,No
PAL-00195,7,Basic,25.05,1.7,No,2,No,No,Credit Card,54.1,45,No,1396.21,Yes
PAL-00196,31,Elite,75.16,4.1,Yes,3,No,Yes,Debit Card,58.4,54,No,1846.74,No
PAL-00197,38,Basic,30.9,13.0,No,1,Yes,No,Bank Draft,86.9,0,No,2002.85,Yes
PAL-00198,54,Basic,22.89,6.6,No,1,Yes,No,Debit Card,46.8,61,No,945.89,No
PAL-00199,31,Elite,63.02,12.2,No,1,Yes,No,Credit Card,58.6,91,No,1574.78,No
PAL-00200,30,Basic,19.99,7.6,No,2,No,No,Credit Card,33.7,92,No,731.52,Yes
PAL-00201,5,Core,47.73,9.3,Yes,2,No,No,Credit Card,24.7,17,No,216.86,No
PAL-00202,23,Core,40.48,2.7,Yes,1,No,Yes,Debit Card,67.4,97,No,1006.69,No
PAL-00203,12,Core,46.11,1.4,No,2,No,No,Credit Card,44.8,97,No,584.12,No
PAL-00204,51,Core,42.09,8.8,No,2,Yes,No,Debit Card,61.0,42,No,3313.29,No
PAL-00205,22,Core,44.42,3.7,No,2,No,No,Credit Card,59.1,8,No,1797.38,No
PAL-00206,47,Core,44.8,1.6,No,1,No,No,Credit Card,62.5,4,No,9302.88,No
PAL-00207,3,Basic,26.5,8.4,No,4,Yes,No,Debit Card,45.0,32,No,101.71,Yes
PAL-00208,48,Core,35.03,7.6,Yes,3,No,No,Credit Card,60.3,59,No,1559.86,No
PAL-00209,38,Basic,23.76,15.6,No,0,No,No,Bank Draft,75.6,24,No,802.62,No
PAL-00210,14,Basic,21.76,4.7,No,0,No,Yes,Credit Card,54.2,72,No,435.96,No
PAL-00211,47,Basic,26.72,5.4,No,2,Yes,Yes,Debit Card,67.0,66,No,989.72,Yes
PAL-00212,39,Elite,79.52,8.7,Yes,2,Yes,No,Credit Card,46.7,18,No,2268.31,No
PAL-00213,39,Core,40.83,15.6,No,4,No,No,Credit Card,48.8,65,Yes,957.82,No
PAL-00214,11,Basic,26.28,11.5,No,2,No,No,Credit Card,70.4,24,No,212.41,No
PAL-00215,28,Elite,91.88,2.7,Yes,1,No,No,Credit Card,44.9,89,No,1308.18,No
PAL-00216,27,Basic,22.82,4.8,No,3,No,No,Debit Card,46.0,80,No,811.4,Yes
PAL-00217,12,Basic,19.87,6.8,No,0,No,Yes,Bank Draft,44.9,58,Yes,154.62,No
PAL-00218,51,Basic,27.63,5.9,No,1,Yes,No,Debit Card,39.5,46,No,2055.68,Yes
PAL-00219,36,Core,42.99,2.9,No,1,No,No,Credit Card,60.0,3,No,2929.31,No
PAL-00220,48,Basic,22.83,14.7,No,1,Yes,Yes,Credit Card,50.4,31,Yes,1002.02,No
PAL-00221,58,Core,35.0,4.8,Yes,1,No,No,Debit Card,56.9,99,No,958.28,No
PAL-00222,33,Elite,87.99,1.9,No,1,No,No,Bank Draft,39.3,85,Yes,6597.26,No
PAL-00223,18,Basic,25.68,5.0,No,1,Yes,No,Credit Card,44.0,75,No,543.4,Yes
PAL-00224,46,Elite,77.62,9.5,Yes,1,No,No,Debit Card,61.2,16,No,5228.28,No
PAL-00225,35,Basic,24.48,12.6,No,3,No,No,Debit Card,44.5,81,No,521.84,No
PAL-00226,4,Core,50.23,3.9,Yes,2,No,No,Credit Card,61.5,4,No,457.45,No
PAL-00227,21,Elite,77.11,6.2,Yes,4,No,No,Debit Card,50.5,53,No,577.94,No
PAL-00228,50,Core,45.48,6.0,No,1,No,No,Debit Card,56.4,22,No,1191.17,No
PAL-00229,34,Core,45.45,6.2,Yes,4,No,No,Credit Card,83.3,85,No,2984.24,No
PAL-00230,48,Core,49.08,14.4,No,3,Yes,No,Credit Card,63.7,77,No,1415.47,No
PAL-00231,59,Basic,26.41,2.8,No,4,No,No,Debit Card,71.4,54,No,2396.94,No
PAL-00232,45,Elite,76.88,18.3,No,4,No,Yes,Credit Card,38.2,67,Yes,4639.34,No
PAL-00233,18,Basic,25.6,1.3,No,2,Yes,No,Credit Card,58.1,37,No,638.49,No
PAL-00234,8,Core,47.84,5.3,No,2,Yes,Yes,Credit Card,73.2,4,Yes,659.56,No
PAL-00235,13,Basic,28.85,12.3,No,3,No,No,Debit Card,60.1,37,Yes,309.69,No
PAL-00236,13,Core,47.85,13.6,No,5,No,No,Debit Card,50.0,16,No,1350.26,No
PAL-00237,26,Core,49.09,11.8,No,2,No,Yes,Credit Card,49.5,96,No,1360.99,No
PAL-00238,13,Core,46.2,4.8,No,1,Yes,No,Bank Draft,40.2,14,Yes,821.28,No
PAL-00239,45,Core,46.29,13.5,No,3,No,Yes,Bank Draft,47.4,37,Yes,4903.94,No
PAL-00240,41,Basic,26.89,14.2,No,4,No,No,Credit Card,43.1,30,No,1145.8,No
PAL-00241,6,Basic,19.02,11.4,Yes,2,No,No,Debit Card,42.3,22,No,365.78,No
PAL-00242,17,Core,46.78,1.7,No,2,No,No,Debit Card,60.1,17,No,373.37,Yes
PAL-00243,6,Basic,23.86,3.3,No,3,No,No,Credit Card,46.3,13,No,311.48,Yes
PAL-00244,8,Core,39.71,7.4,Yes,6,No,No,Debit Card,60.1,68,Yes,181.36,No
PAL-00245,37,Basic,25.37,10.7,No,6,No,No,Credit Card,53.2,89,No,614.86,No
PAL-00246,34,Core,36.55,2.9,No,2,No,No,Credit Card,81.5,84,No,4539.52,No
PAL-00247,13,Basic,23.74,4.5,No,2,No,No,Credit Card,49.2,37,No,72.64,Yes
PAL-00248,21,Basic,28.5,5.5,No,3,No,No,Credit Card,60.7,88,No,316.58,No
PAL-00249,56,Core,36.74,6.1,Yes,4,No,No,Credit Card,42.8,6,No,3337.7,No
PAL-00250,29,Basic,26.33,7.5,No,3,No,No,Credit Card,47.2,48,No,1147.06,No
PAL-00251,49,Core,47.79,9.0,No,2,No,No,Credit Card,51.1,96,No,2196.4,No
PAL-00252,44,Basic,19.26,1.1,No,3,Yes,No,Credit Card,55.3,13,No,522.71,Yes
PAL-00253,18,Basic,23.86,9.0,No,1,No,No,Credit Card,50.7,91,No,358.38,No
PAL-00254,14,Basic,25.04,9.6,No,1,No,Yes,Debit Card,41.2,4,No,240.72,Yes
PAL-00255,56,Elite,77.38,4.9,No,0,No,No,Debit Card,63.7,66,No,2503.33,No
PAL-00256,55,Basic,22.58,10.6,No,1,No,No,Credit Card,58.9,39,No,1029.29,Yes
PAL-00257,10,Basic,27.02,4.2,No,2,No,Yes,Credit Card,66.3,90,No,416.45,No
PAL-00258,43,Core,42.87,11.0,No,2,No,No,Credit Card,52.3,49,No,2484.65,No
PAL-00259,10,Core,43.9,6.3,No,0,No,No,Credit Card,71.1,67,No,627.87,No
PAL-00260,49,Basic,26.64,3.5,No,3,No,No,Credit Card,49.9,14,No,981.79,No
PAL-00261,1,Elite,79.97,11.0,No,0,Yes,No,Credit Card,31.5,3,No,69.39,No
PAL-00262,25,Core,45.63,10.7,No,3,No,No,Credit Card,53.8,2,No,2495.67,No
PAL-00263,21,Basic,26.14,12.6,No,2,No,No,Credit Card,20.9,22,No,405.14,Yes
PAL-00264,35,Core,50.67,8.2,Yes,3,No,Yes,Bank Draft,55.2,10,No,1010.98,No
PAL-00265,47,Basic,27.17,7.0,No,0,Yes,No,Debit Card,55.8,73,No,1536.85,No
PAL-00266,47,Core,47.63,3.9,No,2,Yes,No,Bank Draft,23.1,74,No,2182.89,Yes
PAL-00267,22,Core,45.8,2.9,No,3,No,No,Bank Draft,24.8,72,No,692.15,No
