account_id,tenure_months,contract_length,monthly_bill,num_locations,support_tickets_ytd,bandwidth_tier,sla_uptime_pct,years_in_business,has_backup_line,dedicated_support_rep,employee_count,autopay_enabled,account_value_estimate,terminated
NGB-00019,45,Flex,398.46,4,3,Standard,99.1,7,No,No,343,Yes,17308.66,No
NGB-00020,10,Standard,720.7,6,1,Enterprise,99.66,7,No,No,374,Yes,4266.75,No
NGB-00021,3,Standard,624.0,3,2,Standard,99.7,36,Yes,No,22,Yes,1383.93,No
NGB-00022,55,Term,626.93,4,4,High,99.99,28,No,Yes,34,Yes,46329.73,No
NGB-00023,73,Standard,645.83,5,3,Standard,99.61,19,No,No,417,Yes,26215.67,No
NGB-00024,48,Standard,592.32,1,4,Standard,99.32,2,No,No,374,No,23187.29,No
NGB-00025,37,Standard,609.24,3,1,Enterprise,99.32,36,No,No,64,Yes,18783.4,No
NGB-00026,26,Flex,513.15,4,2,High,98.69,15,No,Yes,370,Yes,17647.78,No
NGB-00027,13,Standard,590.08,4,6,Standard,99.73,21,No,No,262,Yes,11091.33,No
NGB-00028,45,Term,817.53,4,3,High,99.56,17,No,Yes,20,No,72494.02,No
NGB-00029,62,Flex,399.9,3,1,High,99.43,30,No,No,351,Yes,18290.72,No
NGB-00030,72,Standard,674.16,3,2,High,99.52,14,No,No,103,Yes,67336.02,No
NGB-00031,54,Flex,371.65,4,5,Enterprise,99.11,16,Yes,No,70,Yes,23782.33,Yes
NGB-00032,32,Standard,684.5,5,6,High,98.6,38,No,No,319,Yes,21035.91,No
NGB-00033,31,Flex,462.99,5,2,Standard,99.41,14,No,No,172,No,19315.91,Yes
NGB-00034,31,Standard,630.75,2,3,Standard,99.37,34,No,No,229,Yes,11151.01,Yes
NGB-00035,72,Flex,362.28,5,5,Standard,99.59,28,Yes,Yes,455,Yes,22282.18,No
NGB-00036,62,Standard,664.71,4,1,Standard,99.54,4,No,No,142,No,26013.86,No
NGB-00037,74,Term,1006.3,4,4,High,99.53,37,Yes,Yes,357,No,134135.84,No
NGB-00038,23,Term,952.54,4,3,High,99.24,14,No,No,111,No,32807.67,No
NGB-00039,20,Flex,335.26,5,6,Standard,99.99,21,No,No,309,No,4082.74,Yes
NGB-00040,56,Standard,603.73,2,7,Enterprise,99.96,22,No,No,271,Yes,17278.5,No
NGB-00041,93,Term,813.99,3,5,Enterprise,99.12,12,No,No,23,No,98438.71,No
NGB-00042,3,Term,831.56,6,2,Enterprise,99.99,39,Yes,Yes,138,No,754.49,No
NGB-00043,30,Flex,401.81,3,4,Standard,99.67,1,Yes,No,150,No,18322.76,No
NGB-00044,71,Standard,646.74,3,1,High,98.88,19,No,No,187,Yes,102090.08,No
NGB-00045,74,Standard,644.71,2,2,Enterprise,99.97,13,No,No,192,No,32583.98,No
NGB-00046,92,Standard,520.16,7,3,Standard,99.31,32,No,Yes,34,Yes,63865.48,No
NGB-00047,60,Standard,444.76,4,2,High,99.33,31,No,No,33,No,24038.53,No
NGB-00048,26,Flex,407.87,3,1,Enterprise,99.42,22,Yes,No,237,Yes,22050.78,Yes
NGB-00049,17,Term,955.65,2,2,Standard,99.55,18,Yes,Yes,102,Yes,8019.36,Yes
NGB-00050,48,Flex,501.34,4,2,High,99.4,27,No,No,135,No,13716.96,No
NGB-00051,94,Standard,695.28,3,2,Enterprise,99.89,38,No,No,352,No,69944.94,No
NGB-00052,8,Standard,608.18,2,2,Standard,99.99,28,No,Yes,405,No,9269.23,No
NGB-00053,68,Flex,346.43,4,3,Standard,99.36,2,No,Yes,68,No,22031.4,No
NGB-00054,11,Standard,598.2,2,2,Enterprise,98.89,8,No,No,235,Yes,4151.92,No
NGB-00055,64,Standard,577.19,6,2,Standard,99.32,13,No,Yes,68,Yes,18077.17,No
NGB-00056,43,Standard,589.09,4,7,Standard,99.14,24,No,No,148,No,30100.47,No
NGB-00057,70,Standard,676.54,3,3,Standard,99.28,8,No,No,198,Yes,26969.91,No
NGB-00058,15,Term,800.23,2,6,Standard,98.95,32,No,No,176,Yes,32901.7,No
NGB-00059,68,Standard,566.13,3,3,High,99.68,8,No,No,464,No,40742.06,No
NGB-00060,80,Standard,598.1,1,3,Standard,98.93,17,No,No,91,Yes,50139.08,No
NGB-00061,70,Term,643.39,2,6,Standard,99.04,14,Yes,Yes,313,Yes,39857.7,No
NGB-00062,96,Term,796.37,2,1,Standard,99.99,35,No,No,102,Yes,51021.68,No
NGB-00063,4,Standard,565.0,4,0,High,98.91,6,No,No,115,No,3228.48,No
NGB-00064,69,Standard,721.85,2,1,Standard,99.0,11,No,No,37,No,60812.11,No
NGB-00065,72,Standard,675.04,1,3,Standard,99.99,31,No,No,377,No,74369.66,No
NGB-00066,70,Standard,791.82,3,1,High,99.46,11,No,No,334,No,54342.3,No
NGB-00067,60,Flex,407.28,5,4,Enterprise,99.04,1,Yes,Yes,12,Yes,24183.61,No
NGB-00068,81,Term,948.18,2,4,Standard,99.08,23,No,Yes,256,Yes,81566.28,No
NGB-00069,11,Standard,609.66,2,3,High,99.99,39,No,No,106,Yes,4595.04,No
NGB-00070,30,Flex,389.71,4,5,Standard,99.82,33,No,No,84,Yes,25226.34,No
NGB-00071,84,Flex,347.01,4,2,Enterprise,99.62,17,Yes,No,145,No,23657.92,Yes
NGB-00072,92,Term,697.35,3,4,High,99.83,27,No,No,262,No,47390.49,No
NGB-00073,30,Standard,601.93,4,1,Enterprise,99.36,32,No,No,496,No,24861.02,No
NGB-00074,9,Term,1025.88,3,1,Standard,99.56,37,No,No,312,Yes,7171.1,No
NGB-00075,0,Standard,665.75,4,1,Standard,99.69,2,No,No,118,No,957.0,Yes
NGB-00076,57,Flex,367.23,1,3,Standard,99.27,7,No,Yes,483,No,25699.8,No
NGB-00077,78,Standard,537.23,4,7,Standard,99.54,22,No,No,378,No,25740.68,No
NGB-00078,44,Term,787.74,7,8,Standard,99.99,38,Yes,Yes,102,Yes,53957.61,No
NGB-00079,24,Term,1172.53,2,2,Standard,99.04,9,Yes,No,340,Yes,27372.45,No
NGB-00080,31,Standard,686.4,2,2,High,99.3,25,No,Yes,124,Yes,39769.57,No
NGB-00081,48,Standard,623.35,3,4,Standard,99.25,5,No,Yes,239,No,23707.76,No
NGB-00082,81,Standard,683.51,3,4,Standard,99.8,22,No,No,242,Yes,62285.41,No
NGB-00083,62,Term,827.32,2,0,Enterprise,99.94,7,Yes,No,328,Yes,74444.5,No
NGB-00084,14,Term,1065.55,2,2,Standard,98.9,10,No,No,268,Yes,8572.88,No
NGB-00085,23,Standard,558.68,4,5,Standard,99.37,8,Yes,No,317,Yes,26895.36,No
NGB-00086,3,Standard,591.65,4,3,High,99.2,16,No,No,125,Yes,1737.39,No
NGB-00087,61,Standard,635.5,6,3,Standard,99.69,9,No,No,444,Yes,45046.03,No
NGB-00088,57,Flex,450.18,3,4,High,99.5,10,No,No,390,No,9599.55,No
NGB-00089,65,Flex,522.24,4,1,Standard,99.85,28,No,No,31,Yes,20097.18,No
NGB-00090,88,Standard,638.04,2,2,Standard,99.99,34,No,No,362,Yes,37574.06,No
NGB-00091,14,Flex,462.01,3,4,Enterprise,98.65,38,No,No,430,Yes,11406.28,Yes
NGB-00092,74,Standard,579.32,3,3,High,98.66,37,No,Yes,4,Yes,16640.64,No
NGB-00093,11,Flex,504.33,4,2,Standard,99.5,2,No,No,136,Yes,2994.01,Yes
NGB-00094,77,Flex,250.0,2,1,Standard,99.67,33,No,No,467,Yes,21935.11,No
NGB-00095,90,Term,891.77,3,2,Enterprise,99.15,19,Yes,Yes,358,No,101269.91,No
NGB-00096,56,Standard,689.18,5,5,High,99.53,23,Yes,No,191,Yes,55641.05,No
NGB-00097,71,Standard,634.47,3,2,High,99.61,1,No,No,277,Yes,54232.33,No
NGB-00098,57,Term,681.88,3,5,Enterprise,98.96,11,No,No,343,Yes,31557.45,No
NGB-00099,88,Standard,654.46,5,4,Standard,99.62,3,No,Yes,400,No,37133.52,No
NGB-00100,73,Flex,406.09,4,1,High,99.76,9,No,No,224,No,62142.17,Yes
NGB-00101,9,Flex,414.38,5,2,High,99.51,10,No,Yes,444,Yes,6075.98,No
NGB-00102,85,Standard,500.9,4,2,Standard,98.9,4,Yes,No,211,Yes,41992.93,Yes
NGB-00103,27,Standard,480.01,5,4,Enterprise,99.11,13,No,No,126,Yes,10319.45,No
NGB-00104,10,Flex,483.67,2,2,Enterprise,99.68,15,No,No,183,No,4069.79,No
NGB-00105,65,Term,921.0,1,2,Standard,99.99,31,Yes,No,363,No,53689.17,No
NGB-00106,18,Term,697.76,5,6,Enterprise,99.67,31,Yes,No,23,Yes,10575.43,No
NGB-00107,12,Flex,559.76,4,2,High,99.39,38,No,No,298,No,4351.95,Yes
NGB-00108,65,Standard,550.41,2,3,Standard,99.58,34,No,No,461,No,55835.24,No
NGB-00109,6,Flex,446.25,1,2,High,99.39,20,Yes,No,105,Yes,3118.27,No
NGB-00110,96,Flex,404.98,2,7,Enterprise,99.64,36,No,No,316,Yes,32982.73,No
NGB-00111,71,Term,675.69,3,2,Enterprise,99.69,32,No,Yes,211,Yes,75717.08,No
NGB-00112,83,Flex,382.31,2,6,Standard,98.87,24,No,No,28,No,37347.28,Yes
NGB-00113,54,Standard,660.39,3,2,High,99.99,3,No,No,429,Yes,71547.58,No
NGB-00114,78,Term,1000.38,3,4,High,99.99,13,No,Yes,429,Yes,35418.54,Yes
NGB-00115,58,Flex,407.58,4,4,High,99.02,38,No,Yes,311,No,21829.72,Yes
NGB-00116,30,Standard,639.99,5,4,Enterprise,99.23,33,Yes,No,388,Yes,18563.65,No
NGB-00117,45,Standard,733.09,2,4,High,99.79,23,No,No,287,No,41599.44,Yes
NGB-00118,48,Term,941.03,3,2,High,99.37,26,No,No,114,Yes,40983.04,No
NGB-00119,82,Standard,572.14,3,1,Enterprise,99.04,32,No,No,277,Yes,52708.39,No
NGB-00120,46,Standard,624.67,5,4,Standard,98.87,16,No,Yes,160,No,42692.35,No
NGB-00121,80,Standard,532.06,1,6,High,99.44,14,No,No,367,Yes,30058.26,No
NGB-00122,60,Standard,702.41,2,3,High,98.99,33,No,No,39,Yes,62184.24,No
NGB-00123,26,Standard,569.3,4,3,High,99.72,33,No,No,195,Yes,11434.29,No
NGB-00124,42,Term,795.23,5,1,Standard,99.5,26,No,No,210,No,34580.66,No
NGB-00125,31,Flex,338.55,1,4,High,99.99,30,No,Yes,167,Yes,5460.3,Yes
NGB-00126,57,Flex,332.84,3,4,High,99.97,16,No,No,258,Yes,12088.36,No
NGB-00127,78,Flex,436.31,2,3,Standard,99.48,26,No,No,389,No,24974.15,No
NGB-00128,86,Term,869.87,3,1,Standard,99.97,27,No,No,257,No,38852.21,No
NGB-00129,53,Flex,404.11,3,3,Enterprise,99.25,21,No,No,233,Yes,17908.14,Yes
NGB-00130,40,Flex,386.98,1,4,Standard,99.19,5,No,No,344,Yes,26321.18,No
NGB-00131,76,Standard,680.13,4,2,High,99.99,8,No,Yes,129,Yes,47582.6,No
NGB-00132,4,Flex,494.84,2,4,High,99.99,33,No,No,433,No,2732.87,Yes
NGB-00133,33,Flex,615.26,4,9,Standard,99.94,29,No,No,200,Yes,49230.48,No
NGB-00134,26,Standard,619.5,5,1,High,99.02,39,No,No,71,No,17552.9,No
NGB-00135,10,Standard,569.73,5,4,Standard,98.99,22,No,No,242,Yes,6367.08,No
NGB-00136,67,Standard,528.48,4,5,Standard,99.78,31,Yes,No,369,Yes,23485.5,No
NGB-00137,38,Flex,389.13,3,2,Standard,99.14,26,No,No,345,Yes,17373.18,Yes
NGB-00138,86,Standard,655.23,3,2,Enterprise,99.16,30,No,No,490,No,82872.54,No
NGB-00139,54,Standard,580.89,3,2,Standard,99.44,22,No,Yes,302,Yes,25102.49,No
NGB-00140,31,Standard,445.43,4,2,High,99.23,15,No,No,221,Yes,15971.52,No
NGB-00141,65,Term,843.56,5,6,Standard,99.99,2,No,Yes,60,Yes,30980.33,No
NGB-00142,0,Flex,362.82,3,2,Enterprise,99.99,12,No,Yes,178,No,176.76,Yes
NGB-00143,64,Standard,779.44,5,0,High,99.99,4,No,Yes,109,No,43530.13,No
NGB-00144,91,Standard,649.14,3,2,High,99.38,37,No,Yes,93,Yes,72086.14,No
NGB-00145,15,Term,801.0,2,1,High,99.99,39,No,No,204,Yes,4672.68,No
NGB-00146,92,Standard,671.9,3,2,Standard,99.45,38,No,No,86,Yes,62111.1,No
NGB-00147,83,Standard,563.55,2,2,Enterprise,99.8,28,No,Yes,473,Yes,66415.96,No
NGB-00148,91,Standard,517.89,4,3,Enterprise,99.83,21,No,No,46,No,58328.73,No
NGB-00149,56,Flex,493.54,2,2,High,99.24,20,No,Yes,73,Yes,25222.48,No
NGB-00150,94,Standard,579.05,3,6,High,99.83,6,Yes,Yes,458,Yes,18187.75,No
NGB-00151,10,Standard,713.38,4,1,High,99.4,18,No,No,177,Yes,13557.69,No
NGB-00152,78,Term,805.82,4,2,High,99.73,7,No,Yes,280,Yes,39619.04,No
NGB-00153,48,Standard,533.81,4,6,Standard,99.2,25,Yes,No,143,Yes,40972.78,Yes
NGB-00154,79,Flex,353.02,1,6,Enterprise,99.71,2,No,No,56,Yes,18514.94,Yes
NGB-00155,29,Standard,622.11,4,1,Enterprise,99.77,28,No,No,170,No,10510.65,No
NGB-00156,24,Standard,552.24,1,2,Standard,99.8,9,Yes,No,409,Yes,13964.43,No
NGB-00157,1,Standard,580.22,3,6,High,99.99,19,No,No,192,Yes,584.96,No
NGB-00158,93,Term,867.02,4,1,Standard,99.99,4,No,No,392,No,46438.86,No
NGB-00159,53,Standard,715.47,8,2,High,99.23,3,No,No,353,Yes,61868.11,No
NGB-00160,66,Standard,680.22,5,4,High,99.17,23,Yes,No,42,Yes,66738.92,No
NGB-00161,95,Standard,652.47,4,5,Standard,99.96,15,No,No,332,No,39429.64,No
NGB-00162,15,Standard,656.76,3,2,High,99.99,8,No,No,246,No,7357.59,No
NGB-00163,85,Flex,363.26,3,3,Standard,98.63,10,Yes,No,338,No,11653.73,No
NGB-00164,80,Term,849.44,6,2,High,99.67,20,Yes,No,331,Yes,55818.94,No
NGB-00165,47,Term,848.84,3,3,Enterprise,98.75,29,No,Yes,181,Yes,30636.04,No
NGB-00166,12,Term,919.16,3,4,Standard,99.71,22,No,No,455,No,22108.43,No
NGB-00167,79,Flex,454.16,4,1,Enterprise,99.89,14,No,No,291,Yes,37225.88,No
NGB-00168,60,Standard,543.98,2,4,High,99.53,34,No,No,409,Yes,33888.64,Yes
NGB-00169,49,Term,1054.0,2,1,Standard,99.49,17,No,No,168,Yes,62233.61,No
NGB-00170,17,Standard,739.51,5,4,Enterprise,99.4,5,No,Yes,280,Yes,11636.44,Yes
NGB-00171,16,Flex,460.78,4,6,High,99.75,12,Yes,No,196,Yes,11498.57,Yes
NGB-00172,70,Flex,417.25,2,5,Standard,99.74,37,No,No,355,Yes,35665.71,Yes
NGB-00173,12,Standard,585.07,3,4,High,99.91,14,No,No,403,Yes,7204.39,No
NGB-00174,96,Flex,415.73,3,1,Enterprise,99.68,9,No,No,227,No,48643.21,No
NGB-00175,28,Flex,529.86,2,3,Standard,99.04,9,No,No,217,Yes,37705.94,Yes
NGB-00176,43,Standard,685.47,1,4,Standard,98.77,28,No,Yes,311,Yes,12152.44,No
NGB-00177,12,Standard,760.85,3,1,High,99.15,25,No,No,462,No,5004.73,No
NGB-00178,28,Term,1074.64,2,4,High,99.43,6,Yes,No,190,No,24853.31,No
NGB-00179,9,Standard,553.54,3,3,Enterprise,99.99,18,No,Yes,263,Yes,7971.88,No
NGB-00180,60,Term,992.03,3,0,High,99.84,30,No,Yes,228,Yes,60604.25,No
NGB-00181,89,Term,967.39,1,1,High,99.99,5,No,No,291,Yes,117641.01,No
NGB-00182,69,Standard,511.65,3,4,Standard,99.78,22,No,No,425,No,32918.43,No
NGB-00183,48,Flex,407.25,4,4,Standard,99.98,29,No,No,290,Yes,13002.07,No
NGB-00184,73,Term,822.08,3,1,High,98.76,25,No,No,60,Yes,83280.33,No
NGB-00185,26,Flex,493.8,5,4,High,98.92,5,No,Yes,274,Yes,12668.82,Yes
NGB-00186,21,Flex,441.95,1,2,Enterprise,99.99,36,No,No,278,Yes,16440.59,Yes
NGB-00187,17,Term,753.04,3,3,Standard,99.58,10,No,No,373,Yes,6947.17,No
NGB-00188,17,Standard,636.86,2,5,Standard,99.46,38,No,Yes,134,No,19868.4,No
NGB-00189,87,Flex,516.32,5,4,High,98.76,36,No,No,341,Yes,66420.1,No
NGB-00190,75,Standard,616.47,2,1,Enterprise,99.77,33,No,No,328,Yes,40833.81,No
NGB-00191,34,Standard,645.91,4,3,Standard,99.43,26,Yes,Yes,476,No,14617.49,No
NGB-00192,41,Term,867.77,3,5,Standard,98.67,24,No,Yes,113,No,27943.59,Yes
NGB-00193,62,Flex,365.22,2,2,Enterprise,99.77,39,No,No,466,No,22211.32,No
NGB-00194,68,Standard,559.82,5,2,Standard,99.44,19,No,No,429,Yes,59949.5,No
NGB-00195,72,Flex,410.95,3,4,Enterprise,99.41,3,No,No,409,No,26790.31,Yes
NGB-00196,66,Flex,375.13,4,6,High,99.8,36,No,No,241,Yes,36836.41,Yes
NGB-00197,86,Flex,351.77,2,3,High,99.21,37,No,No,168,Yes,22506.17,No
NGB-00198,62,Standard,576.47,5,2,High,98.99,17,No,Yes,381,No,33241.54,No
NGB-00199,45,Flex,510.11,2,4,Enterprise,99.25,34,Yes,No,185,Yes,21698.63,No
NGB-00200,47,Flex,421.0,2,2,High,99.85,10,No,No,62,Yes,62568.32,No
NGB-00201,50,Term,924.87,2,3,Standard,99.08,1,No,No,189,No,77877.18,Yes
NGB-00202,16,Standard,580.45,2,4,Standard,99.56,15,Yes,No,101,No,13364.63,No
NGB-00203,14,Flex,361.78,2,6,High,99.92,3,No,No,175,Yes,4804.14,No
NGB-00204,96,Standard,682.59,1,3,High,99.52,26,No,No,109,Yes,119225.2,No
NGB-00205,84,Term,806.19,7,4,Enterprise,99.27,39,Yes,Yes,472,Yes,34246.93,No
NGB-00206,55,Standard,669.93,4,6,High,99.74,10,Yes,Yes,403,Yes,12316.1,No
NGB-00207,40,Standard,620.13,1,3,High,99.49,33,No,No,172,Yes,29080.42,No
NGB-00208,63,Standard,833.87,1,9,Standard,99.39,4,No,No,182,Yes,45684.52,No
NGB-00209,31,Flex,408.75,6,1,Standard,99.24,2,No,No,28,Yes,9502.06,No
NGB-00210,81,Term,672.24,3,2,Enterprise,99.53,21,No,Yes,29,Yes,75878.02,No
NGB-00211,36,Flex,310.36,1,1,Standard,99.82,33,Yes,No,286,Yes,3657.94,No
NGB-00212,9,Term,1057.06,3,5,Standard,99.3,22,No,Yes,400,Yes,15370.7,No
NGB-00213,60,Term,867.89,3,1,High,99.43,6,No,No,13,Yes,101494.53,No
NGB-00214,17,Flex,411.4,3,3,Standard,99.86,30,No,No,455,No,4821.3,No
NGB-00215,76,Standard,716.33,3,2,Standard,99.47,27,No,No,493,No,120372.07,No
NGB-00216,46,Term,1045.79,3,4,Enterprise,99.45,31,No,No,397,No,74940.87,No
NGB-00217,23,Standard,549.37,1,1,Enterprise,98.97,7,No,No,122,Yes,10271.58,No
NGB-00218,25,Term,870.67,4,1,High,99.52,10,No,Yes,401,Yes,18372.0,No
NGB-00219,75,Standard,596.51,3,1,High,99.7,3,No,No,12,No,45410.28,No
NGB-00220,25,Flex,461.78,3,5,Enterprise,99.37,14,No,No,373,Yes,13365.58,No
NGB-00221,6,Flex,514.41,1,6,Enterprise,99.58,15,No,No,374,Yes,2993.41,No
NGB-00222,17,Term,1026.64,2,5,Standard,99.32,24,Yes,Yes,496,Yes,40802.09,No
NGB-00223,86,Standard,761.3,4,5,Standard,98.9,15,No,No,305,Yes,49044.05,No
NGB-00224,58,Term,953.64,3,2,High,98.7,12,Yes,No,52,Yes,55550.99,No
NGB-00225,37,Flex,250.0,4,3,Enterprise,99.88,9,Yes,Yes,9,Yes,9161.2,Yes
NGB-00226,57,Standard,571.97,2,1,High,99.99,32,No,No,316,Yes,17175.68,No
NGB-00227,89,Flex,384.23,3,5,High,99.99,13,No,Yes,150,Yes,43112.27,No
NGB-00228,84,Flex,451.6,3,5,High,99.19,22,No,No,373,Yes,31351.44,Yes
NGB-00229,19,Standard,838.58,3,4,High,99.85,16,No,No,64,Yes,19750.69,No
NGB-00230,50,Standard,631.2,5,3,Standard,99.28,38,No,No,9,Yes,29666.14,No
NGB-00231,39,Standard,675.3,4,0,High,99.19,25,No,No,62,Yes,42699.36,No
NGB-00232,67,Standard,615.25,2,0,Enterprise,99.99,15,Yes,No,355,No,19876.35,No
NGB-00233,24,Term,1042.26,3,3,High,99.21,34,Yes,Yes,105,Yes,12673.63,No
NGB-00234,40,Standard,492.99,4,2,Standard,99.39,4,No,No,162,No,32856.92,No
NGB-00235,84,Flex,446.25,6,0,Standard,99.39,1,No,No,495,Yes,30923.76,No
NGB-00236,36,Standard,683.15,4,3,Standard,99.24,27,No,No,447,Yes,36511.18,No
NGB-00237,46,Flex,382.32,2,0,Standard,99.99,14,Yes,No,152,Yes,79957.06,No
NGB-00238,84,Standard,562.07,5,3,Standard,99.99,19,Yes,Yes,454,Yes,39804.43,No
NGB-00239,36,Flex,426.99,6,3,High,98.88,6,No,Yes,432,Yes,12961.76,No
NGB-00240,96,Flex,395.91,1,1,Standard,99.68,19,No,No,81,Yes,41920.68,No
NGB-00241,11,Standard,638.73,3,2,Standard,99.44,32,No,No,55,Yes,3715.64,Yes
NGB-00242,3,Standard,711.55,2,3,High,99.21,5,No,No,199,No,1234.13,No
NGB-00243,57,Term,987.65,3,2,Standard,99.35,31,No,Yes,418,No,80770.89,No
NGB-00244,63,Flex,422.69,6,4,High,99.58,36,No,Yes,32,Yes,23260.26,Yes
NGB-00245,57,Standard,638.77,1,4,High,99.54,22,No,No,440,Yes,33662.8,Yes
NGB-00246,24,Standard,519.83,2,3,Standard,99.74,5,No,Yes,190,Yes,6438.12,No
NGB-00247,43,Standard,582.64,4,4,High,99.77,18,No,No,59,No,35489.66,Yes
NGB-00248,23,Standard,457.31,5,1,High,98.92,24,No,No,62,Yes,18431.01,Yes
NGB-00249,29,Flex,504.09,3,4,High,99.45,17,Yes,Yes,212,Yes,5626.96,No
NGB-00250,62,Term,868.57,2,3,Standard,99.41,4,No,No,205,No,67286.11,No
NGB-00251,55,Standard,568.3,1,5,High,99.84,17,Yes,Yes,287,Yes,49111.95,No
NGB-00252,9,Standard,624.24,3,5,Standard,98.59,9,No,No,75,Yes,4814.9,No
NGB-00253,5,Standard,622.05,4,5,Standard,99.99,30,No,No,176,Yes,4566.43,No
NGB-00254,95,Standard,620.97,4,0,Standard,99.5,9,No,No,267,No,111111.69,No
NGB-00255,15,Flex,472.9,1,4,Standard,99.64,24,No,No,112,Yes,16984.55,No
NGB-00256,95,Term,889.2,3,3,Enterprise,98.75,29,Yes,Yes,294,Yes,95621.79,No
NGB-00257,2,Standard,595.73,4,4,High,99.37,31,No,No,291,No,476.07,No
NGB-00258,31,Standard,625.31,4,2,Standard,99.06,6,No,No,194,Yes,17954.85,Yes
NGB-00259,80,Term,1130.54,4,1,High,99.91,2,No,Yes,258,Yes,97396.03,No
NGB-00260,65,Flex,354.14,2,3,Enterprise,99.3,21,No,No,394,Yes,13914.45,No
NGB-00261,91,Flex,364.52,2,4,High,99.44,22,No,No,288,Yes,44417.23,No
NGB-00262,8,Standard,542.85,3,5,High,99.22,35,No,No,154,Yes,2911.24,No
NGB-00263,86,Standard,551.91,2,3,High,99.1,25,No,No,41,Yes,111139.09,No
NGB-00264,2,Flex,459.46,5,1,Enterprise,99.79,13,No,No,143,No,1566.35,No
NGB-00265,69,Term,850.82,2,4,Enterprise,99.11,24,No,No,287,Yes,179655.75,No
NGB-00266,19,Standard,556.59,3,5,Standard,99.57,11,No,Yes,113,Yes,6250.41,No
NGB-00267,92,Standard,866.17,1,4,Standard,99.29,4,No,No,235,No,31347.97,Yes
NGB-00268,6,Standard,676.95,6,4,Standard,99.66,31,No,Yes,434,No,7114.21,No
NGB-00269,69,Term,951.98,2,4,Standard,99.84,27,No,No,90,Yes,42997.46,No
NGB-00270,0,Standard,778.57,4,2,High,99.54,11,No,No,333,No,1554.48,No
NGB-00271,53,Term,962.79,3,7,High,99.88,7,Yes,Yes,408,Yes,54055.92,No
NGB-00272,9,Standard,561.04,4,8,Standard,99.86,21,No,No,288,Yes,4717.24,No
NGB-00273,91,Flex,334.17,1,5,High,99.64,1,No,No,333,Yes,10728.63,Yes
NGB-00274,0,Flex,439.74,1,3,Standard,99.58,2,No,No,418,No,585.87,Yes
NGB-00275,85,Standard,538.33,2,4,High,99.18,9,No,Yes,109,No,62085.89,No
NGB-00276,23,Term,986.17,3,0,Standard,99.22,23,No,Yes,78,Yes,21179.32,No
NGB-00277,20,Flex,463.6,5,5,Standard,99.61,35,No,No,207,No,9395.71,Yes
NGB-00278,73,Flex,389.08,2,6,Standard,99.19,8,Yes,No,64,Yes,37241.71,Yes
NGB-00279,55,Flex,413.78,3,3,Standard,99.31,14,Yes,No,457,Yes,10806.21,No
NGB-00280,74,Term,863.03,3,3,Enterprise,99.77,3,Yes,No,50,Yes,51040.78,No
NGB-00281,51,Standard,513.88,4,4,Standard,99.88,37,No,No,364,Yes,48550.71,No
NGB-00282,19,Term,1035.04,2,1,Standard,98.37,27,Yes,No,262,Yes,15937.19,No
NGB-00283,31,Flex,474.98,5,1,Standard,99.46,18,No,No,188,No,15273.85,No
NGB-00284,22,Term,897.39,2,2,Enterprise,99.82,11,No,No,325,Yes,15862.49,No
NGB-00285,23,Standard,550.11,8,3,Standard,99.33,7,Yes,No,292,No,10055.86,No
NGB-00286,52,Standard,554.07,2,3,High,99.75,6,No,Yes,402,Yes,29192.16,No
