subscriber_id,tenure_months,plan_type,monthly_price,items_per_box,referral_count,boxes_skipped_ytd,gift_subscription,payment_method,loyalty_points_balance,app_installed,avg_review_rating,social_media_follower,subscriber_value_estimate,unsubscribed
CAS-00039,33,Basic,19.5,2,1,0,No,Credit Card,547,No,4.2,No,966.57,No
CAS-00040,46,Deluxe,53.38,6,2,2,No,PayPal,419,Yes,4.2,No,2789.35,No
CAS-00041,22,Curated,36.36,4,0,4,No,Credit Card,127,Yes,4.2,No,1311.53,Yes
CAS-00042,19,Basic,18.85,7,2,0,No,Credit Card,350,No,3.3,No,401.06,Yes
CAS-00043,23,Curated,36.44,3,1,2,No,Debit Card,167,No,4.4,No,635.9,No
CAS-00044,23,Curated,33.07,2,0,0,No,Debit Card,283,Yes,4.6,No,862.1,No
CAS-00045,31,Basic,16.84,8,0,0,Yes,Debit Card,1431,Yes,4.7,Yes,1134.5,No
CAS-00046,44,Deluxe,58.29,5,1,0,No,PayPal,273,Yes,4.2,Yes,3043.94,No
CAS-00047,28,Basic,19.82,2,1,4,No,Credit Card,664,Yes,5.0,Yes,690.91,Yes
CAS-00048,37,Deluxe,48.58,7,0,4,No,Credit Card,225,Yes,4.1,Yes,1445.95,No
CAS-00049,27,Basic,20.97,4,1,0,No,PayPal,377,Yes,3.8,Yes,649.26,No
CAS-00050,32,Deluxe,54.17,11,0,2,No,Credit Card,321,No,3.5,No,1451.94,No
CAS-00051,43,Deluxe,53.35,6,0,0,No,Debit Card,395,Yes,4.0,No,3140.82,No
CAS-00052,16,Curated,37.7,6,0,2,No,Buy Now Pay Later,630,No,4.1,No,770.75,Yes
CAS-00053,23,Curated,32.22,6,0,1,No,PayPal,527,No,3.5,No,648.63,Yes
CAS-00054,6,Basic,17.43,6,0,1,Yes,Debit Card,16,Yes,3.9,Yes,0.0,Yes
CAS-00055,10,Basic,23.54,7,0,0,No,Credit Card,265,Yes,4.4,No,279.36,Yes
CAS-00056,15,Curated,36.1,5,0,1,No,PayPal,106,Yes,5.0,No,839.4,No
CAS-00057,42,Basic,17.77,5,0,4,No,Credit Card,489,Yes,3.9,Yes,1362.43,No
CAS-00058,30,Basic,20.34,3,2,1,Yes,Buy Now Pay Later,1497,Yes,3.0,No,1401.43,No
CAS-00059,44,Curated,36.58,8,0,3,Yes,Credit Card,740,Yes,5.0,No,3634.48,Yes
CAS-00060,13,Basic,19.11,8,1,2,No,Debit Card,334,Yes,5.0,No,175.66,Yes
CAS-00061,3,Curated,37.24,4,0,3,No,Debit Card,749,Yes,3.3,No,380.99,No
CAS-00062,35,Curated,36.47,3,1,0,No,PayPal,377,Yes,4.5,No,749.73,No
CAS-00063,20,Curated,32.27,5,0,0,No,Buy Now Pay Later,705,Yes,4.2,No,983.73,Yes
CAS-00064,7,Basic,16.51,5,0,2,No,Credit Card,200,No,3.6,No,239.82,No
CAS-00065,13,Curated,29.03,5,2,1,No,PayPal,958,Yes,4.7,No,874.37,Yes
CAS-00066,28,Deluxe,49.04,3,0,2,No,PayPal,659,No,3.8,No,1828.25,No
CAS-00067,44,Basic,22.91,13,1,2,No,PayPal,222,No,5.0,Yes,1263.33,Yes
CAS-00068,12,Deluxe,59.02,3,3,2,No,Credit Card,784,No,3.9,No,887.28,No
CAS-00069,28,Deluxe,50.53,6,0,1,No,Credit Card,337,No,4.2,No,1133.6,No
CAS-00070,17,Deluxe,44.54,6,2,1,No,Credit Card,286,Yes,3.0,Yes,637.72,No
CAS-00071,45,Curated,31.49,5,0,0,No,PayPal,431,Yes,3.2,Yes,1651.93,No
CAS-00072,3,Deluxe,54.97,3,2,4,No,Credit Card,517,No,3.9,Yes,301.09,No
CAS-00073,9,Basic,21.15,2,1,0,No,Credit Card,259,Yes,3.3,No,180.14,Yes
CAS-00074,2,Basic,19.95,5,2,1,No,PayPal,360,Yes,4.1,No,359.68,No
CAS-00075,24,Curated,37.98,3,2,0,No,Credit Card,669,Yes,4.1,No,1061.83,No
CAS-00076,45,Curated,35.54,3,0,1,Yes,Credit Card,338,Yes,5.0,Yes,1220.01,No
CAS-00077,40,Curated,35.46,3,0,1,Yes,Debit Card,34,No,4.1,No,2010.49,No
CAS-00078,0,Curated,42.97,4,0,1,No,Credit Card,536,No,4.0,No,202.1,No
CAS-00079,20,Basic,23.3,3,0,4,No,PayPal,377,No,4.8,No,718.62,Yes
CAS-00080,7,Basic,18.73,8,0,1,No,Debit Card,203,Yes,3.5,No,558.54,No
CAS-00081,27,Deluxe,47.68,8,1,3,No,Credit Card,198,No,3.9,Yes,1135.85,No
CAS-00082,5,Curated,31.66,6,1,1,No,Credit Card,29,Yes,5.0,No,97.54,No
CAS-00083,41,Basic,21.89,6,1,0,No,Credit Card,1382,Yes,4.6,No,1300.24,No
CAS-00084,16,Basic,22.92,3,0,3,No,Credit Card,192,Yes,3.8,Yes,306.46,No
CAS-00085,25,Basic,22.01,7,0,0,No,Credit Card,26,No,4.6,Yes,565.82,No
CAS-00086,12,Deluxe,47.72,6,1,3,No,Credit Card,764,No,3.5,Yes,888.8,No
CAS-00087,39,Basic,18.69,3,1,2,No,PayPal,178,Yes,3.5,No,703.27,No
CAS-00088,14,Deluxe,52.91,2,0,1,No,Credit Card,111,Yes,3.9,No,878.16,Yes
CAS-00089,44,Basic,18.93,5,0,4,No,PayPal,471,No,3.8,No,1345.73,Yes
CAS-00090,27,Curated,37.35,8,2,1,No,PayPal,322,No,4.4,No,985.57,No
CAS-00091,9,Basic,22.78,7,2,1,No,Buy Now Pay Later,380,Yes,4.0,Yes,327.94,No
CAS-00092,12,Curated,28.04,2,1,0,No,Credit Card,317,Yes,5.0,No,392.89,No
CAS-00093,1,Basic,23.12,3,0,1,No,Buy Now Pay Later,201,Yes,4.7,No,142.68,Yes
CAS-00094,28,Basic,18.45,3,2,1,No,Credit Card,288,No,4.9,No,565.53,Yes
CAS-00095,39,Curated,36.14,6,0,0,No,Credit Card,260,Yes,4.1,No,2477.84,No
CAS-00096,21,Curated,34.97,3,0,1,No,Credit Card,302,Yes,4.6,Yes,1022.48,No
CAS-00097,11,Curated,31.91,6,1,2,No,Debit Card,636,Yes,4.1,No,564.22,No
CAS-00098,0,Basic,19.89,2,0,2,No,Buy Now Pay Later,15,Yes,4.8,No,0.0,No
CAS-00099,4,Curated,38.34,2,0,2,No,Credit Card,540,No,3.4,No,237.23,No
CAS-00100,2,Basic,18.24,6,0,1,No,Credit Card,496,No,4.2,No,61.46,No
CAS-00101,8,Curated,35.8,8,0,2,Yes,Credit Card,252,No,4.6,No,297.14,No
CAS-00102,8,Basic,17.85,3,0,1,No,Credit Card,368,Yes,3.9,Yes,420.51,No
CAS-00103,42,Deluxe,53.42,3,2,1,No,Debit Card,210,No,5.0,No,2783.41,No
CAS-00104,31,Deluxe,44.88,5,1,3,No,Debit Card,613,Yes,3.6,No,1693.83,No
CAS-00105,36,Curated,37.31,6,1,1,Yes,Credit Card,438,No,3.3,No,1978.17,No
CAS-00106,36,Basic,21.19,7,3,1,No,Buy Now Pay Later,73,Yes,4.1,No,577.41,No
CAS-00107,13,Deluxe,53.36,5,0,2,No,Credit Card,456,Yes,3.7,Yes,788.06,No
CAS-00108,41,Curated,36.43,6,1,1,Yes,Debit Card,57,No,4.5,No,2907.34,No
CAS-00109,39,Basic,19.05,7,0,3,No,Debit Card,106,Yes,3.4,No,860.41,Yes
CAS-00110,15,Basic,21.35,2,1,1,No,Debit Card,381,No,3.6,No,527.3,No
CAS-00111,15,Deluxe,54.14,4,0,0,No,Credit Card,286,No,4.4,No,1168.08,No
CAS-00112,4,Curated,34.94,2,0,0,No,PayPal,614,No,3.9,No,517.36,Yes
CAS-00113,4,Curated,35.18,7,2,1,No,Credit Card,124,No,5.0,No,247.1,No
CAS-00114,5,Deluxe,53.17,8,1,0,No,Credit Card,83,Yes,4.1,No,551.53,No
CAS-00115,14,Basic,19.09,2,0,1,No,Debit Card,186,No,3.7,No,185.22,Yes
CAS-00116,24,Basic,23.16,2,0,3,Yes,Credit Card,264,No,4.9,Yes,627.17,No
CAS-00117,12,Curated,37.82,10,1,0,No,Credit Card,428,Yes,3.8,No,657.46,Yes
CAS-00118,5,Basic,19.57,5,1,0,No,PayPal,173,No,4.0,Yes,123.5,Yes
CAS-00119,16,Curated,40.39,5,1,1,No,Credit Card,338,Yes,3.3,Yes,938.27,Yes
CAS-00120,46,Basic,19.05,7,0,1,No,Credit Card,454,No,3.5,No,1177.96,Yes
CAS-00121,7,Basic,17.72,3,1,1,No,PayPal,237,Yes,5.0,No,230.08,Yes
CAS-00122,21,Basic,20.14,3,0,1,No,Credit Card,495,Yes,4.1,No,306.46,Yes
CAS-00123,13,Basic,18.23,5,1,0,No,Credit Card,100,Yes,4.6,No,274.25,Yes
CAS-00124,22,Curated,32.07,6,0,3,No,Credit Card,212,No,3.1,No,591.3,No
CAS-00125,46,Deluxe,49.86,2,1,2,No,Credit Card,616,Yes,4.3,No,3350.26,No
CAS-00126,25,Curated,34.48,7,0,0,Yes,Credit Card,141,Yes,4.7,No,982.03,Yes
CAS-00127,47,Basic,22.36,5,1,1,Yes,Credit Card,169,Yes,3.2,No,2188.15,Yes
CAS-00128,43,Deluxe,58.77,7,0,1,No,Credit Card,726,No,3.7,No,1858.22,Yes
CAS-00129,45,Deluxe,46.83,8,0,1,No,Debit Card,909,Yes,3.8,No,2582.18,No
CAS-00130,39,Deluxe,52.9,7,1,1,No,PayPal,63,Yes,4.7,No,1182.93,No
CAS-00131,7,Curated,33.96,6,0,1,No,Buy Now Pay Later,110,No,3.0,No,330.91,Yes
CAS-00132,24,Deluxe,51.28,6,0,0,No,Credit Card,703,Yes,5.0,No,2113.49,No
CAS-00133,12,Basic,20.4,8,1,1,No,Credit Card,58,No,5.0,No,266.49,No
CAS-00134,13,Basic,22.92,7,0,1,No,Credit Card,1171,Yes,3.9,No,999.04,Yes
CAS-00135,39,Basic,18.47,2,0,2,No,Credit Card,254,Yes,4.0,No,946.84,No
CAS-00136,1,Deluxe,53.45,4,0,1,No,Buy Now Pay Later,31,No,3.0,Yes,65.39,No
CAS-00137,37,Curated,31.66,6,1,2,No,Debit Card,451,Yes,3.5,No,571.67,Yes
CAS-00138,26,Deluxe,58.76,7,1,1,No,Credit Card,47,Yes,3.3,No,1300.78,No
CAS-00139,19,Basic,21.97,7,1,2,No,Credit Card,230,No,4.3,No,595.7,No
CAS-00140,33,Basic,19.41,6,0,0,No,PayPal,282,Yes,3.7,No,923.56,No
CAS-00141,47,Deluxe,53.22,9,0,1,No,PayPal,177,No,5.0,Yes,4053.2,No
CAS-00142,2,Basic,17.61,8,1,0,No,Buy Now Pay Later,269,No,3.2,No,118.93,No
CAS-00143,33,Basic,18.33,5,0,1,No,Debit Card,388,No,4.9,No,783.97,No
CAS-00144,31,Deluxe,49.08,6,0,0,No,Debit Card,557,Yes,3.9,No,2166.81,No
CAS-00145,33,Curated,31.43,5,1,5,No,PayPal,88,Yes,5.0,Yes,604.37,No
CAS-00146,29,Curated,35.14,8,1,3,No,Credit Card,320,No,4.8,Yes,519.32,No
CAS-00147,44,Curated,40.52,4,0,1,No,Credit Card,322,Yes,4.0,No,671.42,No
CAS-00148,12,Deluxe,50.66,8,1,2,No,Credit Card,524,Yes,5.0,No,624.94,No
CAS-00149,2,Basic,20.98,6,0,1,No,Credit Card,133,No,4.5,No,150.49,Yes
CAS-00150,43,Curated,34.71,11,2,3,No,PayPal,33,Yes,4.1,No,1897.98,No
CAS-00151,31,Curated,30.95,2,0,3,No,PayPal,189,No,4.8,No,1173.13,No
CAS-00152,44,Curated,34.13,4,1,1,No,Debit Card,498,Yes,4.0,Yes,2075.32,Yes
CAS-00153,23,Basic,19.81,7,2,1,No,Debit Card,308,No,3.5,No,868.27,No
CAS-00154,36,Basic,21.52,6,0,2,No,Buy Now Pay Later,271,Yes,4.3,No,947.17,Yes
CAS-00155,41,Deluxe,64.65,2,0,2,No,PayPal,292,Yes,3.1,No,3615.0,Yes
CAS-00156,7,Curated,32.58,3,1,2,No,PayPal,842,Yes,3.8,No,548.01,No
CAS-00157,32,Curated,28.75,4,1,2,No,Debit Card,304,No,3.5,No,1077.55,Yes
CAS-00158,48,Basic,22.59,4,0,1,No,Credit Card,496,Yes,4.0,No,1120.58,Yes
CAS-00159,31,Deluxe,47.29,5,0,0,No,Credit Card,459,Yes,4.2,No,2707.43,No
CAS-00160,8,Curated,30.16,2,2,3,No,Debit Card,151,Yes,4.1,No,260.17,No
CAS-00161,12,Basic,22.78,9,0,1,No,Credit Card,86,Yes,4.0,No,333.44,Yes
CAS-00162,46,Curated,31.68,2,1,0,No,Credit Card,1272,No,5.0,Yes,1953.38,No
CAS-00163,9,Basic,20.99,4,2,1,No,PayPal,90,Yes,4.4,No,282.32,Yes
CAS-00164,27,Basic,19.15,2,0,0,No,Credit Card,826,Yes,4.3,No,697.98,Yes
CAS-00165,35,Basic,22.97,11,1,1,No,Credit Card,302,No,4.1,No,615.95,Yes
CAS-00166,27,Curated,31.74,5,0,1,No,Debit Card,251,No,3.9,No,786.69,Yes
CAS-00167,13,Basic,23.77,4,0,2,No,Debit Card,150,Yes,3.8,Yes,254.11,Yes
CAS-00168,12,Basic,17.44,12,0,1,No,PayPal,680,Yes,2.5,No,472.58,Yes
CAS-00169,1,Basic,22.75,7,1,4,No,Credit Card,404,Yes,4.4,No,175.45,Yes
CAS-00170,28,Basic,19.14,5,0,2,No,Credit Card,464,Yes,4.2,No,898.92,Yes
CAS-00171,11,Basic,15.13,5,0,0,No,PayPal,267,Yes,2.3,Yes,364.16,Yes
CAS-00172,40,Deluxe,52.52,12,0,3,No,Credit Card,530,Yes,4.3,No,4173.22,No
CAS-00173,27,Basic,18.97,2,0,1,No,PayPal,433,No,3.0,Yes,556.16,No
CAS-00174,0,Curated,32.33,2,0,1,No,Credit Card,406,Yes,4.0,No,97.36,No
CAS-00175,1,Deluxe,53.23,4,0,2,No,Credit Card,547,Yes,3.8,No,225.14,No
CAS-00176,24,Basic,18.97,4,0,1,No,Debit Card,113,Yes,4.1,No,344.28,No
CAS-00177,38,Basic,24.18,3,1,2,No,Credit Card,383,No,3.9,No,844.69,Yes
CAS-00178,35,Basic,15.76,9,0,0,No,Credit Card,368,Yes,3.5,No,384.18,No
CAS-00179,17,Basic,21.15,8,0,2,No,Credit Card,400,Yes,4.2,Yes,260.54,Yes
CAS-00180,29,Curated,28.07,4,1,3,No,PayPal,518,No,4.9,No,924.84,No
CAS-00181,40,Deluxe,62.18,3,0,0,No,Credit Card,317,Yes,3.7,No,2180.89,No
CAS-00182,23,Basic,19.89,6,0,1,No,PayPal,227,Yes,4.0,Yes,1105.06,No
CAS-00183,31,Curated,35.52,2,1,2,No,Credit Card,158,No,3.2,No,1527.75,Yes
CAS-00184,15,Basic,19.8,5,0,1,No,Debit Card,390,Yes,4.2,No,472.35,Yes
CAS-00185,4,Deluxe,58.72,4,0,3,No,Credit Card,440,Yes,4.4,No,499.6,No
CAS-00186,32,Curated,31.66,5,0,1,No,Credit Card,172,Yes,4.8,Yes,1248.98,Yes
CAS-00187,10,Curated,32.6,4,2,1,No,Credit Card,1324,Yes,4.2,No,721.01,No
CAS-00188,46,Curated,39.56,11,0,0,No,Credit Card,138,Yes,3.9,No,1698.43,Yes
CAS-00189,34,Curated,34.29,8,1,0,No,PayPal,237,No,3.9,No,755.62,No
CAS-00190,32,Curated,35.53,8,1,1,No,PayPal,378,No,5.0,Yes,1003.09,No
CAS-00191,10,Basic,19.21,6,0,1,No,Debit Card,560,Yes,3.0,No,509.05,Yes
CAS-00192,44,Curated,40.52,2,0,1,No,PayPal,572,Yes,3.3,No,815.32,Yes
CAS-00193,33,Curated,39.36,7,1,0,No,Credit Card,603,No,5.0,No,782.77,No
CAS-00194,48,Curated,39.64,5,0,0,No,Debit Card,585,Yes,3.8,No,2434.15,No
CAS-00195,4,Curated,29.78,3,2,1,No,Buy Now Pay Later,564,Yes,2.9,No,404.53,No
CAS-00196,3,Basic,23.39,4,0,1,No,Credit Card,456,No,3.8,No,198.43,Yes
CAS-00197,33,Deluxe,47.28,6,1,2,No,Buy Now Pay Later,55,Yes,4.5,No,2049.82,No
CAS-00198,35,Basic,23.63,6,0,1,No,Credit Card,117,No,5.0,No,517.52,Yes
CAS-00199,30,Curated,35.07,8,1,1,No,Buy Now Pay Later,393,No,3.6,No,865.2,No
CAS-00200,4,Curated,33.29,6,0,2,No,Debit Card,919,No,3.2,No,475.43,No
CAS-00201,37,Curated,35.02,7,0,1,Yes,Credit Card,660,No,3.8,No,1407.86,No
CAS-00202,33,Curated,32.76,5,2,2,No,Credit Card,251,No,3.9,No,1210.44,No
CAS-00203,45,Deluxe,56.37,4,0,2,No,Debit Card,285,No,5.0,No,3235.4,No
CAS-00204,16,Basic,17.62,4,2,1,No,PayPal,386,No,3.6,No,883.82,No
CAS-00205,4,Basic,15.77,2,0,1,No,Credit Card,13,No,3.3,Yes,0.0,Yes
CAS-00206,15,Deluxe,46.38,7,0,0,No,PayPal,305,Yes,4.2,No,637.95,No
CAS-00207,25,Curated,40.28,6,0,1,No,PayPal,176,No,4.0,No,2301.68,Yes
CAS-00208,5,Curated,39.06,6,0,0,No,PayPal,283,Yes,3.8,No,376.76,Yes
CAS-00209,26,Deluxe,56.78,2,1,1,No,Credit Card,896,Yes,4.5,No,1659.57,No
CAS-00210,9,Deluxe,55.9,4,0,5,No,Credit Card,295,No,3.2,No,651.21,No
CAS-00211,17,Curated,33.06,3,0,1,No,Credit Card,49,Yes,4.4,No,744.65,Yes
CAS-00212,26,Deluxe,66.31,6,0,1,No,Credit Card,851,No,3.6,No,2413.02,Yes
CAS-00213,42,Deluxe,53.52,9,1,1,No,Credit Card,498,Yes,3.5,No,1772.6,No
CAS-00214,36,Basic,19.62,6,1,2,No,Debit Card,525,No,4.5,No,1618.44,Yes
CAS-00215,23,Basic,18.92,5,1,1,No,Credit Card,238,Yes,4.5,No,158.22,No
CAS-00216,23,Curated,31.62,4,0,2,No,Credit Card,514,No,3.8,Yes,691.26,No
CAS-00217,32,Basic,21.43,2,0,2,No,Debit Card,89,No,5.0,Yes,666.92,Yes
CAS-00218,15,Basic,19.32,9,1,3,No,Credit Card,492,No,4.4,No,724.36,No
CAS-00219,11,Basic,19.48,6,1,1,No,Credit Card,154,Yes,3.5,No,227.74,Yes
CAS-00220,1,Deluxe,69.39,3,0,1,No,Debit Card,276,Yes,3.4,No,106.13,Yes
CAS-00221,7,Curated,38.66,4,2,0,No,Credit Card,398,Yes,4.7,No,477.42,No
CAS-00222,12,Curated,37.83,6,1,1,Yes,Credit Card,636,Yes,4.8,No,1049.01,No
CAS-00223,17,Curated,37.67,2,2,1,No,Buy Now Pay Later,587,Yes,4.7,No,1134.4,Yes
CAS-00224,12,Deluxe,48.15,5,0,2,No,PayPal,148,Yes,3.6,Yes,587.0,No
CAS-00225,43,Curated,30.74,6,0,1,No,Buy Now Pay Later,503,Yes,4.1,No,2434.04,No
CAS-00226,27,Deluxe,53.66,2,1,1,No,Credit Card,55,No,3.4,Yes,1512.07,No
CAS-00227,29,Curated,31.73,2,0,0,No,Credit Card,302,No,4.8,No,721.05,Yes
CAS-00228,38,Curated,36.35,7,1,2,No,Debit Card,285,Yes,4.9,No,1023.62,Yes
CAS-00229,34,Curated,37.05,4,2,1,No,PayPal,397,Yes,3.9,No,2049.55,No
CAS-00230,34,Basic,21.78,4,1,0,No,Buy Now Pay Later,566,No,4.2,No,1108.67,Yes
CAS-00231,29,Basic,20.85,2,0,1,No,Credit Card,418,Yes,3.9,No,432.65,Yes
CAS-00232,28,Curated,32.88,8,1,2,No,Credit Card,1128,No,4.9,No,1448.88,Yes
CAS-00233,2,Basic,17.61,6,1,1,Yes,PayPal,152,Yes,3.9,No,82.17,No
CAS-00234,10,Basic,17.98,6,2,0,No,Credit Card,559,Yes,2.9,No,632.84,No
CAS-00235,41,Curated,37.27,5,0,1,No,Debit Card,245,No,2.7,No,1562.85,Yes
CAS-00236,20,Curated,36.13,3,2,2,No,PayPal,268,Yes,3.8,Yes,1112.88,Yes
CAS-00237,31,Curated,32.37,2,1,6,No,Credit Card,1089,No,3.5,No,1459.33,No
CAS-00238,28,Deluxe,55.37,5,1,1,No,Debit Card,30,Yes,3.9,No,1269.59,No
CAS-00239,45,Deluxe,59.25,7,0,1,No,Credit Card,537,Yes,5.0,No,3118.79,Yes
CAS-00240,32,Curated,34.33,5,1,1,No,Credit Card,1055,Yes,3.4,Yes,2268.39,No
CAS-00241,35,Curated,37.26,7,0,2,No,Credit Card,162,Yes,3.3,No,1403.51,No
CAS-00242,3,Deluxe,61.74,2,0,1,No,Credit Card,285,No,4.4,No,165.06,No
CAS-00243,18,Basic,23.17,3,0,1,No,Credit Card,649,No,4.6,No,600.24,Yes
CAS-00244,18,Basic,20.55,6,0,2,No,PayPal,498,Yes,5.0,No,582.59,Yes
CAS-00245,40,Deluxe,55.97,7,0,0,Yes,Debit Card,60,Yes,4.0,No,1364.66,No
CAS-00246,30,Basic,26.0,7,0,3,No,Debit Card,90,Yes,3.1,No,880.2,Yes
CAS-00247,38,Deluxe,51.85,2,2,2,No,Credit Card,112,No,2.7,No,1617.19,No
CAS-00248,13,Deluxe,59.48,5,0,1,No,Debit Card,1011,No,3.9,No,1738.83,No
CAS-00249,20,Curated,31.83,7,0,0,No,Debit Card,805,Yes,3.4,No,1138.22,No
CAS-00250,26,Basic,21.3,6,0,1,No,Debit Card,138,Yes,4.8,Yes,328.32,No
CAS-00251,42,Curated,36.19,5,0,3,No,PayPal,167,No,3.9,No,2691.53,No
CAS-00252,27,Curated,33.84,7,0,4,No,Credit Card,254,No,4.9,No,1440.09,Yes
CAS-00253,36,Curated,37.96,3,1,2,No,PayPal,101,No,3.8,No,4042.82,No
CAS-00254,10,Basic,23.38,6,1,0,No,Credit Card,262,Yes,4.1,No,287.12,No
CAS-00255,44,Deluxe,54.94,8,1,1,Yes,PayPal,217,Yes,3.0,Yes,5182.7,No
CAS-00256,24,Basic,20.37,10,1,1,No,Credit Card,498,No,4.4,Yes,527.68,No
CAS-00257,40,Basic,20.24,6,2,1,Yes,Credit Card,87,No,4.6,Yes,1126.65,Yes
CAS-00258,8,Deluxe,64.71,4,1,0,No,PayPal,328,Yes,4.4,No,459.72,No
CAS-00259,46,Basic,22.48,12,0,1,No,Debit Card,660,No,3.9,No,1467.81,No
CAS-00260,42,Curated,31.76,8,0,0,No,PayPal,140,No,3.7,Yes,910.92,No
CAS-00261,38,Deluxe,54.76,3,0,1,No,Credit Card,453,No,4.4,No,1350.08,Yes
CAS-00262,25,Basic,21.71,5,1,4,No,Buy Now Pay Later,178,Yes,4.4,No,1421.49,Yes
CAS-00263,14,Basic,17.56,7,1,2,No,Debit Card,360,Yes,3.9,No,420.89,Yes
CAS-00264,1,Curated,38.25,6,0,2,No,Debit Card,312,No,3.5,No,13.36,Yes
CAS-00265,42,Basic,18.39,2,1,1,No,Buy Now Pay Later,345,Yes,4.6,Yes,1557.93,Yes
CAS-00266,35,Curated,37.48,6,0,3,No,Credit Card,103,Yes,4.5,Yes,1598.0,No
CAS-00267,4,Curated,32.84,5,1,2,No,Credit Card,319,No,4.5,No,255.38,No
CAS-00268,29,Basic,17.23,4,1,3,No,Credit Card,603,Yes,4.5,No,516.8,Yes
CAS-00269,39,Basic,18.26,9,1,1,No,PayPal,229,No,3.9,Yes,977.98,No
CAS-00270,47,Deluxe,53.27,5,0,1,No,PayPal,75,Yes,4.0,No,1436.32,No
CAS-00271,9,Basic,19.41,3,0,1,No,Credit Card,206,Yes,3.5,Yes,214.36,No
CAS-00272,42,Deluxe,64.63,8,0,2,No,Debit Card,138,No,4.0,No,3379.45,No
