viewer_id,months_subscribed,plan_level,monthly_rate,devices_registered,weekly_watch_hours,autoplay_next_episode,payment_method,binge_sessions_per_month,signup_channel,num_profiles,days_since_last_watch,parental_controls_enabled,projected_lifetime_value,subscription_lapsed
SOL-00072,18,Ad-Lite,6.26,4,5.9,Yes,Mobile Carrier Billing,6,App Store,1,1,No,240.03,No
SOL-00073,10,Standard,11.8,1,22.2,Yes,Mobile Carrier Billing,2,Partner Bundle,3,6,No,67.3,No
SOL-00074,19,Ultra,17.38,3,5.4,Yes,Credit Card,5,App Store,1,5,No,316.21,No
SOL-00075,33,Standard,11.1,2,6.5,No,Credit Card,2,App Store,3,9,Yes,469.94,No
SOL-00076,27,Ad-Lite,5.39,1,6.8,Yes,Mobile Carrier Billing,1,Partner Bundle,1,5,Yes,619.58,No
SOL-00077,18,Ad-Lite,6.81,2,8.9,Yes,Gift Card,5,App Store,2,4,No,192.35,No
SOL-00078,5,Standard,11.93,5,13.5,No,Credit Card,1,App Store,3,1,No,25.32,Yes
SOL-00079,13,Ad-Lite,6.4,2,12.5,Yes,Credit Card,6,App Store,1,6,No,221.17,Yes
SOL-00080,11,Ultra,17.58,1,7.7,Yes,PayPal,1,App Store,2,16,No,213.35,No
SOL-00081,27,Ad-Lite,5.84,1,19.5,Yes,PayPal,3,Web,2,14,No,232.09,No
SOL-00082,11,Standard,12.55,1,5.0,Yes,PayPal,3,App Store,3,8,No,262.35,Yes
SOL-00083,15,Standard,12.14,3,13.4,No,Credit Card,4,Partner Bundle,4,14,Yes,81.39,No
SOL-00084,5,Standard,10.63,2,5.5,Yes,Credit Card,7,App Store,4,2,No,83.46,Yes
SOL-00085,17,Ad-Lite,6.22,2,9.0,No,Credit Card,4,Partner Bundle,4,22,Yes,152.55,Yes
SOL-00086,2,Standard,11.71,1,3.6,Yes,Credit Card,6,App Store,3,8,No,61.35,No
SOL-00087,8,Ultra,19.2,3,9.5,Yes,Credit Card,5,App Store,3,4,No,92.2,No
SOL-00088,3,Standard,12.11,1,16.2,No,PayPal,3,Web,3,1,No,0.0,No
SOL-00089,20,Ad-Lite,6.02,2,8.4,Yes,Credit Card,4,Partner Bundle,3,6,No,102.59,Yes
SOL-00090,7,Standard,11.53,2,6.3,No,Mobile Carrier Billing,4,Web,1,8,No,58.38,Yes
SOL-00091,20,Standard,11.5,4,14.1,Yes,Credit Card,4,Partner Bundle,3,2,Yes,106.81,No
SOL-00092,12,Ad-Lite,5.77,3,12.3,No,PayPal,2,App Store,2,17,No,121.69,No
SOL-00093,1,Ad-Lite,5.99,4,4.2,Yes,Credit Card,5,App Store,1,2,No,92.61,Yes
SOL-00094,21,Ad-Lite,6.14,3,1.2,No,PayPal,6,App Store,1,5,No,127.89,No
SOL-00095,12,Standard,10.8,5,15.4,Yes,Credit Card,1,Partner Bundle,1,3,Yes,91.07,No
SOL-00096,1,Ad-Lite,6.65,2,3.4,Yes,Mobile Carrier Billing,2,Partner Bundle,1,11,No,0.0,No
SOL-00097,4,Standard,12.52,3,0.5,Yes,Credit Card,2,Web,2,25,No,0.0,No
SOL-00098,11,Ultra,19.06,5,0.6,No,Credit Card,9,App Store,2,8,No,210.68,No
SOL-00099,23,Ultra,15.14,2,4.5,Yes,Mobile Carrier Billing,2,App Store,2,15,No,572.48,No
SOL-00100,12,Standard,12.32,3,4.8,Yes,Mobile Carrier Billing,8,Web,3,6,No,244.53,No
SOL-00101,7,Ultra,17.73,3,9.4,Yes,Mobile Carrier Billing,2,Partner Bundle,3,22,Yes,157.23,No
SOL-00102,24,Standard,11.33,3,15.0,Yes,Mobile Carrier Billing,5,App Store,1,4,Yes,251.59,No
SOL-00103,10,Ad-Lite,6.09,2,22.2,No,Mobile Carrier Billing,5,App Store,5,7,No,5.4,Yes
SOL-00104,17,Standard,13.16,2,2.9,No,Credit Card,4,Web,4,1,No,261.9,Yes
SOL-00105,0,Standard,9.57,3,2.5,No,Mobile Carrier Billing,5,App Store,1,3,No,0.0,Yes
SOL-00106,12,Standard,10.1,3,6.7,Yes,Credit Card,4,Partner Bundle,3,17,No,264.1,No
SOL-00107,12,Ad-Lite,5.88,3,7.2,Yes,PayPal,3,Web,1,2,Yes,52.36,No
SOL-00108,18,Standard,14.44,3,10.4,No,PayPal,6,Partner Bundle,3,1,No,372.12,No
SOL-00109,4,Ad-Lite,6.14,2,9.8,Yes,Mobile Carrier Billing,7,App Store,1,3,No,122.71,No
SOL-00110,7,Ad-Lite,5.11,2,10.9,Yes,Mobile Carrier Billing,2,Partner Bundle,4,3,No,109.08,Yes
SOL-00111,15,Ad-Lite,7.45,1,1.3,No,Mobile Carrier Billing,4,Partner Bundle,1,15,No,83.0,Yes
SOL-00112,7,Ad-Lite,6.31,2,2.0,Yes,Credit Card,6,Partner Bundle,2,12,Yes,59.24,No
SOL-00113,8,Ultra,15.81,1,14.4,No,Mobile Carrier Billing,2,Web,3,20,No,94.41,Yes
SOL-00114,15,Standard,12.85,1,3.5,Yes,Credit Card,9,App Store,2,7,No,134.99,Yes
SOL-00115,15,Ad-Lite,5.6,2,7.6,Yes,Credit Card,2,Web,1,2,No,151.02,Yes
SOL-00116,4,Standard,11.55,3,11.2,No,Credit Card,2,App Store,1,6,No,131.82,No
SOL-00117,7,Ad-Lite,6.21,2,7.2,Yes,Mobile Carrier Billing,7,Web,2,1,Yes,134.3,Yes
SOL-00118,30,Ad-Lite,5.97,4,20.6,No,Credit Card,9,Partner Bundle,4,8,No,182.8,No
SOL-00119,14,Ad-Lite,6.75,2,6.5,Yes,Mobile Carrier Billing,4,App Store,2,2,No,140.73,Yes
SOL-00120,22,Ad-Lite,5.03,1,10.1,Yes,PayPal,3,Partner Bundle,1,12,No,49.7,No
SOL-00121,19,Standard,12.18,4,3.6,Yes,PayPal,2,Web,3,23,No,439.34,No
SOL-00122,30,Ad-Lite,7.16,2,12.8,Yes,PayPal,2,App Store,5,6,No,362.54,No
SOL-00123,14,Standard,11.09,2,5.9,Yes,PayPal,3,Partner Bundle,2,17,No,250.12,No
SOL-00124,3,Standard,13.6,3,4.5,Yes,Credit Card,2,Partner Bundle,2,10,No,29.71,Yes
SOL-00125,26,Ultra,16.63,1,3.2,No,Credit Card,0,Web,2,10,No,359.55,No
SOL-00126,11,Ultra,16.31,2,1.1,No,PayPal,2,Web,1,14,No,347.01,No
SOL-00127,7,Ad-Lite,6.87,5,2.3,Yes,PayPal,4,Web,2,6,No,0.0,Yes
SOL-00128,21,Ad-Lite,6.62,2,9.2,No,PayPal,4,App Store,2,8,No,100.05,No
SOL-00129,5,Ultra,18.71,3,2.5,Yes,Credit Card,5,App Store,2,11,No,0.0,Yes
SOL-00130,13,Standard,13.08,4,18.1,Yes,Credit Card,3,Partner Bundle,2,6,No,173.69,Yes
SOL-00131,11,Ad-Lite,5.83,3,11.0,No,Credit Card,4,Web,1,5,No,120.2,Yes
SOL-00132,8,Standard,11.0,1,12.0,Yes,Mobile Carrier Billing,6,App Store,3,4,No,147.45,Yes
SOL-00133,3,Standard,12.04,1,8.5,Yes,Mobile Carrier Billing,5,App Store,5,10,No,139.39,Yes
SOL-00134,31,Ad-Lite,5.35,1,7.4,Yes,Credit Card,3,App Store,1,13,No,216.63,No
SOL-00135,14,Standard,12.09,2,11.7,No,Credit Card,3,Partner Bundle,3,4,Yes,225.47,No
SOL-00136,21,Standard,12.4,2,14.1,Yes,Mobile Carrier Billing,4,Partner Bundle,3,19,Yes,492.01,No
SOL-00137,13,Ad-Lite,7.77,2,1.5,Yes,Mobile Carrier Billing,4,Partner Bundle,2,6,No,156.26,No
SOL-00138,16,Standard,10.74,1,6.9,No,Gift Card,5,Partner Bundle,2,2,No,422.72,No
SOL-00139,5,Ad-Lite,4.41,5,10.1,Yes,PayPal,3,Web,4,4,No,90.59,Yes
SOL-00140,23,Ad-Lite,5.8,3,2.0,Yes,PayPal,1,Web,1,4,No,253.08,No
SOL-00141,14,Standard,11.78,1,10.5,No,PayPal,3,Web,2,2,No,271.44,No
SOL-00142,1,Ad-Lite,6.96,2,4.4,Yes,Mobile Carrier Billing,3,Partner Bundle,3,11,No,0.0,Yes
SOL-00143,8,Ad-Lite,6.09,2,6.9,No,Mobile Carrier Billing,3,App Store,2,14,No,99.43,Yes
SOL-00144,6,Standard,11.02,2,13.1,Yes,Credit Card,1,App Store,2,5,No,116.79,No
SOL-00145,3,Ultra,18.49,2,4.7,Yes,Gift Card,3,App Store,3,23,No,123.94,No
SOL-00146,27,Standard,13.34,1,15.5,Yes,Credit Card,1,Web,2,5,No,452.29,Yes
SOL-00147,8,Ad-Lite,6.06,5,5.0,Yes,PayPal,4,Web,2,9,No,99.19,Yes
SOL-00148,17,Ultra,16.39,3,4.5,Yes,Credit Card,2,Web,2,9,No,447.88,No
SOL-00149,11,Ultra,15.76,2,5.5,Yes,Mobile Carrier Billing,5,Web,1,7,No,222.3,No
SOL-00150,3,Ultra,16.98,4,8.8,No,Mobile Carrier Billing,4,Partner Bundle,3,5,No,202.34,No
SOL-00151,12,Ad-Lite,7.08,3,7.9,Yes,Mobile Carrier Billing,5,App Store,1,11,No,99.25,Yes
SOL-00152,17,Ad-Lite,5.34,1,8.3,No,Mobile Carrier Billing,5,Web,1,2,No,104.38,Yes
SOL-00153,13,Ultra,15.47,5,5.8,No,PayPal,0,App Store,2,21,No,192.86,Yes
SOL-00154,2,Ad-Lite,4.45,2,8.8,Yes,Mobile Carrier Billing,2,App Store,2,5,Yes,5.45,Yes
SOL-00155,16,Standard,12.82,4,3.3,No,Credit Card,3,App Store,2,8,Yes,182.29,No
SOL-00156,14,Ad-Lite,7.13,2,5.6,Yes,Credit Card,1,App Store,1,18,Yes,59.42,No
SOL-00157,13,Ad-Lite,5.78,2,4.9,No,Credit Card,5,Partner Bundle,1,21,No,40.87,Yes
SOL-00158,15,Ad-Lite,6.44,1,23.6,Yes,Mobile Carrier Billing,4,Partner Bundle,3,11,No,167.54,No
SOL-00159,4,Standard,10.44,2,5.6,Yes,PayPal,4,Partner Bundle,1,1,Yes,11.15,No
SOL-00160,14,Standard,10.7,2,9.3,No,Credit Card,9,Web,2,5,No,248.69,No
SOL-00161,10,Ultra,17.24,1,3.4,No,Credit Card,7,Web,3,10,No,331.38,Yes
SOL-00162,5,Standard,10.9,3,3.4,Yes,PayPal,4,Partner Bundle,3,5,No,85.4,Yes
SOL-00163,15,Standard,11.99,1,18.3,Yes,Credit Card,7,Partner Bundle,2,12,No,140.66,Yes
SOL-00164,17,Ad-Lite,5.91,2,6.3,Yes,PayPal,5,App Store,1,13,No,149.09,No
SOL-00165,34,Ultra,15.62,2,10.3,No,PayPal,1,App Store,3,6,No,813.6,No
SOL-00166,10,Ad-Lite,5.5,3,2.7,Yes,Credit Card,7,App Store,2,11,No,66.61,Yes
SOL-00167,16,Ad-Lite,4.13,1,5.2,Yes,PayPal,3,Web,2,8,No,108.88,Yes
SOL-00168,3,Standard,12.96,5,25.7,Yes,PayPal,7,Web,1,13,No,16.08,No
SOL-00169,5,Ad-Lite,5.36,2,5.9,No,Credit Card,4,Web,2,14,No,51.91,Yes
SOL-00170,4,Ad-Lite,6.21,2,11.7,Yes,Credit Card,3,Web,2,6,No,55.13,Yes
SOL-00171,12,Ad-Lite,5.43,4,6.4,Yes,Gift Card,0,Partner Bundle,2,6,No,71.52,No
SOL-00172,4,Ultra,17.04,2,2.2,Yes,Mobile Carrier Billing,1,Web,2,1,No,121.22,Yes
SOL-00173,33,Standard,12.75,2,14.3,No,Credit Card,4,App Store,1,1,No,596.76,No
SOL-00174,6,Ad-Lite,7.48,5,6.1,Yes,Mobile Carrier Billing,4,Partner Bundle,4,12,No,0.0,Yes
SOL-00175,4,Standard,13.34,2,3.1,No,PayPal,3,App Store,2,11,No,66.53,No
SOL-00176,14,Ultra,16.56,2,0.8,Yes,PayPal,0,Web,2,6,No,353.18,No
SOL-00177,2,Ad-Lite,5.71,2,5.2,Yes,PayPal,4,Web,3,3,No,0.0,No
SOL-00178,2,Ad-Lite,6.66,1,5.9,Yes,Credit Card,5,App Store,1,21,No,0.0,Yes
SOL-00179,19,Standard,12.82,3,14.6,Yes,Credit Card,3,Partner Bundle,2,4,Yes,208.73,No
SOL-00180,10,Standard,11.74,2,16.5,No,PayPal,4,App Store,2,20,No,127.62,Yes
SOL-00181,16,Standard,12.85,3,3.0,Yes,Gift Card,2,Partner Bundle,3,29,No,227.39,No
SOL-00182,33,Standard,9.81,3,11.9,Yes,PayPal,3,App Store,5,46,No,439.4,Yes
SOL-00183,16,Ultra,16.19,3,4.9,No,Credit Card,4,Web,2,4,No,391.46,No
SOL-00184,32,Ad-Lite,6.7,2,3.8,Yes,Credit Card,3,App Store,1,6,No,271.67,Yes
SOL-00185,2,Ad-Lite,5.93,3,3.5,No,Credit Card,4,App Store,1,11,No,0.0,Yes
SOL-00186,1,Ultra,17.27,1,4.9,No,Credit Card,4,App Store,2,2,No,103.15,No
SOL-00187,8,Standard,11.16,2,11.7,No,Credit Card,5,App Store,3,1,Yes,70.96,Yes
SOL-00188,16,Ad-Lite,6.86,2,10.2,No,Gift Card,4,App Store,1,14,No,63.31,Yes
SOL-00189,13,Standard,9.58,1,13.8,Yes,PayPal,1,App Store,3,4,No,95.87,No
SOL-00190,15,Standard,10.98,2,16.5,Yes,PayPal,5,Partner Bundle,1,1,No,163.35,No
SOL-00191,1,Ad-Lite,5.72,3,1.5,Yes,PayPal,5,Web,1,3,No,15.03,Yes
SOL-00192,7,Ad-Lite,6.47,3,4.1,Yes,Credit Card,9,Partner Bundle,2,6,No,69.17,No
SOL-00193,10,Ad-Lite,5.6,2,3.6,Yes,PayPal,4,App Store,1,3,No,146.99,Yes
SOL-00194,15,Standard,10.32,3,5.6,No,Credit Card,1,Partner Bundle,1,26,No,136.95,No
SOL-00195,23,Standard,12.15,1,9.7,Yes,Mobile Carrier Billing,4,App Store,5,16,No,358.09,Yes
SOL-00196,19,Ad-Lite,4.94,1,4.2,No,PayPal,5,Web,2,7,No,223.68,Yes
SOL-00197,11,Ad-Lite,6.18,3,12.9,No,PayPal,2,Partner Bundle,2,5,Yes,6.21,Yes
SOL-00198,20,Ultra,16.33,1,16.8,Yes,PayPal,5,Web,1,11,Yes,345.13,No
SOL-00199,18,Ad-Lite,6.26,4,5.9,Yes,Credit Card,1,Web,1,7,No,151.63,Yes
SOL-00200,13,Standard,10.37,3,6.3,Yes,PayPal,3,App Store,2,9,No,315.46,No
SOL-00201,10,Ultra,14.91,3,5.4,Yes,Credit Card,2,App Store,3,6,No,196.72,No
SOL-00202,3,Standard,12.05,2,6.7,Yes,PayPal,5,Web,3,17,No,60.34,No
SOL-00203,20,Ultra,16.95,2,16.4,No,PayPal,5,Partner Bundle,3,7,Yes,278.83,No
SOL-00204,22,Ultra,17.56,3,7.7,No,Credit Card,3,Web,3,5,No,343.27,No
SOL-00205,16,Ad-Lite,4.64,3,5.1,Yes,Mobile Carrier Billing,1,Partner Bundle,1,25,No,132.44,Yes
SOL-00206,7,Ad-Lite,6.56,1,3.2,Yes,Credit Card,3,App Store,2,2,No,151.95,No
SOL-00207,31,Standard,11.92,3,12.1,Yes,PayPal,8,Partner Bundle,2,15,No,637.66,No
SOL-00208,8,Standard,12.4,2,4.5,Yes,Credit Card,4,Web,4,3,No,45.79,No
SOL-00209,9,Standard,12.01,1,4.3,Yes,Credit Card,6,App Store,3,3,No,72.17,No
SOL-00210,27,Ultra,16.1,1,11.6,No,Gift Card,3,Partner Bundle,2,1,Yes,380.02,No
SOL-00211,9,Standard,11.94,2,13.4,Yes,PayPal,3,App Store,1,7,No,172.74,No
SOL-00212,22,Ultra,17.36,4,16.6,No,PayPal,5,Web,1,8,No,209.92,No
SOL-00213,6,Ad-Lite,6.43,1,6.3,Yes,Mobile Carrier Billing,3,Partner Bundle,1,1,Yes,109.82,Yes
SOL-00214,8,Ultra,18.8,1,5.5,Yes,Credit Card,2,App Store,2,20,No,226.76,No
SOL-00215,13,Ad-Lite,6.46,2,1.1,No,PayPal,5,Web,3,8,No,246.65,Yes
SOL-00216,20,Ultra,16.38,1,11.2,Yes,Gift Card,3,App Store,1,4,Yes,165.61,No
SOL-00217,25,Ultra,18.79,3,5.1,Yes,Mobile Carrier Billing,1,Web,3,3,No,437.83,No
SOL-00218,15,Ad-Lite,7.56,1,8.4,Yes,Mobile Carrier Billing,2,App Store,4,12,No,104.44,Yes
SOL-00219,11,Standard,10.33,2,9.2,Yes,Credit Card,4,Partner Bundle,1,18,Yes,95.94,No
SOL-00220,4,Standard,15.0,5,7.8,Yes,PayPal,1,Web,3,0,No,66.14,No
SOL-00221,15,Standard,11.62,3,3.7,Yes,Credit Card,3,App Store,3,1,No,251.47,No
SOL-00222,21,Standard,13.25,1,4.9,Yes,PayPal,9,Web,3,10,Yes,342.32,No
SOL-00223,8,Ad-Lite,5.82,4,4.5,Yes,Credit Card,4,Web,2,15,No,108.15,Yes
SOL-00224,7,Ad-Lite,6.48,2,8.3,Yes,Credit Card,5,App Store,4,12,No,0.0,No
SOL-00225,22,Ad-Lite,5.45,3,6.7,Yes,Gift Card,3,Partner Bundle,2,6,Yes,239.02,Yes
SOL-00226,26,Ad-Lite,7.02,4,8.3,Yes,PayPal,5,App Store,3,22,Yes,238.97,Yes
SOL-00227,10,Standard,12.61,2,5.5,No,PayPal,2,Partner Bundle,2,7,No,85.47,Yes
SOL-00228,15,Standard,11.75,4,5.3,No,Credit Card,4,Web,1,19,No,229.18,Yes
SOL-00229,29,Standard,11.18,1,5.7,Yes,Gift Card,3,App Store,2,2,No,410.64,No
SOL-00230,5,Standard,11.89,2,2.7,Yes,PayPal,4,App Store,1,12,No,18.52,Yes
SOL-00231,13,Ad-Lite,5.43,2,10.5,Yes,Mobile Carrier Billing,2,App Store,2,14,No,150.48,No
SOL-00232,2,Standard,12.34,1,15.8,Yes,Mobile Carrier Billing,4,Web,1,2,No,68.36,No
SOL-00233,7,Ad-Lite,5.04,4,7.0,No,PayPal,1,Partner Bundle,2,5,No,150.36,No
SOL-00234,14,Ultra,17.17,4,12.4,Yes,Credit Card,2,App Store,3,4,No,171.01,No
SOL-00235,30,Ultra,18.18,2,1.3,Yes,PayPal,1,App Store,3,5,No,564.84,No
SOL-00236,18,Standard,10.02,3,13.1,Yes,PayPal,3,Web,3,3,No,267.59,No
SOL-00237,28,Ultra,14.93,2,5.8,No,PayPal,1,Partner Bundle,4,3,No,227.02,No
SOL-00238,7,Ultra,16.79,2,4.8,Yes,PayPal,4,Web,2,8,No,195.33,No
SOL-00239,18,Standard,12.63,2,5.8,No,PayPal,2,App Store,2,8,No,77.24,No
SOL-00240,8,Ad-Lite,5.27,3,4.1,Yes,PayPal,8,App Store,3,1,No,82.59,Yes
SOL-00241,24,Ad-Lite,6.01,5,2.6,No,Credit Card,4,Partner Bundle,1,0,No,94.97,No
SOL-00242,18,Standard,11.17,2,5.8,No,Credit Card,3,Partner Bundle,2,1,No,159.86,No
SOL-00243,9,Standard,13.57,1,7.2,No,Credit Card,1,App Store,2,21,Yes,0.0,No
SOL-00244,25,Standard,13.4,2,1.7,No,Credit Card,4,Web,2,4,No,248.04,No
SOL-00245,2,Standard,11.37,2,14.2,No,Credit Card,2,App Store,3,20,No,62.77,Yes
SOL-00246,10,Ad-Lite,5.98,1,2.0,Yes,Mobile Carrier Billing,4,Partner Bundle,2,11,Yes,199.63,Yes
SOL-00247,16,Standard,10.51,1,3.1,Yes,Credit Card,8,Web,1,7,No,106.24,No
SOL-00248,22,Ad-Lite,5.71,1,2.7,Yes,PayPal,3,Partner Bundle,1,11,No,27.74,Yes
SOL-00249,9,Ultra,15.2,1,4.4,Yes,PayPal,3,Web,5,16,No,175.44,No
SOL-00250,24,Standard,10.22,2,13.9,Yes,Mobile Carrier Billing,2,Web,1,4,No,230.31,No
