client_id,account_tenure,portfolio_tier,annual_fee_revenue,advisor_assigned,contact_frequency_per_year,num_accounts_held,digital_logins_per_month,referred_by_client,risk_tolerance_profile,estate_planning_client,avg_response_time_hours,has_joint_account,portfolio_value_estimate,left_firm
FVW-00054,17,Premier,4785.75,No,4,1,3,No,Aggressive,No,10.7,No,159719.38,No
FVW-00055,19,Private,13689.9,No,5,7,3,Yes,Moderate,Yes,6.4,No,161063.07,No
FVW-00056,16,Premier,6096.42,Yes,6,2,1,No,Moderate,No,3.4,No,107473.69,No
FVW-00057,20,Core,1664.06,Yes,2,1,7,No,Conservative,No,25.2,Yes,35117.19,No
FVW-00058,22,Premier,5414.65,No,3,1,2,No,Aggressive,No,16.0,Yes,126709.4,No
FVW-00059,3,Core,2246.34,Yes,4,2,2,Yes,Conservative,No,15.7,No,10497.53,No
FVW-00060,15,Premier,6555.3,No,4,3,4,No,Moderate,Yes,20.7,Yes,118772.92,No
FVW-00061,11,Core,2437.5,Yes,3,4,6,No,Moderate,No,4.3,No,28161.74,No
FVW-00062,21,Core,2999.29,Yes,6,4,5,No,Moderate,No,16.9,No,67353.18,No
FVW-00063,7,Private,14193.61,Yes,4,3,5,No,Conservative,Yes,18.3,Yes,52147.3,No
FVW-00064,18,Premier,5816.89,No,1,4,1,No,Moderate,No,6.4,No,194627.96,No
FVW-00065,2,Premier,6011.39,No,4,2,3,No,Moderate,No,3.5,No,13348.86,Yes
FVW-00066,7,Core,2489.48,No,8,1,2,Yes,Moderate,No,11.1,No,19294.24,No
FVW-00067,16,Premier,5660.63,No,2,2,4,No,Conservative,No,7.7,Yes,77390.61,No
FVW-00068,6,Premier,6967.99,Yes,4,2,3,No,Moderate,No,8.2,No,46357.87,No
FVW-00069,7,Premier,5990.12,Yes,1,3,1,Yes,Conservative,No,7.6,No,42186.24,No
FVW-00070,23,Private,14101.48,Yes,1,4,5,No,Aggressive,Yes,6.3,No,254730.09,No
FVW-00071,11,Private,19870.87,No,4,3,4,No,Conservative,No,35.4,No,397989.33,No
FVW-00072,15,Premier,5151.63,No,4,4,7,No,Conservative,No,6.1,No,108344.03,Yes
FVW-00073,6,Private,13535.5,Yes,1,1,1,No,Conservative,Yes,10.8,No,102973.43,No
FVW-00074,15,Premier,5993.87,Yes,5,3,8,No,Moderate,No,13.4,No,58536.79,No
FVW-00075,14,Private,17907.64,Yes,4,4,2,No,Moderate,No,7.8,No,271732.39,No
FVW-00076,0,Premier,5371.73,No,3,3,3,No,Moderate,No,7.4,Yes,0.0,Yes
FVW-00077,24,Core,2377.11,No,4,1,4,No,Aggressive,No,8.4,Yes,64736.99,No
FVW-00078,5,Private,16800.38,No,6,1,2,Yes,Moderate,Yes,17.6,Yes,68880.92,No
FVW-00079,5,Core,3148.64,Yes,4,2,1,Yes,Conservative,No,15.3,No,9207.67,No
FVW-00080,19,Premier,5586.03,Yes,3,4,2,No,Moderate,No,13.8,Yes,113996.21,No
FVW-00081,7,Premier,5798.4,Yes,3,3,7,No,Aggressive,Yes,9.5,No,55981.53,No
FVW-00082,16,Private,11906.86,No,7,3,3,No,Aggressive,No,4.7,No,195967.27,No
FVW-00083,25,Private,12562.86,No,4,3,4,Yes,Moderate,No,20.7,No,147876.93,No
FVW-00084,23,Premier,6112.99,Yes,5,6,2,No,Moderate,No,27.2,No,111716.53,No
FVW-00085,16,Private,19361.68,No,3,2,4,No,Conservative,No,7.6,No,536678.54,No
FVW-00086,24,Premier,4911.3,Yes,8,4,4,Yes,Conservative,Yes,1.7,No,192130.1,No
FVW-00087,24,Core,2299.44,Yes,6,4,1,No,Conservative,No,9.6,No,38134.52,No
FVW-00088,6,Private,10498.17,Yes,0,2,5,No,Moderate,No,5.8,Yes,33741.5,No
FVW-00089,23,Core,2041.9,No,4,4,3,No,Moderate,No,11.4,No,67958.19,No
FVW-00090,16,Core,2044.5,No,2,3,1,Yes,Aggressive,No,0.8,Yes,26289.96,No
FVW-00091,15,Premier,6365.87,Yes,4,4,2,No,Conservative,Yes,8.9,Yes,155530.75,Yes
FVW-00092,2,Core,2279.17,No,2,3,2,Yes,Conservative,No,1.6,Yes,7364.67,No
FVW-00093,15,Premier,5318.62,Yes,4,3,1,No,Aggressive,No,21.3,No,35643.05,No
FVW-00094,2,Core,1881.47,Yes,4,2,2,No,Moderate,No,18.3,Yes,5453.08,No
FVW-00095,16,Core,2190.43,Yes,7,3,2,No,Moderate,No,12.4,Yes,21859.9,No
FVW-00096,24,Premier,5712.66,No,5,2,3,No,Conservative,No,11.6,No,98028.67,No
FVW-00097,2,Core,1713.49,Yes,4,5,3,No,Moderate,No,15.9,No,3642.58,Yes
FVW-00098,19,Core,2229.54,Yes,3,1,3,No,Conservative,No,27.8,No,54538.01,No
FVW-00099,2,Premier,6514.21,Yes,7,6,7,No,Aggressive,Yes,17.1,No,14922.72,No
FVW-00100,17,Core,1890.1,Yes,4,2,2,Yes,Conservative,No,14.6,No,47387.67,Yes
FVW-00101,3,Core,1826.28,No,2,5,1,No,Conservative,No,5.6,No,3002.68,No
FVW-00102,13,Core,1684.2,No,6,3,2,No,Aggressive,No,21.3,No,22592.94,No
FVW-00103,17,Premier,5199.76,Yes,3,1,3,No,Moderate,No,6.5,No,97303.54,No
FVW-00104,14,Premier,5172.77,Yes,4,1,3,No,Aggressive,No,10.5,No,94300.17,No
FVW-00105,14,Core,1821.42,No,5,2,4,No,Conservative,No,3.5,No,22563.18,No
FVW-00106,23,Private,12302.43,Yes,1,3,2,No,Moderate,No,12.3,No,296568.8,No
FVW-00107,23,Core,2226.64,No,2,2,3,No,Conservative,No,2.9,No,49523.51,No
FVW-00108,6,Premier,6379.23,Yes,5,2,6,No,Conservative,No,1.9,No,67161.32,No
FVW-00109,8,Premier,6913.33,No,7,2,4,No,Moderate,Yes,10.5,No,40347.12,No
FVW-00110,5,Core,2582.85,Yes,3,2,3,No,Moderate,No,6.2,No,10532.05,No
FVW-00111,19,Premier,6255.11,No,5,4,3,Yes,Conservative,No,5.5,No,127467.47,No
FVW-00112,23,Premier,5268.9,Yes,6,1,6,No,Aggressive,No,11.2,No,121281.24,No
FVW-00113,2,Private,12146.27,Yes,3,1,6,No,Moderate,No,4.1,Yes,24336.83,No
FVW-00114,6,Core,2016.7,Yes,3,3,1,No,Conservative,Yes,43.0,Yes,11653.97,No
FVW-00115,2,Private,19209.68,No,5,2,4,No,Conservative,Yes,17.2,No,27538.0,No
FVW-00116,18,Premier,5304.4,No,4,2,4,No,Moderate,No,15.9,No,115041.17,No
FVW-00117,13,Core,2844.91,No,5,2,4,No,Conservative,No,9.4,Yes,38872.64,No
FVW-00118,15,Core,1710.98,Yes,5,3,2,No,Aggressive,No,22.5,No,27729.79,Yes
FVW-00119,6,Core,2942.02,No,3,2,1,Yes,Moderate,No,6.9,No,13976.06,Yes
FVW-00120,3,Premier,6182.89,No,3,4,4,No,Moderate,No,15.0,Yes,24382.54,No
FVW-00121,18,Core,2087.61,No,5,1,6,No,Conservative,No,6.2,No,41646.36,No
FVW-00122,1,Private,17123.92,No,3,4,4,No,Conservative,No,6.2,Yes,15451.71,No
FVW-00123,3,Private,11372.96,No,5,4,1,No,Moderate,Yes,13.7,No,26533.65,No
FVW-00124,22,Core,1200.0,Yes,4,1,2,No,Aggressive,No,13.4,No,17031.51,No
FVW-00125,19,Premier,5367.43,Yes,4,3,3,No,Conservative,No,4.1,Yes,85659.31,No
FVW-00126,0,Core,2239.68,Yes,2,4,1,No,Aggressive,No,13.7,Yes,0.0,Yes
FVW-00127,17,Premier,4481.72,No,7,2,2,No,Moderate,No,11.0,Yes,96817.06,No
FVW-00128,10,Premier,5195.13,Yes,2,2,3,Yes,Conservative,Yes,1.9,No,54294.24,No
FVW-00129,15,Premier,5147.27,Yes,5,3,3,No,Moderate,Yes,5.5,No,109507.42,No
FVW-00130,2,Premier,4870.75,No,1,1,1,Yes,Aggressive,No,8.6,Yes,12530.35,No
FVW-00131,19,Private,19987.32,No,2,2,1,Yes,Conservative,Yes,2.2,No,717854.86,No
FVW-00132,0,Private,18956.62,No,6,2,4,No,Conservative,No,27.0,Yes,4025.29,No
FVW-00133,23,Premier,6871.85,Yes,2,2,2,No,Conservative,Yes,3.2,Yes,203747.79,No
FVW-00134,1,Premier,6683.21,Yes,3,6,9,No,Moderate,No,3.9,No,13808.22,No
FVW-00135,22,Core,1255.55,No,1,2,9,Yes,Conservative,No,11.3,No,19437.67,No
FVW-00136,9,Core,1814.8,No,3,1,1,No,Conservative,No,14.2,No,15977.02,Yes
FVW-00137,22,Premier,6709.9,Yes,3,1,5,No,Moderate,No,3.4,Yes,245348.48,No
FVW-00138,17,Private,17724.73,No,1,4,3,Yes,Moderate,No,9.4,No,264770.1,No
FVW-00139,25,Premier,5228.38,Yes,6,4,6,No,Moderate,Yes,7.1,No,209287.79,No
FVW-00140,23,Core,2871.46,No,6,2,2,No,Conservative,No,11.0,Yes,65828.27,No
FVW-00141,19,Private,18062.9,Yes,2,3,5,Yes,Conservative,No,9.6,No,412343.21,No
FVW-00142,6,Premier,6776.02,Yes,4,5,3,No,Conservative,No,6.3,Yes,13844.89,No
FVW-00143,9,Premier,5451.08,Yes,4,4,4,No,Aggressive,No,4.1,No,36088.94,No
FVW-00144,14,Core,2797.5,No,6,2,6,No,Moderate,No,6.6,No,28563.72,No
FVW-00145,11,Premier,6165.02,Yes,5,3,3,No,Conservative,No,4.0,No,79450.93,No
FVW-00146,9,Core,2716.17,Yes,5,1,1,No,Aggressive,No,4.6,Yes,22062.36,No
FVW-00147,20,Premier,6796.12,No,4,4,3,No,Moderate,No,31.9,No,80161.78,No
FVW-00148,10,Core,1762.88,No,4,4,4,No,Conservative,No,22.5,No,28282.02,No
FVW-00149,23,Core,1781.17,No,3,1,5,Yes,Conservative,No,7.1,Yes,39031.15,No
FVW-00150,3,Premier,4592.1,Yes,3,1,5,Yes,Conservative,No,12.3,Yes,18069.7,No
FVW-00151,1,Premier,5376.16,Yes,4,3,1,No,Conservative,Yes,9.3,Yes,4944.64,No
FVW-00152,19,Premier,6357.84,Yes,6,2,1,No,Conservative,Yes,10.7,Yes,126680.63,No
FVW-00153,0,Core,1997.48,No,4,3,2,No,Moderate,No,5.9,Yes,2071.61,No
FVW-00154,13,Core,1778.39,No,3,3,1,Yes,Conservative,No,11.2,Yes,52241.5,No
FVW-00155,4,Core,1399.93,No,4,4,3,No,Conservative,No,14.1,No,2096.07,Yes
FVW-00156,23,Core,2328.32,Yes,5,4,3,Yes,Aggressive,No,8.4,No,70150.78,No
FVW-00157,22,Private,14580.81,No,3,1,3,No,Aggressive,No,20.5,No,383229.29,No
FVW-00158,16,Core,2419.12,No,4,2,3,No,Conservative,No,5.4,No,46122.25,Yes
FVW-00159,22,Core,1951.71,No,6,3,4,No,Conservative,No,25.3,No,17111.05,Yes
FVW-00160,18,Core,1589.53,No,7,2,4,No,Moderate,No,21.0,Yes,23886.21,No
FVW-00161,10,Core,3000.32,Yes,1,6,1,No,Moderate,No,4.1,No,57368.67,No
FVW-00162,7,Core,2202.41,No,4,2,5,No,Conservative,Yes,20.1,No,19025.59,No
FVW-00163,16,Core,2328.44,Yes,5,2,3,No,Moderate,No,12.8,No,106808.81,No
FVW-00164,4,Private,12444.21,Yes,5,5,1,No,Conservative,Yes,6.5,No,43168.56,No
FVW-00165,5,Core,1615.29,No,1,2,5,Yes,Conservative,No,21.2,No,16728.56,No
FVW-00166,17,Core,2449.65,Yes,6,4,7,Yes,Moderate,No,22.3,Yes,44860.87,No
FVW-00167,1,Core,2765.39,Yes,5,4,2,No,Moderate,No,6.4,No,625.94,No
FVW-00168,14,Premier,5377.53,Yes,4,1,8,No,Conservative,Yes,8.3,No,130110.92,No
FVW-00169,18,Premier,6187.92,Yes,5,4,3,No,Aggressive,No,5.9,Yes,105723.06,No
FVW-00170,4,Private,15572.62,Yes,2,2,3,No,Moderate,No,4.7,No,109175.51,No
FVW-00171,12,Private,15078.14,Yes,3,3,6,No,Conservative,No,4.3,Yes,533333.79,No
FVW-00172,11,Private,15503.79,Yes,4,1,3,No,Aggressive,Yes,2.0,No,171614.89,No
FVW-00173,3,Core,1869.65,No,6,2,4,Yes,Conservative,No,14.4,Yes,11217.57,No
FVW-00174,25,Private,9000.0,Yes,2,1,3,No,Moderate,Yes,24.2,No,172122.96,No
FVW-00175,24,Core,2330.85,No,3,1,5,No,Moderate,No,20.5,No,58827.67,Yes
FVW-00176,7,Private,19782.22,No,2,2,4,No,Aggressive,No,10.9,No,154705.0,No
FVW-00177,24,Premier,4695.14,No,3,3,2,No,Conservative,No,8.8,No,227709.61,No
FVW-00178,23,Premier,5752.4,No,4,2,4,No,Conservative,No,9.1,No,37277.39,No
FVW-00179,4,Core,1860.74,No,3,4,5,No,Moderate,No,2.5,Yes,11038.03,No
FVW-00180,12,Core,2093.64,No,3,2,2,No,Moderate,No,11.3,Yes,24185.19,No
FVW-00181,23,Core,1931.68,No,3,2,4,No,Moderate,No,6.7,No,96969.66,Yes
FVW-00182,23,Premier,7335.1,Yes,5,1,2,No,Aggressive,No,4.3,Yes,206912.46,No
FVW-00183,14,Core,2003.44,Yes,3,1,5,Yes,Conservative,No,3.7,No,20772.5,No
FVW-00184,2,Premier,5405.9,Yes,4,4,3,No,Conservative,No,11.9,No,12540.79,No
FVW-00185,19,Core,2562.87,No,2,4,4,No,Conservative,No,24.2,No,100520.98,No
FVW-00186,18,Premier,5473.65,No,3,2,2,No,Moderate,Yes,19.9,No,81720.01,No
FVW-00187,14,Premier,7026.51,No,4,3,2,No,Moderate,No,10.9,No,139738.53,No
FVW-00188,23,Core,2242.83,Yes,3,3,3,No,Conservative,No,38.4,No,56469.41,No
FVW-00189,14,Premier,6270.05,Yes,0,6,2,Yes,Conservative,No,12.5,No,91016.53,No
FVW-00190,20,Premier,5066.56,Yes,7,4,3,No,Moderate,Yes,4.1,Yes,188864.62,No
FVW-00191,9,Private,15664.51,No,4,2,1,No,Aggressive,No,23.2,No,123678.12,No
FVW-00192,9,Core,2491.68,No,5,3,2,No,Moderate,No,1.6,No,12534.35,No
FVW-00193,12,Private,15374.09,Yes,5,4,2,Yes,Aggressive,Yes,13.8,No,184835.12,No
FVW-00194,17,Core,2416.12,No,5,2,4,No,Moderate,No,13.4,No,48260.82,No
FVW-00195,0,Core,2096.85,Yes,3,1,1,No,Moderate,No,17.6,No,733.79,No
FVW-00196,6,Private,14151.8,No,6,4,1,No,Conservative,Yes,12.5,No,78153.97,No
FVW-00197,3,Core,2420.66,No,5,2,5,No,Conservative,No,10.0,Yes,309.66,No
FVW-00198,1,Core,2221.55,Yes,2,3,2,No,Conservative,No,25.3,No,7491.01,No
FVW-00199,18,Premier,4551.2,No,6,3,4,No,Aggressive,No,7.1,Yes,56083.64,No
FVW-00200,9,Core,2018.11,Yes,4,2,1,No,Moderate,No,16.0,Yes,20365.56,No
FVW-00201,11,Core,2454.91,No,3,4,3,No,Conservative,No,23.7,No,40712.93,No
FVW-00202,4,Private,20768.19,Yes,4,3,4,No,Moderate,Yes,8.8,Yes,161375.78,Yes
FVW-00203,14,Premier,5907.52,Yes,3,2,2,No,Moderate,No,25.3,No,124396.31,No
FVW-00204,19,Premier,5616.29,Yes,3,3,4,No,Moderate,No,0.9,No,78095.93,No
FVW-00205,11,Core,2110.97,No,4,2,4,No,Conservative,Yes,8.7,No,22255.25,No
FVW-00206,10,Private,16231.32,No,2,4,3,Yes,Conservative,No,2.8,No,95690.13,No
FVW-00207,8,Premier,6063.81,Yes,3,2,2,No,Conservative,Yes,9.1,No,78174.7,No
FVW-00208,16,Core,2235.27,No,3,3,1,No,Moderate,No,11.8,No,46921.64,Yes
FVW-00209,0,Core,2530.37,No,5,2,5,No,Conservative,No,15.5,No,0.0,Yes
FVW-00210,5,Core,2426.6,No,0,1,3,No,Conservative,No,1.5,Yes,22690.16,No
FVW-00211,9,Core,2070.9,No,3,2,4,No,Conservative,No,10.2,No,20495.32,No
FVW-00212,1,Core,2577.86,No,7,3,4,No,Conservative,No,8.9,No,1232.64,No
FVW-00213,7,Core,1905.03,Yes,4,3,4,No,Aggressive,No,19.4,Yes,6959.78,No
FVW-00214,3,Premier,5324.18,Yes,1,2,5,No,Conservative,No,13.8,No,25964.93,No
FVW-00215,5,Core,2523.95,No,5,1,3,No,Moderate,No,11.9,Yes,15771.5,Yes
FVW-00216,8,Core,1648.87,Yes,2,1,5,No,Moderate,No,4.2,No,19188.74,No
FVW-00217,21,Core,2314.41,No,5,1,4,No,Conservative,No,5.2,No,23357.48,Yes
FVW-00218,2,Premier,5352.98,No,3,1,7,No,Aggressive,No,10.7,No,28005.14,No
FVW-00219,11,Premier,7222.14,No,6,1,2,No,Conservative,Yes,11.6,No,143621.05,No
FVW-00220,8,Core,2678.75,Yes,5,3,5,No,Moderate,No,4.9,No,44125.95,Yes
FVW-00221,0,Private,12598.62,No,0,2,6,No,Conservative,No,22.9,No,0.0,No
FVW-00222,5,Private,11822.47,Yes,6,4,1,Yes,Aggressive,No,12.7,No,77632.02,Yes
FVW-00223,9,Core,3200.0,Yes,3,6,4,Yes,Aggressive,No,5.4,Yes,32323.9,No
FVW-00224,9,Core,2516.41,Yes,2,3,5,No,Moderate,No,13.4,Yes,63621.26,No
FVW-00225,7,Core,2646.55,No,2,3,2,No,Aggressive,Yes,4.1,No,21152.33,Yes
FVW-00226,5,Core,1709.49,Yes,4,2,6,No,Aggressive,No,6.7,Yes,8081.94,No
FVW-00227,0,Premier,4729.45,No,3,1,1,Yes,Conservative,No,1.9,No,0.0,Yes
FVW-00228,6,Premier,6181.15,Yes,1,3,5,Yes,Moderate,No,1.2,Yes,37634.61,No
FVW-00229,22,Core,1895.2,No,3,2,2,No,Aggressive,No,4.2,No,43133.46,Yes
FVW-00230,14,Core,2144.16,No,8,3,2,No,Moderate,No,3.0,No,33527.26,No
FVW-00231,15,Core,2205.78,No,4,5,5,Yes,Conservative,No,14.0,No,39113.67,No
FVW-00232,23,Core,1915.01,Yes,2,4,4,Yes,Aggressive,Yes,6.4,Yes,30793.26,No
FVW-00233,11,Private,16486.54,No,2,4,8,No,Conservative,Yes,9.4,No,115446.6,No
FVW-00234,10,Premier,5295.19,Yes,7,2,2,No,Moderate,No,15.5,No,46678.19,No
FVW-00235,7,Premier,5659.62,No,8,2,6,No,Aggressive,No,8.9,No,64502.65,No
FVW-00236,24,Premier,4483.02,Yes,2,4,3,No,Moderate,No,1.5,Yes,212334.69,No
FVW-00237,22,Core,2257.41,Yes,2,1,2,No,Conservative,No,8.1,No,101106.64,Yes
FVW-00238,5,Core,1665.11,No,2,3,3,No,Moderate,No,9.3,No,8089.52,No
FVW-00239,0,Private,9000.0,Yes,3,4,3,No,Moderate,No,12.3,Yes,968.47,No
FVW-00240,25,Premier,3832.08,Yes,6,4,2,No,Conservative,No,14.1,No,157573.92,No
FVW-00241,15,Premier,6897.13,Yes,5,3,4,No,Aggressive,Yes,18.6,No,89220.65,No
FVW-00242,9,Private,13236.93,Yes,0,3,3,No,Aggressive,Yes,14.5,No,121358.4,No
FVW-00243,16,Core,1957.11,No,5,3,6,No,Moderate,No,9.2,No,61662.9,Yes
FVW-00244,4,Private,18009.84,Yes,1,2,0,No,Conservative,Yes,7.7,Yes,74211.93,No
FVW-00245,21,Core,2777.95,Yes,2,3,3,No,Moderate,No,7.1,No,62596.78,Yes
FVW-00246,17,Premier,5886.97,No,3,3,3,No,Moderate,No,15.0,No,124224.29,No
FVW-00247,14,Private,13594.66,Yes,5,3,4,No,Aggressive,No,9.3,No,194467.62,No
FVW-00248,3,Premier,5750.84,Yes,9,2,2,No,Moderate,No,1.2,No,35702.39,No
FVW-00249,22,Core,2722.16,No,4,3,4,No,Aggressive,No,7.1,No,106388.25,No
FVW-00250,20,Premier,6137.14,Yes,5,2,2,No,Moderate,Yes,9.2,No,137546.71,No
FVW-00251,19,Core,1985.8,No,4,4,2,No,Conservative,No,13.0,No,40980.69,No
FVW-00252,12,Premier,6521.06,No,6,3,2,No,Moderate,Yes,16.6,Yes,100611.06,No
FVW-00253,20,Premier,4562.62,Yes,2,5,2,No,Moderate,No,17.2,No,55479.58,Yes
FVW-00254,20,Premier,5875.74,No,4,2,3,No,Aggressive,No,11.5,Yes,179273.9,No
FVW-00255,10,Core,2488.51,No,6,4,3,Yes,Moderate,No,7.8,Yes,73075.13,No
FVW-00256,14,Core,2587.92,No,5,3,1,Yes,Conservative,No,10.0,No,40420.16,No
FVW-00257,4,Private,9373.26,No,5,2,3,No,Moderate,No,25.3,No,72974.78,No
FVW-00258,10,Core,1936.19,No,3,6,0,No,Aggressive,No,6.2,No,6941.47,No
FVW-00259,14,Core,1909.14,Yes,3,7,2,No,Aggressive,Yes,7.3,No,11015.18,No
FVW-00260,10,Premier,6802.43,No,5,1,3,No,Aggressive,No,18.9,No,111707.16,No
FVW-00261,16,Premier,6518.66,Yes,3,4,1,No,Moderate,No,3.5,No,83513.96,No
FVW-00262,1,Core,2323.83,No,4,2,5,Yes,Moderate,No,14.0,No,5514.32,No
FVW-00263,9,Premier,5180.31,Yes,1,2,5,Yes,Conservative,No,17.5,Yes,33313.88,No
FVW-00264,24,Core,2802.69,Yes,1,2,4,No,Conservative,No,16.0,No,88735.47,No
FVW-00265,7,Core,2697.79,No,4,3,4,No,Aggressive,Yes,3.6,Yes,13441.67,Yes
FVW-00266,22,Core,2466.01,No,7,1,1,No,Moderate,No,18.6,No,68058.15,No
FVW-00267,19,Premier,5393.02,No,1,3,5,Yes,Conservative,No,16.2,No,129774.7,No
FVW-00268,9,Premier,6122.55,Yes,7,1,5,Yes,Conservative,Yes,3.7,Yes,47104.12,No
FVW-00269,5,Premier,5672.44,No,4,4,0,No,Conservative,No,11.3,Yes,22184.11,No
FVW-00270,7,Core,1641.28,Yes,6,4,4,Yes,Moderate,No,6.0,Yes,18112.05,No
FVW-00271,8,Core,2688.15,Yes,2,3,4,Yes,Conservative,No,1.8,No,8861.57,No
FVW-00272,15,Private,14258.98,No,5,3,5,Yes,Conservative,Yes,5.5,Yes,325629.64,No
FVW-00273,5,Premier,6546.71,Yes,2,1,1,No,Moderate,No,9.9,No,27262.46,No
