customer_id,churned,monthly_subscription_fee,tenure_months,estimated_account_value,plan_tier,num_seats,integrations_connected,api_calls_per_month,support_tickets_ytd,onboarding_completed,admin_logins_per_week,has_sso,nps_score,days_since_last_login,billing_cycle
VTX-000067,No,61.4,24,1384.02,Growth,6,1,4217,2,Yes,1.2,Yes,72,7,monthly
VTX-000068,Yes,0.0,43,26.45,Free,8,1,4897,1,No,9.4,No,82,5,monthly
VTX-000069,Yes,0.0,15,68.18,Free,8,2,2845,2,Yes,3.3,No,38,11,monthly
VTX-000070,No,53.38,9,676.98,Growth,6,2,2497,2,No,3.4,No,3,4,monthly
VTX-000071,No,0.0,58,0.0,Free,1,2,2038,1,Yes,2.2,No,53,6,monthly
VTX-000072,No,43.48,21,2260.56,Growth,11,4,3207,1,No,3.0,Yes,96,3,monthly
VTX-000073,No,214.36,10,3982.31,Scale,5,4,6315,1,Yes,1.3,Yes,54,10,monthly
VTX-000074,No,0.0,42,0.0,Free,11,0,548,2,Yes,7.1,No,100,3,monthly
VTX-000075,No,0.0,13,78.51,Free,6,4,7519,1,Yes,4.7,No,80,4,monthly
VTX-000076,Yes,0.0,47,74.24,Free,6,2,7706,2,No,4.8,No,83,10,monthly
VTX-000077,Yes,0.0,4,238.71,Free,14,0,6231,3,Yes,2.4,No,75,8,monthly
VTX-000078,No,47.78,31,1662.76,Growth,9,5,5868,3,Yes,3.1,No,71,6,annual
VTX-000079,No,46.68,24,487.73,Growth,7,3,5247,2,No,0.5,No,78,12,annual
VTX-000080,No,162.78,58,7235.32,Scale,9,3,684,3,Yes,3.0,Yes,72,2,monthly
VTX-000081,No,56.2,31,1110.35,Growth,1,5,5372,2,Yes,15.5,No,5,1,monthly
VTX-000082,No,41.09,56,1669.11,Growth,11,1,3442,1,No,0.9,No,51,5,monthly
VTX-000083,No,180.34,15,2656.01,Scale,10,4,646,3,Yes,2.9,Yes,54,45,monthly
VTX-000084,Yes,0.0,28,58.88,Free,3,4,3977,1,Yes,8.1,No,82,10,monthly
VTX-000085,No,0.0,49,22.97,Free,3,1,5989,1,Yes,5.5,No,75,13,annual
VTX-000086,Yes,0.0,9,32.02,Free,11,2,5706,0,Yes,4.7,No,32,26,annual
VTX-000087,No,52.15,56,6908.64,Growth,6,2,3544,1,Yes,3.7,Yes,9,1,annual
VTX-000088,Yes,51.7,47,1934.83,Growth,9,2,4969,1,No,16.7,No,9,14,monthly
VTX-000089,No,0.0,41,0.0,Free,8,3,3451,5,Yes,4.1,No,29,6,monthly
VTX-000090,No,41.36,14,792.5,Growth,6,1,3763,1,Yes,2.6,No,55,18,monthly
VTX-000091,Yes,0.0,49,0.0,Free,4,4,151,2,Yes,4.3,No,19,21,monthly
VTX-000092,No,63.29,51,2200.11,Growth,8,1,463,1,No,7.4,No,81,11,annual
VTX-000093,No,46.34,17,990.6,Growth,9,3,1356,3,Yes,2.4,No,45,18,annual
VTX-000094,No,40.07,35,1608.44,Growth,4,3,6377,1,Yes,5.0,No,29,9,monthly
VTX-000095,No,0.0,3,0.0,Free,6,3,2303,2,Yes,0.8,No,32,2,monthly
VTX-000096,No,56.68,24,1505.27,Growth,4,3,2588,0,Yes,8.0,No,78,17,annual
VTX-000097,No,49.49,9,844.14,Growth,4,1,9412,2,No,3.1,No,58,2,monthly
VTX-000098,Yes,0.0,33,105.4,Free,4,4,2240,1,Yes,4.5,No,87,58,annual
VTX-000099,Yes,0.0,33,36.98,Free,8,6,738,2,Yes,1.3,No,80,0,monthly
VTX-000100,No,185.92,32,9668.12,Scale,8,2,5910,1,No,3.0,No,68,13,monthly
VTX-000101,Yes,303.35,41,21255.26,Scale,4,5,1798,0,Yes,7.2,No,80,2,monthly
VTX-000102,Yes,52.68,56,2828.0,Growth,9,4,2252,1,Yes,1.9,No,19,30,monthly
VTX-000103,No,0.0,12,0.0,Free,5,1,4440,1,Yes,10.5,No,95,4,annual
VTX-000104,No,198.49,13,2080.53,Scale,3,1,4817,2,Yes,1.8,Yes,82,4,annual
VTX-000105,No,170.25,13,4015.69,Scale,3,2,5358,0,Yes,3.6,Yes,82,0,monthly
VTX-000106,No,38.34,56,2617.31,Growth,5,1,3863,0,Yes,7.2,No,47,10,monthly
VTX-000107,Yes,56.31,5,322.19,Growth,5,2,9337,1,Yes,0.5,No,72,0,monthly
VTX-000108,Yes,0.0,1,65.27,Free,4,3,2825,4,No,2.8,No,56,17,monthly
VTX-000109,Yes,0.0,9,116.73,Free,11,3,2594,0,No,3.7,No,37,19,monthly
VTX-000110,No,183.44,46,14636.58,Scale,5,4,1323,1,No,11.4,Yes,61,15,monthly
VTX-000111,No,68.55,35,2308.34,Growth,2,2,641,2,Yes,0.8,No,50,2,monthly
VTX-000112,No,0.0,56,227.62,Free,5,1,10332,2,Yes,3.6,No,68,13,monthly
VTX-000113,Yes,0.0,12,0.0,Free,4,3,1457,3,No,7.9,No,48,10,monthly
VTX-000114,No,37.63,24,1414.63,Growth,6,3,870,2,Yes,1.9,No,48,2,monthly
VTX-000115,Yes,0.0,33,25.14,Free,4,0,2606,1,Yes,4.8,No,52,3,monthly
VTX-000116,No,146.34,4,870.19,Scale,7,2,2180,2,Yes,2.7,Yes,60,7,monthly
VTX-000117,No,52.19,56,2832.42,Growth,6,5,1678,0,Yes,6.0,No,43,27,monthly
VTX-000118,No,41.93,49,685.75,Growth,3,2,922,2,No,8.5,No,8,9,monthly
VTX-000119,No,73.21,8,1098.54,Growth,14,5,323,1,Yes,5.1,Yes,31,2,monthly
VTX-000120,No,60.16,51,3432.81,Growth,11,3,427,1,Yes,3.3,No,6,25,monthly
VTX-000121,No,51.54,27,2003.33,Growth,12,0,4302,1,No,6.4,No,88,1,monthly
VTX-000122,No,37.95,20,631.98,Growth,7,0,1894,0,No,0.7,No,97,3,annual
VTX-000123,No,0.0,57,56.83,Free,11,0,4789,0,Yes,3.2,No,2,12,monthly
VTX-000124,Yes,40.13,31,624.64,Growth,8,2,1583,1,Yes,7.3,No,61,28,monthly
VTX-000125,No,0.0,13,480.42,Free,10,2,4207,2,No,4.8,Yes,36,5,annual
VTX-000126,No,55.72,49,3011.0,Growth,3,5,3702,2,Yes,2.5,No,51,2,monthly
VTX-000127,No,0.0,43,179.64,Free,8,4,1784,3,No,2.2,No,43,6,monthly
VTX-000128,No,0.0,11,173.18,Free,5,5,5155,0,No,5.2,No,78,7,monthly
VTX-000129,No,0.0,41,0.0,Free,7,2,2903,1,Yes,15.1,No,40,8,monthly
VTX-000130,No,36.74,38,2988.45,Growth,5,4,788,3,Yes,1.1,No,20,5,monthly
VTX-000131,No,0.0,16,134.14,Free,6,1,3061,1,No,0.7,No,75,0,monthly
VTX-000132,No,193.3,26,3260.87,Scale,7,3,3297,1,Yes,6.8,Yes,47,1,annual
VTX-000133,No,37.02,51,2275.7,Growth,6,0,670,2,No,3.6,No,71,3,monthly
VTX-000134,No,49.08,10,529.97,Growth,6,3,3368,0,Yes,2.8,No,70,2,monthly
VTX-000135,No,50.2,44,2024.28,Growth,8,2,1975,1,No,3.1,No,54,5,annual
VTX-000136,Yes,0.0,50,45.66,Free,4,1,5093,1,Yes,4.6,No,35,4,annual
VTX-000137,No,263.79,57,26077.71,Scale,3,3,4727,1,No,2.2,Yes,11,18,monthly
VTX-000138,No,52.42,19,914.83,Growth,5,3,3775,1,Yes,4.7,No,21,3,annual
VTX-000139,No,210.76,16,4095.83,Scale,4,3,2677,0,Yes,6.3,Yes,97,10,monthly
VTX-000140,No,0.0,56,0.0,Free,6,2,2176,2,Yes,5.7,No,97,3,monthly
VTX-000141,No,45.04,28,1425.5,Growth,6,0,1760,1,Yes,1.7,No,2,9,monthly
VTX-000142,No,57.28,34,2815.39,Growth,5,4,1691,0,Yes,14.1,No,86,4,monthly
VTX-000143,No,230.62,31,9666.34,Scale,12,1,2972,0,No,4.0,Yes,27,2,monthly
VTX-000144,No,41.24,31,1588.65,Growth,6,1,4753,1,Yes,1.3,No,84,2,monthly
VTX-000145,No,54.64,38,2144.34,Growth,7,1,1974,0,Yes,3.6,No,68,7,monthly
VTX-000146,No,0.0,25,83.65,Free,2,2,9152,0,Yes,3.7,No,50,6,annual
VTX-000147,No,0.0,23,24.87,Free,5,2,768,1,Yes,4.0,No,43,19,annual
VTX-000148,No,50.93,24,2770.23,Growth,6,2,1442,0,Yes,0.8,Yes,97,8,annual
VTX-000149,No,54.41,40,2981.02,Growth,3,1,5606,1,Yes,4.0,Yes,12,1,monthly
VTX-000150,No,0.0,49,241.77,Free,6,2,6099,3,No,0.7,No,88,2,monthly
VTX-000151,No,167.15,33,10073.63,Scale,7,3,4126,1,No,0.6,No,71,4,monthly
VTX-000152,No,191.88,41,6417.33,Scale,3,4,1466,2,Yes,5.6,Yes,65,2,annual
VTX-000153,No,0.0,25,0.0,Free,7,4,5056,1,Yes,8.7,No,18,10,monthly
VTX-000154,No,59.64,47,2999.28,Growth,8,3,5344,1,Yes,1.0,Yes,32,17,annual
VTX-000155,No,0.0,24,3.71,Free,8,1,6050,0,Yes,4.0,No,98,16,monthly
VTX-000156,No,44.9,25,1647.74,Growth,9,2,4758,4,Yes,5.5,Yes,42,7,monthly
VTX-000157,No,0.0,3,0.0,Free,3,1,1611,1,Yes,10.5,No,17,20,monthly
VTX-000158,No,43.05,15,261.97,Growth,3,4,4563,1,Yes,9.0,No,20,3,monthly
VTX-000159,No,33.8,45,1933.91,Growth,4,3,884,1,No,2.1,Yes,46,4,annual
VTX-000160,No,206.14,5,1813.26,Scale,7,0,953,0,Yes,0.5,Yes,83,3,monthly
VTX-000161,Yes,0.0,13,70.58,Free,9,2,2293,1,No,3.9,No,60,41,monthly
VTX-000162,No,173.61,47,4633.58,Scale,10,0,2970,0,Yes,8.1,No,63,15,monthly
VTX-000163,No,0.0,53,44.86,Free,9,0,538,1,Yes,2.7,No,16,1,annual
VTX-000164,Yes,0.0,25,23.7,Free,11,3,4273,2,Yes,2.9,No,6,9,monthly
VTX-000165,No,30.83,24,761.98,Growth,8,2,2470,2,Yes,4.7,No,23,0,annual
VTX-000166,No,47.42,31,977.46,Growth,2,4,3431,0,Yes,12.7,No,19,6,monthly
VTX-000167,No,213.0,46,3346.55,Scale,9,3,3899,0,No,1.5,Yes,43,28,monthly
VTX-000168,No,220.54,28,4119.25,Scale,9,2,2421,2,No,5.4,No,6,9,annual
VTX-000169,No,0.0,10,63.04,Free,9,3,605,0,Yes,5.4,No,48,5,monthly
VTX-000170,No,218.0,26,3707.58,Scale,7,3,959,4,No,2.5,Yes,37,7,monthly
VTX-000171,Yes,0.0,15,93.12,Free,3,4,2642,1,Yes,3.6,No,36,8,annual
VTX-000172,No,48.03,41,3002.62,Growth,8,8,3641,2,Yes,2.3,No,91,1,monthly
VTX-000173,No,0.0,8,197.34,Free,9,1,3197,1,Yes,7.3,No,64,3,monthly
VTX-000174,No,193.71,37,4905.25,Scale,7,1,6376,1,Yes,7.4,Yes,57,19,monthly
VTX-000175,No,0.0,7,4.91,Free,4,1,1747,1,Yes,3.1,No,21,20,monthly
VTX-000176,Yes,0.0,59,98.74,Free,9,0,3506,1,No,3.1,No,72,18,monthly
VTX-000177,No,39.23,39,1412.75,Growth,3,1,3446,0,No,4.2,Yes,93,5,annual
VTX-000178,No,237.18,8,1894.41,Scale,1,4,2768,1,Yes,2.0,Yes,69,39,monthly
VTX-000179,No,189.98,58,24331.19,Scale,5,3,5592,0,No,4.4,No,79,6,monthly
VTX-000180,No,41.16,34,949.08,Growth,4,4,1520,2,Yes,1.6,No,35,14,annual
VTX-000181,No,186.79,37,6336.73,Scale,7,1,3217,3,No,4.2,Yes,89,34,monthly
VTX-000182,No,249.45,3,1671.91,Scale,6,2,2350,1,Yes,1.3,Yes,31,10,annual
VTX-000183,No,62.71,11,656.94,Growth,9,0,3057,2,Yes,1.2,No,81,15,monthly
VTX-000184,Yes,0.0,49,0.0,Free,7,1,7269,3,Yes,5.7,No,53,8,monthly
VTX-000185,No,160.26,28,4099.21,Scale,2,1,7458,3,Yes,3.1,Yes,80,64,monthly
VTX-000186,No,56.88,37,2589.61,Growth,8,1,2120,1,No,6.5,Yes,50,6,monthly
VTX-000187,No,37.65,60,1231.65,Growth,7,2,2410,3,Yes,3.5,No,50,0,monthly
VTX-000188,Yes,0.0,26,5.93,Free,10,5,1588,1,Yes,1.8,No,39,9,monthly
VTX-000189,No,45.02,23,513.15,Growth,7,2,1083,1,No,7.1,No,68,1,annual
VTX-000190,No,0.0,48,121.84,Free,4,3,2544,3,No,1.6,No,39,10,annual
VTX-000191,No,139.4,4,477.07,Scale,6,3,6254,2,Yes,1.4,Yes,32,4,monthly
VTX-000192,Yes,0.0,27,17.73,Free,6,1,525,2,Yes,2.3,No,38,3,annual
VTX-000193,No,0.0,52,34.63,Free,8,2,6077,1,Yes,2.3,No,84,33,monthly
VTX-000194,No,168.63,13,2085.24,Scale,5,1,5715,1,Yes,4.4,Yes,70,2,monthly
VTX-000195,Yes,0.0,18,81.92,Free,8,3,1553,0,Yes,1.8,No,11,2,monthly
VTX-000196,No,0.0,28,98.64,Free,7,2,3662,2,Yes,2.8,No,30,5,annual
VTX-000197,No,52.65,4,804.4,Growth,9,2,1974,0,Yes,5.4,Yes,57,4,annual
VTX-000198,No,212.55,4,1183.23,Scale,3,2,6122,0,Yes,5.7,Yes,80,1,monthly
VTX-000199,No,0.0,15,60.98,Free,6,3,6414,1,No,1.7,No,63,7,monthly
VTX-000200,Yes,0.0,54,0.0,Free,5,4,959,1,Yes,7.8,No,90,7,monthly
VTX-000201,No,243.93,13,4939.57,Scale,5,1,1564,0,Yes,6.3,No,86,11,monthly
VTX-000202,No,175.88,44,7877.34,Scale,5,4,3037,3,Yes,3.1,Yes,9,18,monthly
VTX-000203,No,43.36,25,897.21,Growth,9,1,2648,0,Yes,0.8,No,78,18,annual
VTX-000204,No,0.0,46,0.0,Free,3,3,7091,4,No,5.6,No,63,1,annual
VTX-000205,Yes,0.0,20,51.62,Free,5,5,2781,1,No,2.3,No,32,13,monthly
VTX-000206,Yes,0.0,53,55.24,Free,2,3,1371,1,Yes,5.6,No,20,2,monthly
VTX-000207,Yes,0.0,22,81.81,Free,5,2,3177,1,No,6.2,No,96,11,annual
VTX-000208,No,41.72,48,2273.13,Growth,10,3,3482,2,Yes,8.2,No,7,4,monthly
VTX-000209,No,0.0,50,0.0,Free,10,2,1388,3,Yes,2.6,No,30,22,monthly
VTX-000210,No,45.96,26,887.75,Growth,3,1,1441,2,Yes,0.3,No,86,11,annual
VTX-000211,No,58.82,40,3699.14,Growth,10,1,3731,1,Yes,1.4,Yes,67,0,monthly
VTX-000212,No,59.63,7,947.69,Growth,7,1,4976,2,No,1.2,No,88,16,annual
VTX-000213,No,0.0,30,204.35,Free,4,5,6924,0,Yes,6.9,Yes,45,2,annual
VTX-000214,Yes,262.52,22,3848.06,Scale,6,2,1668,2,Yes,13.1,Yes,0,33,monthly
VTX-000215,Yes,42.38,58,3632.25,Growth,4,0,2021,2,Yes,3.2,No,9,27,annual
VTX-000216,No,53.14,56,2532.84,Growth,8,2,2913,0,No,6.8,Yes,64,0,annual
VTX-000217,No,0.0,47,79.21,Free,6,1,1339,5,Yes,3.1,No,40,8,annual
VTX-000218,Yes,0.0,57,74.64,Free,4,2,2540,1,Yes,2.2,No,7,21,monthly
VTX-000219,No,199.95,59,19079.63,Scale,5,3,1724,2,Yes,4.6,No,28,42,annual
VTX-000220,Yes,48.94,46,1416.04,Growth,10,2,4966,0,Yes,5.4,Yes,56,6,monthly
VTX-000221,No,0.0,36,132.08,Free,6,3,2094,1,Yes,2.3,No,60,1,monthly
VTX-000222,No,39.93,12,462.38,Growth,8,2,5294,1,Yes,6.0,No,18,3,monthly
VTX-000223,No,46.33,49,1494.04,Growth,7,3,2548,1,Yes,9.1,No,81,7,monthly
VTX-000224,No,194.96,11,3076.21,Scale,7,4,992,2,Yes,3.1,Yes,22,10,monthly
VTX-000225,No,0.0,11,136.98,Free,6,2,846,1,Yes,2.1,Yes,43,2,annual
VTX-000226,Yes,169.25,53,9333.49,Scale,3,4,8286,1,Yes,0.9,Yes,23,11,monthly
VTX-000227,Yes,0.0,6,0.0,Free,7,3,3408,0,No,11.1,No,47,17,monthly
VTX-000228,No,37.62,8,518.01,Growth,8,2,1297,1,Yes,6.6,No,99,9,annual
VTX-000229,No,59.47,31,4549.24,Growth,6,4,2720,1,Yes,9.9,Yes,40,26,monthly
VTX-000230,No,0.0,35,67.23,Free,3,2,4457,3,Yes,1.6,No,72,28,monthly
VTX-000231,No,0.0,2,122.69,Free,8,3,1619,4,Yes,8.5,No,34,2,monthly
VTX-000232,No,62.97,23,2035.92,Growth,6,0,1325,1,No,2.0,No,19,8,monthly
VTX-000233,No,267.3,13,7165.8,Scale,7,1,1636,3,Yes,2.5,No,56,2,annual
VTX-000234,No,45.3,18,970.08,Growth,5,1,2593,1,No,4.9,Yes,13,15,annual
VTX-000235,No,193.74,11,2712.71,Scale,3,1,2306,1,Yes,4.4,Yes,45,2,annual
VTX-000236,No,152.38,41,10890.0,Scale,6,2,1334,2,Yes,3.1,Yes,88,7,monthly
VTX-000237,No,43.16,28,859.16,Growth,9,2,8843,2,Yes,4.0,No,37,2,monthly
VTX-000238,No,285.02,58,11143.31,Scale,7,3,1930,1,Yes,3.1,Yes,64,15,annual
VTX-000239,Yes,0.0,0,150.05,Free,7,2,4299,1,Yes,2.1,No,88,4,monthly
VTX-000240,No,0.0,47,0.0,Free,8,5,5732,1,Yes,4.2,No,36,9,annual
VTX-000241,No,212.78,55,6686.98,Scale,6,1,3303,0,Yes,8.7,Yes,86,0,monthly
VTX-000242,No,226.96,29,2981.68,Scale,10,3,2523,3,No,2.4,No,13,12,monthly
VTX-000243,Yes,0.0,42,203.19,Free,4,2,1135,3,No,1.1,No,46,6,monthly
VTX-000244,No,58.49,26,1472.02,Growth,5,5,644,2,Yes,8.0,No,88,20,monthly
VTX-000245,No,59.95,36,3470.58,Growth,7,3,2229,1,Yes,0.2,No,37,1,monthly
VTX-000246,No,257.85,55,10891.16,Scale,4,4,3380,3,Yes,4.5,Yes,57,11,monthly
VTX-000247,No,38.97,32,2290.03,Growth,3,3,4202,1,No,5.0,No,93,13,monthly
VTX-000248,No,47.67,35,827.92,Growth,5,4,2770,0,No,2.2,No,45,11,monthly
VTX-000249,No,48.47,60,3616.45,Growth,8,3,5637,0,Yes,2.5,No,76,13,monthly
VTX-000250,No,42.06,30,1867.58,Growth,5,1,4011,2,No,4.1,Yes,70,18,monthly
VTX-000251,No,52.47,10,433.57,Growth,3,1,3974,0,Yes,2.4,No,29,7,annual
VTX-000252,No,220.51,41,12475.61,Scale,9,0,4086,3,No,4.7,Yes,36,3,monthly
VTX-000253,No,42.7,42,7147.16,Growth,6,1,1591,1,Yes,5.1,No,27,1,monthly
VTX-000254,Yes,0.0,14,225.35,Free,7,2,5063,0,No,2.6,No,85,38,annual
VTX-000255,No,0.0,44,64.97,Free,5,0,3106,0,Yes,3.5,No,81,6,monthly
VTX-000256,No,44.14,3,154.55,Growth,8,2,1311,1,Yes,4.1,No,90,0,monthly
VTX-000257,No,233.12,19,10822.6,Scale,6,0,863,0,Yes,4.0,Yes,43,15,monthly
VTX-000258,Yes,0.0,52,126.55,Free,6,1,5785,2,No,5.0,No,14,5,monthly
VTX-000259,No,0.0,37,158.06,Free,5,2,3906,0,Yes,4.1,Yes,97,5,monthly
VTX-000260,Yes,48.09,37,1265.34,Growth,4,3,1113,1,No,9.8,No,84,2,monthly
VTX-000261,No,0.0,37,257.39,Free,4,3,3334,2,Yes,3.2,Yes,60,12,monthly
VTX-000262,No,200.9,10,2474.69,Scale,7,1,5860,1,Yes,4.1,No,29,28,annual
VTX-000263,No,0.0,58,268.49,Free,8,2,1249,3,Yes,4.4,Yes,38,3,monthly
VTX-000264,Yes,0.0,18,0.0,Free,7,0,484,3,Yes,4.6,No,29,2,monthly
VTX-000265,No,224.68,47,7492.59,Scale,9,5,839,0,Yes,8.6,No,7,9,monthly
VTX-000266,No,0.0,60,134.76,Free,12,1,7815,0,Yes,3.1,No,4,30,monthly
VTX-000267,No,0.0,14,0.0,Free,5,1,440,2,Yes,4.2,No,60,17,annual
VTX-000268,No,0.0,38,35.79,Free,6,0,820,3,No,2.4,No,18,2,monthly
VTX-000269,Yes,0.0,2,96.78,Free,7,2,3648,4,No,5.9,No,25,2,annual
VTX-000270,No,0.0,38,0.0,Free,6,3,1524,1,Yes,1.5,No,93,10,annual
VTX-000271,No,0.0,26,256.98,Free,8,6,4006,1,Yes,7.4,No,30,2,monthly
VTX-000272,No,0.0,4,0.0,Free,5,4,3141,4,Yes,3.0,No,56,12,monthly
VTX-000273,Yes,0.0,40,38.35,Free,4,3,4238,0,No,4.1,No,52,25,monthly
VTX-000274,No,35.6,59,729.17,Growth,4,1,3236,0,Yes,8.8,No,71,2,monthly
VTX-000275,No,30.49,5,123.16,Growth,6,4,3004,0,Yes,4.9,No,76,5,monthly
