customer_id,churned,monthly_bill,tenure_months,estimated_customer_value,plan_type,num_lines,has_international_plan,data_overage_gb,autopay_enabled,device_financing_active,network_type,support_calls_ytd,days_since_last_upgrade,family_plan_member,satisfaction_score
MRD-000033,No,97.04,10,698.97,Premium,3,No,0.62,Yes,No,5G,1,1182,Yes,4
MRD-000034,No,54.7,74,1838.93,Plus,1,No,4.21,Yes,No,5G,3,102,No,3
MRD-000035,No,94.61,15,1188.48,Premium,3,No,1.91,Yes,No,4G,0,718,Yes,9
MRD-000036,Yes,47.45,0,0.0,Plus,1,No,2.43,Yes,No,4G,1,273,No,5
MRD-000037,No,57.65,69,3228.04,Plus,5,Yes,1.04,No,Yes,5G,1,216,Yes,9
MRD-000038,No,60.24,21,1020.73,Plus,2,No,1.06,Yes,No,5G,0,154,No,10
MRD-000039,No,53.48,12,238.55,Plus,2,No,0.3,No,No,4G,0,75,No,10
MRD-000040,No,99.77,47,4558.86,Premium,1,No,4.28,No,No,4G,3,379,No,2
MRD-000041,No,53.98,5,433.0,Plus,1,No,2.02,Yes,No,4G,0,1460,No,7
MRD-000042,No,34.09,73,1833.6,Basic,2,No,1.63,Yes,No,4G,0,1426,No,6
MRD-000043,No,111.79,30,2483.07,Premium,2,No,3.47,Yes,No,4G,2,1197,No,3
MRD-000044,Yes,31.7,20,689.99,Basic,1,No,3.52,Yes,No,5G,4,737,No,1
MRD-000045,No,55.52,45,1059.06,Plus,1,No,0.62,Yes,No,4G,2,1426,No,10
MRD-000046,No,60.05,64,8198.55,Plus,1,Yes,0.93,No,No,4G,1,560,No,4
MRD-000047,No,37.09,34,3030.67,Basic,1,No,2.43,Yes,No,5G,3,576,No,1
MRD-000048,Yes,68.48,65,5089.4,Plus,3,No,15.63,Yes,Yes,5G,2,555,Yes,2
MRD-000049,No,100.78,39,5531.24,Premium,2,No,1.39,Yes,Yes,4G,1,26,No,5
MRD-000050,No,58.27,33,1579.44,Plus,1,Yes,4.03,Yes,Yes,5G,2,1082,No,8
MRD-000051,No,35.58,45,1840.28,Basic,1,Yes,6.06,Yes,No,5G,1,226,No,4
MRD-000052,No,51.39,39,1960.96,Plus,3,No,1.57,Yes,Yes,5G,0,931,Yes,10
MRD-000053,No,36.87,88,4614.98,Basic,1,No,5.97,Yes,No,5G,2,854,No,10
MRD-000054,No,53.08,44,4476.71,Plus,5,No,1.09,No,Yes,5G,2,1074,Yes,5
MRD-000055,No,105.81,16,2774.91,Premium,4,No,1.04,Yes,No,4G,4,307,Yes,3
MRD-000056,Yes,58.98,30,2049.64,Plus,2,No,0.97,Yes,Yes,5G,0,1116,No,6
MRD-000057,No,61.74,70,7235.07,Plus,4,No,3.33,Yes,No,5G,1,534,Yes,9
MRD-000058,No,32.11,68,4380.5,Basic,2,No,3.17,Yes,Yes,5G,2,679,No,1
MRD-000059,No,25.44,88,1431.49,Basic,2,No,2.46,No,No,5G,1,1398,No,4
MRD-000060,No,52.17,81,2011.79,Plus,1,No,1.2,Yes,No,4G,3,415,No,7
MRD-000061,Yes,63.23,49,3477.17,Plus,2,No,2.06,Yes,Yes,5G,1,946,No,2
MRD-000062,No,65.75,17,991.15,Plus,4,No,0.55,No,No,5G,1,96,Yes,5
MRD-000063,No,88.65,78,8595.53,Premium,2,No,2.01,No,Yes,4G,0,959,No,3
MRD-000064,No,34.4,4,220.98,Basic,1,No,6.17,Yes,Yes,5G,1,598,No,10
MRD-000065,Yes,36.65,5,557.27,Basic,4,No,4.66,Yes,Yes,4G,2,673,Yes,3
MRD-000066,No,113.3,82,18633.5,Premium,5,No,3.81,Yes,No,5G,0,506,Yes,8
MRD-000067,No,96.99,47,3199.46,Premium,3,No,0.24,Yes,No,4G,2,728,Yes,5
MRD-000068,No,52.62,42,1471.54,Plus,4,No,1.2,Yes,No,4G,1,957,Yes,6
MRD-000069,No,38.3,76,1890.54,Basic,2,No,5.24,No,Yes,5G,1,797,No,9
MRD-000070,No,105.67,67,6990.16,Premium,3,No,2.32,Yes,No,5G,2,775,Yes,4
MRD-000071,No,38.97,54,2246.29,Basic,2,No,3.3,No,No,5G,1,680,No,9
MRD-000072,No,85.83,65,4078.3,Premium,1,No,1.79,Yes,No,5G,1,755,No,1
MRD-000073,Yes,37.81,10,772.33,Basic,5,No,3.8,No,No,5G,3,251,Yes,3
MRD-000074,No,103.13,79,8456.2,Premium,2,No,1.53,Yes,No,5G,6,727,No,10
MRD-000075,No,54.74,28,2194.3,Plus,3,No,5.75,Yes,Yes,5G,1,666,Yes,2
MRD-000076,No,37.48,56,3129.94,Basic,1,No,6.35,No,Yes,5G,1,1040,No,10
MRD-000077,No,54.4,86,9089.36,Plus,1,No,1.29,Yes,No,5G,1,426,No,3
MRD-000078,No,80.28,89,7315.3,Premium,2,Yes,4.19,No,Yes,5G,0,1319,No,9
MRD-000079,No,74.81,10,644.05,Plus,3,No,4.63,No,No,5G,1,890,Yes,3
MRD-000080,No,109.68,28,3368.67,Premium,5,No,0.12,No,No,5G,4,1030,Yes,9
MRD-000081,Yes,63.05,79,5754.18,Plus,3,No,3.11,No,No,5G,1,316,Yes,6
MRD-000082,No,61.81,43,2883.36,Plus,3,Yes,4.28,Yes,Yes,4G,0,146,Yes,7
MRD-000083,No,61.4,66,4099.21,Plus,1,No,13.03,No,No,5G,1,1450,No,8
MRD-000084,No,69.78,26,2279.48,Plus,1,No,3.23,Yes,Yes,5G,1,767,No,7
MRD-000085,No,60.84,62,3066.36,Plus,1,No,0.18,No,No,4G,0,594,No,6
MRD-000086,No,28.39,34,853.99,Basic,1,Yes,2.19,No,Yes,5G,1,1303,No,10
MRD-000087,No,66.65,40,2379.45,Plus,2,No,1.94,Yes,No,4G,3,533,No,6
MRD-000088,Yes,51.92,31,2148.67,Plus,3,No,0.74,No,Yes,5G,3,102,Yes,8
MRD-000089,No,58.08,93,5681.51,Plus,2,No,4.92,No,Yes,5G,1,970,No,3
MRD-000090,Yes,39.16,54,1142.62,Basic,2,No,1.51,No,No,5G,1,643,No,9
MRD-000091,No,31.8,65,2664.31,Basic,3,No,1.99,No,No,5G,3,1070,Yes,1
MRD-000092,No,30.59,85,5095.2,Basic,3,No,1.18,No,Yes,5G,3,1086,Yes,4
MRD-000093,No,89.19,22,1966.46,Premium,3,No,2.44,No,No,5G,2,455,Yes,10
MRD-000094,No,58.4,23,1181.68,Plus,3,No,0.9,Yes,No,5G,5,938,Yes,6
MRD-000095,No,34.89,73,1641.19,Basic,3,Yes,1.58,Yes,No,4G,2,133,Yes,9
MRD-000096,No,46.11,39,6688.01,Plus,1,No,3.32,Yes,No,5G,0,39,No,1
MRD-000097,No,54.95,51,3712.81,Plus,4,Yes,6.27,Yes,Yes,5G,0,450,Yes,1
MRD-000098,No,107.6,93,11913.83,Premium,1,No,6.67,Yes,No,4G,2,234,No,10
MRD-000099,No,60.3,71,2518.82,Plus,2,Yes,0.41,Yes,No,5G,0,714,No,3
MRD-000100,No,21.94,94,1768.83,Basic,1,No,9.73,Yes,Yes,5G,0,791,No,8
MRD-000101,No,65.91,73,7785.52,Plus,4,No,3.02,Yes,No,5G,4,1163,Yes,3
MRD-000102,No,35.72,84,2795.4,Basic,2,No,5.64,Yes,No,5G,2,208,No,9
MRD-000103,No,73.67,57,6638.27,Plus,2,No,4.54,Yes,Yes,5G,3,1144,No,10
MRD-000104,No,56.79,89,7448.09,Plus,2,No,5.79,No,No,5G,1,940,No,10
MRD-000105,No,102.45,24,1199.74,Premium,1,No,6.63,No,Yes,5G,3,319,No,7
MRD-000106,No,83.69,63,9129.24,Premium,1,No,3.16,No,No,5G,4,990,No,8
MRD-000107,Yes,100.95,72,15705.21,Premium,4,No,3.16,Yes,No,5G,2,1023,Yes,7
MRD-000108,Yes,40.33,68,2998.94,Basic,2,No,1.29,No,No,5G,2,756,No,3
MRD-000109,No,36.13,81,2484.7,Basic,1,No,6.88,No,Yes,5G,1,219,No,7
MRD-000110,No,99.5,20,1637.34,Premium,1,Yes,0.85,Yes,No,4G,2,64,No,4
MRD-000111,Yes,37.02,90,2908.05,Basic,5,No,3.84,No,No,5G,2,103,Yes,6
MRD-000112,No,95.83,58,6206.26,Premium,1,No,6.63,No,No,5G,3,593,No,5
MRD-000113,No,55.19,51,2167.63,Plus,5,No,7.05,No,No,5G,6,494,Yes,3
MRD-000114,No,34.07,94,4101.44,Basic,1,Yes,1.36,Yes,Yes,5G,4,761,No,10
MRD-000115,No,68.45,54,4928.91,Plus,2,Yes,0.92,No,Yes,5G,1,233,No,5
MRD-000116,Yes,36.77,45,1350.17,Basic,1,No,1.31,Yes,No,5G,1,1032,No,10
MRD-000117,No,59.13,40,3729.33,Plus,3,No,3.53,No,Yes,5G,1,409,Yes,2
MRD-000118,No,57.9,69,3185.7,Plus,2,Yes,1.42,Yes,Yes,4G,2,190,No,9
MRD-000119,No,38.43,37,2567.24,Basic,1,No,1.04,No,Yes,5G,4,142,No,2
MRD-000120,No,38.37,13,794.13,Basic,2,No,2.59,No,Yes,4G,0,794,No,5
MRD-000121,Yes,37.53,84,3495.37,Basic,3,No,1.31,Yes,No,4G,1,658,Yes,2
MRD-000122,No,92.3,85,9847.69,Premium,1,Yes,3.83,Yes,No,4G,1,1215,No,9
MRD-000123,No,64.34,1,253.53,Plus,1,No,3.78,Yes,Yes,5G,1,213,No,8
MRD-000124,No,34.58,47,1331.59,Basic,2,No,4.46,No,Yes,4G,1,1145,No,8
MRD-000125,No,99.31,82,8762.74,Premium,3,No,5.36,No,No,4G,4,845,Yes,5
MRD-000126,No,38.97,80,2997.57,Basic,2,Yes,2.79,Yes,No,4G,1,977,No,10
MRD-000127,No,106.31,48,4189.08,Premium,2,No,2.4,Yes,Yes,5G,1,101,No,3
MRD-000128,No,94.42,19,3071.12,Premium,2,Yes,3.48,Yes,Yes,4G,1,769,No,1
MRD-000129,No,101.71,83,8194.21,Premium,3,No,1.03,No,Yes,4G,2,496,Yes,10
MRD-000130,No,97.07,13,1397.03,Premium,1,No,4.79,Yes,No,5G,0,644,No,1
MRD-000131,No,37.96,92,7443.81,Basic,3,Yes,2.21,No,Yes,5G,0,182,Yes,8
MRD-000132,No,36.31,53,2112.68,Basic,4,No,11.01,Yes,No,4G,3,138,Yes,2
MRD-000133,No,95.17,47,2553.56,Premium,3,Yes,0.88,Yes,No,4G,0,1104,Yes,2
MRD-000134,No,69.83,81,8287.28,Plus,2,Yes,2.27,Yes,No,5G,2,1472,No,4
MRD-000135,No,84.83,54,6135.71,Premium,2,Yes,5.43,Yes,No,5G,1,131,No,6
MRD-000136,No,53.28,57,3740.62,Plus,3,Yes,4.26,Yes,No,5G,1,515,Yes,4
MRD-000137,No,67.72,41,2760.87,Plus,1,No,1.04,Yes,No,5G,1,330,No,6
MRD-000138,No,105.91,69,9754.49,Premium,1,No,3.15,Yes,No,5G,0,133,No,9
MRD-000139,No,106.27,61,5083.42,Premium,3,No,1.27,Yes,Yes,5G,2,281,Yes,1
MRD-000140,No,107.1,46,4557.97,Premium,3,No,5.15,Yes,No,4G,0,78,Yes,3
MRD-000141,No,35.49,6,284.76,Basic,4,No,5.46,Yes,No,4G,1,220,Yes,5
MRD-000142,No,36.61,55,3279.15,Basic,2,No,2.84,Yes,No,4G,4,606,No,10
MRD-000143,No,33.88,86,1509.06,Basic,3,Yes,2.86,Yes,Yes,5G,4,104,Yes,9
MRD-000144,No,59.31,16,827.55,Plus,2,No,2.65,Yes,No,5G,1,325,No,9
MRD-000145,Yes,38.02,48,2114.06,Basic,1,No,1.54,Yes,Yes,5G,1,1420,No,9
MRD-000146,Yes,37.12,1,190.04,Basic,1,No,13.76,Yes,Yes,4G,3,587,No,4
MRD-000147,No,53.38,42,1508.65,Plus,1,Yes,1.35,No,No,4G,1,538,No,10
MRD-000148,No,60.84,60,5210.41,Plus,1,No,0.93,Yes,No,4G,1,1141,No,7
MRD-000149,No,55.52,30,1227.48,Plus,2,No,7.25,Yes,No,5G,4,482,No,4
MRD-000150,Yes,36.58,41,1463.93,Basic,2,No,8.38,Yes,Yes,5G,2,1337,No,3
MRD-000151,Yes,35.43,65,2700.59,Basic,1,No,1.86,Yes,No,4G,2,834,No,7
MRD-000152,Yes,41.6,37,2004.94,Basic,1,Yes,1.59,No,No,4G,2,1074,No,1
MRD-000153,Yes,31.14,5,176.56,Basic,4,Yes,4.19,Yes,Yes,5G,2,1029,Yes,3
MRD-000154,No,94.76,10,927.92,Premium,2,No,1.05,Yes,No,5G,1,53,No,1
MRD-000155,No,77.64,74,16764.61,Plus,1,No,10.48,Yes,Yes,5G,1,230,No,4
MRD-000156,Yes,60.22,25,524.96,Plus,1,No,3.57,No,Yes,5G,0,501,No,1
MRD-000157,No,48.34,30,1196.49,Plus,4,No,6.52,Yes,No,5G,1,1022,Yes,4
MRD-000158,No,34.02,65,4627.71,Basic,3,No,1.82,No,Yes,4G,1,203,Yes,4
MRD-000159,No,37.33,46,1049.29,Basic,2,No,0.2,Yes,No,4G,1,802,No,4
MRD-000160,No,53.74,24,3625.13,Plus,1,No,1.25,Yes,Yes,5G,0,898,No,6
MRD-000161,No,39.72,79,5322.61,Basic,3,Yes,9.13,Yes,No,4G,4,1433,Yes,10
MRD-000162,Yes,41.64,74,2827.82,Basic,3,No,4.29,Yes,Yes,5G,1,124,Yes,2
MRD-000163,Yes,32.54,63,1032.0,Basic,2,No,1.84,Yes,Yes,5G,2,1124,No,7
MRD-000164,No,90.01,12,1116.75,Premium,1,No,0.05,Yes,No,5G,0,152,No,1
MRD-000165,No,24.71,72,1345.19,Basic,3,No,4.52,Yes,Yes,4G,2,943,Yes,10
MRD-000166,No,65.25,62,3653.09,Plus,3,No,0.59,Yes,No,5G,1,1332,Yes,6
MRD-000167,Yes,32.61,49,2661.96,Basic,1,Yes,1.54,Yes,No,5G,1,297,No,1
MRD-000168,No,100.62,35,3473.09,Premium,2,No,1.26,No,No,4G,0,993,No,9
MRD-000169,No,35.29,37,3011.49,Basic,4,Yes,9.09,No,Yes,5G,0,678,Yes,2
MRD-000170,Yes,35.0,62,2912.49,Basic,4,No,1.13,No,No,4G,2,1117,Yes,1
MRD-000171,No,56.6,66,3547.24,Plus,3,No,4.5,No,Yes,5G,0,681,Yes,6
MRD-000172,No,46.29,88,2952.98,Basic,2,No,4.73,Yes,No,5G,1,396,No,4
MRD-000173,Yes,59.22,2,67.57,Plus,2,No,4.18,No,No,4G,2,801,No,7
MRD-000174,No,59.91,71,3550.43,Plus,4,No,2.23,No,Yes,5G,1,917,Yes,5
MRD-000175,No,31.61,59,3019.55,Basic,2,No,2.48,Yes,No,5G,1,109,No,2
MRD-000176,No,32.29,95,2747.47,Basic,1,No,1.26,Yes,Yes,5G,3,799,No,1
MRD-000177,No,67.18,25,1712.5,Plus,1,No,22.87,Yes,Yes,4G,0,346,No,2
MRD-000178,No,31.34,57,3664.67,Basic,4,No,4.39,No,Yes,4G,2,825,Yes,10
MRD-000179,Yes,29.82,86,4332.88,Basic,3,No,4.66,Yes,No,5G,1,277,Yes,4
MRD-000180,Yes,34.1,63,1159.72,Basic,1,Yes,0.44,Yes,No,5G,4,1420,No,7
MRD-000181,No,95.18,20,1391.47,Premium,2,No,0.35,Yes,No,5G,0,354,No,3
MRD-000182,No,67.8,42,5113.71,Plus,5,No,3.21,No,No,4G,0,602,Yes,5
MRD-000183,No,45.58,13,482.79,Plus,2,Yes,10.37,No,No,5G,3,1235,No,6
MRD-000184,No,103.98,63,5865.66,Premium,1,No,1.12,Yes,No,5G,0,634,No,8
MRD-000185,No,61.93,66,2403.7,Plus,2,No,3.99,Yes,No,4G,0,146,No,2
MRD-000186,No,62.66,59,3527.55,Plus,2,Yes,8.57,Yes,No,5G,4,185,No,9
MRD-000187,No,49.45,58,3401.57,Plus,2,No,2.07,Yes,No,5G,0,580,No,3
MRD-000188,No,100.04,21,1205.25,Premium,3,No,3.39,Yes,No,4G,2,1,Yes,8
MRD-000189,No,30.92,3,0.0,Basic,2,No,0.95,No,No,4G,1,1070,No,7
MRD-000190,No,38.76,49,3727.6,Basic,5,Yes,1.38,No,Yes,5G,1,959,Yes,3
MRD-000191,No,39.48,29,1065.22,Basic,2,No,5.08,Yes,No,4G,0,262,No,2
MRD-000192,Yes,34.1,91,3084.74,Basic,1,No,1.27,No,No,5G,5,758,No,9
MRD-000193,Yes,40.67,81,4896.14,Basic,2,No,10.96,Yes,No,4G,3,1187,No,1
MRD-000194,Yes,43.2,60,2965.61,Basic,2,No,1.93,Yes,Yes,4G,1,1458,No,2
MRD-000195,No,35.74,42,2172.15,Basic,1,No,4.22,Yes,Yes,4G,1,1024,No,5
MRD-000196,No,80.6,27,3442.13,Premium,1,No,2.63,No,No,5G,1,1486,No,9
MRD-000197,No,91.8,36,2900.62,Premium,3,No,1.36,Yes,Yes,4G,0,40,Yes,4
MRD-000198,No,114.73,53,8840.57,Premium,5,Yes,3.96,Yes,Yes,4G,2,537,Yes,2
MRD-000199,Yes,36.11,75,1638.98,Basic,2,No,4.25,Yes,No,4G,0,25,No,2
MRD-000200,Yes,42.54,4,264.85,Basic,1,No,5.87,Yes,Yes,5G,1,209,No,2
MRD-000201,Yes,40.28,82,3812.85,Basic,1,No,0.56,Yes,No,4G,0,755,No,6
MRD-000202,No,65.06,27,593.61,Plus,4,No,6.2,Yes,No,5G,0,1390,Yes,8
MRD-000203,Yes,110.18,19,2084.9,Premium,4,No,0.66,Yes,Yes,4G,5,71,Yes,9
MRD-000204,No,56.85,20,1340.48,Plus,4,No,2.51,No,No,5G,2,714,Yes,4
MRD-000205,Yes,32.02,79,2145.86,Basic,1,No,2.97,Yes,No,5G,2,314,No,2
MRD-000206,No,39.31,86,3141.8,Basic,4,No,1.13,No,Yes,5G,2,32,Yes,4
MRD-000207,No,35.76,18,353.79,Basic,2,No,1.53,Yes,No,5G,4,315,No,4
MRD-000208,No,66.18,77,3855.95,Plus,2,No,1.74,Yes,No,5G,1,60,No,1
MRD-000209,No,60.99,4,539.61,Plus,1,No,0.76,No,Yes,4G,2,1007,No,5
MRD-000210,No,93.88,1,257.7,Premium,2,No,0.63,No,No,5G,1,198,No,10
MRD-000211,No,103.51,82,15863.51,Premium,1,No,0.36,Yes,No,5G,1,768,No,8
MRD-000212,No,91.06,14,1181.52,Premium,2,No,3.43,Yes,No,4G,3,140,No,3
MRD-000213,No,83.24,91,5782.23,Premium,2,No,6.75,Yes,Yes,5G,5,1459,No,9
MRD-000214,No,23.85,53,2206.94,Basic,2,Yes,0.66,Yes,Yes,5G,1,1174,No,8
MRD-000215,No,100.09,29,2839.47,Premium,2,Yes,0.2,No,No,5G,2,491,No,5
MRD-000216,No,55.8,48,1333.55,Plus,1,No,1.17,Yes,Yes,4G,3,202,No,3
MRD-000217,No,81.32,3,656.59,Premium,1,Yes,4.73,Yes,Yes,5G,2,879,No,10
MRD-000218,No,57.09,41,4101.14,Plus,2,No,5.73,Yes,No,5G,1,1383,No,2
MRD-000219,No,27.55,46,1626.98,Basic,3,No,5.81,Yes,Yes,5G,2,392,Yes,6
MRD-000220,No,97.69,88,10177.5,Premium,1,No,7.49,Yes,No,5G,0,1082,No,7
MRD-000221,No,55.05,65,2998.73,Plus,1,No,5.86,Yes,Yes,5G,1,886,No,2
MRD-000222,Yes,62.14,10,1039.13,Plus,5,Yes,0.24,Yes,Yes,5G,2,405,Yes,3
MRD-000223,Yes,39.22,63,1566.33,Basic,4,No,0.82,No,No,5G,2,59,Yes,5
MRD-000224,No,52.48,20,422.54,Plus,1,No,5.63,Yes,No,5G,1,182,No,8
MRD-000225,No,33.55,58,2292.75,Basic,4,No,5.61,Yes,No,5G,0,1244,Yes,7
MRD-000226,Yes,27.95,12,440.76,Basic,2,No,7.32,Yes,Yes,5G,4,757,No,10
MRD-000227,Yes,28.82,77,2096.69,Basic,1,No,6.34,Yes,Yes,4G,2,462,No,3
MRD-000228,No,97.14,5,1109.19,Premium,2,No,9.15,Yes,Yes,4G,1,204,No,6
MRD-000229,Yes,36.11,1,260.15,Basic,1,No,2.06,Yes,No,5G,1,1435,No,2
MRD-000230,No,37.53,32,866.68,Basic,3,Yes,2.07,No,No,5G,1,712,Yes,1
MRD-000231,No,43.37,2,98.96,Basic,2,No,0.93,Yes,Yes,5G,1,277,No,9
MRD-000232,No,36.94,14,1142.85,Basic,1,No,3.06,Yes,Yes,5G,0,483,No,10
MRD-000233,Yes,27.42,88,820.1,Basic,2,No,2.88,Yes,No,4G,0,1328,No,10
MRD-000234,Yes,40.99,61,2552.9,Basic,2,No,3.28,Yes,Yes,4G,1,721,No,5
MRD-000235,Yes,45.33,4,173.62,Basic,3,No,0.39,Yes,No,5G,1,1297,Yes,6
MRD-000236,Yes,62.98,95,9176.03,Plus,2,No,0.97,Yes,Yes,5G,4,1292,No,2
MRD-000237,No,41.01,51,1432.1,Basic,4,Yes,1.4,Yes,No,5G,2,747,Yes,1
MRD-000238,Yes,35.64,72,3845.33,Basic,3,No,15.06,Yes,Yes,4G,0,584,Yes,8
MRD-000239,No,56.57,87,5747.56,Plus,2,Yes,2.67,Yes,Yes,4G,2,682,No,5
MRD-000240,No,43.36,71,1314.39,Basic,5,Yes,3.46,Yes,Yes,5G,3,823,Yes,10
MRD-000241,No,60.66,72,4027.66,Plus,1,No,7.39,No,Yes,5G,4,591,No,5
MRD-000242,Yes,33.75,22,1360.39,Basic,2,Yes,1.64,Yes,Yes,5G,0,687,No,6
MRD-000243,No,38.07,54,1809.8,Basic,1,No,1.88,Yes,Yes,4G,4,1078,No,9
MRD-000244,No,56.8,62,3269.37,Plus,2,Yes,8.44,Yes,No,4G,1,43,No,7
MRD-000245,No,57.69,65,7043.3,Plus,2,Yes,3.12,No,No,4G,2,1185,No,7
MRD-000246,No,29.0,26,1160.74,Basic,3,No,3.81,No,Yes,4G,3,130,Yes,10
MRD-000247,Yes,33.97,27,602.38,Basic,2,Yes,5.39,No,No,5G,1,509,No,1
MRD-000248,No,65.02,64,4653.41,Plus,4,No,1.8,Yes,Yes,5G,0,1319,Yes,5
MRD-000249,Yes,29.66,31,1161.53,Basic,2,No,5.55,No,No,4G,3,1182,No,1
MRD-000250,No,106.87,57,9570.32,Premium,1,No,2.42,Yes,No,4G,4,1220,No,7
MRD-000251,No,104.27,68,4974.89,Premium,1,No,6.43,No,No,5G,0,1043,No,1
MRD-000252,Yes,65.7,35,2103.63,Plus,2,Yes,2.92,Yes,No,5G,3,344,No,1
MRD-000253,No,39.17,82,6024.65,Basic,2,No,2.32,Yes,No,4G,1,976,No,5
MRD-000254,No,94.0,60,2757.07,Premium,4,No,3.15,Yes,No,5G,4,258,Yes,6
MRD-000255,No,54.6,6,703.04,Plus,2,No,3.99,Yes,No,5G,1,121,No,6
MRD-000256,No,38.03,30,1029.74,Basic,1,No,2.25,Yes,Yes,4G,1,840,No,2
MRD-000257,Yes,88.06,45,3725.74,Premium,2,No,6.13,Yes,No,5G,1,769,No,4
MRD-000258,Yes,71.92,52,3824.17,Plus,2,No,2.55,No,Yes,5G,2,379,No,3
MRD-000259,Yes,48.65,32,2014.93,Plus,1,Yes,8.37,Yes,No,5G,0,16,No,10
MRD-000260,No,31.41,53,813.45,Basic,2,Yes,4.52,No,No,5G,1,942,No,8
MRD-000261,No,30.53,90,1116.01,Basic,2,No,3.92,Yes,No,5G,2,79,No,8
MRD-000262,No,101.02,75,4468.65,Premium,2,No,2.77,Yes,No,5G,2,1044,No,6
MRD-000263,No,34.56,34,2513.92,Basic,1,No,3.61,No,Yes,5G,0,672,No,6
MRD-000264,Yes,31.98,4,399.84,Basic,1,No,2.24,Yes,No,4G,4,315,No,3
MRD-000265,No,108.51,25,4161.82,Premium,4,Yes,9.59,No,Yes,5G,1,967,Yes,7
MRD-000266,No,57.75,77,3440.54,Plus,2,No,1.17,Yes,No,5G,2,1043,No,1
MRD-000267,No,106.72,2,414.66,Premium,4,Yes,0.83,No,No,5G,3,370,Yes,8
MRD-000268,No,118.66,28,2908.14,Premium,3,No,1.52,No,No,5G,2,993,Yes,9
MRD-000269,No,51.51,39,3257.69,Plus,3,Yes,1.37,No,No,4G,0,1399,Yes,7
MRD-000270,No,42.85,72,2857.6,Basic,2,No,4.6,Yes,No,5G,4,1332,No,7
MRD-000271,No,97.99,38,3451.06,Premium,2,No,6.42,Yes,No,5G,0,848,No,6
