customer_id,cancelled,weekly_box_price,tenure_weeks,estimated_lifetime_value,meal_plan,household_size,dietary_preference,meals_skipped_ytd,referral_count,recipe_rating_avg,delivery_issues_ytd,app_engagement_score,payment_method,auto_renew,boxes_per_week
HTM-000105,No,94.93,25,3045.41,Gourmet,5,Omnivore,0,1,4.3,2,65,paypal,Yes,1
HTM-000106,Yes,44.74,53,1819.18,Basic,3,Omnivore,2,0,4.2,4,15,card,Yes,2
HTM-000107,No,86.85,25,1437.18,Gourmet,1,Omnivore,7,2,4.5,0,72,card,No,1
HTM-000108,No,76.35,5,478.91,Family,2,Pescatarian,3,1,4.4,0,82,paypal,No,1
HTM-000109,No,62.91,98,18229.08,Family,2,Omnivore,6,0,3.4,0,22,paypal,Yes,1
HTM-000110,No,70.85,6,402.31,Family,3,Vegetarian,1,0,4.1,1,98,card,No,1
HTM-000111,Yes,35.14,70,2960.04,Basic,1,Omnivore,3,0,4.7,1,57,paypal,No,1
HTM-000112,No,67.36,71,4562.06,Family,2,Vegetarian,3,2,4.8,2,35,paypal,No,1
HTM-000113,No,105.59,38,4907.21,Gourmet,1,Omnivore,2,1,4.0,0,95,card,No,1
HTM-000114,No,118.93,77,18498.62,Gourmet,3,Omnivore,4,1,4.0,0,4,card,Yes,3
HTM-000115,No,35.74,13,310.06,Basic,2,Omnivore,0,0,5.0,1,7,card,No,1
HTM-000116,No,59.84,20,1223.77,Family,2,Pescatarian,6,1,4.3,1,8,paypal,No,2
HTM-000117,Yes,35.82,24,851.02,Basic,2,Pescatarian,2,0,3.9,0,24,bnpl,Yes,2
HTM-000118,No,75.39,52,4663.67,Family,1,Omnivore,2,1,3.2,0,84,card,Yes,1
HTM-000119,No,111.28,88,4479.33,Gourmet,6,Omnivore,3,0,3.7,6,72,card,No,2
HTM-000120,No,40.61,102,5224.98,Basic,3,Omnivore,3,0,4.6,1,96,card,Yes,2
HTM-000121,No,108.33,100,11982.48,Gourmet,5,Omnivore,5,0,4.4,1,33,card,Yes,1
HTM-000122,No,66.31,8,749.71,Family,1,Omnivore,1,0,4.3,1,45,card,Yes,1
HTM-000123,No,75.31,27,1524.65,Family,3,Omnivore,6,0,4.3,0,62,paypal,Yes,1
HTM-000124,No,78.07,103,19146.23,Family,2,Omnivore,1,0,4.2,0,60,paypal,Yes,2
HTM-000125,No,32.78,10,279.21,Basic,4,Omnivore,2,0,3.5,1,79,bnpl,No,1
HTM-000126,No,91.99,59,2135.42,Gourmet,4,Omnivore,5,0,4.0,1,87,card,Yes,1
HTM-000127,Yes,40.9,39,2576.11,Basic,3,Omnivore,2,2,4.5,0,59,card,No,1
HTM-000128,No,48.37,6,151.57,Basic,2,Vegetarian,1,0,4.7,2,58,bnpl,Yes,2
HTM-000129,No,39.68,48,1518.92,Basic,2,Omnivore,5,0,4.2,0,93,card,No,2
HTM-000130,Yes,39.27,58,3749.47,Basic,2,Omnivore,5,0,3.6,0,51,card,Yes,3
HTM-000131,No,110.47,82,5076.31,Gourmet,3,Vegetarian,5,0,3.8,0,54,card,Yes,1
HTM-000132,No,46.14,18,892.62,Basic,1,Vegetarian,2,1,4.5,0,42,card,No,2
HTM-000133,No,66.02,53,3356.63,Family,4,Omnivore,2,1,4.9,0,70,paypal,Yes,2
HTM-000134,No,79.51,60,5855.66,Family,2,Pescatarian,3,0,4.8,0,1,card,Yes,2
HTM-000135,No,124.47,44,2211.32,Gourmet,2,Omnivore,3,1,3.0,0,35,paypal,Yes,1
HTM-000136,No,45.49,28,727.32,Basic,2,Omnivore,4,0,3.7,0,23,card,Yes,2
HTM-000137,Yes,34.12,60,1271.37,Basic,2,Omnivore,2,0,5.0,1,69,card,No,1
HTM-000138,Yes,51.75,50,2556.27,Basic,6,Vegetarian,3,1,4.9,1,2,bnpl,Yes,1
HTM-000139,No,39.66,75,3989.8,Basic,3,Omnivore,5,2,4.6,1,24,card,No,2
HTM-000140,No,29.34,22,631.53,Basic,3,Omnivore,1,0,3.5,1,30,paypal,Yes,3
HTM-000141,Yes,83.17,13,673.02,Family,1,Pescatarian,4,0,3.6,0,59,card,No,2
HTM-000142,No,101.15,61,6166.05,Gourmet,2,Omnivore,2,0,4.0,0,21,paypal,No,3
HTM-000143,No,101.12,25,3812.74,Gourmet,1,Omnivore,5,0,3.5,0,83,card,Yes,2
HTM-000144,No,32.45,15,378.74,Basic,2,Omnivore,1,1,3.6,0,56,card,Yes,2
HTM-000145,Yes,47.6,10,564.31,Basic,3,Pescatarian,2,0,3.7,1,50,card,Yes,2
HTM-000146,No,75.65,16,701.14,Family,5,Pescatarian,2,1,4.7,0,22,card,Yes,2
HTM-000147,No,38.27,71,3286.68,Basic,1,Omnivore,6,0,4.2,0,64,card,Yes,1
HTM-000148,No,73.73,53,8842.15,Family,3,Omnivore,2,0,5.0,0,67,paypal,No,1
HTM-000149,Yes,56.55,6,203.93,Family,2,Vegan,5,0,3.9,1,48,card,Yes,1
HTM-000150,No,73.14,35,3090.57,Family,3,Vegetarian,0,1,4.8,0,64,card,Yes,1
HTM-000151,No,56.45,75,943.16,Family,1,Omnivore,2,0,5.0,0,57,card,No,3
HTM-000152,No,54.78,72,2766.27,Family,5,Omnivore,6,1,4.1,1,27,paypal,No,2
HTM-000153,No,36.75,79,5912.85,Basic,2,Vegan,2,0,3.3,2,64,card,Yes,2
HTM-000154,Yes,40.09,3,197.07,Basic,1,Vegan,6,1,4.1,1,58,card,Yes,2
HTM-000155,No,42.09,54,2861.16,Basic,3,Omnivore,6,0,4.0,0,96,paypal,No,3
HTM-000156,No,99.66,91,15197.08,Gourmet,2,Omnivore,5,1,4.2,1,87,card,Yes,1
HTM-000157,Yes,40.28,62,2112.49,Basic,6,Omnivore,2,0,2.9,1,75,card,No,2
HTM-000158,No,36.64,69,2606.56,Basic,2,Vegetarian,5,0,4.9,0,23,paypal,Yes,2
HTM-000159,No,82.58,53,4188.37,Family,2,Omnivore,1,1,4.3,1,45,bnpl,No,1
HTM-000160,Yes,44.27,100,1738.62,Basic,6,Omnivore,3,0,3.3,1,83,paypal,Yes,1
HTM-000161,No,113.27,18,1231.93,Gourmet,3,Vegan,1,0,4.6,3,9,card,Yes,2
HTM-000162,No,64.35,4,350.12,Family,2,Vegetarian,7,0,3.8,1,30,paypal,Yes,3
HTM-000163,No,83.61,39,3127.65,Gourmet,3,Vegan,2,0,5.0,0,73,paypal,No,2
HTM-000164,Yes,35.75,2,12.28,Basic,2,Omnivore,5,0,3.0,1,51,bnpl,Yes,2
HTM-000165,Yes,66.62,58,1758.86,Family,1,Vegan,3,0,4.3,0,1,card,No,2
HTM-000166,No,74.02,100,7519.8,Family,3,Omnivore,2,0,4.8,0,74,paypal,Yes,1
HTM-000167,No,42.08,75,2016.3,Basic,2,Omnivore,1,1,3.9,1,54,card,Yes,3
HTM-000168,Yes,30.7,62,3074.84,Basic,2,Omnivore,4,1,4.1,1,22,card,Yes,2
HTM-000169,Yes,68.62,96,6033.96,Family,3,Vegan,5,0,3.9,1,15,card,Yes,3
HTM-000170,No,72.16,81,4948.18,Family,3,Vegetarian,6,1,4.0,1,45,card,Yes,1
HTM-000171,No,69.72,8,360.92,Family,4,Pescatarian,2,0,4.3,0,98,card,Yes,1
HTM-000172,No,78.75,5,188.45,Family,3,Omnivore,3,1,4.6,0,39,card,No,1
HTM-000173,No,36.44,78,5301.52,Basic,3,Omnivore,4,0,3.1,0,55,card,No,3
HTM-000174,No,53.81,87,3795.54,Family,3,Omnivore,4,0,4.2,0,18,card,Yes,3
HTM-000175,Yes,26.1,7,256.5,Basic,1,Omnivore,7,0,3.8,0,24,card,No,1
HTM-000176,No,82.52,96,6451.03,Gourmet,4,Omnivore,4,0,4.0,0,58,card,No,2
HTM-000177,No,31.96,55,1945.07,Basic,6,Omnivore,4,0,3.9,1,70,paypal,No,1
HTM-000178,No,58.04,42,2457.92,Family,1,Vegan,3,0,3.2,1,84,bnpl,Yes,1
HTM-000179,No,34.55,93,6996.49,Basic,1,Vegetarian,4,0,4.9,1,54,card,Yes,1
HTM-000180,No,69.5,22,2071.18,Family,2,Omnivore,3,0,4.8,0,92,card,Yes,2
HTM-000181,No,86.19,49,4480.81,Gourmet,2,Omnivore,3,0,4.1,0,49,paypal,No,1
HTM-000182,Yes,25.0,4,177.88,Basic,1,Omnivore,2,0,4.0,1,64,card,Yes,3
HTM-000183,No,65.75,92,10025.71,Family,2,Omnivore,3,0,3.2,2,87,card,Yes,1
HTM-000184,No,97.64,87,7710.98,Gourmet,4,Omnivore,4,1,4.6,0,36,card,No,1
HTM-000185,Yes,25.3,6,230.24,Basic,2,Omnivore,1,2,5.0,1,73,card,No,1
HTM-000186,No,69.35,27,1760.87,Family,2,Omnivore,3,1,3.8,1,20,card,Yes,2
HTM-000187,No,111.66,29,3011.65,Gourmet,2,Omnivore,4,0,5.0,3,47,paypal,Yes,1
HTM-000188,No,37.31,44,1806.0,Basic,4,Omnivore,2,1,4.2,0,58,card,Yes,2
HTM-000189,No,36.15,84,3016.57,Basic,1,Omnivore,3,0,4.2,2,98,card,No,2
HTM-000190,No,44.09,8,553.2,Basic,2,Vegetarian,2,0,3.7,2,78,bnpl,Yes,2
HTM-000191,No,40.84,83,4935.7,Basic,2,Omnivore,7,1,3.7,0,69,card,Yes,1
HTM-000192,No,43.65,89,4127.65,Basic,5,Omnivore,3,0,4.5,1,0,card,Yes,3
HTM-000193,No,101.2,44,1800.76,Gourmet,2,Omnivore,2,1,3.8,0,17,paypal,Yes,3
HTM-000194,Yes,37.49,87,4038.67,Basic,2,Omnivore,1,0,4.1,0,61,card,Yes,2
HTM-000195,Yes,69.38,104,14471.02,Family,5,Vegetarian,3,0,3.6,0,20,card,Yes,1
HTM-000196,Yes,43.27,63,4682.88,Basic,3,Omnivore,3,0,3.9,2,63,card,Yes,2
HTM-000197,No,79.58,90,8612.27,Family,2,Pescatarian,2,0,4.1,0,6,bnpl,Yes,1
HTM-000198,No,105.32,91,15133.01,Gourmet,5,Pescatarian,2,1,4.6,1,100,bnpl,No,2
HTM-000199,Yes,49.78,7,298.3,Basic,3,Vegetarian,2,0,2.6,0,23,bnpl,Yes,2
HTM-000200,No,86.19,103,7468.42,Gourmet,4,Omnivore,2,0,3.7,0,1,card,Yes,1
HTM-000201,No,117.5,29,2669.38,Gourmet,4,Omnivore,3,0,2.8,0,52,card,No,2
HTM-000202,No,43.58,98,8396.43,Basic,1,Omnivore,4,0,3.9,2,0,bnpl,No,3
HTM-000203,No,45.23,28,826.6,Basic,1,Vegetarian,3,0,4.9,1,74,card,No,2
HTM-000204,Yes,87.77,99,6081.36,Gourmet,1,Omnivore,3,1,3.3,0,20,bnpl,Yes,3
HTM-000205,No,89.61,39,4422.66,Gourmet,2,Vegan,4,0,4.2,2,100,card,No,3
HTM-000206,No,103.07,12,1554.87,Gourmet,2,Omnivore,1,2,4.2,3,9,card,Yes,2
HTM-000207,No,71.11,14,409.31,Family,2,Omnivore,4,0,4.7,3,74,paypal,No,1
HTM-000208,No,36.02,45,1015.07,Basic,2,Omnivore,5,1,3.7,1,62,card,No,1
HTM-000209,Yes,77.93,3,187.73,Family,1,Omnivore,0,0,4.0,1,21,card,Yes,1
HTM-000210,Yes,31.7,48,569.37,Basic,3,Omnivore,7,1,4.1,2,93,card,No,1
HTM-000211,No,105.19,92,15399.22,Gourmet,4,Vegan,4,0,4.6,0,13,paypal,Yes,1
HTM-000212,No,37.8,70,1654.27,Basic,2,Omnivore,1,0,3.1,1,0,card,Yes,1
HTM-000213,No,42.97,58,1070.61,Basic,6,Omnivore,2,1,3.4,1,95,card,Yes,1
HTM-000214,No,37.41,49,869.3,Basic,2,Vegetarian,2,0,4.6,0,76,card,Yes,2
HTM-000215,No,48.84,88,3093.01,Basic,1,Omnivore,6,0,4.4,1,82,bnpl,No,3
HTM-000216,No,52.63,67,4314.71,Family,3,Omnivore,1,0,3.3,2,10,card,No,1
HTM-000217,No,41.97,101,8469.54,Basic,3,Omnivore,2,0,3.0,0,33,bnpl,Yes,1
HTM-000218,No,58.16,9,646.34,Family,2,Omnivore,3,2,3.0,1,89,card,No,1
HTM-000219,Yes,42.46,87,4341.53,Basic,3,Vegetarian,2,0,4.5,3,80,card,No,1
HTM-000220,No,87.83,54,4087.99,Gourmet,2,Omnivore,3,0,4.3,0,100,paypal,Yes,1
HTM-000221,No,78.78,49,5357.69,Gourmet,2,Pescatarian,5,1,4.9,2,77,card,Yes,1
HTM-000222,No,74.31,13,1280.32,Family,2,Omnivore,8,0,3.6,1,88,card,No,1
HTM-000223,No,110.26,64,6361.9,Gourmet,3,Omnivore,4,0,4.2,1,74,bnpl,Yes,1
HTM-000224,Yes,37.97,71,2154.28,Basic,3,Omnivore,0,1,2.8,0,56,card,No,1
HTM-000225,Yes,40.08,25,711.88,Basic,2,Omnivore,3,0,3.4,1,89,card,Yes,2
HTM-000226,Yes,45.24,31,1601.35,Basic,4,Omnivore,3,0,4.5,1,23,paypal,No,1
HTM-000227,Yes,43.02,59,1526.01,Basic,2,Vegetarian,3,1,4.2,1,21,paypal,Yes,2
HTM-000228,No,93.09,38,1954.43,Gourmet,3,Vegetarian,3,0,4.3,2,51,card,Yes,1
HTM-000229,No,84.47,40,5311.93,Gourmet,3,Vegetarian,2,0,3.9,0,41,card,No,2
HTM-000230,No,62.03,90,1185.69,Family,3,Vegetarian,2,1,4.1,2,41,paypal,Yes,1
HTM-000231,No,37.01,70,2768.28,Basic,2,Vegetarian,5,1,5.0,0,90,card,Yes,1
HTM-000232,No,42.82,30,1545.0,Basic,4,Omnivore,6,0,4.2,1,72,paypal,Yes,2
HTM-000233,Yes,50.86,86,7943.15,Basic,2,Omnivore,3,1,4.2,3,75,card,No,2
HTM-000234,No,78.09,71,7590.87,Family,4,Vegetarian,2,0,3.2,0,53,card,Yes,2
HTM-000235,No,39.96,87,2726.38,Basic,4,Vegan,5,0,4.7,0,16,card,Yes,1
HTM-000236,Yes,64.16,89,11692.75,Family,2,Omnivore,3,1,4.3,2,82,card,Yes,1
HTM-000237,No,77.53,51,3864.44,Family,3,Omnivore,3,0,3.9,1,19,card,Yes,1
HTM-000238,Yes,43.09,87,2171.65,Basic,5,Omnivore,1,0,3.5,1,25,card,No,3
HTM-000239,No,114.07,76,7195.5,Gourmet,5,Vegetarian,0,0,4.3,0,65,bnpl,Yes,2
HTM-000240,No,40.83,91,5420.17,Basic,3,Omnivore,2,0,3.4,2,47,card,No,2
HTM-000241,No,102.39,90,7594.55,Gourmet,4,Omnivore,4,0,4.3,0,21,bnpl,No,1
HTM-000242,No,72.08,34,2882.89,Family,2,Omnivore,1,0,4.0,1,44,card,Yes,1
HTM-000243,Yes,42.5,5,37.49,Basic,3,Pescatarian,5,0,4.0,2,75,card,No,2
HTM-000244,No,55.0,12,728.25,Basic,5,Vegetarian,2,2,4.1,0,56,card,Yes,3
HTM-000245,No,69.86,94,12003.37,Family,5,Omnivore,2,2,3.6,0,53,bnpl,Yes,1
HTM-000246,No,32.79,92,4430.86,Basic,1,Vegetarian,2,0,3.6,1,2,card,Yes,1
HTM-000247,No,72.59,45,1944.71,Family,3,Omnivore,5,1,4.3,0,25,card,Yes,1
HTM-000248,No,102.37,30,1988.47,Gourmet,4,Pescatarian,4,0,4.2,1,7,card,No,2
HTM-000249,No,101.82,85,3919.96,Gourmet,6,Omnivore,4,0,4.0,0,1,card,Yes,2
HTM-000250,No,39.97,87,2272.02,Basic,2,Omnivore,1,0,3.6,1,80,card,Yes,1
HTM-000251,No,83.22,31,2351.39,Gourmet,3,Vegetarian,5,0,4.1,0,56,card,No,3
HTM-000252,Yes,43.33,2,133.85,Basic,2,Vegetarian,3,0,4.2,0,1,card,No,1
HTM-000253,Yes,58.5,5,151.51,Family,1,Omnivore,0,0,3.2,0,24,bnpl,Yes,2
HTM-000254,No,101.08,35,3205.79,Gourmet,5,Vegetarian,4,0,5.0,0,12,card,Yes,3
HTM-000255,No,58.91,51,4503.08,Family,1,Omnivore,1,0,4.1,0,3,bnpl,Yes,2
HTM-000256,No,116.23,87,4650.44,Gourmet,1,Omnivore,6,0,4.3,0,15,paypal,Yes,1
HTM-000257,Yes,34.67,8,546.63,Basic,2,Pescatarian,3,1,3.6,1,70,card,No,1
HTM-000258,No,104.27,92,13222.54,Gourmet,4,Pescatarian,6,0,4.6,0,22,card,Yes,3
HTM-000259,No,121.88,53,7521.22,Gourmet,2,Omnivore,0,0,4.8,1,15,card,Yes,2
HTM-000260,No,94.8,83,9807.47,Gourmet,6,Omnivore,2,0,4.8,1,45,paypal,Yes,2
