customerId,monthsActive,planTier,monthlyFee,monitoringType,numSensors,hasCamera,alarmTriggersYtd,mobileAppActive,contractLengthMonths,installType,supportCallsYtd,estimatedValue,cancelled
BHS-00037,44,Basic,17.38,Hybrid,3,Yes,3,Yes,0,DIY,2,2031.62,Yes
BHS-00038,41,Standard,35.81,Hybrid,5,Yes,1,Yes,0,Professional,2,834.64,No
BHS-00039,41,Standard,32.59,Self-Monitored,2,Yes,0,No,0,Professional,0,1021.77,Yes
BHS-00040,15,Basic,18.26,Professional,9,No,1,Yes,0,DIY,1,661.37,Yes
BHS-00041,34,Standard,39.15,Self-Monitored,3,Yes,0,Yes,0,DIY,0,1276.26,No
BHS-00042,15,Standard,33.01,Professional,5,Yes,3,Yes,0,DIY,1,549.79,No
BHS-00043,17,Premium,59.75,Professional,11,No,3,Yes,12,Professional,1,1683.55,No
BHS-00044,56,Standard,36.24,Professional,9,No,0,Yes,12,Professional,1,866.63,No
BHS-00045,57,Standard,28.22,Hybrid,6,No,2,Yes,12,Professional,2,2376.98,Yes
BHS-00046,60,Premium,48.75,Professional,2,No,2,Yes,12,Professional,0,4130.71,No
BHS-00047,43,Premium,52.54,Self-Monitored,5,No,1,Yes,12,DIY,3,3705.79,No
BHS-00048,19,Standard,38.3,Hybrid,5,No,0,Yes,0,Professional,0,1037.83,No
BHS-00049,8,Standard,27.48,Professional,9,Yes,1,Yes,36,Professional,1,508.02,No
BHS-00050,45,Standard,32.99,Self-Monitored,5,Yes,0,Yes,0,Professional,2,1718.39,Yes
BHS-00051,64,Standard,29.53,Self-Monitored,2,Yes,0,Yes,12,DIY,1,950.16,No
BHS-00052,37,Premium,59.45,Self-Monitored,2,Yes,6,Yes,12,DIY,0,1849.98,No
BHS-00053,20,Standard,30.51,Hybrid,2,No,3,Yes,24,Professional,1,559.29,No
BHS-00054,43,Basic,21.75,Self-Monitored,3,Yes,1,No,12,Professional,3,843.63,Yes
BHS-00055,12,Standard,34.85,Professional,2,Yes,1,Yes,12,DIY,4,439.94,Yes
BHS-00056,63,Basic,23.81,Self-Monitored,2,No,4,Yes,12,DIY,1,1281.46,Yes
BHS-00057,28,Basic,20.41,Professional,3,Yes,3,Yes,12,DIY,1,829.42,No
BHS-00058,43,Basic,18.36,Hybrid,7,Yes,0,Yes,0,DIY,0,1148.79,No
BHS-00059,49,Standard,32.3,Hybrid,7,Yes,1,No,36,Professional,0,1222.16,No
BHS-00060,62,Basic,19.02,Professional,6,Yes,2,Yes,12,DIY,0,1681.55,No
BHS-00061,24,Premium,57.84,Professional,7,Yes,0,Yes,12,DIY,0,1814.1,No
BHS-00062,34,Basic,20.27,Professional,4,Yes,1,No,24,DIY,3,401.3,Yes
BHS-00063,27,Standard,37.94,Hybrid,7,No,1,Yes,12,DIY,0,1148.26,Yes
BHS-00064,4,Standard,34.0,Professional,5,Yes,1,Yes,24,DIY,2,308.3,No
BHS-00065,22,Premium,55.44,Professional,6,Yes,3,No,24,DIY,2,1064.83,No
BHS-00066,11,Standard,35.66,Professional,8,Yes,3,Yes,24,DIY,0,649.86,No
BHS-00067,54,Basic,18.65,Professional,7,Yes,3,No,12,DIY,2,932.16,No
BHS-00068,47,Standard,31.72,Hybrid,5,Yes,0,Yes,12,DIY,0,1350.25,No
BHS-00069,7,Basic,23.04,Professional,5,Yes,5,No,24,Professional,3,365.79,No
BHS-00070,27,Standard,37.98,Professional,5,Yes,0,No,24,Professional,2,2096.8,No
BHS-00071,1,Premium,56.44,Hybrid,5,Yes,0,No,12,DIY,1,307.51,Yes
BHS-00072,34,Standard,35.72,Professional,6,Yes,0,Yes,0,Professional,0,1122.41,No
BHS-00073,17,Standard,37.09,Professional,2,Yes,2,No,24,Professional,1,844.11,No
BHS-00074,54,Standard,38.03,Professional,8,No,1,Yes,0,DIY,0,2182.31,No
BHS-00075,68,Premium,58.93,Self-Monitored,4,Yes,4,No,12,Professional,3,6537.09,No
BHS-00076,45,Standard,38.45,Hybrid,1,Yes,2,Yes,0,DIY,1,2012.86,No
BHS-00077,10,Standard,36.65,Professional,3,Yes,4,Yes,12,DIY,0,411.65,Yes
BHS-00078,53,Basic,18.26,Hybrid,3,No,0,Yes,24,Professional,0,994.75,No
BHS-00079,37,Basic,21.14,Professional,5,Yes,1,No,12,Professional,1,1019.16,Yes
BHS-00080,2,Standard,35.69,Hybrid,4,No,1,Yes,0,Professional,2,56.18,Yes
BHS-00081,5,Basic,21.89,Professional,2,No,1,No,0,DIY,0,178.69,Yes
BHS-00082,67,Standard,39.41,Professional,3,Yes,2,Yes,12,Professional,0,7712.86,No
BHS-00083,54,Standard,35.64,Self-Monitored,4,No,3,Yes,0,DIY,2,1580.43,No
BHS-00084,26,Basic,20.01,Professional,3,No,1,Yes,24,Professional,1,280.36,No
BHS-00085,0,Standard,33.34,Professional,2,Yes,1,Yes,12,Professional,1,0.0,No
BHS-00086,51,Premium,51.37,Self-Monitored,3,Yes,1,Yes,12,DIY,1,7577.4,No
BHS-00087,33,Standard,38.66,Professional,6,No,1,Yes,12,Professional,1,998.74,No
BHS-00088,30,Basic,19.42,Self-Monitored,3,No,0,Yes,24,DIY,1,1045.54,No
BHS-00089,1,Standard,39.17,Hybrid,6,Yes,0,Yes,12,Professional,1,220.75,No
BHS-00090,15,Standard,34.78,Professional,5,Yes,3,Yes,0,DIY,1,827.38,No
BHS-00091,17,Standard,37.47,Professional,4,Yes,1,Yes,0,DIY,1,818.64,No
BHS-00092,40,Standard,36.81,Self-Monitored,5,No,0,Yes,12,Professional,0,1010.95,No
BHS-00093,45,Basic,19.93,Self-Monitored,4,Yes,1,Yes,12,DIY,1,735.81,No
BHS-00094,6,Basic,17.81,Self-Monitored,7,Yes,2,No,12,Professional,2,415.72,Yes
BHS-00095,69,Basic,21.93,Professional,5,Yes,1,No,24,DIY,0,2926.02,Yes
BHS-00096,3,Standard,35.35,Self-Monitored,6,Yes,0,Yes,24,Professional,1,290.28,No
BHS-00097,49,Standard,29.11,Self-Monitored,3,No,0,No,24,Professional,1,1053.13,No
BHS-00098,20,Premium,56.96,Self-Monitored,3,No,1,Yes,12,DIY,0,1128.77,No
BHS-00099,72,Standard,30.58,Professional,3,No,0,Yes,12,Professional,0,2081.57,No
BHS-00100,31,Standard,33.51,Professional,3,Yes,0,No,36,DIY,0,1405.32,No
BHS-00101,43,Premium,54.96,Self-Monitored,5,Yes,3,No,24,DIY,1,2472.38,No
BHS-00102,17,Basic,19.66,Professional,2,No,2,Yes,24,Professional,1,209.25,Yes
BHS-00103,24,Standard,35.16,Professional,6,Yes,0,Yes,24,DIY,1,888.53,No
BHS-00104,72,Basic,19.36,Professional,4,Yes,2,Yes,0,DIY,0,1550.23,Yes
BHS-00105,61,Premium,55.82,Professional,6,Yes,0,Yes,0,Professional,2,6889.46,No
BHS-00106,2,Standard,30.28,Professional,1,No,1,Yes,12,Professional,2,122.38,No
BHS-00107,49,Premium,61.94,Professional,1,No,3,No,24,Professional,0,3815.18,No
BHS-00108,63,Premium,56.71,Professional,6,Yes,1,No,12,DIY,0,4186.63,No
BHS-00109,47,Standard,26.62,Professional,2,No,0,Yes,24,DIY,0,878.31,No
BHS-00110,30,Standard,34.58,Self-Monitored,6,Yes,3,Yes,0,Professional,2,1135.16,No
BHS-00111,30,Standard,35.02,Self-Monitored,4,No,1,Yes,12,Professional,2,1152.78,No
BHS-00112,55,Basic,17.25,Hybrid,2,Yes,0,Yes,24,Professional,0,1459.89,No
BHS-00113,66,Basic,24.86,Hybrid,7,Yes,3,Yes,36,Professional,1,1777.09,No
BHS-00114,66,Basic,22.13,Self-Monitored,4,Yes,0,Yes,0,Professional,0,1256.01,No
BHS-00115,41,Premium,63.53,Professional,6,Yes,1,Yes,12,Professional,2,2732.11,No
BHS-00116,42,Basic,16.34,Hybrid,4,Yes,2,Yes,12,DIY,2,1269.48,No
BHS-00117,53,Standard,38.45,Professional,5,Yes,1,Yes,12,Professional,0,3022.9,No
BHS-00118,36,Standard,42.72,Professional,7,No,1,No,24,Professional,1,1986.07,No
BHS-00119,3,Standard,29.56,Professional,6,Yes,3,Yes,0,Professional,0,232.97,No
BHS-00120,46,Basic,21.4,Professional,6,Yes,3,Yes,36,Professional,0,885.39,Yes
BHS-00121,58,Standard,36.36,Professional,7,Yes,3,Yes,36,DIY,0,2134.74,No
BHS-00122,71,Standard,44.5,Hybrid,2,Yes,0,Yes,0,Professional,1,2599.62,No
BHS-00123,21,Premium,52.02,Professional,2,No,0,Yes,12,Professional,0,677.21,Yes
BHS-00124,5,Premium,54.43,Professional,4,Yes,1,Yes,12,Professional,2,299.41,No
BHS-00125,43,Basic,18.47,Professional,10,No,3,Yes,24,DIY,0,1053.82,Yes
BHS-00126,41,Standard,29.72,Professional,4,Yes,1,Yes,24,Professional,0,1596.75,No
BHS-00127,51,Standard,31.08,Self-Monitored,1,No,1,No,12,Professional,1,1676.35,Yes
BHS-00128,35,Standard,38.88,Professional,3,No,2,Yes,24,Professional,0,1316.92,Yes
BHS-00129,49,Basic,17.72,Professional,9,Yes,2,No,36,Professional,4,1308.41,Yes
BHS-00130,59,Standard,35.75,Self-Monitored,6,Yes,1,Yes,12,DIY,1,1460.64,Yes
BHS-00131,16,Basic,18.16,Professional,7,No,2,No,24,Professional,0,245.38,Yes
BHS-00132,7,Basic,21.29,Professional,2,Yes,1,Yes,36,Professional,1,212.51,No
BHS-00133,57,Standard,36.09,Hybrid,3,Yes,1,Yes,24,Professional,0,2738.19,No
BHS-00134,46,Basic,19.63,Professional,7,Yes,0,Yes,12,DIY,3,2131.61,No
BHS-00135,11,Standard,37.47,Hybrid,6,Yes,1,Yes,0,Professional,0,561.98,Yes
BHS-00136,21,Premium,45.86,Hybrid,3,Yes,2,Yes,24,Professional,0,1457.75,No
BHS-00137,40,Standard,37.95,Hybrid,4,No,3,Yes,12,Professional,1,831.22,No
BHS-00138,55,Premium,49.22,Self-Monitored,6,Yes,1,Yes,0,DIY,1,1623.96,No
BHS-00139,39,Standard,36.68,Self-Monitored,6,Yes,3,No,0,Professional,0,1674.59,No
BHS-00140,4,Standard,37.17,Professional,3,No,1,Yes,36,Professional,2,365.92,No
BHS-00141,56,Premium,52.75,Professional,3,No,0,Yes,0,Professional,1,3011.85,No
BHS-00142,61,Standard,30.2,Self-Monitored,1,Yes,1,Yes,24,DIY,0,928.56,No
BHS-00143,3,Basic,19.86,Professional,2,Yes,3,No,24,Professional,0,43.6,Yes
BHS-00144,0,Basic,20.7,Self-Monitored,5,Yes,1,Yes,12,DIY,1,171.02,Yes
BHS-00145,9,Standard,38.92,Self-Monitored,4,Yes,3,No,24,DIY,1,482.72,No
BHS-00146,64,Premium,57.83,Professional,1,No,1,Yes,24,Professional,3,2398.83,No
BHS-00147,68,Premium,51.99,Self-Monitored,5,Yes,1,Yes,12,DIY,1,5917.58,No
BHS-00148,35,Standard,41.25,Self-Monitored,5,Yes,4,Yes,0,Professional,1,1106.69,No
BHS-00149,30,Standard,39.43,Professional,4,Yes,4,Yes,0,Professional,1,836.23,Yes
BHS-00150,67,Standard,36.99,Self-Monitored,7,Yes,3,Yes,24,Professional,2,5422.51,Yes
BHS-00151,17,Basic,22.34,Hybrid,1,Yes,0,Yes,24,Professional,3,277.68,Yes
BHS-00152,0,Standard,42.54,Professional,5,No,1,Yes,24,Professional,0,210.64,Yes
BHS-00153,61,Standard,35.74,Professional,5,Yes,0,Yes,24,Professional,1,1644.34,Yes
BHS-00154,67,Standard,38.96,Professional,2,No,2,No,12,DIY,0,1747.66,No
BHS-00155,59,Standard,41.76,Professional,8,No,1,Yes,24,DIY,2,3980.72,No
BHS-00156,39,Standard,33.53,Self-Monitored,4,No,2,No,12,Professional,0,1499.78,No
BHS-00157,72,Standard,40.23,Self-Monitored,1,Yes,0,Yes,12,DIY,1,1811.84,Yes
BHS-00158,4,Standard,30.46,Professional,4,No,3,Yes,0,Professional,1,180.36,No
BHS-00159,64,Standard,31.53,Hybrid,4,Yes,1,Yes,24,Professional,0,1312.05,Yes
BHS-00160,71,Premium,48.45,Professional,4,Yes,3,Yes,12,DIY,4,1860.76,No
BHS-00161,39,Premium,57.06,Professional,2,No,0,Yes,36,DIY,3,2573.33,No
BHS-00162,20,Premium,44.99,Hybrid,8,Yes,3,Yes,12,Professional,2,939.94,No
BHS-00163,14,Standard,31.06,Professional,5,Yes,1,No,12,DIY,0,1020.53,No
BHS-00164,13,Basic,25.77,Professional,4,Yes,0,Yes,24,Professional,1,363.87,No
BHS-00165,7,Basic,19.33,Professional,5,Yes,0,No,36,Professional,0,322.49,Yes
BHS-00166,4,Basic,18.93,Professional,3,Yes,2,Yes,24,Professional,2,119.8,Yes
BHS-00167,38,Standard,26.39,Professional,6,No,3,Yes,24,Professional,1,898.83,No
BHS-00168,37,Standard,32.12,Hybrid,4,No,5,Yes,12,Professional,1,1089.36,No
BHS-00169,7,Basic,20.26,Self-Monitored,6,Yes,0,No,0,DIY,1,238.08,Yes
BHS-00170,49,Basic,21.75,Professional,3,Yes,0,Yes,12,DIY,1,1344.07,Yes
BHS-00171,38,Premium,45.21,Self-Monitored,5,Yes,6,No,0,DIY,0,1741.26,No
BHS-00172,21,Standard,35.32,Professional,6,Yes,2,No,24,DIY,2,1505.78,Yes
BHS-00173,65,Standard,33.77,Professional,4,Yes,2,Yes,36,DIY,0,5841.15,No
BHS-00174,50,Standard,29.89,Hybrid,5,Yes,4,No,0,DIY,0,1302.92,Yes
BHS-00175,27,Standard,25.13,Professional,5,Yes,0,Yes,24,DIY,1,730.12,No
BHS-00176,61,Premium,50.07,Hybrid,5,Yes,1,Yes,24,Professional,3,9239.3,No
BHS-00177,71,Standard,31.99,Professional,2,No,1,No,0,DIY,1,1114.09,No
BHS-00178,33,Basic,22.73,Hybrid,5,No,1,Yes,24,Professional,1,1670.9,Yes
BHS-00179,45,Basic,17.5,Professional,3,Yes,1,Yes,36,Professional,0,1158.92,No
BHS-00180,70,Basic,26.05,Professional,4,No,0,Yes,12,Professional,0,847.39,No
BHS-00181,33,Basic,17.04,Self-Monitored,4,Yes,2,Yes,12,DIY,2,574.18,No
BHS-00182,7,Premium,57.36,Professional,2,Yes,0,Yes,12,DIY,2,1137.28,Yes
BHS-00183,30,Basic,22.22,Professional,2,Yes,6,No,24,Professional,1,929.43,Yes
BHS-00184,53,Standard,31.59,Professional,8,No,4,Yes,24,Professional,1,1446.56,No
BHS-00185,71,Standard,42.57,Professional,2,Yes,5,Yes,12,Professional,0,1991.32,No
BHS-00186,53,Standard,34.91,Professional,3,No,1,No,12,Professional,0,919.79,No
BHS-00187,70,Standard,42.0,Hybrid,2,Yes,0,No,24,DIY,0,3485.6,No
BHS-00188,40,Standard,32.12,Professional,1,Yes,1,No,0,DIY,2,2238.63,No
BHS-00189,53,Basic,21.87,Professional,3,Yes,3,Yes,36,Professional,1,1744.01,No
BHS-00190,10,Premium,49.76,Self-Monitored,6,Yes,0,Yes,12,Professional,0,689.26,No
BHS-00191,61,Standard,39.2,Hybrid,4,No,1,Yes,24,Professional,1,2884.13,No
BHS-00192,39,Standard,35.97,Professional,3,No,1,Yes,24,Professional,2,1367.05,Yes
BHS-00193,2,Basic,16.49,Professional,5,Yes,0,No,24,Professional,2,229.71,Yes
BHS-00194,12,Premium,55.57,Self-Monitored,5,Yes,3,Yes,0,Professional,1,660.68,No
BHS-00195,53,Premium,59.49,Professional,4,No,1,No,0,Professional,0,1816.91,No
BHS-00196,6,Basic,20.66,Professional,5,No,0,Yes,12,DIY,0,197.2,No
BHS-00197,46,Standard,31.75,Professional,6,Yes,1,Yes,24,DIY,2,857.01,No
BHS-00198,39,Standard,36.02,Hybrid,1,Yes,2,Yes,0,Professional,1,3016.61,No
BHS-00199,33,Basic,15.62,Professional,2,Yes,4,No,12,Professional,1,650.54,Yes
BHS-00200,44,Basic,17.92,Professional,3,Yes,1,No,12,Professional,1,913.31,No
BHS-00201,48,Premium,57.82,Professional,2,No,4,Yes,24,DIY,1,4248.29,No
BHS-00202,58,Basic,19.82,Hybrid,1,No,1,Yes,12,DIY,2,774.53,Yes
BHS-00203,39,Standard,34.17,Hybrid,2,Yes,2,Yes,36,DIY,2,819.49,No
BHS-00204,14,Standard,33.77,Self-Monitored,7,Yes,2,No,12,DIY,0,590.98,No
BHS-00205,64,Premium,65.36,Self-Monitored,8,No,5,No,0,DIY,0,3559.74,No
BHS-00206,68,Standard,28.35,Self-Monitored,6,Yes,0,Yes,0,DIY,0,2388.15,Yes
BHS-00207,13,Basic,20.34,Hybrid,7,Yes,0,Yes,24,Professional,1,444.24,Yes
BHS-00208,41,Basic,23.1,Professional,5,Yes,0,No,24,Professional,0,1047.62,Yes
BHS-00209,34,Standard,42.87,Hybrid,6,Yes,0,Yes,24,Professional,0,1757.52,No
BHS-00210,47,Premium,55.97,Hybrid,6,No,1,Yes,12,DIY,2,2399.64,Yes
BHS-00211,4,Standard,37.16,Professional,4,No,3,No,12,DIY,3,380.68,Yes
BHS-00212,12,Premium,63.54,Professional,8,No,0,No,0,DIY,0,1080.62,No
BHS-00213,11,Standard,30.54,Self-Monitored,3,No,1,Yes,12,DIY,2,320.22,No
BHS-00214,58,Premium,58.74,Professional,1,Yes,0,Yes,0,Professional,1,5803.89,No
BHS-00215,45,Basic,18.26,Professional,7,Yes,1,Yes,24,Professional,0,1151.34,No
BHS-00216,47,Standard,36.55,Professional,3,Yes,3,Yes,0,Professional,0,786.12,No
BHS-00217,22,Premium,52.64,Hybrid,4,Yes,0,Yes,36,Professional,0,2172.28,No
BHS-00218,13,Standard,33.6,Self-Monitored,6,No,2,No,12,DIY,1,416.51,No
BHS-00219,7,Basic,20.9,Self-Monitored,5,No,2,Yes,24,Professional,0,323.36,No
BHS-00220,36,Standard,40.59,Professional,3,Yes,6,No,24,Professional,1,1188.93,No
BHS-00221,55,Basic,22.3,Self-Monitored,2,No,1,No,24,Professional,1,1408.62,No
BHS-00222,28,Basic,19.84,Hybrid,3,Yes,2,No,24,DIY,2,454.88,Yes
BHS-00223,71,Basic,19.98,Professional,4,Yes,2,Yes,0,Professional,3,1640.28,Yes
BHS-00224,72,Standard,33.82,Self-Monitored,3,Yes,1,Yes,0,Professional,2,3707.19,Yes
BHS-00225,4,Standard,34.81,Professional,4,Yes,3,No,36,Professional,1,278.42,No
BHS-00226,71,Premium,49.23,Self-Monitored,5,No,4,Yes,0,Professional,2,2410.83,No
BHS-00227,56,Basic,16.35,Self-Monitored,2,No,4,Yes,36,DIY,0,517.58,No
BHS-00228,43,Basic,15.95,Self-Monitored,10,No,2,Yes,0,DIY,2,1607.45,Yes
BHS-00229,14,Basic,17.89,Professional,2,Yes,1,Yes,24,DIY,1,436.6,Yes
BHS-00230,28,Premium,55.96,Hybrid,2,Yes,0,No,24,DIY,0,1419.09,No
BHS-00231,60,Premium,47.2,Professional,4,Yes,1,Yes,24,Professional,1,1906.06,No
BHS-00232,34,Standard,32.49,Hybrid,3,No,4,Yes,24,Professional,1,832.64,No
BHS-00233,66,Standard,36.92,Professional,4,Yes,3,Yes,12,Professional,0,1241.85,No
BHS-00234,19,Standard,34.92,Professional,1,Yes,1,No,36,Professional,1,1052.74,Yes
BHS-00235,22,Premium,53.69,Professional,5,No,5,Yes,12,DIY,1,942.7,No
BHS-00236,56,Basic,23.47,Professional,7,Yes,0,Yes,0,DIY,0,1420.32,No
BHS-00237,8,Standard,39.99,Professional,2,No,0,Yes,36,Professional,2,461.9,No
BHS-00238,36,Standard,36.22,Hybrid,6,No,1,Yes,24,Professional,2,3731.71,No
BHS-00239,24,Basic,23.48,Self-Monitored,4,No,1,No,24,Professional,3,350.08,No
BHS-00240,40,Standard,44.77,Self-Monitored,4,Yes,3,No,12,DIY,2,2096.32,Yes
BHS-00241,11,Basic,23.11,Professional,1,No,3,No,24,DIY,1,319.77,Yes
BHS-00242,3,Premium,54.11,Hybrid,6,No,1,Yes,24,DIY,2,178.28,No
BHS-00243,56,Premium,62.07,Professional,3,No,2,No,12,DIY,1,10884.95,No
BHS-00244,6,Basic,20.92,Self-Monitored,2,Yes,1,Yes,12,Professional,0,155.87,Yes
BHS-00245,28,Basic,21.3,Hybrid,5,Yes,5,No,24,Professional,0,801.43,Yes
BHS-00246,15,Basic,18.96,Professional,4,Yes,2,No,24,DIY,2,358.63,No
BHS-00247,51,Standard,34.43,Professional,1,Yes,1,Yes,0,Professional,1,2030.83,No
BHS-00248,31,Standard,31.82,Hybrid,2,Yes,7,Yes,0,Professional,2,5476.02,No
BHS-00249,72,Standard,32.09,Professional,1,No,1,Yes,24,DIY,1,2575.14,Yes
BHS-00250,31,Premium,50.73,Professional,6,No,1,No,36,DIY,1,1450.56,Yes
BHS-00251,19,Standard,32.11,Hybrid,4,Yes,1,Yes,12,Professional,1,1038.33,No
BHS-00252,62,Basic,19.06,Professional,2,Yes,1,Yes,24,Professional,2,1281.11,No
BHS-00253,60,Standard,31.74,Self-Monitored,2,No,1,Yes,0,Professional,1,3047.89,No
BHS-00254,56,Premium,57.64,Self-Monitored,7,Yes,1,Yes,24,Professional,1,5437.11,No
BHS-00255,33,Standard,41.07,Professional,7,Yes,2,Yes,24,DIY,1,1501.93,Yes
BHS-00256,46,Basic,14.91,Professional,4,Yes,1,Yes,0,DIY,1,1086.17,No
BHS-00257,20,Standard,33.97,Self-Monitored,4,Yes,0,No,24,DIY,0,1401.19,No
BHS-00258,2,Premium,49.16,Professional,1,Yes,1,Yes,12,Professional,1,197.39,No
BHS-00259,6,Premium,60.19,Self-Monitored,7,Yes,3,Yes,12,Professional,0,790.31,No
BHS-00260,40,Basic,20.51,Hybrid,7,No,1,Yes,36,Professional,2,868.64,Yes
BHS-00261,17,Premium,64.08,Professional,3,No,4,Yes,36,Professional,1,1340.24,No
BHS-00262,71,Basic,21.17,Professional,5,Yes,0,Yes,12,DIY,3,1137.57,Yes
BHS-00263,4,Premium,50.01,Self-Monitored,5,No,2,Yes,24,Professional,1,343.11,No
BHS-00264,36,Basic,18.45,Self-Monitored,4,No,3,No,12,DIY,1,1455.58,No
BHS-00265,41,Standard,36.2,Self-Monitored,1,Yes,0,Yes,0,DIY,0,1711.42,Yes
BHS-00266,40,Basic,22.27,Professional,5,Yes,0,No,12,DIY,0,976.8,No
BHS-00267,37,Basic,23.06,Hybrid,2,Yes,5,Yes,12,Professional,0,1665.37,Yes
BHS-00268,3,Standard,29.9,Self-Monitored,2,No,1,No,12,Professional,0,146.47,No
BHS-00269,48,Standard,35.01,Self-Monitored,5,Yes,3,Yes,0,Professional,2,1667.14,No
BHS-00270,19,Standard,25.64,Professional,1,Yes,1,Yes,12,DIY,1,455.69,No
BHS-00271,19,Basic,17.18,Professional,4,Yes,4,Yes,0,Professional,1,579.6,Yes
BHS-00272,44,Standard,36.43,Self-Monitored,3,No,2,Yes,12,Professional,1,2239.46,No
BHS-00273,57,Standard,32.89,Professional,7,No,3,Yes,24,DIY,0,2337.81,Yes
BHS-00274,63,Premium,55.85,Professional,9,Yes,2,Yes,12,DIY,2,9473.33,No
BHS-00275,62,Standard,41.42,Professional,4,Yes,2,Yes,0,Professional,1,1966.48,No
BHS-00276,55,Basic,25.77,Hybrid,4,Yes,0,Yes,24,Professional,1,1905.37,No
BHS-00277,31,Premium,70.53,Self-Monitored,7,Yes,3,Yes,12,DIY,1,2117.22,No
BHS-00278,61,Basic,21.35,Hybrid,5,Yes,2,Yes,0,DIY,0,1206.69,No
BHS-00279,66,Premium,50.56,Professional,3,Yes,2,No,0,Professional,1,3011.54,Yes
BHS-00280,57,Basic,23.87,Professional,4,Yes,3,Yes,12,Professional,3,1731.62,No
BHS-00281,0,Standard,38.33,Self-Monitored,4,Yes,1,No,36,DIY,0,149.8,Yes
BHS-00282,45,Standard,38.24,Hybrid,4,Yes,4,Yes,12,Professional,2,1365.77,No
BHS-00283,66,Standard,31.52,Self-Monitored,4,Yes,1,Yes,36,DIY,1,832.92,No
BHS-00284,38,Basic,18.27,Professional,4,No,2,Yes,24,DIY,1,1228.45,No
BHS-00285,5,Standard,36.47,Self-Monitored,5,Yes,2,Yes,36,Professional,0,322.25,No
