cust_id,mo_active,box_tier,sub_fee,gear_cat,boxes_skip,ref_cnt,app_use,avg_rating,pay_meth,loyalty_pts,gift_sub,ltv_est,churn
RID-00065,3,plus,36.14,climbing,1,0,yes,4.6,bnpl,324,no,319.33,no
RID-00066,34,core,23.74,camping,0,1,yes,2.5,card,429,no,1325.2,yes
RID-00067,58,summit,84.75,hiking,2,0,no,4.4,paypal,179,no,6089.89,no
RID-00068,59,summit,63.52,fishing,1,1,yes,2.6,card,44,no,6322.27,no
RID-00069,2,core,27.86,climbing,3,0,yes,5.0,card,7,no,88.9,yes
RID-00070,7,core,24.85,camping,3,0,no,4.5,paypal,268,no,269.27,no
RID-00071,34,plus,47.51,hiking,3,0,yes,2.6,card,166,no,1297.93,no
RID-00072,16,summit,72.41,hiking,3,1,yes,3.7,paypal,242,no,2837.08,no
RID-00073,14,summit,71.97,camping,2,0,yes,4.2,card,407,no,967.09,no
RID-00074,41,summit,77.21,fishing,1,0,yes,2.5,card,128,no,3000.88,no
RID-00075,18,summit,77.35,camping,0,0,no,4.0,card,226,no,1658.71,no
RID-00076,36,plus,46.19,camping,1,0,yes,4.4,bnpl,235,no,2409.32,no
RID-00077,2,core,23.69,fishing,0,0,yes,2.4,paypal,491,no,116.83,yes
RID-00078,59,core,23.17,camping,3,0,yes,4.6,paypal,1124,no,880.84,yes
RID-00079,5,core,25.9,hiking,1,0,yes,3.9,paypal,263,no,489.22,no
RID-00080,2,core,23.15,climbing,0,1,yes,4.7,paypal,59,no,64.53,yes
RID-00081,25,core,25.46,hiking,0,1,yes,3.8,card,425,no,1311.33,no
RID-00082,53,plus,43.83,hiking,2,1,yes,3.2,bnpl,390,no,2636.7,yes
RID-00083,38,summit,79.83,hiking,2,1,no,3.1,card,143,no,5431.78,no
RID-00084,29,core,27.65,fishing,2,0,yes,3.8,card,254,no,977.56,yes
RID-00085,16,summit,92.06,fishing,2,0,yes,3.9,paypal,639,no,1957.84,no
RID-00086,13,summit,67.16,camping,1,1,no,4.8,paypal,132,no,1243.91,no
RID-00087,39,core,25.32,hiking,0,3,yes,3.8,card,534,no,1663.83,yes
RID-00088,30,core,30.92,climbing,1,0,yes,2.8,card,367,no,1645.87,no
RID-00089,37,plus,45.8,hiking,2,2,no,3.7,card,244,no,898.2,no
RID-00090,25,summit,66.66,camping,1,1,yes,2.9,card,752,no,1954.22,yes
RID-00091,18,plus,49.66,hiking,1,2,no,4.3,paypal,209,no,596.65,no
RID-00092,10,core,25.03,hiking,0,1,no,4.4,paypal,499,no,595.95,yes
RID-00093,17,plus,37.75,fishing,2,0,yes,4.6,card,524,no,665.37,no
RID-00094,13,summit,77.22,camping,1,0,yes,3.8,card,334,no,886.57,no
RID-00095,29,core,29.04,camping,0,0,yes,3.5,card,812,no,1672.78,no
RID-00096,17,plus,45.32,fishing,1,0,yes,3.6,card,109,no,1448.69,no
RID-00097,48,plus,38.46,fishing,0,1,yes,3.9,card,612,no,3037.5,no
RID-00098,33,core,27.92,hiking,0,1,no,3.6,paypal,132,no,1396.24,yes
RID-00099,18,summit,88.06,climbing,1,0,yes,5.0,card,565,no,1084.17,no
RID-00100,5,core,29.57,fishing,1,0,no,3.7,bnpl,257,no,208.39,yes
RID-00101,7,summit,61.83,camping,0,0,yes,3.9,paypal,838,yes,579.18,no
RID-00102,5,plus,45.43,climbing,0,2,no,3.4,card,334,no,219.89,no
RID-00103,19,core,30.91,climbing,2,0,yes,3.5,card,240,no,820.43,no
RID-00104,20,plus,43.7,hiking,3,0,yes,3.0,card,49,no,1512.78,yes
RID-00105,3,core,19.71,fishing,1,0,yes,3.2,paypal,108,no,119.45,yes
RID-00106,43,core,25.79,fishing,1,0,yes,5.0,card,97,no,558.05,yes
RID-00107,32,core,24.65,hiking,1,0,no,4.4,paypal,627,no,1029.74,yes
RID-00108,59,summit,77.97,camping,2,2,no,3.7,paypal,184,no,4137.88,no
RID-00109,54,summit,73.18,fishing,0,1,yes,3.5,card,1827,no,2109.66,no
RID-00110,0,core,25.32,hiking,2,0,yes,4.9,card,94,no,0.0,yes
RID-00111,42,plus,44.87,camping,0,1,no,3.4,card,104,no,2779.58,no
RID-00112,59,summit,82.68,climbing,2,0,yes,2.7,paypal,183,no,3751.91,no
RID-00113,48,plus,49.23,climbing,1,0,no,4.4,bnpl,167,no,2164.44,yes
RID-00114,41,core,23.8,camping,2,1,yes,3.3,bnpl,557,no,1249.92,no
RID-00115,8,core,23.36,camping,0,1,yes,3.0,card,273,no,275.66,yes
RID-00116,54,plus,49.08,fishing,1,0,yes,3.2,paypal,417,no,2110.14,no
RID-00117,50,core,21.69,fishing,3,1,yes,4.3,paypal,328,yes,900.8,no
RID-00118,32,plus,50.42,hiking,0,0,no,3.9,bnpl,328,no,1104.95,no
RID-00119,56,plus,43.01,camping,2,2,yes,3.3,card,222,no,4757.89,no
RID-00120,28,plus,48.51,hiking,2,1,no,4.4,card,587,no,2693.71,no
RID-00121,32,core,25.28,hiking,2,2,yes,3.4,card,502,no,631.49,no
RID-00122,47,plus,47.52,camping,0,1,no,2.8,paypal,129,no,1633.12,no
RID-00123,43,plus,43.13,hiking,1,0,no,3.0,paypal,187,no,1297.47,yes
RID-00124,33,plus,45.58,camping,2,1,yes,4.0,card,116,no,881.35,no
RID-00125,47,core,27.79,climbing,1,1,no,3.4,bnpl,283,no,3312.43,no
RID-00126,54,core,23.51,fishing,3,1,yes,4.1,paypal,353,no,1018.01,yes
RID-00127,39,core,24.0,climbing,0,0,yes,4.8,card,168,no,1355.79,no
RID-00128,54,core,22.9,camping,1,1,yes,3.5,card,190,no,1264.08,no
RID-00129,25,plus,44.33,climbing,1,1,yes,5.0,card,128,no,1129.51,no
RID-00130,32,plus,51.96,hiking,1,1,yes,4.2,paypal,106,no,1543.43,no
RID-00131,39,core,22.01,hiking,0,0,yes,3.9,card,184,no,1056.82,yes
RID-00132,34,plus,49.04,climbing,2,0,no,3.0,bnpl,227,no,1576.59,no
RID-00133,10,plus,43.31,fishing,2,0,no,3.7,card,126,no,591.15,no
RID-00134,27,plus,42.96,fishing,1,0,no,3.8,card,99,no,1953.71,no
RID-00135,8,plus,49.78,camping,0,0,no,4.6,card,1031,no,702.45,no
RID-00136,42,summit,80.64,climbing,0,0,no,3.6,card,174,no,3797.46,no
RID-00137,48,plus,51.69,camping,1,0,no,4.3,paypal,303,no,1387.97,yes
RID-00138,41,core,24.28,climbing,0,2,yes,4.0,paypal,399,no,1092.99,yes
RID-00139,52,summit,75.43,hiking,0,0,no,4.7,bnpl,328,yes,4181.31,no
RID-00140,39,core,26.02,climbing,2,0,yes,4.8,paypal,431,no,1029.64,yes
RID-00141,23,plus,46.57,fishing,2,0,yes,4.3,card,285,yes,1093.58,no
RID-00142,3,summit,79.38,camping,3,0,yes,4.6,card,60,no,272.42,no
RID-00143,2,core,28.76,fishing,3,1,yes,4.8,paypal,297,no,276.31,yes
RID-00144,58,core,21.41,climbing,1,0,yes,4.4,paypal,202,yes,610.93,yes
RID-00145,47,core,24.9,hiking,1,0,no,4.2,card,121,no,1295.98,yes
RID-00146,20,summit,69.07,hiking,1,0,yes,4.3,bnpl,835,no,1532.97,no
RID-00147,58,plus,48.28,camping,2,0,yes,5.0,bnpl,43,no,2291.9,yes
RID-00148,15,summit,82.19,camping,2,1,no,4.1,paypal,366,no,2503.74,no
RID-00149,47,core,28.52,camping,1,0,no,4.5,card,351,no,830.29,yes
RID-00150,12,core,21.45,climbing,0,0,no,3.5,card,701,no,551.59,yes
RID-00151,43,core,28.79,camping,1,0,yes,5.0,paypal,322,no,2489.42,no
RID-00152,4,summit,87.47,hiking,1,0,yes,4.3,card,161,no,458.03,no
RID-00153,41,core,23.67,fishing,0,0,no,3.7,card,39,no,643.5,no
RID-00154,27,summit,75.89,climbing,1,1,yes,3.9,paypal,48,no,1916.21,no
RID-00155,35,plus,51.51,camping,1,0,yes,3.8,card,177,no,4067.54,yes
RID-00156,2,summit,71.32,climbing,2,0,yes,4.0,card,625,no,570.82,no
RID-00157,22,core,27.12,camping,1,0,no,4.2,card,57,no,579.64,no
RID-00158,9,plus,44.12,climbing,3,1,yes,3.9,card,291,no,910.85,yes
RID-00159,37,core,24.34,camping,0,1,no,2.8,card,583,no,1571.62,no
RID-00160,0,plus,45.41,camping,1,0,no,5.0,paypal,790,no,335.72,no
RID-00161,55,plus,47.42,fishing,0,0,no,4.2,card,213,no,2604.41,no
RID-00162,10,core,26.37,camping,0,1,yes,4.2,card,529,no,911.39,no
RID-00163,31,summit,73.68,camping,0,1,yes,4.0,card,176,no,2334.3,no
RID-00164,60,core,29.82,camping,0,1,no,4.7,card,374,no,3781.06,yes
RID-00165,25,core,24.63,hiking,0,1,no,4.0,card,382,no,509.38,yes
RID-00166,33,plus,42.85,fishing,3,2,yes,3.8,card,115,no,828.35,yes
RID-00167,58,plus,53.49,camping,1,1,yes,3.8,paypal,14,no,5203.14,no
RID-00168,4,core,27.98,camping,1,1,no,4.9,bnpl,284,no,327.68,yes
RID-00169,34,summit,82.1,fishing,0,0,no,4.2,card,467,no,2978.0,no
RID-00170,34,core,25.81,camping,1,0,yes,4.0,card,552,no,1511.86,yes
RID-00171,44,plus,42.8,camping,0,2,yes,3.7,paypal,341,no,1553.59,no
RID-00172,36,core,22.63,camping,1,0,yes,3.8,paypal,446,no,688.4,no
RID-00173,29,core,24.55,fishing,0,1,yes,4.8,card,138,no,876.12,yes
RID-00174,33,plus,45.3,hiking,2,1,yes,3.3,bnpl,585,no,1459.75,no
RID-00175,17,summit,74.61,hiking,1,0,no,4.5,card,495,no,1680.54,no
RID-00176,20,plus,54.57,hiking,1,0,yes,4.5,bnpl,402,no,1337.0,no
RID-00177,57,core,24.37,hiking,0,1,yes,4.2,bnpl,148,yes,1218.24,no
RID-00178,40,core,20.75,climbing,0,1,yes,3.9,bnpl,266,no,2068.6,yes
RID-00179,41,summit,64.19,fishing,2,0,yes,2.9,card,200,no,1658.58,no
RID-00180,8,core,26.37,climbing,0,0,no,4.5,card,213,no,246.22,no
RID-00181,23,plus,35.68,fishing,1,1,yes,2.8,card,429,no,1044.35,yes
RID-00182,13,core,26.96,camping,1,0,yes,4.1,paypal,402,no,622.89,yes
RID-00183,57,core,27.43,hiking,2,1,yes,4.0,card,30,no,1637.05,yes
RID-00184,60,core,29.28,hiking,1,2,yes,4.6,card,146,no,3014.6,no
RID-00185,20,core,27.85,camping,0,1,no,3.3,card,351,no,748.45,yes
RID-00186,25,plus,46.07,camping,2,0,yes,3.3,card,218,no,993.91,yes
RID-00187,41,core,23.18,camping,0,1,yes,4.4,paypal,88,no,631.75,no
RID-00188,9,summit,83.56,camping,0,1,no,3.9,bnpl,540,no,846.37,no
RID-00189,34,core,23.82,fishing,1,0,yes,2.5,card,1839,no,1313.69,no
RID-00190,13,plus,41.69,camping,2,0,yes,4.0,card,88,no,720.27,no
RID-00191,32,plus,44.99,hiking,1,0,yes,5.0,paypal,33,no,1484.55,no
RID-00192,44,core,27.51,camping,2,2,yes,4.4,card,755,yes,1739.71,no
RID-00193,45,core,26.16,hiking,1,1,no,3.1,card,128,no,622.58,no
RID-00194,7,core,24.94,camping,0,0,no,4.4,card,450,no,425.02,yes
RID-00195,17,core,22.37,camping,0,1,yes,4.7,card,125,no,569.59,no
RID-00196,21,core,23.4,hiking,1,0,yes,2.7,card,869,no,1082.46,yes
RID-00197,44,core,26.74,camping,3,1,yes,3.8,paypal,478,no,796.54,yes
RID-00198,20,core,19.14,hiking,4,0,no,5.0,bnpl,127,no,820.06,yes
RID-00199,28,plus,38.96,climbing,2,1,yes,2.9,bnpl,109,no,2084.87,no
RID-00200,13,plus,43.14,fishing,0,2,yes,3.8,paypal,119,no,897.73,no
RID-00201,21,core,17.97,hiking,5,0,no,3.8,card,177,no,733.76,yes
RID-00202,29,plus,45.11,hiking,0,1,no,3.7,bnpl,557,no,1393.68,no
RID-00203,12,core,27.07,hiking,1,0,no,5.0,paypal,39,no,294.51,yes
RID-00204,6,summit,66.14,hiking,0,0,no,4.9,card,146,no,439.68,no
RID-00205,8,core,23.39,hiking,4,0,yes,3.8,card,485,no,460.21,yes
RID-00206,27,core,26.4,hiking,2,0,yes,3.2,paypal,496,yes,827.79,no
RID-00207,9,summit,78.81,hiking,0,1,yes,5.0,paypal,599,no,1121.23,no
RID-00208,1,core,29.72,climbing,1,0,yes,4.6,card,67,no,128.86,yes
RID-00209,50,core,21.95,hiking,1,1,yes,4.0,card,208,no,1734.61,yes
RID-00210,59,summit,58.19,camping,2,0,no,4.5,card,137,no,3547.34,no
RID-00211,31,plus,46.18,climbing,2,1,no,4.5,paypal,803,no,807.99,no
RID-00212,36,plus,49.47,climbing,2,0,yes,3.3,card,286,no,1057.28,no
RID-00213,10,core,19.98,climbing,1,1,no,3.6,card,110,no,168.24,yes
RID-00214,4,core,24.16,camping,1,0,yes,4.0,card,770,no,439.02,yes
RID-00215,4,core,22.94,climbing,2,1,yes,2.5,paypal,229,no,126.46,no
RID-00216,11,plus,33.37,fishing,1,1,yes,3.7,card,281,no,505.35,no
RID-00217,6,core,24.91,camping,0,1,no,3.4,card,897,no,561.98,yes
RID-00218,44,plus,44.36,hiking,4,0,no,4.1,bnpl,297,no,1971.33,yes
RID-00219,46,summit,75.96,camping,3,0,yes,3.2,card,638,no,3012.29,yes
RID-00220,44,summit,74.38,climbing,1,0,no,4.3,card,180,no,1596.33,no
RID-00221,17,core,26.6,hiking,0,0,yes,4.2,card,466,no,862.75,yes
RID-00222,22,plus,44.12,climbing,1,2,yes,3.9,paypal,314,no,898.27,no
RID-00223,21,plus,44.67,camping,1,1,yes,4.4,card,529,no,2192.52,no
RID-00224,9,summit,57.29,camping,4,1,no,4.4,card,285,no,697.48,no
RID-00225,28,summit,77.99,camping,0,1,yes,3.8,card,279,yes,2736.64,no
RID-00226,32,plus,45.15,camping,1,0,yes,4.0,paypal,615,no,2317.89,no
RID-00227,12,plus,40.84,fishing,0,0,no,3.5,card,144,no,453.56,no
RID-00228,16,core,25.97,camping,1,0,yes,3.5,card,160,no,560.37,yes
RID-00229,28,plus,37.26,camping,2,0,yes,5.0,paypal,997,no,1209.7,yes
RID-00230,5,plus,46.08,fishing,1,0,yes,3.8,paypal,136,no,247.97,no
RID-00231,35,plus,40.02,hiking,1,0,yes,4.0,paypal,187,no,943.31,no
RID-00232,21,plus,47.0,hiking,1,0,no,3.9,card,137,no,845.28,yes
RID-00233,43,core,25.13,camping,0,0,no,4.3,bnpl,165,no,2760.23,yes
RID-00234,45,plus,40.3,fishing,1,0,yes,3.6,card,63,no,1178.91,no
RID-00235,22,summit,65.08,hiking,1,1,no,3.7,paypal,400,no,2027.83,no
RID-00236,21,core,28.16,camping,0,0,yes,4.7,card,454,no,650.95,yes
RID-00237,32,summit,75.75,climbing,2,0,no,2.9,card,24,no,1357.78,no
RID-00238,2,plus,48.45,hiking,1,1,yes,4.1,card,196,no,230.87,no
RID-00239,11,plus,44.72,hiking,1,0,yes,3.4,card,192,no,528.05,no
RID-00240,7,core,27.0,hiking,0,0,yes,2.5,card,92,no,175.51,yes
RID-00241,17,plus,45.06,hiking,1,1,no,3.9,paypal,89,no,1347.14,yes
RID-00242,36,summit,71.28,hiking,0,1,yes,3.1,card,189,no,2411.51,no
RID-00243,14,core,24.45,camping,1,2,yes,3.0,paypal,608,no,585.15,yes
RID-00244,31,summit,61.66,climbing,4,0,yes,5.0,card,323,no,1969.91,no
RID-00245,42,plus,43.76,camping,1,0,no,4.4,card,332,no,1811.1,no
RID-00246,41,core,26.9,climbing,3,1,yes,4.4,card,154,no,693.77,yes
RID-00247,32,core,20.35,camping,1,0,no,4.0,card,93,no,1028.23,yes
RID-00248,34,core,28.18,hiking,1,1,yes,3.1,paypal,896,no,1425.68,no
RID-00249,26,core,25.06,hiking,1,0,yes,3.9,card,589,no,1131.12,no
RID-00250,30,core,21.39,climbing,4,0,yes,3.7,card,563,no,898.41,no
RID-00251,48,core,23.74,climbing,2,0,yes,2.6,card,335,no,2010.48,no
RID-00252,28,summit,65.58,hiking,0,0,yes,5.0,card,522,no,2212.17,no
RID-00253,21,plus,42.96,fishing,0,0,yes,3.9,card,427,no,1876.43,no
RID-00254,58,summit,66.3,fishing,0,3,yes,3.4,paypal,111,no,2643.07,no
RID-00255,55,plus,43.83,fishing,2,0,yes,4.1,card,915,no,2125.52,no
RID-00256,52,plus,50.9,camping,5,0,no,3.0,paypal,528,no,6069.57,no
RID-00257,50,summit,83.83,camping,1,0,yes,3.3,card,230,yes,6138.73,no
RID-00258,23,core,28.1,climbing,0,4,yes,5.0,card,83,no,1501.06,no
RID-00259,58,plus,37.32,camping,1,0,no,3.6,card,89,no,2864.85,no
RID-00260,39,summit,82.51,climbing,1,1,no,4.0,card,335,no,3069.29,no
RID-00261,54,summit,94.74,camping,1,1,no,4.1,card,245,no,11914.3,no
RID-00262,1,plus,41.75,climbing,1,0,yes,3.9,card,164,no,40.99,yes
RID-00263,6,summit,70.38,camping,2,0,no,3.6,paypal,327,no,635.22,yes
RID-00264,1,plus,50.27,fishing,1,0,yes,5.0,card,267,no,162.32,no
RID-00265,60,core,22.69,climbing,1,0,yes,3.4,card,220,no,2768.37,no
RID-00266,19,core,26.22,camping,0,0,yes,3.3,card,95,no,436.08,yes
RID-00267,2,plus,49.09,hiking,0,0,no,4.4,bnpl,266,no,276.68,yes
RID-00268,46,core,27.63,hiking,3,0,yes,3.0,card,671,no,1024.73,no
RID-00269,48,core,25.06,fishing,1,0,yes,4.8,card,85,no,1600.6,no
RID-00270,56,core,22.4,hiking,1,1,yes,3.8,card,639,no,1493.15,yes
RID-00271,35,summit,70.09,hiking,1,1,yes,4.1,bnpl,658,no,4795.25,no
RID-00272,41,summit,76.2,camping,1,1,yes,4.2,paypal,311,no,2512.81,no
RID-00273,37,summit,71.79,climbing,4,1,yes,3.7,card,311,no,1543.49,yes
RID-00274,43,plus,51.71,camping,2,0,no,4.7,card,286,no,1910.27,yes
RID-00275,31,summit,69.75,fishing,3,1,yes,4.5,paypal,361,no,4632.41,yes
RID-00276,1,plus,44.69,hiking,1,0,yes,4.4,paypal,196,no,214.1,no
RID-00277,10,plus,38.4,fishing,4,0,yes,2.9,card,417,no,790.76,yes
RID-00278,56,plus,39.45,climbing,1,1,yes,3.7,card,32,yes,1792.88,no
RID-00279,2,core,24.8,camping,4,1,yes,3.9,card,1109,no,509.34,no
RID-00280,5,plus,43.5,camping,1,0,yes,5.0,card,475,no,557.53,no
RID-00281,48,plus,48.79,camping,1,0,yes,2.9,card,328,no,1444.93,yes
RID-00282,57,summit,75.48,camping,0,1,yes,3.5,card,463,no,4538.99,no
RID-00283,27,core,20.76,camping,2,0,yes,4.8,card,288,no,440.61,no
RID-00284,8,core,23.52,fishing,4,1,no,3.3,paypal,439,yes,408.6,no
RID-00285,35,core,21.67,hiking,3,0,no,3.5,card,287,no,438.45,yes
RID-00286,2,core,24.85,hiking,2,0,yes,5.0,card,200,no,181.34,no
RID-00287,21,summit,81.32,hiking,2,0,yes,4.3,bnpl,385,no,3333.87,no
RID-00288,34,plus,43.72,camping,1,0,yes,4.6,card,332,no,2572.64,no
RID-00289,53,core,21.18,hiking,1,0,no,4.5,card,411,no,902.19,yes
RID-00290,6,plus,43.33,camping,1,0,yes,4.1,card,175,no,339.61,no
RID-00291,37,plus,46.97,fishing,1,0,yes,4.1,card,47,no,1597.35,no
RID-00292,1,core,25.24,climbing,0,0,yes,4.7,card,316,no,137.02,yes
RID-00293,28,core,28.39,camping,1,0,no,3.4,card,457,no,1924.66,no
RID-00294,40,core,28.58,climbing,0,1,yes,5.0,card,911,no,1287.11,yes
RID-00295,2,plus,45.13,hiking,0,0,no,3.6,card,377,no,293.1,yes
RID-00296,45,summit,55.98,camping,1,2,yes,4.8,paypal,126,no,1266.84,no
RID-00297,60,core,21.25,camping,2,0,yes,4.4,card,616,no,1566.64,yes
RID-00298,17,plus,42.79,camping,0,1,yes,3.6,card,299,no,1336.34,no
RID-00299,46,plus,39.98,climbing,2,0,no,4.4,paypal,621,no,1935.09,no
RID-00300,32,core,22.99,fishing,2,0,yes,4.1,card,170,no,1070.83,yes
RID-00301,56,plus,49.72,hiking,1,0,yes,2.7,card,249,no,2056.95,yes
RID-00302,35,core,27.55,camping,1,0,yes,3.9,card,480,no,981.62,yes
RID-00303,48,core,27.1,camping,2,0,no,3.1,card,522,no,1305.32,yes
RID-00304,9,plus,50.23,hiking,3,0,yes,4.4,paypal,355,no,479.86,yes
RID-00305,15,core,23.14,camping,2,2,no,3.9,paypal,403,no,589.88,no
RID-00306,26,plus,39.7,hiking,1,0,no,4.7,paypal,513,yes,1863.68,no
RID-00307,55,plus,42.98,camping,2,1,yes,3.5,card,272,no,3274.66,yes
RID-00308,38,core,23.53,camping,2,2,no,3.0,card,301,no,557.85,yes
RID-00309,12,summit,69.84,hiking,1,0,yes,3.2,card,896,no,1130.08,no
RID-00310,54,core,25.24,camping,0,1,yes,5.0,card,174,no,2005.27,yes
RID-00311,37,plus,48.32,climbing,0,0,yes,5.0,bnpl,71,no,1701.4,no
RID-00312,25,plus,39.3,climbing,3,1,no,5.0,card,303,no,1041.83,no
RID-00313,23,plus,46.82,hiking,0,0,no,2.8,card,297,no,1765.15,no
RID-00314,42,summit,62.36,fishing,0,1,yes,3.0,card,95,no,4128.36,no
RID-00315,53,core,19.49,climbing,3,0,yes,3.2,paypal,283,no,1432.19,yes
RID-00316,30,core,26.57,climbing,2,0,yes,4.6,paypal,72,no,458.42,no
RID-00317,51,plus,43.36,climbing,2,0,yes,5.0,card,163,no,1417.4,no
RID-00318,43,plus,38.91,climbing,0,3,no,4.7,paypal,375,no,2207.32,no
RID-00319,4,summit,73.61,hiking,3,1,yes,4.1,card,76,no,202.73,yes
RID-00320,48,summit,78.88,hiking,3,0,no,3.3,paypal,225,no,8057.52,no
RID-00321,34,core,28.24,hiking,3,0,yes,3.8,card,32,no,1040.06,no
RID-00322,32,plus,53.88,hiking,0,1,yes,4.1,card,177,no,1323.56,no
RID-00323,37,plus,43.28,hiking,1,1,yes,4.7,card,614,no,1557.28,yes
