Resident_ID#,Tenure(mo),Care_Level,Monthly_Fee$,Room_Type#,Meals_Included_(per_day),Family_Visits/Month,Has_Companion_Pet?,Activity_Participation_%,Emergency_Calls_YTD#,Distance_to_Family_(mi),Satisfaction_Score_(1-10),Est_LTV,Departed?
MSL-00062,89,Skilled Nursing,6700.03,Studio,3,3,No,3,2,25.0,3,712723.53,No
MSL-00063,46,Independent Living,2285.86,2BR,2,2,No,54,0,52.5,9,104952.37,No
MSL-00064,41,Skilled Nursing,7488.92,Studio,2,2,Yes,29,1,121.7,1,587627.47,No
MSL-00065,60,Memory Care,4859.8,1BR,1,2,No,93,4,113.0,6,289468.29,No
MSL-00066,24,Memory Care,5395.01,1BR,1,3,No,63,3,57.6,5,89117.16,Yes
MSL-00067,15,Skilled Nursing,7791.13,1BR,2,1,No,51,2,58.7,10,71528.29,No
MSL-00068,92,Independent Living,2763.9,1BR,3,2,No,40,0,14.7,2,206995.72,Yes
MSL-00069,94,Memory Care,4834.92,1BR,2,1,Yes,18,2,53.2,9,299598.77,No
MSL-00070,54,Independent Living,2065.08,1BR,3,5,No,60,1,92.4,6,153022.11,No
MSL-00071,18,Memory Care,5321.25,1BR,2,7,No,67,2,50.2,4,77595.42,No
MSL-00072,66,Independent Living,2803.64,Studio,1,3,No,77,1,42.2,4,100451.21,Yes
MSL-00073,70,Memory Care,5795.72,Studio,1,4,No,93,1,4.6,10,412953.05,No
MSL-00074,83,Memory Care,4174.39,2BR,2,0,No,33,2,24.5,8,147880.45,No
MSL-00075,2,Memory Care,4850.59,Suite,1,0,No,60,1,41.0,9,16051.71,No
MSL-00076,57,Independent Living,2572.27,Studio,3,3,No,57,3,19.9,6,117794.11,No
MSL-00077,54,Memory Care,5222.97,2BR,2,2,Yes,85,0,3.8,1,582805.31,No
MSL-00078,96,Skilled Nursing,5000.0,Studio,1,1,Yes,99,1,105.8,6,720444.68,No
MSL-00079,80,Skilled Nursing,5643.96,Studio,2,6,No,14,2,17.9,8,428584.86,No
MSL-00080,14,Memory Care,4699.32,Suite,3,1,No,67,2,54.4,3,104236.42,No
MSL-00081,60,Independent Living,2448.77,1BR,2,2,No,54,2,18.6,6,71648.91,No
MSL-00082,92,Independent Living,2293.07,1BR,1,0,No,90,0,13.9,3,190992.66,Yes
MSL-00083,62,Skilled Nursing,6986.73,1BR,1,3,Yes,20,1,8.6,5,416781.04,No
MSL-00084,7,Independent Living,1802.53,Studio,2,0,No,73,3,25.9,9,9770.58,No
MSL-00085,87,Skilled Nursing,6850.1,1BR,3,2,Yes,30,3,115.1,4,374526.29,No
MSL-00086,80,Independent Living,2145.55,2BR,3,4,No,95,1,65.8,4,183287.57,Yes
MSL-00087,47,Independent Living,2394.49,Suite,3,0,No,82,2,28.7,9,159613.06,No
MSL-00088,12,Independent Living,2194.78,2BR,3,4,No,63,2,43.8,2,27519.62,No
MSL-00089,70,Skilled Nursing,6598.6,Studio,1,0,No,68,1,42.9,7,480229.88,No
MSL-00090,73,Memory Care,5475.31,Suite,3,3,Yes,100,2,96.4,5,314638.16,No
MSL-00091,87,Memory Care,4552.58,2BR,2,0,No,84,1,28.4,5,405175.27,No
MSL-00092,88,Independent Living,2128.63,2BR,2,3,Yes,0,3,40.7,7,104933.95,Yes
MSL-00093,63,Independent Living,2490.34,1BR,3,2,No,7,2,17.0,1,119573.38,Yes
MSL-00094,29,Independent Living,2005.15,Studio,3,4,No,99,5,51.1,1,30058.9,No
MSL-00095,16,Memory Care,5432.02,2BR,3,4,No,73,0,73.0,8,84884.17,No
MSL-00096,67,Independent Living,2379.23,1BR,3,2,No,99,0,89.6,4,251265.32,Yes
MSL-00097,21,Independent Living,2074.25,1BR,2,3,Yes,62,2,94.8,10,35390.19,No
MSL-00098,44,Independent Living,2053.56,Studio,2,4,No,13,2,21.7,9,61539.9,No
MSL-00099,11,Skilled Nursing,6521.77,Suite,2,5,Yes,49,1,69.0,8,63623.39,No
MSL-00100,87,Independent Living,2776.4,Suite,2,0,No,93,2,39.4,10,237634.54,Yes
MSL-00101,63,Independent Living,2057.55,1BR,3,4,No,55,1,70.2,9,112479.73,No
MSL-00102,54,Independent Living,1742.18,1BR,3,4,No,16,2,27.8,7,68848.63,Yes
MSL-00103,19,Memory Care,5173.12,Suite,2,4,Yes,72,0,93.9,5,48204.2,No
MSL-00104,45,Skilled Nursing,6184.33,1BR,3,0,Yes,98,2,116.5,10,278760.49,No
MSL-00105,34,Independent Living,2950.68,Studio,2,2,No,70,1,9.1,1,166388.31,No
MSL-00106,56,Independent Living,2207.15,Studio,3,3,No,45,2,28.8,2,106003.43,Yes
MSL-00107,30,Skilled Nursing,8036.7,1BR,1,2,No,21,2,6.9,10,170145.01,No
MSL-00108,15,Skilled Nursing,5995.78,1BR,2,2,No,60,1,51.2,8,84577.32,No
MSL-00109,12,Skilled Nursing,6747.43,Studio,2,2,No,95,3,27.0,10,57587.56,No
MSL-00110,47,Skilled Nursing,6752.63,2BR,3,3,No,36,1,83.9,9,380292.5,No
MSL-00111,71,Independent Living,2095.37,1BR,3,5,Yes,67,1,60.6,9,108469.56,No
MSL-00112,4,Skilled Nursing,7527.3,1BR,3,2,No,95,1,73.6,7,77927.28,No
MSL-00113,74,Skilled Nursing,7427.99,Studio,3,4,Yes,87,1,17.2,5,587598.48,No
MSL-00114,81,Memory Care,4720.25,1BR,1,2,Yes,60,1,68.8,9,214615.25,No
MSL-00115,5,Independent Living,2635.29,Studio,2,2,No,39,1,45.5,4,15686.75,No
MSL-00116,40,Memory Care,4405.93,Suite,3,3,No,94,0,22.4,7,102600.36,No
MSL-00117,77,Independent Living,2198.64,Studio,1,1,No,81,2,61.2,7,145396.23,No
MSL-00118,33,Skilled Nursing,6823.93,Studio,1,0,No,20,6,39.3,7,128484.78,No
MSL-00119,46,Independent Living,2272.16,2BR,3,1,No,30,3,73.4,2,48056.0,Yes
MSL-00120,21,Independent Living,2349.47,2BR,3,2,No,46,0,10.2,8,96122.04,No
MSL-00121,75,Skilled Nursing,6629.43,2BR,1,7,No,14,1,32.0,7,357292.31,No
MSL-00122,80,Skilled Nursing,6059.63,2BR,2,1,No,69,2,20.1,5,348976.93,No
MSL-00123,1,Memory Care,5420.32,Suite,3,2,No,22,2,15.6,3,4893.52,No
MSL-00124,84,Skilled Nursing,7806.79,1BR,3,0,No,26,2,112.8,4,538321.33,No
MSL-00125,9,Independent Living,2526.42,Suite,3,4,No,80,3,23.0,4,25218.98,No
MSL-00126,20,Independent Living,2528.09,1BR,3,1,No,72,4,8.5,2,31298.57,No
MSL-00127,53,Skilled Nursing,5407.1,Suite,3,2,No,4,1,46.7,3,209877.39,Yes
MSL-00128,85,Independent Living,2816.83,Studio,1,4,No,6,1,47.1,10,204169.9,No
MSL-00129,81,Independent Living,2777.62,1BR,3,2,Yes,6,0,24.3,3,93292.96,No
MSL-00130,47,Skilled Nursing,6017.61,2BR,3,3,No,0,1,7.5,1,401272.42,No
MSL-00131,33,Independent Living,2420.9,Suite,3,4,No,70,0,63.0,2,118103.72,No
MSL-00132,44,Independent Living,2806.47,Suite,1,6,No,0,0,2.8,10,110603.35,Yes
MSL-00133,53,Independent Living,2720.08,2BR,1,2,No,16,0,21.9,9,195005.63,Yes
MSL-00134,6,Skilled Nursing,7538.77,Studio,2,2,No,67,2,37.8,1,74665.79,No
MSL-00135,5,Skilled Nursing,6020.65,1BR,3,4,No,20,1,122.0,7,14532.39,No
MSL-00136,96,Skilled Nursing,7337.99,1BR,3,1,No,66,3,2.5,10,154164.67,No
MSL-00137,54,Memory Care,6362.33,2BR,1,1,No,61,0,56.0,3,407050.49,No
MSL-00138,88,Memory Care,5654.83,2BR,2,1,No,0,3,5.8,4,397574.74,No
MSL-00139,5,Independent Living,2236.28,2BR,2,2,No,69,0,17.3,7,7359.35,No
MSL-00140,86,Independent Living,2683.96,1BR,1,3,No,43,1,76.2,10,345168.94,Yes
MSL-00141,48,Independent Living,3221.6,1BR,3,3,No,18,4,7.7,9,268591.87,No
MSL-00142,76,Skilled Nursing,7912.62,Suite,3,4,No,58,1,74.1,6,1062622.09,Yes
MSL-00143,13,Skilled Nursing,7772.44,1BR,1,2,No,79,0,29.4,7,95160.76,No
MSL-00144,54,Skilled Nursing,6288.3,1BR,2,3,No,30,1,26.3,4,610356.58,No
MSL-00145,80,Memory Care,5630.25,Studio,3,1,No,75,2,43.6,6,313380.52,No
MSL-00146,31,Skilled Nursing,6511.46,1BR,2,6,Yes,67,3,35.8,1,127786.74,No
MSL-00147,26,Skilled Nursing,5980.74,2BR,2,3,No,24,1,15.6,10,142622.21,No
MSL-00148,58,Skilled Nursing,6944.18,Suite,3,1,No,58,0,53.2,8,376998.98,No
MSL-00149,55,Independent Living,2256.28,1BR,1,1,No,22,0,51.9,5,180412.25,Yes
MSL-00150,2,Independent Living,2422.22,Studio,3,4,No,14,2,15.1,7,6010.91,No
MSL-00151,67,Memory Care,4969.48,1BR,3,2,No,74,2,14.4,10,198990.91,No
MSL-00152,67,Skilled Nursing,8140.0,Studio,2,0,Yes,54,1,106.1,5,454185.28,No
MSL-00153,67,Independent Living,1660.1,1BR,2,3,No,45,2,33.0,7,119099.21,No
MSL-00154,55,Independent Living,2516.31,2BR,2,4,No,82,2,117.2,6,160604.56,No
MSL-00155,29,Memory Care,5210.24,2BR,1,2,Yes,32,4,122.4,10,105905.54,Yes
MSL-00156,13,Independent Living,2608.6,Studio,3,3,No,79,0,108.9,3,46165.24,No
MSL-00157,2,Independent Living,2479.09,Studio,3,5,No,6,0,111.6,3,5648.18,Yes
MSL-00158,7,Memory Care,4609.77,Studio,3,2,Yes,10,3,70.5,7,16949.35,No
MSL-00159,41,Skilled Nursing,6844.45,1BR,3,5,No,34,1,48.4,5,258445.26,No
MSL-00160,61,Independent Living,2537.53,Suite,3,1,No,98,3,25.9,6,168568.63,Yes
MSL-00161,0,Independent Living,2682.39,2BR,3,1,No,6,0,19.9,5,0.0,No
MSL-00162,4,Memory Care,4723.2,1BR,3,2,No,39,1,50.7,1,32966.62,No
MSL-00163,41,Independent Living,2168.59,Suite,1,2,Yes,8,1,6.1,3,118846.44,No
MSL-00164,41,Memory Care,5527.99,1BR,3,5,No,31,1,79.7,9,491186.05,Yes
MSL-00165,51,Independent Living,2126.32,1BR,3,2,No,46,3,30.4,6,175652.34,No
MSL-00166,36,Skilled Nursing,6821.54,2BR,3,2,No,70,2,20.8,6,192902.48,No
MSL-00167,73,Independent Living,2607.74,Studio,2,0,No,59,0,27.4,10,138965.13,No
MSL-00168,50,Memory Care,4528.56,Studio,3,3,No,71,0,25.0,10,241721.3,No
MSL-00169,85,Independent Living,2569.61,1BR,2,4,No,95,2,4.4,10,379049.24,No
MSL-00170,48,Skilled Nursing,6931.83,1BR,3,5,No,79,2,26.3,6,153416.34,No
MSL-00171,3,Skilled Nursing,6731.29,Studio,2,4,No,81,2,29.4,4,31178.5,No
MSL-00172,78,Independent Living,2252.46,2BR,2,3,No,52,1,43.9,10,227611.8,No
MSL-00173,93,Memory Care,5091.7,Suite,2,0,No,60,2,123.9,4,403015.19,No
MSL-00174,68,Independent Living,2495.31,2BR,3,1,Yes,82,2,41.1,7,190990.76,No
MSL-00175,34,Skilled Nursing,7316.88,Studio,2,4,No,74,1,36.3,6,186459.91,Yes
MSL-00176,37,Skilled Nursing,5607.43,1BR,3,2,No,56,5,70.4,3,281169.29,No
MSL-00177,37,Independent Living,2335.38,2BR,3,3,No,97,0,15.4,3,68828.74,No
MSL-00178,28,Skilled Nursing,6928.49,2BR,2,1,No,19,1,21.5,9,200774.39,No
MSL-00179,58,Skilled Nursing,7367.2,Studio,3,3,No,60,0,19.7,7,319504.89,No
MSL-00180,20,Memory Care,4703.22,1BR,3,1,No,17,0,68.3,2,159974.13,No
MSL-00181,81,Independent Living,2683.66,2BR,1,1,Yes,71,2,27.1,4,216675.33,No
MSL-00182,49,Independent Living,2602.18,Studio,1,1,No,3,0,18.9,5,98695.29,No
MSL-00183,25,Skilled Nursing,7637.82,Studio,3,4,No,0,3,97.8,1,105763.24,Yes
MSL-00184,9,Memory Care,5065.3,1BR,3,1,No,62,0,44.4,9,49627.91,No
MSL-00185,67,Independent Living,2515.73,1BR,2,3,No,30,2,30.2,9,78354.88,Yes
MSL-00186,24,Skilled Nursing,8015.88,2BR,2,4,No,29,1,32.0,4,226156.73,No
MSL-00187,79,Independent Living,2224.72,1BR,2,6,No,66,1,16.2,3,89453.49,No
MSL-00188,62,Skilled Nursing,6219.44,Suite,2,3,No,20,0,20.3,1,336074.36,No
MSL-00189,73,Independent Living,2087.05,2BR,2,3,No,61,0,32.9,6,165136.3,No
MSL-00190,20,Independent Living,2610.7,1BR,2,2,Yes,41,3,38.2,2,18178.51,Yes
MSL-00191,10,Skilled Nursing,6094.17,2BR,2,2,No,79,0,31.7,9,105514.98,No
MSL-00192,37,Independent Living,3200.31,Studio,2,2,No,28,2,35.9,3,101393.7,Yes
MSL-00193,93,Independent Living,2447.52,1BR,1,6,No,35,1,110.1,5,287330.46,No
MSL-00194,44,Memory Care,4636.79,1BR,1,1,No,31,2,35.7,1,159220.16,No
MSL-00195,64,Skilled Nursing,6502.5,Studio,3,5,No,8,0,56.1,4,709648.51,No
MSL-00196,87,Independent Living,2054.33,1BR,1,3,No,27,0,28.0,5,251781.8,No
MSL-00197,22,Independent Living,2926.7,Studio,2,4,No,74,2,50.3,5,42997.74,No
MSL-00198,38,Skilled Nursing,7447.23,2BR,3,0,No,95,3,107.5,4,354377.83,No
MSL-00199,50,Skilled Nursing,5695.97,1BR,3,3,Yes,69,2,36.2,2,377784.17,No
MSL-00200,95,Independent Living,2856.08,Studio,1,4,No,48,0,21.5,4,182314.27,Yes
MSL-00201,77,Independent Living,2829.34,2BR,1,0,No,93,0,40.8,5,291413.21,No
MSL-00202,9,Independent Living,2312.19,1BR,3,1,No,41,2,2.5,6,18984.41,Yes
MSL-00203,72,Skilled Nursing,6995.38,1BR,2,4,No,27,1,66.2,7,1200558.54,No
MSL-00204,96,Independent Living,2289.64,Studio,2,2,No,71,0,21.1,5,141919.17,No
MSL-00205,69,Skilled Nursing,7023.83,Studio,2,3,No,19,3,71.8,8,628279.16,No
MSL-00206,35,Independent Living,2250.56,1BR,3,0,No,23,1,76.7,9,87157.57,Yes
MSL-00207,20,Independent Living,2258.18,Studio,2,3,No,51,0,97.5,6,48577.97,No
MSL-00208,84,Memory Care,4018.32,1BR,3,2,Yes,59,2,76.1,3,379337.06,No
MSL-00209,7,Skilled Nursing,6363.21,2BR,2,1,No,15,3,139.2,3,53632.9,No
MSL-00210,83,Independent Living,2455.99,Suite,3,4,Yes,61,2,102.0,4,636021.85,No
MSL-00211,57,Independent Living,2344.09,1BR,3,5,No,70,2,25.8,2,186087.37,No
MSL-00212,34,Memory Care,5455.84,Studio,2,4,No,59,1,40.7,4,316599.82,No
MSL-00213,13,Skilled Nursing,7417.69,2BR,2,1,Yes,29,1,40.4,10,43178.12,Yes
MSL-00214,45,Skilled Nursing,5749.1,Suite,1,8,No,4,2,49.6,2,365615.83,No
MSL-00215,25,Independent Living,2421.78,1BR,2,5,No,6,3,72.5,9,42547.31,No
MSL-00216,35,Memory Care,5193.35,Studio,3,2,Yes,47,1,39.8,5,165576.59,Yes
MSL-00217,43,Independent Living,2515.03,2BR,1,4,No,83,4,33.4,6,136236.61,No
MSL-00218,94,Independent Living,2308.0,Studio,1,3,No,11,0,23.7,3,393335.02,Yes
MSL-00219,48,Skilled Nursing,7916.11,Studio,3,8,No,96,0,19.7,4,2031855.0,No
MSL-00220,46,Independent Living,1995.77,Studio,2,1,No,88,2,48.1,5,60401.86,Yes
MSL-00221,67,Independent Living,2085.56,Suite,2,4,No,99,1,5.8,9,115345.51,No
MSL-00222,90,Memory Care,5680.59,2BR,2,2,No,52,1,31.1,4,1130400.96,Yes
MSL-00223,10,Independent Living,2380.02,Suite,3,3,No,1,2,42.7,2,24350.07,No
MSL-00224,39,Independent Living,2443.69,2BR,3,2,Yes,96,3,21.1,10,59256.25,No
MSL-00225,65,Independent Living,1946.67,2BR,2,3,No,23,1,15.1,9,69165.21,No
MSL-00226,38,Skilled Nursing,7308.49,1BR,3,1,No,100,0,17.0,6,365164.41,No
MSL-00227,84,Independent Living,2335.0,1BR,3,4,No,26,2,20.6,10,240071.47,No
MSL-00228,27,Independent Living,2542.46,Suite,3,5,No,56,2,19.7,9,79314.56,No
MSL-00229,95,Skilled Nursing,6632.9,1BR,1,2,No,46,1,30.8,9,213120.91,No
MSL-00230,60,Memory Care,6110.94,Studio,3,5,No,78,1,44.7,3,214738.32,No
MSL-00231,53,Independent Living,2652.43,1BR,3,0,No,95,0,46.4,9,298324.85,No
MSL-00232,22,Skilled Nursing,5783.37,1BR,1,8,Yes,67,2,50.7,4,173017.21,No
MSL-00233,52,Skilled Nursing,6794.52,1BR,1,2,No,56,0,30.4,4,342996.41,No
MSL-00234,90,Skilled Nursing,7288.06,Studio,3,3,No,45,3,33.7,1,676501.56,No
MSL-00235,4,Independent Living,2530.59,Suite,1,0,No,41,1,78.1,4,15019.68,No
MSL-00236,68,Independent Living,2676.31,Studio,2,4,No,24,1,119.0,9,461559.79,No
MSL-00237,80,Skilled Nursing,6381.87,Studio,3,2,No,78,4,115.0,10,228190.2,No
MSL-00238,37,Memory Care,5474.51,Studio,1,0,No,13,2,23.5,3,297914.3,No
MSL-00239,17,Independent Living,2586.45,1BR,2,4,No,10,1,64.1,3,43169.49,Yes
MSL-00240,95,Memory Care,5692.81,Studio,3,4,No,7,3,13.0,8,570528.84,Yes
MSL-00241,37,Independent Living,1898.25,1BR,2,4,No,43,1,20.2,5,66369.47,No
MSL-00242,89,Independent Living,2333.63,Suite,1,2,No,41,2,40.8,1,220744.8,No
MSL-00243,26,Memory Care,5685.37,1BR,1,2,No,94,2,9.2,4,194667.78,No
MSL-00244,25,Memory Care,6254.38,1BR,2,3,No,57,1,3.1,3,150985.07,No
MSL-00245,40,Skilled Nursing,5276.1,1BR,1,5,No,0,4,31.2,5,215805.76,No
MSL-00246,85,Memory Care,4708.23,Studio,2,6,No,100,3,31.6,8,583999.89,No
MSL-00247,96,Memory Care,5026.61,1BR,3,4,No,32,2,70.8,8,540973.99,No
MSL-00248,17,Skilled Nursing,6148.23,Studio,3,1,No,67,2,54.3,7,100640.07,Yes
MSL-00249,57,Skilled Nursing,8823.84,1BR,3,2,Yes,37,3,60.0,7,541416.36,No
MSL-00250,68,Independent Living,2593.06,1BR,3,1,No,73,2,73.0,9,308759.32,Yes
MSL-00251,32,Independent Living,2101.35,Studio,3,2,No,11,2,15.8,2,46511.22,Yes
MSL-00252,35,Memory Care,4870.71,Studio,3,3,No,80,2,60.6,6,236117.46,No
MSL-00253,91,Skilled Nursing,7148.83,1BR,3,8,No,2,1,44.1,6,789376.21,No
MSL-00254,80,Independent Living,2602.6,1BR,3,5,No,63,1,42.8,3,279504.28,No
MSL-00255,27,Independent Living,1897.26,Studio,2,3,No,35,0,49.3,9,76649.72,No
MSL-00256,21,Independent Living,2809.73,Studio,3,5,No,54,1,14.0,9,39390.74,No
MSL-00257,22,Independent Living,2441.18,1BR,2,4,No,77,3,21.9,3,64192.15,Yes
MSL-00258,26,Independent Living,2045.41,1BR,3,2,No,5,1,3.2,4,113790.28,Yes
MSL-00259,2,Skilled Nursing,6583.36,Studio,2,0,No,55,3,15.3,6,15825.19,Yes
MSL-00260,88,Independent Living,2108.95,1BR,3,4,No,3,2,44.4,1,218116.28,Yes
MSL-00261,23,Independent Living,2486.11,Suite,3,3,No,83,3,80.3,10,58971.18,Yes
MSL-00262,71,Skilled Nursing,8860.65,Suite,2,3,No,23,1,71.6,2,418560.52,No
MSL-00263,40,Skilled Nursing,7564.77,1BR,2,4,Yes,72,1,136.8,7,187034.29,No
MSL-00264,59,Skilled Nursing,8240.81,1BR,3,0,No,47,2,44.3,7,390311.6,No
MSL-00265,0,Independent Living,2285.46,Studio,3,1,No,2,1,82.0,6,0.0,Yes
MSL-00266,48,Skilled Nursing,7113.39,Studio,3,3,No,41,5,53.7,2,937177.85,No
MSL-00267,10,Independent Living,2940.48,Studio,3,5,No,38,1,127.4,9,20271.92,No
MSL-00268,75,Memory Care,5233.92,2BR,3,2,No,97,1,43.8,2,126703.44,No
MSL-00269,73,Memory Care,4783.96,Suite,3,2,No,67,2,18.0,10,276448.99,No
MSL-00270,60,Memory Care,4599.38,Studio,2,3,No,40,1,81.3,1,919794.43,No
MSL-00271,24,Independent Living,2296.72,Studio,3,3,No,74,1,18.8,10,134153.99,Yes
MSL-00272,70,Skilled Nursing,7559.03,1BR,3,4,No,35,1,2.2,8,373721.22,No
MSL-00273,78,Skilled Nursing,6993.39,1BR,2,3,No,84,0,13.3,2,424154.47,No
MSL-00274,28,Independent Living,2465.74,2BR,1,3,Yes,79,0,107.3,3,74240.27,No
MSL-00275,63,Independent Living,2877.05,2BR,2,4,No,89,0,24.7,9,247866.08,No
MSL-00276,84,Independent Living,2527.03,Studio,2,4,No,47,3,16.4,4,253832.4,No
MSL-00277,47,Independent Living,2264.06,Studio,2,4,No,86,4,73.5,4,195389.65,Yes
MSL-00278,57,Independent Living,2256.47,2BR,3,2,No,69,1,21.2,1,178465.51,No
MSL-00279,40,Independent Living,2723.01,Studio,3,3,No,89,0,75.5,10,244766.96,No
MSL-00280,49,Memory Care,4867.85,1BR,3,2,No,53,2,26.2,9,272924.56,No
MSL-00281,1,Memory Care,4651.12,1BR,3,2,No,48,1,6.4,7,8438.36,No
MSL-00282,28,Independent Living,2880.81,2BR,3,3,Yes,61,3,49.2,2,70150.51,Yes
