PolicyID,policy_age_mo,Coverage Type,PREMIUM,Pet_Species,petAge,VET_VISITS_YTD,Multi_pet_Household,claimsFiled,AutoRenew,discount_applied,ZIPRegion,est_lifetime_val,Status
TPI-00045,52,Wellness Plus,66.55,Dog,6,1,No,1,No,Yes,Urban,4238.72,Active
TPI-00046,9,Wellness Plus,97.34,Cat,7,3,No,0,No,No,Urban,1605.12,Active
TPI-00047,22,Basic Accident,16.91,Dog,5,2,Yes,0,Yes,No,Urban,600.82,Active
TPI-00048,34,Wellness Plus,79.05,Dog,13,1,No,0,Yes,Yes,Urban,1843.24,Active
TPI-00049,23,Wellness Plus,94.73,Cat,7,4,No,0,No,Yes,Suburban,1419.89,Active
TPI-00050,23,Comprehensive,52.57,Dog,14,3,Yes,1,No,No,Urban,776.4,Active
TPI-00051,3,Wellness Plus,81.85,Cat,10,1,Yes,1,No,No,Suburban,126.0,Active
TPI-00052,25,Wellness Plus,85.6,Cat,0,1,No,1,No,No,Urban,2190.3,Active
TPI-00053,53,Wellness Plus,79.04,Cat,15,2,No,1,Yes,Yes,Urban,2693.4,Active
TPI-00054,51,Comprehensive,54.33,Dog,13,2,No,1,Yes,No,Rural,2199.84,Active
TPI-00055,48,Comprehensive,50.02,Dog,1,3,No,0,No,Yes,Suburban,3632.81,Active
TPI-00056,11,Comprehensive,38.11,Dog,9,5,No,2,No,Yes,Urban,466.45,Active
TPI-00057,0,Comprehensive,39.06,Cat,14,1,No,0,Yes,Yes,Suburban,47.32,Active
TPI-00058,21,Wellness Plus,55.0,Dog,4,1,No,2,Yes,Yes,Suburban,1226.23,Active
TPI-00059,15,Comprehensive,52.2,Cat,1,2,No,1,Yes,No,Urban,1159.28,Active
TPI-00060,35,Comprehensive,44.47,Cat,14,6,Yes,0,Yes,No,Suburban,1365.94,Active
TPI-00061,42,Wellness Plus,83.14,Cat,12,4,No,0,Yes,No,Suburban,1478.1,Active
TPI-00062,18,Basic Accident,23.02,Dog,3,1,No,1,No,Yes,Urban,376.52,Active
TPI-00063,13,Basic Accident,27.39,Dog,10,3,No,2,Yes,Yes,Urban,547.08,Active
TPI-00064,56,Basic Accident,22.82,Dog,8,3,Yes,1,No,No,Urban,2753.65,Active
TPI-00065,5,Comprehensive,52.06,Dog,12,3,No,1,Yes,No,Suburban,338.78,Active
TPI-00066,31,Basic Accident,27.05,Cat,14,2,No,1,Yes,Yes,Urban,1192.25,Active
TPI-00067,37,Wellness Plus,93.23,Dog,6,3,No,0,Yes,Yes,Urban,3209.55,Active
TPI-00068,24,Wellness Plus,87.74,Cat,0,2,Yes,4,Yes,No,Suburban,6415.27,Active
TPI-00069,20,Basic Accident,20.92,Dog,4,3,No,0,No,No,Urban,553.43,Lapsed
TPI-00070,39,Basic Accident,23.12,Other,11,0,No,0,Yes,No,Urban,2094.7,Active
TPI-00071,31,Comprehensive,44.7,Dog,11,2,Yes,1,Yes,No,Suburban,695.52,Active
TPI-00072,33,Basic Accident,25.9,Dog,4,2,Yes,1,Yes,No,Suburban,731.8,Active
TPI-00073,13,Basic Accident,22.76,Dog,1,2,Yes,2,Yes,Yes,Suburban,403.42,Lapsed
TPI-00074,13,Basic Accident,17.85,Cat,6,2,Yes,0,No,No,Urban,292.49,Active
TPI-00075,36,Comprehensive,42.0,Dog,0,0,Yes,0,Yes,No,Urban,1951.21,Active
TPI-00076,17,Basic Accident,19.06,Dog,7,6,No,1,Yes,No,Urban,649.24,Lapsed
TPI-00077,10,Basic Accident,22.33,Dog,15,2,No,0,No,Yes,Suburban,127.97,Lapsed
TPI-00078,56,Wellness Plus,55.0,Dog,9,2,Yes,2,Yes,No,Suburban,4916.12,Active
TPI-00079,17,Comprehensive,53.89,Dog,10,2,No,3,Yes,No,Suburban,1123.64,Active
TPI-00080,29,Comprehensive,37.64,Dog,3,6,No,0,Yes,Yes,Suburban,984.16,Active
TPI-00081,29,Comprehensive,52.81,Cat,3,2,Yes,0,No,No,Suburban,1656.49,Active
TPI-00082,21,Wellness Plus,88.27,Dog,10,1,No,0,Yes,No,Urban,3259.8,Active
TPI-00083,33,Basic Accident,25.37,Cat,7,1,Yes,2,Yes,No,Rural,1251.64,Active
TPI-00084,57,Comprehensive,45.2,Dog,4,1,No,1,Yes,Yes,Urban,3134.47,Active
TPI-00085,37,Comprehensive,42.1,Cat,0,1,No,1,Yes,No,Urban,2058.96,Active
TPI-00086,37,Comprehensive,44.92,Dog,4,2,Yes,3,Yes,Yes,Rural,2156.48,Active
TPI-00087,30,Basic Accident,21.35,Cat,7,1,No,0,No,No,Suburban,589.48,Lapsed
TPI-00088,42,Basic Accident,25.97,Dog,9,3,No,3,Yes,No,Urban,1323.75,Lapsed
TPI-00089,0,Comprehensive,49.25,Other,11,5,Yes,2,Yes,No,Suburban,267.65,Active
TPI-00090,16,Basic Accident,29.47,Dog,5,1,No,0,Yes,No,Suburban,203.93,Active
TPI-00091,0,Comprehensive,62.21,Cat,0,3,Yes,1,No,No,Urban,88.61,Active
TPI-00092,12,Comprehensive,52.01,Dog,4,1,No,3,No,Yes,Urban,438.66,Active
TPI-00093,9,Wellness Plus,76.37,Dog,8,1,No,2,Yes,Yes,Suburban,604.66,Active
TPI-00094,27,Comprehensive,56.91,Dog,7,3,No,2,No,No,Suburban,1742.2,Lapsed
TPI-00095,58,Wellness Plus,72.82,Other,0,3,No,1,Yes,Yes,Suburban,3955.46,Active
TPI-00096,25,Basic Accident,26.58,Dog,15,2,Yes,0,No,No,Urban,710.37,Lapsed
TPI-00097,47,Wellness Plus,73.89,Dog,2,0,No,0,Yes,No,Suburban,2269.0,Active
TPI-00098,48,Basic Accident,20.26,Dog,12,2,Yes,2,No,No,Urban,1180.78,Lapsed
TPI-00099,30,Comprehensive,53.85,Dog,7,2,No,1,Yes,No,Suburban,1409.28,Active
TPI-00100,13,Wellness Plus,78.48,Cat,1,3,No,0,No,No,Suburban,1813.47,Active
TPI-00101,18,Comprehensive,49.71,Dog,1,1,No,1,No,Yes,Urban,748.95,Lapsed
TPI-00102,36,Wellness Plus,68.3,Cat,7,0,No,3,Yes,No,Suburban,3185.25,Active
TPI-00103,2,Comprehensive,44.84,Dog,10,3,Yes,0,Yes,No,Suburban,101.02,Active
TPI-00104,27,Comprehensive,44.82,Cat,10,4,No,1,No,Yes,Urban,2851.39,Active
TPI-00105,30,Comprehensive,46.57,Dog,3,2,Yes,5,No,No,Urban,1490.22,Active
TPI-00106,44,Wellness Plus,77.99,Dog,9,0,No,1,Yes,No,Suburban,3981.58,Active
TPI-00107,53,Wellness Plus,85.77,Cat,5,1,No,0,Yes,No,Urban,6686.6,Active
TPI-00108,57,Comprehensive,56.5,Dog,7,1,No,0,Yes,No,Suburban,2887.07,Active
TPI-00109,41,Comprehensive,66.69,Cat,12,1,No,0,Yes,No,Urban,7736.02,Active
TPI-00110,10,Comprehensive,45.46,Dog,15,3,No,1,Yes,Yes,Suburban,937.77,Active
TPI-00111,31,Comprehensive,49.84,Dog,8,2,Yes,2,Yes,No,Rural,1111.54,Active
TPI-00112,51,Wellness Plus,82.52,Dog,14,1,Yes,0,Yes,Yes,Urban,5125.62,Active
TPI-00113,13,Comprehensive,48.77,Dog,12,1,No,0,No,No,Suburban,877.04,Active
TPI-00114,48,Basic Accident,20.8,Dog,5,2,No,0,Yes,No,Urban,1566.13,Active
TPI-00115,1,Wellness Plus,84.7,Dog,4,2,No,1,No,No,Urban,150.16,Active
TPI-00116,41,Basic Accident,27.44,Dog,8,4,Yes,1,No,No,Suburban,990.84,Lapsed
TPI-00117,46,Basic Accident,23.11,Dog,6,2,No,1,Yes,Yes,Urban,1810.12,Active
TPI-00118,9,Comprehensive,44.85,Dog,7,1,No,0,No,No,Rural,294.55,Active
TPI-00119,29,Comprehensive,32.3,Cat,3,0,No,3,Yes,No,Rural,903.45,Active
TPI-00120,45,Basic Accident,22.17,Cat,9,1,No,1,Yes,No,Suburban,677.04,Lapsed
TPI-00121,28,Comprehensive,59.43,Dog,12,1,No,2,No,No,Suburban,1123.04,Active
TPI-00122,23,Comprehensive,52.45,Cat,0,0,No,1,Yes,Yes,Rural,687.59,Lapsed
TPI-00123,57,Comprehensive,52.83,Dog,12,2,No,2,No,No,Urban,2045.81,Active
TPI-00124,59,Basic Accident,21.29,Dog,3,1,No,0,Yes,No,Rural,1616.7,Active
TPI-00125,25,Comprehensive,44.01,Dog,3,2,No,4,No,Yes,Urban,1892.7,Active
TPI-00126,26,Comprehensive,53.38,Dog,6,4,No,2,Yes,No,Suburban,1256.46,Active
TPI-00127,31,Basic Accident,18.62,Dog,8,5,No,0,No,No,Suburban,569.23,Lapsed
TPI-00128,9,Comprehensive,38.97,Cat,11,4,No,1,No,Yes,Urban,269.47,Active
TPI-00129,40,Basic Accident,18.18,Cat,7,3,No,0,No,No,Rural,569.2,Lapsed
TPI-00130,46,Comprehensive,50.59,Dog,1,0,Yes,0,No,No,Urban,1419.09,Active
TPI-00131,37,Basic Accident,20.23,Cat,8,2,No,0,Yes,No,Urban,506.94,Active
TPI-00132,47,Comprehensive,39.96,Cat,7,0,No,0,Yes,No,Suburban,3262.86,Active
TPI-00133,38,Basic Accident,20.2,Dog,12,3,No,1,No,No,Rural,699.4,Active
TPI-00134,26,Comprehensive,40.29,Dog,11,2,No,1,No,Yes,Suburban,1387.64,Active
TPI-00135,17,Basic Accident,24.42,Cat,7,4,No,0,No,No,Suburban,425.66,Active
TPI-00136,49,Comprehensive,47.67,Cat,6,3,No,1,Yes,Yes,Suburban,4310.03,Active
TPI-00137,42,Basic Accident,20.67,Cat,4,3,Yes,0,Yes,No,Suburban,518.4,Active
TPI-00138,38,Comprehensive,45.56,Cat,14,2,No,0,No,No,Suburban,1526.55,Active
TPI-00139,10,Comprehensive,61.01,Dog,12,2,No,1,No,No,Rural,643.18,Active
TPI-00140,40,Comprehensive,34.44,Dog,14,2,No,1,No,No,Urban,941.42,Active
TPI-00141,17,Basic Accident,22.07,Dog,3,3,Yes,0,Yes,No,Urban,274.52,Lapsed
TPI-00142,22,Wellness Plus,95.74,Dog,13,6,No,1,Yes,No,Suburban,2242.93,Active
TPI-00143,60,Comprehensive,52.31,Dog,11,0,Yes,0,No,No,Rural,3862.79,Active
TPI-00144,13,Comprehensive,56.61,Dog,4,0,No,0,No,No,Rural,1444.18,Lapsed
TPI-00145,51,Comprehensive,42.66,Dog,8,1,No,0,No,No,Suburban,1807.09,Active
TPI-00146,7,Comprehensive,45.8,Cat,14,4,No,0,Yes,No,Urban,340.02,Active
TPI-00147,6,Comprehensive,53.81,Other,0,1,No,0,No,Yes,Suburban,130.59,Active
TPI-00148,46,Basic Accident,20.3,Dog,4,0,No,5,Yes,Yes,Suburban,940.95,Lapsed
TPI-00149,40,Comprehensive,40.69,Cat,15,1,Yes,1,Yes,Yes,Suburban,1919.15,Active
TPI-00150,58,Basic Accident,20.68,Dog,1,2,No,0,Yes,No,Suburban,813.62,Active
TPI-00151,51,Wellness Plus,78.24,Dog,10,1,No,0,No,No,Suburban,3927.31,Active
TPI-00152,34,Wellness Plus,85.1,Cat,11,1,Yes,1,No,No,Rural,1814.2,Active
TPI-00153,46,Wellness Plus,72.24,Dog,9,4,No,2,Yes,Yes,Suburban,3238.89,Active
TPI-00154,27,Wellness Plus,82.48,Dog,12,5,Yes,0,No,No,Urban,5349.09,Lapsed
TPI-00155,4,Basic Accident,23.16,Dog,5,1,Yes,1,Yes,No,Urban,247.47,Lapsed
TPI-00156,1,Basic Accident,12.0,Dog,2,2,No,1,No,Yes,Suburban,64.06,Lapsed
TPI-00157,16,Basic Accident,27.36,Other,14,1,Yes,0,No,No,Rural,1458.57,Lapsed
TPI-00158,54,Comprehensive,48.21,Dog,14,2,No,1,Yes,Yes,Urban,4225.53,Active
TPI-00159,6,Comprehensive,47.01,Dog,0,2,Yes,1,Yes,No,Urban,504.13,Active
TPI-00160,54,Basic Accident,21.38,Cat,7,2,Yes,2,No,No,Rural,1163.73,Active
TPI-00161,19,Comprehensive,51.07,Cat,2,4,Yes,3,Yes,No,Rural,1520.64,Active
TPI-00162,25,Comprehensive,49.34,Dog,7,3,No,0,Yes,No,Rural,1792.26,Active
TPI-00163,39,Basic Accident,18.08,Cat,5,0,No,2,Yes,No,Rural,668.71,Active
TPI-00164,44,Wellness Plus,82.43,Dog,1,0,No,1,Yes,No,Suburban,6037.49,Active
TPI-00165,9,Comprehensive,47.25,Dog,13,5,Yes,2,No,No,Suburban,819.24,Active
TPI-00166,44,Wellness Plus,66.88,Dog,2,1,No,0,Yes,No,Urban,2892.79,Active
TPI-00167,47,Comprehensive,47.72,Cat,5,1,No,1,No,No,Rural,1779.21,Active
TPI-00168,5,Comprehensive,44.51,Cat,14,4,Yes,0,No,No,Suburban,368.82,Active
TPI-00169,52,Wellness Plus,72.12,Dog,1,2,No,0,No,No,Urban,3093.5,Active
TPI-00170,33,Basic Accident,17.43,Other,2,1,No,1,No,No,Rural,546.15,Lapsed
TPI-00171,41,Basic Accident,22.28,Dog,7,3,No,1,No,No,Urban,607.82,Active
TPI-00172,16,Wellness Plus,65.76,Dog,7,1,No,0,No,No,Suburban,739.1,Active
TPI-00173,44,Comprehensive,54.4,Dog,1,2,No,0,No,Yes,Urban,5280.61,Lapsed
TPI-00174,41,Basic Accident,12.0,Dog,15,2,No,2,Yes,No,Suburban,1185.13,Active
TPI-00175,5,Comprehensive,49.66,Cat,0,1,No,2,No,Yes,Rural,531.46,Active
TPI-00176,10,Comprehensive,49.08,Cat,13,2,No,0,Yes,Yes,Suburban,757.48,Active
TPI-00177,46,Comprehensive,60.34,Cat,9,4,No,4,Yes,Yes,Urban,1751.85,Active
TPI-00178,45,Wellness Plus,79.82,Dog,10,0,Yes,2,Yes,Yes,Suburban,4448.27,Active
TPI-00179,15,Basic Accident,27.06,Dog,3,2,No,0,No,No,Suburban,542.61,Lapsed
TPI-00180,28,Comprehensive,54.6,Cat,10,2,No,1,Yes,No,Suburban,1766.1,Active
TPI-00181,46,Basic Accident,18.75,Cat,7,2,Yes,0,No,No,Urban,1148.86,Lapsed
TPI-00182,49,Wellness Plus,77.26,Cat,5,1,No,1,Yes,No,Urban,8966.62,Active
TPI-00183,11,Basic Accident,27.19,Other,6,0,No,0,Yes,No,Suburban,366.85,Active
TPI-00184,47,Basic Accident,24.34,Dog,12,2,No,1,No,No,Suburban,1248.2,Active
TPI-00185,25,Comprehensive,43.86,Cat,8,4,No,1,Yes,Yes,Suburban,798.76,Active
TPI-00186,41,Comprehensive,65.54,Dog,9,2,Yes,0,Yes,No,Suburban,3475.17,Active
TPI-00187,4,Basic Accident,21.62,Cat,4,0,Yes,1,Yes,No,Suburban,272.24,Active
TPI-00188,2,Wellness Plus,90.85,Dog,1,3,No,0,Yes,Yes,Suburban,296.6,Active
TPI-00189,24,Basic Accident,25.06,Cat,8,2,No,1,No,No,Urban,436.92,Lapsed
TPI-00190,47,Comprehensive,44.95,Cat,2,2,No,0,Yes,No,Rural,1683.63,Active
TPI-00191,45,Comprehensive,68.88,Cat,1,4,Yes,1,No,No,Suburban,960.7,Active
TPI-00192,37,Basic Accident,19.46,Dog,12,2,No,0,Yes,No,Suburban,824.73,Active
TPI-00193,48,Wellness Plus,86.78,Cat,6,1,No,0,No,No,Rural,3550.74,Active
TPI-00194,7,Basic Accident,20.81,Cat,7,1,No,2,Yes,Yes,Urban,363.38,Lapsed
TPI-00195,31,Wellness Plus,81.14,Dog,13,3,No,1,Yes,Yes,Urban,2658.11,Active
TPI-00196,19,Wellness Plus,87.07,Dog,15,2,No,1,Yes,No,Suburban,2234.05,Active
TPI-00197,26,Comprehensive,32.0,Dog,0,1,No,1,Yes,No,Urban,1925.61,Active
TPI-00198,60,Comprehensive,44.09,Dog,13,5,No,1,Yes,No,Urban,1914.07,Active
TPI-00199,36,Comprehensive,47.19,Dog,0,2,No,0,Yes,No,Urban,2441.76,Active
TPI-00200,55,Basic Accident,29.27,Dog,9,2,No,0,Yes,No,Suburban,1046.34,Active
TPI-00201,60,Comprehensive,46.66,Dog,5,1,No,2,Yes,No,Suburban,2423.75,Active
TPI-00202,18,Comprehensive,45.75,Other,15,6,No,0,Yes,Yes,Rural,809.28,Active
TPI-00203,42,Basic Accident,24.51,Dog,4,3,No,0,Yes,No,Suburban,1514.11,Active
TPI-00204,30,Wellness Plus,84.63,Dog,0,5,No,1,No,No,Suburban,1561.85,Active
TPI-00205,28,Basic Accident,25.38,Dog,13,2,Yes,2,Yes,No,Suburban,558.75,Lapsed
TPI-00206,2,Wellness Plus,89.7,Other,6,2,Yes,0,Yes,Yes,Urban,236.66,Active
TPI-00207,34,Basic Accident,21.88,Dog,4,0,No,0,No,No,Rural,98.26,Lapsed
TPI-00208,60,Basic Accident,18.39,Dog,1,2,Yes,1,No,No,Rural,1667.03,Lapsed
TPI-00209,39,Comprehensive,52.15,Cat,10,3,No,0,No,Yes,Urban,2643.01,Active
TPI-00210,58,Wellness Plus,90.45,Dog,3,1,No,0,Yes,Yes,Suburban,5105.66,Active
TPI-00211,12,Comprehensive,43.87,Cat,14,1,No,0,Yes,No,Urban,850.17,Active
TPI-00212,7,Basic Accident,21.36,Dog,7,1,No,1,Yes,No,Urban,264.12,Active
TPI-00213,5,Wellness Plus,101.82,Dog,13,2,No,0,Yes,No,Suburban,840.98,Active
TPI-00214,21,Comprehensive,48.74,Dog,13,2,Yes,1,No,No,Urban,1391.76,Lapsed
TPI-00215,11,Basic Accident,17.26,Dog,11,2,No,0,No,No,Rural,133.56,Lapsed
TPI-00216,3,Comprehensive,50.58,Other,9,3,No,0,Yes,Yes,Rural,429.7,Active
TPI-00217,54,Basic Accident,16.02,Cat,4,1,Yes,1,Yes,No,Urban,891.47,Lapsed
TPI-00218,49,Comprehensive,70.0,Dog,4,1,Yes,0,Yes,No,Suburban,1479.52,Active
TPI-00219,42,Basic Accident,22.19,Dog,13,2,No,1,Yes,No,Urban,963.79,Active
TPI-00220,28,Comprehensive,60.85,Dog,15,4,Yes,0,No,No,Urban,2033.55,Active
TPI-00221,6,Basic Accident,18.96,Dog,7,2,No,1,No,No,Urban,28.33,Active
TPI-00222,57,Comprehensive,53.03,Other,8,6,Yes,2,No,Yes,Urban,3824.25,Active
TPI-00223,60,Comprehensive,59.91,Dog,1,2,No,0,Yes,No,Urban,6199.52,Active
TPI-00224,8,Basic Accident,23.77,Cat,5,1,No,0,No,No,Urban,58.27,Active
TPI-00225,40,Wellness Plus,88.78,Dog,1,0,No,0,No,Yes,Urban,1804.95,Active
TPI-00226,4,Comprehensive,32.0,Dog,9,6,Yes,0,No,No,Urban,204.03,Lapsed
TPI-00227,11,Comprehensive,36.23,Dog,0,2,No,0,Yes,No,Suburban,434.33,Active
TPI-00228,56,Comprehensive,46.39,Dog,0,3,No,1,No,No,Suburban,4272.88,Active
TPI-00229,23,Wellness Plus,65.36,Dog,15,3,Yes,1,Yes,No,Urban,1633.98,Active
TPI-00230,56,Comprehensive,39.51,Dog,7,2,No,0,No,No,Urban,1051.65,Active
TPI-00231,42,Wellness Plus,94.66,Dog,5,1,No,0,No,No,Suburban,2220.09,Active
TPI-00232,52,Basic Accident,19.53,Dog,4,1,No,0,Yes,Yes,Suburban,2646.79,Active
TPI-00233,3,Wellness Plus,71.34,Dog,7,1,Yes,0,No,Yes,Urban,135.46,Active
TPI-00234,16,Comprehensive,52.51,Dog,12,2,No,2,Yes,No,Suburban,825.57,Active
TPI-00235,16,Wellness Plus,101.18,Cat,10,3,No,2,Yes,No,Urban,1300.07,Active
TPI-00236,60,Basic Accident,14.83,Dog,10,3,No,1,Yes,No,Urban,453.63,Active
TPI-00237,36,Wellness Plus,74.92,Dog,13,1,No,1,No,No,Urban,3205.01,Active
TPI-00238,8,Basic Accident,24.77,Dog,14,4,Yes,1,Yes,No,Urban,180.41,Active
TPI-00239,52,Comprehensive,55.21,Cat,12,2,No,2,No,No,Suburban,3597.37,Lapsed
TPI-00240,27,Basic Accident,24.53,Dog,2,2,No,2,Yes,No,Suburban,909.61,Active
TPI-00241,4,Wellness Plus,98.24,Cat,10,1,Yes,1,No,Yes,Suburban,550.85,Active
TPI-00242,19,Basic Accident,24.05,Cat,1,1,No,0,No,No,Rural,52.34,Lapsed
TPI-00243,57,Basic Accident,20.37,Dog,9,0,Yes,1,Yes,Yes,Suburban,1177.85,Active
TPI-00244,50,Basic Accident,26.66,Cat,3,2,Yes,1,Yes,No,Suburban,2173.67,Active
TPI-00245,14,Wellness Plus,66.21,Dog,10,0,No,0,No,No,Urban,745.62,Active
TPI-00246,46,Wellness Plus,97.3,Dog,14,5,No,0,Yes,No,Suburban,3893.25,Active
TPI-00247,57,Comprehensive,46.41,Dog,14,3,Yes,0,Yes,Yes,Urban,1638.19,Active
TPI-00248,27,Comprehensive,41.88,Other,15,2,No,0,No,No,Suburban,955.14,Active
TPI-00249,47,Basic Accident,21.5,Dog,8,2,Yes,0,Yes,No,Suburban,740.95,Active
TPI-00250,36,Comprehensive,59.14,Cat,11,3,No,3,No,No,Urban,1940.42,Active
TPI-00251,52,Comprehensive,33.16,Cat,11,1,No,0,Yes,Yes,Suburban,1095.82,Active
TPI-00252,54,Basic Accident,22.38,Dog,7,2,No,0,No,No,Suburban,1881.54,Active
TPI-00253,17,Comprehensive,45.72,Dog,13,5,No,1,No,No,Suburban,1187.71,Active
TPI-00254,4,Basic Accident,24.02,Dog,8,2,No,0,Yes,No,Rural,78.27,Active
TPI-00255,54,Basic Accident,17.0,Cat,6,5,Yes,0,Yes,Yes,Urban,2793.43,Active
TPI-00256,56,Comprehensive,40.02,Dog,3,4,No,1,Yes,No,Suburban,2607.85,Active
TPI-00257,11,Basic Accident,21.98,Dog,7,0,No,1,Yes,No,Urban,327.92,Active
TPI-00258,59,Basic Accident,21.64,Dog,10,3,No,1,No,No,Suburban,2545.74,Lapsed
TPI-00259,3,Comprehensive,47.64,Dog,2,4,No,2,No,No,Rural,277.16,Lapsed
TPI-00260,9,Basic Accident,24.07,Cat,15,0,No,1,Yes,No,Urban,272.58,Lapsed
TPI-00261,34,Basic Accident,23.51,Dog,6,6,No,1,Yes,Yes,Urban,578.6,Active
TPI-00262,50,Wellness Plus,100.16,Dog,2,2,No,1,Yes,No,Suburban,1168.93,Active
TPI-00263,60,Comprehensive,45.25,Dog,7,4,No,2,No,Yes,Suburban,6918.65,Active
TPI-00264,8,Wellness Plus,102.49,Cat,3,2,No,1,No,No,Rural,1009.7,Active
TPI-00265,44,Wellness Plus,96.71,Dog,13,1,Yes,0,No,No,Suburban,4947.49,Active
TPI-00266,23,Basic Accident,26.78,Cat,6,0,No,0,Yes,Yes,Suburban,956.99,Active
TPI-00267,47,Wellness Plus,83.1,Dog,4,4,No,1,Yes,Yes,Rural,3216.89,Active
TPI-00268,27,Comprehensive,46.45,Dog,13,3,Yes,1,No,Yes,Suburban,1724.14,Active
TPI-00269,8,Basic Accident,28.29,Cat,5,1,No,0,No,No,Suburban,165.62,Active
TPI-00270,38,Wellness Plus,80.37,Dog,9,2,Yes,0,Yes,No,Urban,3380.77,Active
