Client Reference Number,Months as Client,Service Tier,Monthly Retainer Fee,Primary Practice Area,Case Load Estimate,Number of Matters Filed,Preferred Contact Method,Has Dedicated Attorney,Average Response Time Hours,Referral Source,Billing Dispute Count,Uses Client Portal,Estimated Lifetime Client Value,Left Firm
VLS-00057,68,Premier Retainer,2352.95,Real Estate,1,0,Client Portal,Yes,2.7,Advertisement,1,No,165071.27,No
VLS-00058,12,Premier Retainer,1637.78,Estate Planning,0,2,Email,No,12.9,Web Search,0,No,29538.37,No
VLS-00059,33,Basic Retainer,862.05,Real Estate,5,2,Client Portal,Yes,27.2,Referral,1,No,73137.57,Yes
VLS-00060,23,Basic Retainer,750.11,Litigation,3,2,Client Portal,No,16.9,Referral,2,Yes,23567.83,Yes
VLS-00061,21,Premier Retainer,2189.68,Litigation,1,3,Client Portal,No,10.0,Referral,0,Yes,43237.94,No
VLS-00062,26,Premier Retainer,2302.79,Corporate,3,0,Email,Yes,10.6,Referral,1,Yes,134653.59,No
VLS-00063,32,Premier Retainer,1790.64,Family,0,0,Client Portal,Yes,9.8,Repeat Client,0,No,29665.26,No
VLS-00064,10,Premier Retainer,2102.75,Family,1,3,Email,No,6.2,Referral,0,No,9031.35,No
VLS-00065,60,Premier Retainer,2065.12,Corporate,1,0,Phone,Yes,17.4,Web Search,2,Yes,84303.93,No
VLS-00066,46,Premier Retainer,2652.65,Family,3,0,Email,Yes,4.2,Repeat Client,1,Yes,175695.92,No
VLS-00067,70,Premier Retainer,2677.35,Family,3,3,Phone,Yes,10.4,Web Search,0,No,203155.27,No
VLS-00068,59,Basic Retainer,861.18,Real Estate,2,2,Email,No,2.1,Referral,0,Yes,31610.52,No
VLS-00069,12,Basic Retainer,746.77,Corporate,2,0,Email,No,18.5,Repeat Client,0,Yes,6380.73,Yes
VLS-00070,5,Premier Retainer,1600.69,Litigation,1,4,Email,No,10.1,Referral,1,Yes,4521.91,No
VLS-00071,35,Basic Retainer,707.04,Family,2,0,Email,No,2.5,Referral,0,Yes,14253.79,No
VLS-00072,40,Premier Retainer,2848.18,Litigation,2,2,Email,Yes,22.6,Web Search,0,Yes,230522.95,No
VLS-00073,20,Signature Retainer,4391.28,Corporate,2,2,Client Portal,Yes,8.5,Referral,0,No,83835.08,No
VLS-00074,66,Basic Retainer,880.46,Family,5,2,Phone,No,3.1,Repeat Client,0,No,129143.21,No
VLS-00075,49,Basic Retainer,869.62,Corporate,4,1,Phone,Yes,28.7,Referral,0,No,30139.8,Yes
VLS-00076,63,Basic Retainer,925.31,Litigation,0,0,Client Portal,No,7.5,Repeat Client,0,Yes,72396.68,No
VLS-00077,9,Basic Retainer,1134.16,Family,5,1,Email,No,4.8,Referral,1,Yes,11728.71,Yes
VLS-00078,69,Premier Retainer,1825.43,Estate Planning,4,4,Email,No,10.7,Repeat Client,1,No,187906.12,No
VLS-00079,17,Premier Retainer,2394.2,Family,0,0,Email,No,3.4,Referral,0,Yes,45581.24,No
VLS-00080,38,Signature Retainer,4794.2,Real Estate,1,1,Email,Yes,6.2,Repeat Client,1,Yes,284712.51,No
VLS-00081,37,Premier Retainer,2391.15,Corporate,3,2,Phone,No,20.9,Referral,0,Yes,113736.99,No
VLS-00082,69,Premier Retainer,1801.29,Real Estate,3,3,Phone,No,7.6,Repeat Client,0,No,76615.63,No
VLS-00083,23,Signature Retainer,4374.23,Family,1,1,Phone,Yes,12.4,Repeat Client,0,Yes,140850.86,No
VLS-00084,20,Basic Retainer,886.05,Family,3,3,Phone,No,21.6,Web Search,0,No,17787.5,No
VLS-00085,28,Basic Retainer,913.06,Corporate,2,2,Email,No,7.5,Referral,2,Yes,18143.22,No
VLS-00086,30,Basic Retainer,709.92,Corporate,0,2,Phone,No,4.7,Web Search,1,No,30169.99,No
VLS-00087,15,Premier Retainer,2247.98,Corporate,3,1,Email,No,14.0,Web Search,0,Yes,50967.58,No
VLS-00088,14,Premier Retainer,2067.74,Estate Planning,6,0,Client Portal,No,3.0,Web Search,0,No,23701.36,No
VLS-00089,19,Basic Retainer,682.7,Family,4,1,Email,No,4.2,Web Search,1,Yes,11691.71,No
VLS-00090,39,Premier Retainer,2266.3,Corporate,4,3,Email,Yes,2.5,Repeat Client,1,No,48861.76,No
VLS-00091,29,Basic Retainer,1055.77,Estate Planning,0,2,Email,No,20.5,Repeat Client,0,No,13985.97,Yes
VLS-00092,33,Premier Retainer,2169.2,Corporate,4,2,Email,No,9.5,Web Search,1,No,64220.67,Yes
VLS-00093,61,Premier Retainer,2458.9,Family,2,0,Email,No,14.4,Referral,1,No,213989.24,No
VLS-00094,20,Basic Retainer,729.95,Litigation,4,2,Email,Yes,4.5,Referral,0,No,12638.36,No
VLS-00095,77,Basic Retainer,714.29,Estate Planning,3,1,Phone,No,12.1,Advertisement,0,Yes,104728.6,No
VLS-00096,63,Premier Retainer,2122.62,Litigation,3,3,Client Portal,Yes,12.3,Repeat Client,1,Yes,123909.15,No
VLS-00097,14,Basic Retainer,844.92,Family,2,1,Email,No,28.6,Web Search,0,No,10781.31,Yes
VLS-00098,26,Basic Retainer,838.27,Estate Planning,1,2,Email,No,13.5,Referral,0,No,19319.03,Yes
VLS-00099,15,Basic Retainer,732.67,Corporate,2,2,Client Portal,No,16.3,Referral,1,Yes,16704.52,Yes
VLS-00100,23,Signature Retainer,5237.65,Estate Planning,1,1,Email,No,10.1,Referral,1,Yes,78715.56,No
VLS-00101,31,Signature Retainer,4604.55,Litigation,3,5,Client Portal,Yes,0.5,Repeat Client,0,Yes,136742.21,No
VLS-00102,11,Premier Retainer,2049.64,Estate Planning,2,0,Email,No,11.3,Advertisement,1,Yes,18063.34,No
VLS-00103,1,Basic Retainer,810.35,Corporate,1,3,Email,No,8.0,Referral,0,Yes,1634.44,No
VLS-00104,37,Signature Retainer,4124.49,Corporate,1,0,Email,No,7.7,Referral,0,No,155394.5,No
VLS-00105,59,Premier Retainer,2428.82,Litigation,2,0,Email,No,6.4,Referral,0,Yes,136549.91,No
VLS-00106,25,Premier Retainer,2274.12,Real Estate,4,1,Phone,No,7.7,Web Search,1,No,91715.31,No
VLS-00107,73,Premier Retainer,2319.54,Real Estate,2,1,Client Portal,No,5.5,Advertisement,0,No,169031.29,No
VLS-00108,31,Basic Retainer,1009.82,Estate Planning,0,1,Email,No,15.3,Referral,1,Yes,39536.84,No
VLS-00109,76,Basic Retainer,745.22,Real Estate,1,3,Client Portal,No,3.9,Referral,0,Yes,61260.41,Yes
VLS-00110,20,Signature Retainer,4605.33,Family,3,2,Email,No,26.2,Repeat Client,2,No,173024.67,Yes
VLS-00111,45,Premier Retainer,1900.62,Family,1,1,Email,Yes,14.4,Repeat Client,0,Yes,76298.51,No
VLS-00112,64,Basic Retainer,668.82,Corporate,3,0,Client Portal,No,18.1,Web Search,0,No,37053.84,No
VLS-00113,5,Basic Retainer,972.54,Corporate,1,2,Client Portal,No,4.2,Web Search,0,No,6879.29,No
VLS-00114,79,Premier Retainer,1786.42,Corporate,1,2,Phone,No,6.0,Repeat Client,1,Yes,122783.29,No
VLS-00115,31,Basic Retainer,914.0,Litigation,2,1,Email,No,9.8,Advertisement,0,No,35077.98,No
VLS-00116,42,Signature Retainer,4958.1,Litigation,6,3,Email,No,9.1,Repeat Client,0,Yes,597017.09,No
VLS-00117,53,Premier Retainer,1929.68,Real Estate,2,5,Email,Yes,14.5,Referral,0,Yes,66674.07,No
VLS-00118,54,Premier Retainer,1913.75,Family,4,2,Phone,Yes,9.2,Referral,1,No,206611.56,No
VLS-00119,2,Premier Retainer,2335.86,Litigation,2,0,Email,No,27.1,Referral,0,Yes,3833.02,No
VLS-00120,73,Premier Retainer,2392.8,Litigation,0,2,Phone,Yes,4.3,Repeat Client,0,Yes,319601.74,No
VLS-00121,53,Premier Retainer,2053.46,Estate Planning,0,0,Email,Yes,3.5,Advertisement,0,Yes,149681.05,No
VLS-00122,84,Premier Retainer,2529.28,Real Estate,3,1,Email,No,5.8,Referral,1,Yes,278556.28,No
VLS-00123,40,Basic Retainer,769.33,Litigation,1,2,Email,No,7.7,Repeat Client,1,Yes,29621.53,No
VLS-00124,52,Premier Retainer,2510.54,Real Estate,3,1,Email,Yes,19.1,Repeat Client,1,No,117872.06,No
VLS-00125,37,Basic Retainer,644.32,Family,2,3,Phone,No,11.8,Referral,0,Yes,17761.23,No
VLS-00126,75,Premier Retainer,2173.02,Estate Planning,1,1,Client Portal,Yes,0.7,Web Search,0,No,164068.98,No
VLS-00127,70,Basic Retainer,753.2,Family,0,0,Client Portal,No,0.8,Advertisement,1,Yes,48954.35,No
VLS-00128,77,Basic Retainer,842.89,Family,5,0,Phone,No,8.3,Referral,0,Yes,70926.8,No
VLS-00129,42,Basic Retainer,1001.54,Family,5,0,Email,Yes,6.6,Advertisement,3,No,24134.23,No
VLS-00130,67,Premier Retainer,1853.43,Real Estate,3,0,Client Portal,No,8.5,Referral,2,No,125824.49,No
VLS-00131,30,Basic Retainer,715.24,Real Estate,1,1,Client Portal,No,7.7,Repeat Client,0,No,37874.76,Yes
VLS-00132,39,Signature Retainer,5027.42,Litigation,0,3,Client Portal,No,24.6,Repeat Client,1,Yes,300522.66,No
VLS-00133,64,Premier Retainer,2572.61,Family,0,1,Email,No,17.2,Repeat Client,0,No,166730.08,Yes
VLS-00134,6,Basic Retainer,839.01,Corporate,6,1,Email,No,6.1,Advertisement,1,No,16651.04,No
VLS-00135,60,Premier Retainer,2081.69,Estate Planning,4,4,Phone,No,9.0,Referral,0,No,97638.66,No
VLS-00136,1,Basic Retainer,937.77,Family,6,5,Email,No,7.3,Referral,0,No,1729.01,Yes
VLS-00137,49,Signature Retainer,6114.87,Estate Planning,3,0,Email,Yes,1.3,Advertisement,0,Yes,156346.16,No
VLS-00138,40,Premier Retainer,2137.85,Corporate,4,0,Email,No,6.3,Referral,0,Yes,70476.32,No
VLS-00139,39,Signature Retainer,4331.76,Real Estate,3,1,Phone,Yes,6.3,Advertisement,0,Yes,378248.96,No
VLS-00140,42,Basic Retainer,540.44,Real Estate,1,2,Email,No,5.3,Referral,0,Yes,19349.87,Yes
VLS-00141,41,Premier Retainer,1998.12,Litigation,2,2,Phone,No,6.1,Referral,0,Yes,42229.39,No
VLS-00142,34,Premier Retainer,1833.06,Corporate,0,0,Phone,Yes,7.4,Web Search,0,Yes,93856.33,Yes
VLS-00143,38,Signature Retainer,4748.56,Estate Planning,5,1,Email,No,12.5,Advertisement,1,Yes,215597.92,No
VLS-00144,48,Premier Retainer,1659.41,Real Estate,5,3,Email,No,5.6,Web Search,0,No,116846.13,No
VLS-00145,64,Premier Retainer,2289.86,Real Estate,2,2,Client Portal,No,21.0,Web Search,0,No,128255.68,No
VLS-00146,46,Basic Retainer,984.39,Real Estate,3,1,Email,No,4.2,Web Search,0,No,28278.74,Yes
VLS-00147,54,Basic Retainer,696.28,Corporate,5,1,Email,Yes,18.7,Advertisement,0,Yes,35244.24,No
VLS-00148,71,Premier Retainer,1864.98,Real Estate,6,2,Email,Yes,11.2,Web Search,1,No,170312.38,No
VLS-00149,84,Premier Retainer,3017.86,Corporate,1,1,Email,Yes,3.3,Web Search,0,No,245961.08,No
VLS-00150,9,Basic Retainer,893.16,Family,4,1,Phone,No,7.2,Web Search,0,Yes,9524.06,Yes
VLS-00151,60,Signature Retainer,5098.29,Real Estate,4,0,Email,No,25.2,Web Search,0,No,240325.37,No
VLS-00152,19,Signature Retainer,4783.6,Real Estate,3,6,Client Portal,No,4.3,Referral,0,Yes,111189.97,No
VLS-00153,16,Basic Retainer,882.07,Corporate,2,0,Email,No,25.7,Advertisement,1,No,13783.66,Yes
VLS-00154,67,Premier Retainer,1774.18,Corporate,4,2,Client Portal,Yes,12.7,Referral,0,No,88037.07,No
VLS-00155,5,Basic Retainer,991.0,Corporate,1,1,Phone,Yes,11.3,Repeat Client,0,No,6055.39,Yes
VLS-00156,72,Premier Retainer,1722.79,Corporate,4,2,Email,No,12.2,Repeat Client,0,No,104594.49,No
VLS-00157,65,Basic Retainer,921.62,Real Estate,1,2,Phone,No,7.1,Web Search,0,Yes,78942.8,Yes
VLS-00158,84,Premier Retainer,2253.04,Corporate,2,3,Email,Yes,4.4,Repeat Client,0,No,282274.01,No
VLS-00159,56,Premier Retainer,2558.79,Estate Planning,3,2,Client Portal,Yes,9.3,Advertisement,0,No,180841.72,No
VLS-00160,74,Premier Retainer,2119.38,Corporate,2,1,Phone,No,11.6,Referral,0,No,75632.33,No
VLS-00161,10,Basic Retainer,540.95,Corporate,3,1,Email,No,13.1,Advertisement,1,Yes,3137.08,Yes
VLS-00162,75,Signature Retainer,4449.57,Estate Planning,2,2,Email,Yes,12.8,Repeat Client,0,Yes,251932.96,No
VLS-00163,13,Basic Retainer,747.98,Family,4,3,Client Portal,Yes,15.1,Referral,1,No,8492.84,No
VLS-00164,26,Basic Retainer,867.97,Family,1,1,Phone,No,32.1,Referral,0,No,16936.43,No
VLS-00165,10,Premier Retainer,2271.67,Estate Planning,2,2,Email,No,10.9,Web Search,0,No,35334.03,No
VLS-00166,34,Basic Retainer,824.65,Estate Planning,1,0,Email,No,20.3,Web Search,0,Yes,37833.97,No
VLS-00167,63,Signature Retainer,3715.52,Litigation,4,3,Email,No,13.5,Web Search,1,No,194065.79,No
VLS-00168,22,Signature Retainer,4442.42,Corporate,1,1,Phone,Yes,34.3,Web Search,0,No,129439.62,No
VLS-00169,69,Basic Retainer,912.09,Real Estate,4,1,Phone,No,9.8,Advertisement,1,No,73581.2,Yes
VLS-00170,51,Signature Retainer,4048.41,Estate Planning,2,2,Client Portal,No,9.1,Referral,1,No,203127.95,No
VLS-00171,53,Basic Retainer,952.62,Estate Planning,2,2,Phone,No,19.5,Web Search,0,Yes,84923.85,No
VLS-00172,79,Premier Retainer,1546.94,Corporate,1,1,Phone,No,19.5,Repeat Client,1,No,91488.2,No
VLS-00173,36,Basic Retainer,929.1,Family,2,0,Email,No,7.5,Referral,0,No,33883.66,Yes
VLS-00174,29,Signature Retainer,3591.38,Family,2,3,Phone,Yes,13.1,Web Search,0,Yes,66184.39,No
VLS-00175,84,Basic Retainer,822.14,Corporate,3,0,Email,No,15.2,Referral,2,Yes,43801.89,Yes
VLS-00176,47,Basic Retainer,609.98,Litigation,0,0,Client Portal,No,14.6,Referral,0,No,15797.4,Yes
VLS-00177,52,Premier Retainer,1896.75,Corporate,1,4,Email,No,12.2,Web Search,0,Yes,63319.78,No
VLS-00178,25,Signature Retainer,4243.02,Family,1,1,Phone,No,1.9,Referral,0,Yes,110579.07,No
VLS-00179,18,Signature Retainer,4067.04,Corporate,4,2,Client Portal,Yes,14.8,Advertisement,0,No,64870.15,Yes
VLS-00180,14,Premier Retainer,1777.92,Real Estate,1,0,Phone,Yes,15.2,Web Search,1,No,22939.32,No
VLS-00181,19,Signature Retainer,5208.65,Corporate,2,0,Email,No,12.6,Repeat Client,0,No,86398.1,No
VLS-00182,16,Signature Retainer,5220.76,Family,1,1,Phone,No,6.9,Repeat Client,0,Yes,185933.39,No
VLS-00183,63,Premier Retainer,1531.49,Corporate,2,2,Email,Yes,23.6,Referral,0,Yes,59088.46,No
VLS-00184,4,Basic Retainer,790.79,Estate Planning,4,1,Email,No,4.4,Referral,0,Yes,2635.31,No
VLS-00185,53,Premier Retainer,2135.09,Corporate,2,2,Phone,Yes,19.7,Repeat Client,0,Yes,79056.79,No
VLS-00186,80,Premier Retainer,1427.15,Real Estate,1,1,Client Portal,No,4.3,Referral,0,No,110359.45,No
VLS-00187,65,Basic Retainer,904.13,Corporate,5,0,Email,No,18.1,Referral,0,Yes,74702.28,No
VLS-00188,34,Basic Retainer,708.24,Corporate,0,0,Client Portal,No,4.5,Referral,0,Yes,31952.84,Yes
VLS-00189,5,Premier Retainer,1703.34,Corporate,3,2,Email,Yes,17.4,Advertisement,0,No,14364.65,Yes
VLS-00190,70,Basic Retainer,932.07,Corporate,3,2,Client Portal,No,27.0,Referral,1,Yes,62884.83,Yes
VLS-00191,0,Signature Retainer,4167.28,Corporate,2,0,Phone,No,27.1,Referral,0,Yes,0.0,No
VLS-00192,57,Basic Retainer,968.09,Real Estate,1,1,Client Portal,No,23.4,Web Search,1,No,114645.1,No
VLS-00193,57,Basic Retainer,866.49,Real Estate,2,2,Client Portal,Yes,9.8,Advertisement,0,Yes,15380.79,No
VLS-00194,16,Signature Retainer,4617.84,Corporate,4,1,Client Portal,Yes,6.1,Referral,1,Yes,76808.99,No
VLS-00195,62,Basic Retainer,500.0,Family,1,1,Phone,No,8.7,Advertisement,1,No,38731.46,Yes
VLS-00196,14,Basic Retainer,683.85,Real Estate,1,1,Email,No,18.7,Web Search,0,No,22082.86,No
VLS-00197,19,Premier Retainer,1938.84,Corporate,3,1,Email,Yes,14.6,Web Search,0,No,18546.97,No
VLS-00198,69,Signature Retainer,3499.23,Family,2,1,Phone,Yes,36.3,Referral,0,No,201020.47,No
VLS-00199,83,Basic Retainer,1095.2,Corporate,3,0,Email,No,6.5,Referral,0,Yes,49899.89,No
VLS-00200,22,Basic Retainer,778.95,Corporate,2,3,Client Portal,No,28.2,Referral,0,No,7721.85,No
VLS-00201,78,Premier Retainer,1850.61,Family,1,1,Email,No,9.2,Repeat Client,0,No,131109.93,No
VLS-00202,77,Signature Retainer,4453.96,Estate Planning,2,2,Client Portal,No,4.3,Referral,0,Yes,499930.17,No
VLS-00203,65,Premier Retainer,2218.92,Estate Planning,4,2,Email,Yes,12.0,Repeat Client,0,Yes,249461.31,No
VLS-00204,11,Basic Retainer,592.06,Estate Planning,0,1,Client Portal,No,14.4,Referral,0,No,5670.79,Yes
VLS-00205,25,Basic Retainer,1010.58,Family,4,2,Client Portal,Yes,22.0,Referral,0,Yes,35746.87,No
VLS-00206,57,Basic Retainer,851.74,Corporate,1,3,Email,No,6.5,Web Search,0,Yes,45419.69,No
VLS-00207,84,Basic Retainer,993.64,Family,4,2,Phone,Yes,12.0,Repeat Client,1,Yes,108311.24,No
VLS-00208,69,Premier Retainer,2191.67,Corporate,2,0,Email,Yes,9.9,Referral,0,No,254849.37,No
VLS-00209,35,Basic Retainer,886.0,Corporate,3,1,Client Portal,Yes,7.5,Referral,2,Yes,28596.37,No
VLS-00210,19,Premier Retainer,2368.14,Corporate,5,0,Client Portal,Yes,26.4,Web Search,0,No,73505.08,Yes
VLS-00211,81,Premier Retainer,2325.72,Family,4,0,Email,No,14.5,Referral,1,Yes,109166.34,Yes
VLS-00212,23,Premier Retainer,2442.24,Family,1,3,Email,No,1.1,Web Search,0,No,75702.25,No
VLS-00213,29,Basic Retainer,909.61,Corporate,0,1,Email,No,12.1,Repeat Client,0,Yes,41668.27,Yes
VLS-00214,81,Signature Retainer,5079.29,Litigation,7,2,Email,Yes,2.4,Referral,0,Yes,626572.22,No
VLS-00215,47,Premier Retainer,2099.42,Family,1,1,Client Portal,No,11.3,Repeat Client,1,No,58674.58,No
VLS-00216,22,Premier Retainer,2191.04,Litigation,0,1,Email,Yes,2.8,Referral,0,No,44993.86,No
VLS-00217,0,Basic Retainer,897.19,Corporate,4,4,Client Portal,No,14.5,Repeat Client,0,Yes,210.23,Yes
VLS-00218,36,Basic Retainer,940.67,Real Estate,3,2,Client Portal,Yes,2.4,Repeat Client,0,No,43168.42,No
VLS-00219,83,Signature Retainer,5377.46,Corporate,2,0,Client Portal,Yes,4.5,Advertisement,1,No,470771.77,No
VLS-00220,36,Basic Retainer,1146.07,Real Estate,2,1,Phone,Yes,16.8,Repeat Client,0,Yes,80237.31,Yes
VLS-00221,59,Basic Retainer,976.23,Corporate,1,3,Email,No,9.8,Repeat Client,1,No,32572.47,Yes
VLS-00222,21,Premier Retainer,2253.45,Corporate,0,1,Client Portal,No,3.1,Referral,0,Yes,42699.55,Yes
VLS-00223,65,Premier Retainer,2142.5,Real Estate,4,0,Phone,Yes,25.3,Referral,0,No,66763.54,No
VLS-00224,65,Signature Retainer,4300.87,Corporate,2,0,Client Portal,Yes,7.2,Referral,0,Yes,370019.44,No
VLS-00225,51,Basic Retainer,644.56,Corporate,4,0,Email,No,8.1,Web Search,0,No,41718.88,No
VLS-00226,65,Signature Retainer,5536.3,Estate Planning,1,1,Email,Yes,8.7,Web Search,1,No,1624831.83,No
VLS-00227,49,Basic Retainer,908.07,Corporate,4,1,Client Portal,No,15.4,Web Search,0,No,70732.42,Yes
VLS-00228,32,Premier Retainer,1980.84,Real Estate,0,0,Client Portal,Yes,7.6,Advertisement,1,Yes,75668.78,No
VLS-00229,62,Premier Retainer,2000.27,Real Estate,0,1,Email,No,8.9,Web Search,0,No,138870.11,No
VLS-00230,70,Basic Retainer,998.39,Corporate,1,4,Phone,No,20.6,Referral,0,Yes,60740.01,No
VLS-00231,71,Basic Retainer,1006.35,Family,4,3,Email,Yes,18.9,Referral,1,Yes,76790.91,Yes
VLS-00232,18,Premier Retainer,1854.73,Corporate,3,2,Phone,No,8.5,Repeat Client,0,Yes,38268.76,No
