cust_ref,left_us,mo_bill_usd,sex,is_senior,has_partner,has_dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,agreement_type,paperless_billing,payment_method,total_charges
FR-90843-XVPN,Yes,71.37,Male,0,No,No,12,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),845.54
FR-66232-XGCH,No,95.2,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,6845.33
FR-65478-ARWL,No,97.28,Male,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,3607.05
FR-11610-NEQS,No,60.2,Female,0,No,No,29,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,1749.46
FR-61988-DMNF,No,69.14,Female,0,No,No,65,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),4497.18
FR-23781-PFWW,Yes,44.71,Male,0,No,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),2701.81
FR-77888-THEK,No,44.75,Male,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,2374.2
FR-15805-JGUP,No,60.0,Male,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),3832.96
FR-79243-TRTY,No,78.23,Male,1,Yes,No,59,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),4600.42
FR-11897-UBBW,No,52.8,Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),1579.1
FR-70312-DVXQ,Yes,62.63,Female,0,Yes,Yes,38,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,2369.38
FR-55658-QAMM,No,37.12,Male,0,No,Yes,32,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),1154.97
FR-78203-LVCF,No,88.83,Male,0,Yes,No,41,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,3648.88
FR-93173-YUNA,No,36.62,Female,0,No,No,18,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),635.62
FR-42586-GBGH,No,102.09,Male,0,Yes,No,37,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,3800.7
FR-58492-YBUY,No,44.27,Female,0,Yes,Yes,2,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,60.12
FR-95884-XGFD,No,80.57,Female,0,Yes,No,17,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,1381.28
FR-31343-WZTU,No,59.71,Female,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Mailed check,3042.94
FR-51312-NVZH,No,52.78,Female,1,Yes,Yes,57,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,3034.3
FR-88782-SMLL,Yes,57.49,Male,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),3655.55
FR-83867-NQGC,No,82.41,Male,0,No,Yes,57,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,4714.58
FR-84837-YTBM,No,35.96,Male,0,Yes,Yes,6,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,230.25
FR-67870-VSZR,Yes,51.03,Female,0,Yes,No,33,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,1682.2
FR-73980-MZHW,No,120.0,Male,0,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),2057.04
FR-94709-QQWW,No,120.0,Male,0,Yes,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,8625.22
FR-69526-QLSC,No,80.76,Female,0,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,5336.72
FR-81357-JUEH,No,60.3,Male,0,Yes,No,28,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1678.2
FR-44733-QGTT,No,92.35,Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,3415.57
FR-26022-YDVP,Yes,44.36,Male,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,1652.47
FR-44314-FZKX,Yes,114.44,Male,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,224.39
FR-85405-NAWW,No,120.0,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,7910.82
FR-97351-HSDE,Yes,94.66,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,2929.06
FR-64856-ZUKC,No,63.88,Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),826.18
FR-41635-DSZR,No,36.52,Male,0,Yes,No,55,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,2007.49
FR-38110-FKJX,Yes,29.15,Female,1,No,Yes,64,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,1873.51
FR-94850-GSSB,Yes,88.51,Male,0,Yes,Yes,25,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,2214.72
FR-99100-HYGV,Yes,75.01,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,1211.51
FR-51769-GSVK,No,94.49,Female,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),4441.33
FR-22850-RCUS,No,80.06,Female,0,No,No,32,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),2533.14
FR-73237-JMBV,No,120.0,Female,0,Yes,Yes,31,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,3717.96
FR-50572-MCXS,No,84.4,Male,1,Yes,No,49,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),4147.26
FR-22905-NAKK,Yes,38.61,Male,1,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),415.37
FR-82777-NMLJ,No,48.35,Female,0,No,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),3399.0
FR-96333-YQYS,No,110.71,Female,0,No,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,3317.78
FR-36562-HETM,Yes,71.74,Female,1,No,Yes,46,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,3310.77
FR-39497-DVTG,Yes,73.64,Female,0,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,289.15
FR-27167-ANFT,No,25.54,Male,0,No,No,44,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Mailed check,1102.03
FR-49732-QTJK,Yes,46.4,Female,0,Yes,Yes,6,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,274.03
FR-95332-DJEU,No,120.0,Female,0,No,No,51,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,6122.47
FR-45184-UQYC,No,86.89,Male,0,Yes,Yes,46,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Electronic check,4003.91
FR-77849-SGDN,No,89.48,Male,0,No,No,21,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1846.78
FR-19673-FUPT,No,43.79,Male,1,No,No,60,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,2637.14
FR-67250-MXMM,No,36.69,Female,0,Yes,No,72,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),2651.99
FR-94128-MMJF,Yes,58.01,Female,0,No,Yes,1,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,58.3
FR-99499-CVND,Yes,75.97,Male,0,No,No,4,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),291.58
FR-57383-YPRH,Yes,43.46,Male,0,Yes,No,29,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1283.63
FR-73445-QCVW,No,59.85,Male,0,No,Yes,28,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,1670.51
FR-47843-VQHX,No,70.43,Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),1833.52
FR-40450-VRWZ,No,18.0,Male,0,Yes,No,71,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),1282.25
FR-45243-MDPN,No,83.79,Female,0,Yes,No,23,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,1938.11
FR-52128-SKUQ,No,32.65,Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,587.76
FR-20255-EFUB,Yes,95.9,Male,0,No,No,13,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,1248.34
FR-12836-BXVG,No,45.38,Male,0,Yes,Yes,41,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),1859.69
FR-96968-DXJA,No,22.83,Male,0,No,No,65,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),1463.61
FR-57962-TVJH,No,22.96,Male,1,No,No,40,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),895.47
FR-25256-BWBM,Yes,18.0,Male,1,No,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,677.28
FR-27141-LDQG,No,27.83,Female,0,No,No,62,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,1725.85
FR-72257-JGVX,No,47.72,Male,0,No,Yes,47,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),2243.71
FR-89314-UJHG,No,92.3,Male,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,568.61
FR-96439-QFQN,No,18.0,Female,1,Yes,No,3,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),51.33
FR-82389-LNAW,Yes,33.45,Male,0,No,Yes,5,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,180.64
FR-60969-TNRH,Yes,120.0,Male,0,No,No,51,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,6105.99
FR-54124-FVNU,No,49.32,Male,1,Yes,Yes,9,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),472.58
FR-86134-TEXX,Yes,79.8,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,433.72
FR-13303-VPRU,No,79.35,Female,0,No,Yes,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,1919.68
FR-19139-AYUX,No,42.8,Male,1,Yes,No,53,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),2287.2
FR-74907-DJVD,No,49.55,Male,0,No,No,62,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),3072.49
FR-23460-RPZS,Yes,95.21,Female,0,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),4491.68
FR-72176-NVLD,Yes,109.13,Female,1,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),2723.09
FR-51065-HKFZ,No,18.0,Female,1,No,Yes,7,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),145.99
FR-57416-BMZV,No,98.79,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.0
FR-68623-CKER,No,18.0,Male,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,164.89
FR-80680-YSSQ,No,93.2,Female,0,No,No,45,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,4214.66
FR-65625-DPSB,No,97.24,Female,0,Yes,No,40,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,3881.17
FR-79946-TPMX,No,73.54,Male,0,No,No,35,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),2575.69
FR-50396-QZMZ,Yes,60.65,Female,0,Yes,Yes,44,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),2641.43
FR-10625-BNFS,No,109.69,Male,0,No,Yes,66,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),7244.95
FR-96987-PFCU,No,49.97,Female,1,No,No,17,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),835.32
FR-77673-UHXE,Yes,73.16,Female,0,No,No,41,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,2985.83
FR-73434-FZGW,No,44.19,Male,0,No,No,18,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),785.98
FR-36267-JKTL,No,106.68,Male,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,1803.13
FR-54959-HNBZ,Yes,64.4,Male,0,No,No,72,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,4635.81
FR-54687-GCCQ,No,84.32,Female,0,No,No,56,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,4719.07
FR-52840-AZCG,No,18.0,Male,0,Yes,No,46,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,807.89
FR-58396-GPTH,Yes,49.97,Female,0,No,No,62,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3108.42
FR-13932-TPQU,No,38.81,Male,0,No,No,27,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),1037.27
FR-92624-NZBC,No,36.82,Male,0,Yes,Yes,19,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),700.83
FR-54472-SELG,Yes,86.88,Male,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,453.62
FR-85101-HERA,Yes,33.49,Female,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,1394.74
FR-37816-DSUF,No,64.21,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card (automatic),2710.3
FR-36241-RPGA,No,120.0,Female,0,No,Yes,29,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,3469.29
FR-11817-HHMY,No,61.06,Female,0,No,No,47,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),2880.46
FR-82572-UJGH,No,21.78,Female,0,Yes,Yes,8,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),155.29
FR-36738-LGMJ,Yes,97.66,Male,0,Yes,No,49,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),4790.12
FR-25717-TXFK,No,49.81,Female,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,2018.94
FR-59605-ZLBD,No,58.79,Male,0,No,No,15,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),874.78
FR-40713-EZKF,No,22.31,Male,0,Yes,No,44,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),969.5
FR-76501-MKHG,No,106.55,Male,1,No,Yes,26,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,2775.38
FR-33650-PDRL,No,99.82,Female,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),2097.47
FR-24666-GBEN,No,87.61,Male,1,Yes,No,33,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2894.29
FR-66481-WTCC,No,107.8,Female,0,Yes,No,42,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),4535.11
FR-95620-WVXB,No,78.81,Male,0,No,No,15,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),1179.27
FR-24008-APWK,No,35.37,Female,0,Yes,No,33,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),1190.94
FR-62110-LVWM,Yes,33.68,Female,0,No,No,49,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,1633.33
FR-82974-KHHB,No,63.29,Female,0,No,No,36,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),2274.69
FR-15627-JAPK,Yes,66.42,Female,0,Yes,No,25,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),1662.38
FR-36149-VNGK,No,61.75,Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),4207.04
FR-89710-PAHE,Yes,18.0,Male,1,No,No,22,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,400.74
FR-31353-LVSA,No,73.24,Male,0,No,No,66,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),4832.53
FR-73715-JWSN,No,21.43,Male,0,Yes,No,42,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,901.19
FR-13740-RFCK,Yes,89.91,Male,0,No,No,3,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),271.86
FR-12041-FWNN,No,25.95,Male,0,No,No,13,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,342.63
FR-54244-CEWN,No,93.77,Male,0,Yes,No,33,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,3094.69
FR-78748-UETS,No,70.06,Male,0,Yes,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),3853.06
FR-90751-DYBW,Yes,37.42,Female,0,No,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,1864.56
FR-66640-XPHH,No,78.15,Female,0,Yes,Yes,59,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),4617.28
FR-26193-GCJC,No,106.06,Female,0,No,No,5,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),542.36
FR-29512-QBUK,Yes,73.62,Female,0,No,No,60,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),4393.74
FR-94651-GKLX,Yes,32.24,Female,0,No,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,1433.85
FR-66677-JJGP,No,50.38,Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),857.93
FR-85186-NWBF,No,52.29,Female,1,Yes,Yes,24,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Electronic check,1254.45
FR-33489-GSBU,No,40.73,Male,0,Yes,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),624.82
