customer_id,churned,monthly_fee,tenure,subscription_tier,payment_method,paperless_billing,lifetime_value_estimate
AUR-00032,No,18.32,40,Premium,Credit Card,Yes,552.86
AUR-00033,No,11.44,47,Basic,Gift Card,Yes,783.03
AUR-00034,No,9.17,18,Basic,Credit Card,No,212.92
AUR-00035,No,11.0,59,Plus,Credit Card,Yes,309.01
AUR-00036,Yes,9.01,33,Basic,PayPal,No,411.83
AUR-00037,No,7.71,70,Basic,Credit Card,No,525.92
AUR-00038,No,14.28,6,Plus,Debit Card,No,59.28
AUR-00039,Yes,10.1,23,Basic,PayPal,Yes,356.19
AUR-00040,No,14.96,52,Plus,Debit Card,Yes,823.68
AUR-00041,No,12.9,65,Plus,Credit Card,Yes,2220.76
AUR-00042,No,18.58,16,Premium,PayPal,Yes,470.23
AUR-00043,No,13.43,71,Plus,Debit Card,No,1022.9
AUR-00044,Yes,8.49,14,Basic,Credit Card,Yes,155.01
AUR-00045,Yes,20.04,30,Premium,Credit Card,No,612.88
AUR-00046,No,16.94,22,Premium,Credit Card,Yes,372.63
AUR-00047,No,15.1,30,Plus,PayPal,Yes,756.8
AUR-00048,No,8.34,65,Basic,Credit Card,Yes,1137.12
AUR-00049,No,11.89,53,Plus,Credit Card,No,647.16
AUR-00050,Yes,10.27,58,Basic,Debit Card,Yes,815.63
AUR-00051,No,10.15,18,Basic,PayPal,No,64.69
AUR-00052,Yes,10.12,69,Basic,Credit Card,Yes,944.74
AUR-00053,No,15.0,31,Premium,Credit Card,No,370.14
AUR-00054,No,12.4,47,Plus,Credit Card,Yes,683.06
AUR-00055,No,13.72,50,Plus,Debit Card,No,945.43
AUR-00056,No,16.4,48,Premium,Debit Card,Yes,1446.79
AUR-00057,No,13.09,43,Plus,PayPal,Yes,262.59
AUR-00058,No,13.64,35,Plus,Credit Card,No,1045.8
AUR-00059,No,8.63,47,Basic,Credit Card,Yes,686.46
AUR-00060,Yes,8.94,66,Basic,Credit Card,Yes,831.43
AUR-00061,No,12.47,28,Plus,Credit Card,No,352.86
AUR-00062,No,14.25,37,Plus,Debit Card,No,984.54
AUR-00063,No,13.81,13,Plus,PayPal,No,419.95
AUR-00064,No,14.65,25,Plus,Credit Card,Yes,334.92
AUR-00065,No,14.23,56,Plus,PayPal,No,1424.04
AUR-00066,Yes,14.24,46,Plus,Credit Card,Yes,1179.24
AUR-00067,Yes,12.25,15,Plus,Debit Card,Yes,376.13
AUR-00068,No,8.93,39,Basic,Credit Card,No,551.21
AUR-00069,No,9.77,59,Basic,Debit Card,Yes,691.17
AUR-00070,Yes,14.58,9,Plus,Credit Card,Yes,104.77
AUR-00071,Yes,10.54,4,Basic,Gift Card,Yes,0.0
AUR-00072,No,13.59,28,Plus,PayPal,Yes,645.95
AUR-00073,No,16.23,47,Premium,PayPal,No,714.15
AUR-00074,Yes,9.36,22,Basic,PayPal,Yes,50.5
AUR-00075,No,10.96,59,Basic,Credit Card,No,622.29
AUR-00076,Yes,9.89,61,Basic,Debit Card,No,320.43
AUR-00077,Yes,8.76,38,Basic,Credit Card,Yes,377.66
AUR-00078,No,13.79,27,Plus,PayPal,Yes,623.14
AUR-00079,No,15.25,3,Plus,Credit Card,Yes,0.0
AUR-00080,No,19.17,59,Premium,Credit Card,Yes,666.0
AUR-00081,No,13.13,65,Plus,Debit Card,Yes,755.77
AUR-00082,No,15.61,32,Plus,Credit Card,Yes,402.8
AUR-00083,No,15.0,37,Premium,PayPal,No,634.96
AUR-00084,No,9.82,55,Basic,Credit Card,Yes,814.53
AUR-00085,Yes,10.7,50,Basic,Debit Card,Yes,624.74
AUR-00086,Yes,10.99,9,Basic,PayPal,Yes,241.09
AUR-00087,No,15.72,49,Plus,Debit Card,No,1580.53
AUR-00088,No,14.89,67,Plus,Credit Card,Yes,696.67
AUR-00089,Yes,10.18,54,Basic,Credit Card,Yes,878.8
AUR-00090,No,12.81,35,Plus,Credit Card,No,477.92
AUR-00091,No,9.02,38,Basic,Credit Card,Yes,1115.45
AUR-00092,Yes,11.37,18,Plus,Debit Card,Yes,272.35
AUR-00093,No,15.28,48,Plus,Credit Card,Yes,486.83
AUR-00094,Yes,14.12,17,Plus,Credit Card,Yes,270.13
AUR-00095,No,8.77,24,Basic,Credit Card,No,224.67
AUR-00096,No,13.1,19,Plus,PayPal,Yes,691.23
AUR-00097,Yes,9.57,24,Basic,Credit Card,No,226.63
AUR-00098,Yes,10.66,26,Basic,Credit Card,Yes,496.15
AUR-00099,No,9.42,6,Basic,Debit Card,No,47.68
AUR-00100,No,17.27,52,Premium,Credit Card,No,578.5
AUR-00101,No,20.27,32,Premium,PayPal,No,305.69
AUR-00102,Yes,15.4,69,Plus,Credit Card,Yes,1602.12
AUR-00103,Yes,9.44,13,Basic,Debit Card,Yes,135.32
AUR-00104,No,18.0,48,Premium,Debit Card,No,943.23
AUR-00105,Yes,12.96,13,Plus,PayPal,Yes,169.89
AUR-00106,No,13.48,39,Plus,Debit Card,Yes,204.55
AUR-00107,No,14.62,35,Plus,PayPal,No,485.91
AUR-00108,Yes,9.04,32,Basic,Credit Card,No,492.57
AUR-00109,No,8.66,47,Basic,Debit Card,Yes,171.14
AUR-00110,No,19.42,60,Premium,PayPal,No,1764.08
AUR-00111,No,12.65,23,Plus,Debit Card,Yes,350.9
AUR-00112,No,8.83,62,Basic,Debit Card,No,463.02
AUR-00113,No,9.13,13,Basic,Credit Card,No,145.41
AUR-00114,Yes,13.86,21,Plus,Credit Card,Yes,313.08
AUR-00115,No,10.71,22,Basic,Credit Card,Yes,538.61
AUR-00116,No,15.36,69,Premium,Credit Card,No,860.29
AUR-00117,No,15.3,8,Plus,Credit Card,Yes,339.98
AUR-00118,No,14.24,28,Plus,Credit Card,Yes,377.79
AUR-00119,No,15.49,30,Plus,Debit Card,Yes,643.38
AUR-00120,No,15.35,58,Plus,PayPal,Yes,845.33
AUR-00121,No,14.0,35,Plus,Debit Card,Yes,467.68
AUR-00122,No,11.19,70,Plus,Debit Card,No,1199.08
AUR-00123,No,8.75,54,Basic,Credit Card,Yes,535.35
AUR-00124,No,12.66,51,Plus,Credit Card,Yes,571.67
AUR-00125,Yes,9.04,54,Basic,Debit Card,Yes,704.63
AUR-00126,No,14.91,11,Plus,PayPal,Yes,350.68
AUR-00127,No,8.12,32,Basic,PayPal,Yes,178.2
AUR-00128,Yes,9.71,42,Basic,Debit Card,No,909.74
AUR-00129,Yes,10.36,15,Basic,PayPal,No,149.13
AUR-00130,No,12.13,8,Plus,PayPal,Yes,167.63
AUR-00131,Yes,10.61,9,Basic,PayPal,No,152.55
AUR-00132,No,15.43,57,Premium,PayPal,Yes,277.31
AUR-00133,No,13.6,47,Plus,Credit Card,Yes,467.92
AUR-00134,Yes,9.19,20,Basic,Credit Card,No,77.75
AUR-00135,No,14.4,53,Plus,Credit Card,Yes,928.14
AUR-00136,Yes,9.56,50,Basic,Debit Card,No,455.57
AUR-00137,No,20.29,59,Premium,PayPal,Yes,485.73
AUR-00138,Yes,15.75,66,Plus,Credit Card,No,884.42
AUR-00139,No,18.15,64,Premium,Credit Card,Yes,592.64
AUR-00140,Yes,8.84,13,Basic,PayPal,Yes,179.59
AUR-00141,No,13.3,56,Plus,Credit Card,Yes,743.05
AUR-00142,Yes,13.22,28,Plus,PayPal,No,411.72
AUR-00143,No,18.16,29,Premium,Credit Card,Yes,434.83
AUR-00144,Yes,13.93,47,Plus,Credit Card,Yes,747.13
AUR-00145,Yes,14.41,43,Plus,Credit Card,Yes,401.46
AUR-00146,Yes,9.52,30,Basic,Credit Card,Yes,428.51
AUR-00147,No,9.3,72,Basic,Credit Card,Yes,339.89
AUR-00148,Yes,13.8,12,Plus,Credit Card,No,142.9
AUR-00149,No,15.25,7,Plus,Credit Card,Yes,58.24
AUR-00150,Yes,9.05,2,Basic,Credit Card,Yes,90.51
AUR-00151,No,16.2,59,Premium,PayPal,Yes,1051.07
AUR-00152,No,18.15,29,Premium,Credit Card,Yes,454.68
AUR-00153,Yes,9.13,31,Basic,Credit Card,Yes,319.63
AUR-00154,Yes,13.03,47,Plus,Credit Card,Yes,509.54
AUR-00155,Yes,9.44,31,Basic,PayPal,Yes,777.23
AUR-00156,No,14.13,41,Plus,PayPal,Yes,683.32
AUR-00157,Yes,8.7,4,Basic,Gift Card,Yes,98.03
AUR-00158,Yes,14.52,11,Plus,PayPal,Yes,150.79
AUR-00159,No,13.51,68,Plus,Credit Card,Yes,348.79
AUR-00160,No,15.0,32,Plus,Debit Card,No,360.62
AUR-00161,Yes,8.75,12,Basic,Credit Card,No,136.67
AUR-00162,No,16.16,26,Premium,PayPal,Yes,537.2
AUR-00163,No,10.7,24,Basic,Credit Card,Yes,345.65
AUR-00164,No,11.7,20,Basic,Credit Card,Yes,319.78
AUR-00165,No,14.17,21,Plus,PayPal,No,374.22
AUR-00166,No,7.79,53,Basic,PayPal,Yes,424.29
AUR-00167,No,19.89,7,Premium,Gift Card,Yes,52.48
AUR-00168,No,22.35,22,Premium,Credit Card,Yes,615.87
AUR-00169,No,7.73,34,Basic,Credit Card,Yes,563.59
AUR-00170,No,18.76,39,Premium,Credit Card,Yes,829.12
AUR-00171,No,8.03,64,Basic,Credit Card,Yes,717.83
AUR-00172,No,14.94,67,Plus,Debit Card,No,2428.39
AUR-00173,Yes,8.89,21,Basic,Credit Card,No,159.42
AUR-00174,No,16.97,39,Premium,PayPal,Yes,456.74
AUR-00175,Yes,9.89,1,Basic,Credit Card,Yes,86.74
AUR-00176,No,9.58,45,Basic,Debit Card,No,986.14
AUR-00177,No,14.22,11,Plus,PayPal,No,241.59
AUR-00178,No,15.0,5,Premium,Debit Card,No,170.1
AUR-00179,No,15.29,49,Premium,Credit Card,No,376.13
AUR-00180,No,14.44,13,Plus,Credit Card,Yes,132.98
AUR-00181,No,20.48,34,Premium,Credit Card,Yes,873.86
AUR-00182,No,16.34,7,Premium,PayPal,Yes,97.51
AUR-00183,No,13.23,54,Plus,Debit Card,Yes,707.49
AUR-00184,No,9.16,55,Basic,Credit Card,Yes,684.05
AUR-00185,No,13.23,41,Plus,Gift Card,Yes,345.62
AUR-00186,No,15.46,61,Plus,Debit Card,Yes,748.35
AUR-00187,No,9.52,31,Basic,PayPal,Yes,448.85
AUR-00188,Yes,8.3,13,Basic,Credit Card,No,73.96
AUR-00189,No,14.75,11,Plus,Gift Card,Yes,227.62
AUR-00190,No,8.75,16,Basic,Credit Card,Yes,262.28
AUR-00191,No,17.4,14,Premium,Credit Card,Yes,345.74
AUR-00192,Yes,8.97,23,Basic,PayPal,Yes,192.33
AUR-00193,Yes,7.41,15,Basic,PayPal,Yes,61.49
AUR-00194,No,19.04,43,Premium,Debit Card,Yes,1158.94
AUR-00195,No,7.83,10,Basic,Credit Card,Yes,63.4
AUR-00196,No,7.87,45,Basic,Credit Card,No,659.11
AUR-00197,No,12.76,24,Plus,PayPal,Yes,412.03
AUR-00198,No,20.36,50,Premium,PayPal,Yes,1799.23
AUR-00199,Yes,9.75,37,Basic,Credit Card,No,535.97
AUR-00200,Yes,9.24,66,Basic,Credit Card,Yes,1732.98
AUR-00201,No,14.21,32,Plus,Debit Card,No,458.88
AUR-00202,No,17.67,21,Premium,PayPal,Yes,966.07
AUR-00203,No,11.14,43,Plus,Credit Card,Yes,309.07
AUR-00204,Yes,9.6,48,Basic,Debit Card,Yes,711.45
AUR-00205,No,7.15,32,Basic,Gift Card,Yes,402.89
AUR-00206,No,7.51,40,Basic,Credit Card,No,211.28
AUR-00207,Yes,9.65,34,Basic,Debit Card,Yes,195.96
AUR-00208,Yes,13.3,22,Plus,Debit Card,Yes,286.31
AUR-00209,No,6.21,22,Basic,Debit Card,Yes,152.7
AUR-00210,No,15.14,66,Plus,PayPal,No,1460.05
AUR-00211,No,13.84,49,Plus,Debit Card,Yes,574.65
AUR-00212,No,14.13,6,Plus,Debit Card,Yes,40.72
AUR-00213,Yes,10.21,70,Basic,Credit Card,No,513.18
AUR-00214,No,17.34,51,Premium,PayPal,Yes,845.18
AUR-00215,No,11.0,3,Plus,Credit Card,Yes,122.68
AUR-00216,No,13.52,53,Plus,Credit Card,Yes,1056.68
AUR-00217,Yes,7.17,43,Basic,Debit Card,Yes,482.5
AUR-00218,Yes,9.83,66,Basic,Debit Card,No,516.74
AUR-00219,No,18.1,35,Premium,Gift Card,Yes,413.22
AUR-00220,Yes,14.4,37,Plus,PayPal,No,445.62
AUR-00221,No,8.1,22,Basic,PayPal,Yes,330.07
AUR-00222,Yes,14.55,23,Plus,Credit Card,Yes,210.51
AUR-00223,Yes,15.14,45,Plus,Debit Card,Yes,502.02
AUR-00224,No,16.99,60,Premium,Gift Card,Yes,1865.85
AUR-00225,No,10.04,65,Basic,Credit Card,Yes,852.89
AUR-00226,No,17.07,56,Premium,PayPal,Yes,694.72
AUR-00227,Yes,12.0,44,Basic,Debit Card,Yes,741.2
AUR-00228,No,13.74,36,Plus,Credit Card,No,575.32
AUR-00229,No,13.79,24,Plus,Debit Card,Yes,629.13
AUR-00230,No,6.72,56,Basic,Credit Card,Yes,173.52
AUR-00231,Yes,9.69,23,Basic,Credit Card,Yes,231.21
AUR-00232,No,12.39,19,Plus,Credit Card,Yes,311.83
AUR-00233,No,18.65,63,Premium,Credit Card,Yes,779.55
AUR-00234,Yes,13.74,43,Plus,Credit Card,No,735.79
AUR-00235,No,18.29,25,Premium,PayPal,Yes,447.71
AUR-00236,No,21.4,63,Premium,Credit Card,Yes,1581.56
AUR-00237,No,12.48,70,Plus,PayPal,Yes,874.88
AUR-00238,No,18.69,23,Premium,Debit Card,Yes,469.89
AUR-00239,Yes,7.18,38,Basic,Credit Card,Yes,575.49
AUR-00240,Yes,9.42,35,Basic,Credit Card,Yes,549.83
AUR-00241,No,19.83,51,Premium,PayPal,Yes,515.66
AUR-00242,No,16.28,69,Premium,Debit Card,Yes,1260.67
AUR-00243,Yes,8.78,40,Basic,PayPal,No,631.55
AUR-00244,No,11.77,58,Plus,Credit Card,Yes,256.41
AUR-00245,No,12.69,43,Plus,PayPal,Yes,256.84
AUR-00246,No,18.83,64,Premium,PayPal,Yes,1656.19
AUR-00247,No,15.8,29,Plus,Gift Card,Yes,676.57
AUR-00248,No,13.67,28,Plus,Credit Card,Yes,460.24
AUR-00249,Yes,9.12,30,Basic,Gift Card,Yes,336.64
AUR-00250,No,14.25,72,Plus,Credit Card,Yes,1860.31
AUR-00251,No,13.37,44,Plus,PayPal,Yes,722.81
AUR-00252,Yes,16.83,11,Premium,Debit Card,Yes,153.53
AUR-00253,No,11.84,2,Plus,Debit Card,No,115.98
AUR-00254,Yes,8.08,37,Basic,Credit Card,No,346.41
AUR-00255,No,9.77,58,Basic,PayPal,No,761.01
AUR-00256,No,15.11,34,Plus,Credit Card,Yes,795.08
AUR-00257,No,18.62,40,Premium,Debit Card,No,1591.14
AUR-00258,No,7.54,58,Basic,Debit Card,Yes,553.89
AUR-00259,Yes,10.23,37,Basic,PayPal,Yes,326.38
AUR-00260,No,11.38,66,Plus,Debit Card,No,576.5
AUR-00261,Yes,8.58,46,Basic,Debit Card,No,456.94
AUR-00262,No,19.09,53,Premium,Debit Card,Yes,2132.28
AUR-00263,Yes,7.59,57,Basic,Debit Card,No,611.82
AUR-00264,Yes,10.58,45,Basic,Debit Card,Yes,395.35
AUR-00265,No,18.07,3,Premium,PayPal,Yes,119.8
AUR-00266,No,8.92,31,Basic,PayPal,Yes,381.86
AUR-00267,Yes,10.9,10,Basic,Debit Card,Yes,190.14
AUR-00268,No,10.21,37,Basic,Credit Card,No,194.96
AUR-00269,No,8.19,10,Basic,Debit Card,Yes,36.47
AUR-00270,No,8.91,37,Basic,Credit Card,Yes,258.64
AUR-00271,Yes,9.11,25,Basic,Credit Card,No,278.84
AUR-00272,Yes,10.52,1,Basic,PayPal,No,27.44
AUR-00273,No,9.43,9,Basic,Credit Card,No,114.6
AUR-00274,No,13.32,36,Plus,Debit Card,No,487.1
AUR-00275,No,13.92,5,Plus,Gift Card,No,118.73
AUR-00276,Yes,14.27,62,Plus,Credit Card,Yes,1191.53
AUR-00277,No,9.17,55,Basic,Credit Card,Yes,583.63
AUR-00278,No,13.12,51,Plus,Credit Card,No,446.87
AUR-00279,No,21.84,12,Premium,Credit Card,Yes,431.64
AUR-00280,No,20.27,58,Premium,PayPal,Yes,891.89
AUR-00281,Yes,8.79,46,Basic,PayPal,Yes,805.16
AUR-00282,No,8.94,28,Basic,Debit Card,Yes,584.23
AUR-00283,No,10.29,0,Basic,Credit Card,Yes,17.55
AUR-00284,Yes,8.99,38,Basic,Debit Card,No,326.31
AUR-00285,No,11.78,58,Plus,Credit Card,Yes,882.59
AUR-00286,No,13.03,2,Plus,Debit Card,Yes,20.76
AUR-00287,No,8.6,3,Basic,Debit Card,Yes,14.22
AUR-00288,Yes,8.43,27,Basic,Credit Card,Yes,268.56
AUR-00289,No,13.09,37,Plus,PayPal,Yes,548.44
AUR-00290,No,8.44,34,Basic,PayPal,Yes,117.55
AUR-00291,No,19.87,31,Premium,Credit Card,Yes,885.13
AUR-00292,No,7.59,18,Basic,Debit Card,Yes,431.99
AUR-00293,No,19.21,4,Premium,Debit Card,Yes,173.25
AUR-00294,No,8.24,2,Basic,Credit Card,Yes,103.61
AUR-00295,No,20.81,7,Premium,Credit Card,Yes,268.46
AUR-00296,Yes,15.69,50,Premium,Debit Card,Yes,676.77
AUR-00297,No,20.18,57,Premium,PayPal,Yes,1141.13
AUR-00298,No,16.4,31,Premium,Debit Card,Yes,199.59
AUR-00299,Yes,13.06,5,Plus,Debit Card,No,0.0
AUR-00300,No,15.15,30,Plus,Debit Card,Yes,575.93
AUR-00301,Yes,12.53,71,Plus,Credit Card,Yes,519.06
AUR-00302,Yes,10.49,18,Basic,Credit Card,Yes,71.21
AUR-00303,No,14.35,35,Plus,Credit Card,Yes,652.81
AUR-00304,No,14.18,39,Plus,PayPal,Yes,1883.52
AUR-00305,No,17.09,24,Premium,PayPal,Yes,654.93
AUR-00306,No,15.14,31,Plus,PayPal,Yes,467.4
AUR-00307,Yes,13.83,34,Plus,Credit Card,Yes,1780.2
AUR-00308,No,14.94,34,Plus,Debit Card,No,291.82
AUR-00309,Yes,8.78,52,Basic,Debit Card,Yes,591.51
AUR-00310,Yes,9.69,42,Basic,Credit Card,No,976.3
AUR-00311,No,13.78,3,Plus,Credit Card,No,46.06
AUR-00312,Yes,14.51,0,Plus,PayPal,Yes,0.0
AUR-00313,Yes,6.51,29,Basic,Debit Card,Yes,187.19
AUR-00314,No,9.56,66,Basic,Debit Card,Yes,660.89
AUR-00315,Yes,8.83,2,Basic,Credit Card,Yes,115.27
AUR-00316,Yes,8.51,5,Basic,Debit Card,Yes,108.49
AUR-00317,Yes,9.17,49,Basic,Credit Card,Yes,398.41
AUR-00318,No,12.19,32,Plus,Credit Card,Yes,377.43
AUR-00319,Yes,8.49,16,Basic,Debit Card,No,62.2
AUR-00320,No,18.89,15,Premium,Credit Card,Yes,304.71
AUR-00321,No,19.96,48,Premium,Gift Card,Yes,523.08
AUR-00322,No,11.0,38,Plus,Debit Card,No,316.96
AUR-00323,Yes,6.87,46,Basic,Credit Card,No,624.23
AUR-00324,Yes,14.44,20,Plus,Credit Card,Yes,322.64
AUR-00325,No,16.14,38,Premium,PayPal,Yes,560.31
AUR-00326,No,14.51,62,Plus,Credit Card,No,704.44
AUR-00327,No,17.17,23,Premium,Credit Card,Yes,492.23
AUR-00328,No,14.56,28,Plus,Credit Card,Yes,314.88
AUR-00329,No,13.36,11,Plus,Credit Card,No,100.65
AUR-00330,No,9.91,46,Basic,Debit Card,Yes,802.64
AUR-00331,Yes,15.78,2,Plus,Debit Card,Yes,0.0
AUR-00332,Yes,9.23,18,Basic,Credit Card,Yes,367.85
AUR-00333,Yes,13.44,52,Plus,PayPal,Yes,652.57
AUR-00334,No,18.15,1,Premium,Credit Card,Yes,148.51
AUR-00335,No,8.68,72,Basic,Debit Card,Yes,664.11
AUR-00336,No,14.5,29,Plus,Credit Card,Yes,614.99
AUR-00337,Yes,8.02,29,Basic,Debit Card,Yes,201.29
AUR-00338,No,14.7,39,Plus,Credit Card,No,929.5
AUR-00339,Yes,7.52,46,Basic,Debit Card,No,684.98
AUR-00340,No,17.69,33,Premium,Credit Card,Yes,529.84
AUR-00341,No,9.21,64,Basic,Gift Card,No,1238.38
AUR-00342,No,19.36,70,Premium,Credit Card,Yes,1252.43
AUR-00343,No,23.49,14,Premium,PayPal,Yes,78.62
AUR-00344,Yes,16.05,51,Plus,PayPal,Yes,1190.38
AUR-00345,No,18.66,21,Premium,Credit Card,Yes,707.03
AUR-00346,No,16.81,72,Premium,Credit Card,Yes,1574.44
AUR-00347,No,15.92,18,Premium,Credit Card,Yes,250.65
AUR-00348,Yes,10.6,21,Basic,Gift Card,Yes,224.63
AUR-00349,Yes,13.61,52,Plus,Debit Card,Yes,613.84
AUR-00350,No,9.19,57,Basic,Debit Card,Yes,727.88
AUR-00351,No,13.21,9,Plus,Credit Card,Yes,99.68
AUR-00352,No,7.61,40,Basic,PayPal,Yes,305.8
AUR-00353,No,12.19,25,Plus,Credit Card,Yes,188.91
AUR-00354,Yes,15.85,44,Plus,Credit Card,Yes,394.3
AUR-00355,No,14.5,40,Plus,Credit Card,Yes,495.98
AUR-00356,Yes,14.53,71,Plus,Debit Card,No,1550.16
AUR-00357,No,17.5,68,Plus,PayPal,No,705.55
AUR-00358,No,17.47,47,Premium,PayPal,Yes,1016.71
AUR-00359,No,14.38,49,Plus,Credit Card,Yes,581.44
AUR-00360,No,12.43,65,Plus,Credit Card,No,1021.97
AUR-00361,No,16.49,13,Premium,PayPal,Yes,198.85
AUR-00362,No,9.22,52,Basic,Debit Card,Yes,563.71
AUR-00363,Yes,8.94,56,Basic,Credit Card,Yes,413.01
AUR-00364,Yes,9.85,9,Basic,Credit Card,Yes,173.28
AUR-00365,No,13.75,64,Plus,Debit Card,Yes,337.56
AUR-00366,No,12.82,51,Plus,Gift Card,Yes,702.6
AUR-00367,No,13.51,25,Plus,Debit Card,Yes,117.12
AUR-00368,Yes,13.51,35,Plus,Credit Card,Yes,464.49
AUR-00369,Yes,9.6,35,Basic,PayPal,Yes,369.55
AUR-00370,No,18.74,67,Premium,Credit Card,No,1795.59
AUR-00371,No,13.29,70,Plus,PayPal,Yes,450.02
AUR-00372,Yes,6.0,58,Basic,Credit Card,Yes,243.87
AUR-00373,Yes,9.54,47,Basic,Credit Card,Yes,788.58
AUR-00374,Yes,7.99,7,Basic,Debit Card,Yes,86.13
AUR-00375,No,7.57,66,Basic,Credit Card,No,265.06
AUR-00376,Yes,8.8,9,Basic,Credit Card,Yes,113.18
AUR-00377,No,18.71,12,Premium,Debit Card,Yes,331.71
AUR-00378,No,12.32,5,Plus,PayPal,Yes,33.67
AUR-00379,No,15.9,69,Plus,PayPal,Yes,1228.81
AUR-00380,Yes,14.35,36,Plus,Credit Card,Yes,122.39
AUR-00381,No,13.72,17,Plus,Credit Card,No,286.81
AUR-00382,No,17.25,5,Premium,Debit Card,Yes,38.16
AUR-00383,No,21.17,30,Premium,Credit Card,No,703.91
AUR-00384,No,14.9,52,Plus,Credit Card,Yes,1135.05
AUR-00385,No,9.4,72,Basic,PayPal,Yes,1017.55
AUR-00386,No,16.81,40,Premium,Gift Card,No,1363.63
AUR-00387,No,14.56,44,Plus,Credit Card,Yes,297.57
AUR-00388,No,17.8,61,Premium,PayPal,No,1360.76
AUR-00389,Yes,7.35,65,Basic,Debit Card,Yes,655.9
AUR-00390,No,19.01,20,Premium,Credit Card,Yes,393.47
AUR-00391,No,14.32,72,Plus,Debit Card,Yes,1046.07
AUR-00392,Yes,9.69,37,Basic,Credit Card,Yes,642.59
AUR-00393,No,14.81,67,Plus,Credit Card,No,925.94
AUR-00394,No,14.15,8,Plus,Gift Card,Yes,182.66
AUR-00395,Yes,9.75,7,Basic,Debit Card,Yes,80.12
AUR-00396,No,14.79,64,Plus,Credit Card,No,1222.22
AUR-00397,No,19.42,49,Premium,Debit Card,Yes,1344.93
AUR-00398,Yes,9.04,12,Basic,Gift Card,No,56.12
AUR-00399,No,14.89,65,Plus,Credit Card,No,1205.26
AUR-00400,No,14.19,7,Plus,PayPal,Yes,130.35
AUR-00401,Yes,8.12,49,Basic,PayPal,Yes,717.34
AUR-00402,No,20.03,14,Premium,Credit Card,No,310.9
AUR-00403,No,18.68,5,Premium,Debit Card,Yes,97.08
AUR-00404,No,8.01,58,Basic,Debit Card,Yes,330.17
AUR-00405,No,19.67,61,Premium,PayPal,No,1312.74
AUR-00406,No,16.93,7,Premium,Credit Card,Yes,270.78
AUR-00407,Yes,10.02,6,Basic,Credit Card,No,125.31
AUR-00408,No,19.46,44,Premium,Credit Card,Yes,2338.68
AUR-00409,No,7.48,2,Basic,Debit Card,No,27.21
AUR-00410,No,19.44,54,Premium,PayPal,Yes,744.7
AUR-00411,No,13.73,66,Plus,PayPal,Yes,864.69
AUR-00412,No,15.83,54,Plus,Debit Card,No,1108.93
AUR-00413,No,10.05,16,Basic,Credit Card,Yes,57.41
AUR-00414,No,20.41,13,Premium,Credit Card,Yes,439.81
AUR-00415,No,8.82,49,Basic,PayPal,No,610.6
AUR-00416,Yes,8.89,4,Basic,Debit Card,No,94.83
AUR-00417,No,7.28,39,Basic,PayPal,No,505.8
AUR-00418,No,13.42,32,Plus,Credit Card,Yes,687.6
AUR-00419,Yes,8.84,54,Basic,Credit Card,Yes,432.32
AUR-00420,No,15.32,14,Premium,PayPal,Yes,226.19
AUR-00421,No,14.46,55,Plus,Credit Card,Yes,665.39
AUR-00422,No,9.6,51,Basic,Credit Card,Yes,458.41
