customerID,Churn,MonthlyCharges,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges
MW-38256-ZZBV,No,77.97,Female,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,2805.84
MW-31312-MLLS,Yes,81.2,Male,0,No,Yes,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),2171.29
MW-97790-NBKY,No,71.33,Female,0,Yes,No,13,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),910.77
MW-88037-DFCT,No,25.67,Male,0,No,Yes,67,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,1744.45
MW-16285-VVBZ,No,74.28,Female,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),4238.14
MW-79537-XVWV,No,51.35,Female,0,No,No,47,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,2435.68
MW-74424-ASXP,Yes,115.09,Male,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),3331.36
MW-54982-XBQZ,No,98.11,Female,0,Yes,No,60,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),5874.58
MW-31277-PLGV,Yes,52.41,Male,1,Yes,No,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,2018.74
MW-40389-YKML,Yes,116.97,Female,1,Yes,No,32,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,3757.56
MW-99115-RMTZ,No,74.31,Male,0,Yes,Yes,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,2384.08
MW-82721-HFPN,No,18.0,Female,0,No,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),281.89
MW-78967-LDCM,No,61.65,Male,0,Yes,No,6,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,358.01
MW-77378-TPUD,No,113.06,Female,0,Yes,Yes,40,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),4539.3
MW-34138-YSRV,No,39.4,Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,2518.94
MW-80729-YVMT,No,61.95,Male,0,No,Yes,4,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,245.3
MW-37444-LDZQ,No,23.2,Male,0,Yes,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),1429.39
MW-14516-USJU,No,27.97,Female,0,No,No,60,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1672.09
MW-52699-HTVR,Yes,38.97,Male,0,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,787.65
MW-45241-MTBW,Yes,27.18,Male,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,1229.03
MW-41665-NPED,Yes,45.45,Female,0,No,Yes,12,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,546.61
MW-25839-JVAR,Yes,116.15,Male,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,6402.58
MW-60991-ZSHH,No,62.92,Female,0,No,No,51,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,3207.65
MW-53499-JDQU,Yes,87.57,Male,0,Yes,Yes,25,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),2205.06
MW-17996-NBWK,No,96.75,Female,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,407.11
MW-34151-NNRA,No,30.75,Female,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,2166.05
MW-69559-FQKC,Yes,39.05,Female,0,No,No,32,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,1241.54
MW-89072-YFFZ,No,86.97,Female,0,Yes,No,65,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,5652.52
MW-60850-FPNZ,No,44.97,Female,0,No,Yes,49,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),2208.72
MW-28296-YMBV,Yes,84.99,Male,1,Yes,Yes,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,4752.39
MW-87661-RADG,No,114.32,Female,0,Yes,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,6280.05
MW-91926-WGXB,No,20.34,Male,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),276.31
MW-69734-NYRN,No,53.29,Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),1423.69
MW-20606-KQGN,No,58.05,Female,0,No,Yes,34,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (automatic),1969.63
MW-81062-BFTY,No,48.21,Male,0,No,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),1751.59
MW-13410-LSLC,Yes,45.76,Female,1,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),124.24
MW-34398-ZMCA,No,49.24,Female,0,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),1945.89
MW-67342-ESHN,Yes,63.54,Male,0,No,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),693.26
MW-60504-DXZY,No,68.95,Male,0,Yes,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,3724.09
MW-15871-QCCC,No,92.6,Female,0,Yes,No,49,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),4509.91
MW-50604-MXVN,No,63.25,Female,0,No,Yes,67,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),4254.5
MW-55265-TMQP,No,97.55,Male,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),5287.7
MW-92285-QMTQ,No,46.25,Female,0,No,No,26,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,1184.69
MW-78414-GYMQ,No,27.96,Female,0,Yes,No,70,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),1974.82
MW-84674-NHBF,No,54.86,Male,1,No,No,29,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1570.88
MW-75899-YZDP,No,77.87,Female,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1800.49
MW-60818-GPRA,Yes,89.81,Female,0,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,5923.14
MW-73560-YYYM,No,107.81,Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),2930.91
MW-64030-TZEE,No,72.71,Female,0,No,No,5,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),367.29
MW-72815-VHEF,Yes,86.59,Male,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,2958.03
MW-49243-SKHZ,Yes,105.06,Female,0,Yes,Yes,58,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,6112.05
MW-56509-ZKFV,No,40.62,Male,0,No,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,523.69
MW-68050-UUFH,No,57.7,Male,0,No,No,33,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),1903.67
MW-16816-BPBW,Yes,120.0,Male,0,No,No,9,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),1063.33
MW-67913-HQDG,No,89.69,Male,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),4480.0
MW-55982-GWZP,No,79.32,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,2725.79
MW-69121-CZGR,No,90.81,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2190.78
MW-41432-FLAL,No,23.93,Female,0,Yes,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),367.21
MW-90768-SXYZ,Yes,44.6,Male,0,Yes,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,1853.07
MW-17336-ZKGD,Yes,33.63,Male,0,No,No,48,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,1620.08
MW-52351-DATH,Yes,76.56,Male,0,Yes,Yes,68,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,5218.54
MW-59555-NJNL,No,52.93,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,1648.19
MW-63558-QDXM,No,66.86,Male,0,Yes,No,11,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,741.76
MW-90860-SYCF,No,54.67,Female,0,No,No,60,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,3250.23
MW-70155-PSMA,No,18.0,Female,0,No,No,45,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,826.6
MW-11618-SRAY,Yes,90.55,Male,1,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,4584.23
MW-58609-XGQV,Yes,18.0,Female,0,No,Yes,7,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,141.24
MW-70552-LBKJ,Yes,42.17,Male,0,No,No,22,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),929.23
MW-73642-VAYJ,No,24.54,Male,0,No,No,56,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,1386.77
MW-64034-KHAS,No,37.61,Male,0,No,No,60,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,2258.98
MW-34726-THCV,No,70.06,Female,0,Yes,No,31,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),2187.52
MW-73363-SGSF,No,101.05,Female,0,No,No,58,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),5861.14
MW-48578-RMER,No,18.0,Female,1,No,No,61,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,1102.21
MW-97112-EXCV,No,47.28,Female,0,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,1329.91
MW-25851-GNWZ,No,18.0,Female,0,No,No,65,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,1198.18
MW-94769-MHTZ,Yes,45.84,Male,0,No,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),971.64
MW-98922-HKVG,Yes,66.16,Female,0,Yes,No,17,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,1104.97
MW-37278-PKNQ,No,87.01,Male,0,No,No,49,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,4255.03
MW-27389-NMKB,No,18.0,Male,0,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),836.97
MW-51632-UJBM,No,80.52,Female,0,No,Yes,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),824.1
MW-13546-VRQY,No,34.82,Male,0,Yes,No,60,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,2078.37
MW-52036-SYXN,Yes,27.51,Female,0,Yes,No,14,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,418.74
MW-45348-BPYS,No,66.02,Male,0,No,Yes,58,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,3831.79
MW-74835-FWWT,No,82.81,Male,0,No,No,0,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),6.31
MW-53712-DTWL,No,60.99,Female,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),3518.61
MW-84670-SWTR,No,31.21,Male,0,No,No,57,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),1795.7
MW-52548-KDGQ,Yes,60.97,Female,0,Yes,No,56,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,3407.63
MW-56214-THKE,No,42.24,Male,0,No,No,48,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,2016.33
MW-26460-JRAR,No,82.12,Female,0,No,No,34,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),2787.32
MW-45124-BYTZ,Yes,96.26,Male,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,4930.0
MW-57254-JKME,No,94.34,Male,0,No,Yes,20,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),1893.79
MW-83760-TDWZ,Yes,63.41,Male,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,3537.62
MW-69511-GKAJ,No,97.68,Female,0,Yes,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,3899.24
MW-54261-FQUB,No,33.37,Male,0,No,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,1122.35
MW-28783-ERLX,Yes,117.49,Male,0,Yes,No,36,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,4226.09
MW-84448-UTZL,No,33.2,Male,1,Yes,Yes,41,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),1369.61
MW-56792-RCCF,Yes,18.0,Female,0,Yes,No,2,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.08
MW-26337-HGSK,No,104.96,Male,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),998.32
MW-11987-SDJP,Yes,42.7,Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),744.87
MW-95469-ZJPM,Yes,67.5,Male,0,No,No,8,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),527.21
MW-90041-AGGL,No,33.08,Female,0,No,No,32,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),1053.15
MW-14117-ETMC,Yes,120.0,Male,0,Yes,Yes,48,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),5783.09
MW-30148-JNFQ,No,118.65,Male,0,No,No,47,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),5598.25
MW-63468-USSY,Yes,110.4,Male,0,No,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,3760.99
MW-64161-NUJT,No,66.65,Male,0,No,No,62,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),4143.23
MW-34801-PWBX,No,93.42,Female,1,Yes,Yes,41,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),3844.89
MW-73525-FWKQ,Yes,62.41,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,333.5
MW-26627-JWTH,Yes,97.67,Male,0,No,Yes,55,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),5395.21
MW-59800-DYZE,No,51.68,Female,0,No,No,41,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,2120.5
MW-71349-HFFD,No,111.54,Female,0,Yes,No,46,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),5119.78
MW-40184-TUQL,No,50.17,Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,2053.14
MW-11563-ZTBN,No,53.58,Female,0,No,Yes,40,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),2145.11
MW-64581-EKKX,No,50.0,Female,1,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,299.2
MW-62049-VLUQ,No,69.77,Female,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),2775.62
MW-71353-PWQF,Yes,52.35,Female,0,No,No,58,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,3042.85
MW-77421-KKWD,No,78.62,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),1706.12
MW-98849-MPYU,No,49.57,Female,1,No,Yes,44,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,2182.36
MW-73080-GBDB,Yes,87.72,Male,0,No,No,2,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),177.68
MW-12184-KTRT,No,109.55,Male,1,No,No,25,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,2740.48
MW-86811-NKVJ,Yes,66.33,Female,0,No,Yes,31,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,2069.0
MW-39528-QGJB,Yes,120.0,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,8530.78
MW-40825-QNHQ,Yes,97.83,Female,0,No,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),1500.79
MW-66841-DWAP,Yes,120.0,Male,0,No,Yes,20,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,2392.23
MW-27437-GDEH,No,62.16,Male,0,No,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),1806.83
MW-82487-RUYQ,No,18.0,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,1299.23
MW-34754-MUVK,Yes,42.82,Male,0,No,No,62,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),2657.36
MW-28472-LBAX,Yes,45.88,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,72.79
MW-80773-WJYC,Yes,35.41,Male,0,No,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,584.22
MW-25652-YQNT,No,18.0,Male,0,Yes,No,59,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,1062.1
MW-64741-FMFQ,No,94.74,Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,355.32
MW-56159-KLTV,Yes,18.0,Male,0,Yes,No,62,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,1110.99
MW-87798-WUET,No,91.87,Female,0,No,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,1827.69
MW-81859-TAEN,No,120.0,Male,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,7915.53
MW-40737-HUUF,No,40.65,Male,1,Yes,Yes,21,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),870.63
MW-92659-AGXX,No,75.63,Female,1,Yes,No,31,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,2328.35
MW-65452-NWPZ,No,52.04,Female,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),2510.97
MW-30018-DMEC,Yes,88.81,Male,0,Yes,No,9,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,790.72
MW-98294-DAYS,No,28.17,Female,0,Yes,No,40,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,1120.1
MW-25985-MVPL,No,60.05,Male,0,No,No,36,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,2168.78
MW-62431-MLKW,Yes,97.64,Female,0,No,No,57,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,5561.37
MW-84696-ZETB,No,62.53,Male,1,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,4488.77
MW-14216-VZTP,No,18.0,Male,0,No,No,48,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),858.45
MW-48756-YUUY,No,101.25,Female,0,No,Yes,29,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),2909.6
MW-31432-PVXM,No,25.12,Male,0,Yes,No,29,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),734.2
MW-99708-TRZR,Yes,66.36,Male,0,Yes,No,30,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,1944.27
